Site,Datapoint,Building class,Debris,Sheltered,Water Depth (m),WD uncertainty (m),Damage State(DS)
1,1,1,1,0,5.35,0.4,5
1,2,1,0,0,5.24,0.4,5
1,3,1,0,0,4,0.2,5
1,4,1,0,0,3.5,0.2,5
1,5,1,0,1,1.6,0.2,3
1,9,1,0,0,0.95,0.2,2
1,14,1,1,1,0.9,0.2,3
1,13,1,0,1,1,0.2,2
1,14,1,1,0,1,0.2,3
1,18,1,0,1,2.5,0.4,3
1,16,1,0,1,2.5,0.2,3
1,17,1,0,1,1.6,0.2,3
2,1,1,0,0,3.92,0.4,5
2,4,1,0,0,0.1,0.2,0
2,6,1,0,1,2,0.2,3
2,7,1,0,1,2,0.2,2
2,8,1,0,1,1.4,0.2,3
2,9,1,0,0,0,0.2,0
2,14,1,0,0,4.2,0.4,5
2,15,1,0,0,3.97,0.4,5
2,16,1,0,0,0,0.2,0
2,17,1,0,0,0,0.2,0
2,18,1,0,0,2.83,0.4,5
2,19,1,0,0,1.9,0.2,4
2,20,1,0,0,3.16,0.4,5
2,22,1,0,1,0.36,0.4,1
3,1,1,0,0,2.3,0.2,4
3,2,1,0,1,0,0.01,0
3,4,1,0,0,3.07,0.4,4
3,5,1,0,0,3.2,0.2,5
3,6,1,0,1,0.49,0.2,2
3,7,1,0,1,0.24,0.2,0
3,9,1,0,1,0.4,0.2,2
3,10,1,0,0,1.44,0.4,2
3,11,1,0,0,3.44,0.4,5
3,13,1,0,0,1,0.4,5
3,14,1,1,0,1.81,0.4,5
3,16,1,1,1,1.99,0.4,4
3,17,1,0,1,1.75,0.2,3
3,18,1,0,1,1.4,0.2,2
3,19,1,0,1,2.22,0.4,3
3,20,1,0,1,1.2,0.2,2
3,21,1,0,0,1.84,0.4,5
3,22,1,0,0,1.74,0.4,5
3,24,1,1,1,1.41,0.4,5
3,25,1,1,1,2.23,0.4,5
3,26,1,1,1,2.73,0.4,5
3,27,1,0,0,2.39,0.4,4
3,29,1,0,0,2.16,0.4,4
3,32,1,0,1,0.5,0.2,0
3,33,1,0,1,0.1,0.2,0
3,34,1,0,1,1.2,0.2,2
3,35,1,0,1,0.01,0.2,0
4,2,1,0,0,2.6,0.2,4
4,3,1,0,0,2.2,0.2,4
4,4,1,0,0,2.2,0.2,4
4,5,1,0,0,2.5,0.2,5
4,6,1,0,0,2.41,0.4,5
4,7,1,1,1,2.32,0.4,3
4,10,1,0,0,2.44,0.4,5
4,11,1,0,1,1.2,0.2,3
4,12,1,0,0,2.46,0.4,3
4,13,1,0,0,1.77,0.4,2
4,14,1,0,1,1.35,0.4,2
4,16,1,0,0,2.36,0.4,5
4,17,1,0,0,2.36,0.4,5
4,18,1,0,0,2.51,0.4,5
4,20,1,0,0,3,0.2,4
4,21,1,0,1,2.36,0.4,3
4,22,1,0,0,2.8,0.2,5
4,23,1,0,0,0.8,0.2,1
4,24,1,0,1,0.8,0.2,2
4,25,1,0,0,1.57,0.4,4
4,26,1,0,0,1.67,0.4,4
5,3,1,0,0,4,0.2,5
5,4,1,0,1,1.4,0.2,3
5,5,1,0,0,3.54,0.4,5
5,6,1,0,0,2.73,0.4,5
5,7,1,0,0,3.51,0.4,5
5,8,1,0,0,2.75,0.4,5
5,9,1,0,1,3.48,0.4,5
5,10,1,0,0,2.71,0.4,5
5,16,1,0,0,4.16,0.4,5
5,17,1,0,0,2.07,0.4,5
10,23,1,0,0,2.35,0.4,5
10,27,1,0,0,2.39,0.4,5
10,22,1,0,0,2.51,0.4,5
10,32,1,0,0,3.14,0.4,5
9,7,1,0,0,3.15,0.2,5
9,8,1,0,0,2.85,0.4,5
10,14,1,0,1,1.8,0.2,2
7,11,1,0,1,0.475,0.2,2
7,8,1,0,1,0.79,0.2,2
10,5,1,1,0,0.85,0.2,2
10,10,1,0,1,0.95,0.4,2
9,4,1,0,1,1.65,0.2,2
10,4,1,0,1,1.5,0.2,2
7,7,1,0,0,1.72,0.2,2
10,9,1,1,0,1.25,0.2,2
7,5,1,0,0,1.4,0.2,2
9,10,1,0,1,1.35,0.2,2
7,1,1,0,0,1.5,0.2,3
10,13,1,0,1,1.75,0.4,3
10,12,1,0,0,1.5,0.2,3
9,3,1,0,0,2.2,0.2,3
