Entry #,Building Class as described originally,"Closest GED4ALL taxonomy string, https://platform.openquake.org/taxtweb/",Event,Country,Latitute,Longitude,Damage Scale,Raw Data Source,Fragility Modelling,Reference,DOI,Comments,Fragility Developed by ETriS?,Total number of data points,"The fragility curves in ETRIS are all re-derived based on in-house workflows and open-access raw data and they should be referred to based on the DOI listed in column ""L"". This column shows the reference to the original literature. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,RC,CR,Great Japan Tsunami 2011,"Japan, Hokkaido, Aomori, Iwate, Miyagi, Fukushima, Ibaraki
and Chiba",0,0,MLIT (8 damage levels),https://www.mlit.go.jp/toshi/toshi-hukkou-arkaibu.html,"using ""logit"",  ""probit"" and ""cloglog"" link functions"," Jalayer, F., Ebrahimian, H., Trevlopoulos, K., and Bradley, B. (2022) Empirical tsunami fragility modelling for hierarchical damage levels: An application to damage data of the 2009 South Pacific tsunami, EGUsphere [preprint].",https://doi.org/10.5194/egusphere-2022-206,DL0 to DL6,yes,5560,"Suppasri, A., Mas, E., Charvet, I., Gunasekera, R., Imai, K., Fukutani, Y., Abe, Y. and Imamura, F., 2013. Building damage characteristics based on surveyed data and fragility curves of the 2011 Great East Japan tsunami. Natural Hazards, 66(2), pp.319-341.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Steel ,S,Great Japan Tsunami 2011,"Japan, Hokkaido, Aomori, Iwate, Miyagi, Fukushima, Ibaraki
and Chiba",0,0,MLIT,https://www.mlit.go.jp/toshi/toshi-hukkou-arkaibu.html,"using ""logit"",  ""probit"" and ""cloglog"" link functions"," Jalayer, F., Ebrahimian, H., Trevlopoulos, K., and Bradley, B. (2022) Empirical tsunami fragility modelling for hierarchical damage levels: An application to damage data of the 2009 South Pacific tsunami, EGUsphere [preprint].",https://doi.org/10.5194/egusphere-2022-206,DL0 to DL6,yes,11554,"Suppasri, A., Mas, E., Charvet, I., Gunasekera, R., Imai, K., Fukutani, Y., Abe, Y. and Imamura, F., 2013. Building damage characteristics based on surveyed data and fragility curves of the 2011 Great East Japan tsunami. Natural Hazards, 66(2), pp.319-341.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wood ,W,Great Japan Tsunami 2011,"Japan, Hokkaido, Aomori, Iwate, Miyagi, Fukushima, Ibaraki
and Chiba",0,0,MLIT,https://www.mlit.go.jp/toshi/toshi-hukkou-arkaibu.html,"using ""logit"",  ""probit"" and ""cloglog"" link functions"," Jalayer, F., Ebrahimian, H., Trevlopoulos, K., and Bradley, B. (2022) Empirical tsunami fragility modelling for hierarchical damage levels: An application to damage data of the 2009 South Pacific tsunami, EGUsphere [preprint].",https://doi.org/10.5194/egusphere-2022-206,DL0 to DL6,yes,177618,"Suppasri, A., Mas, E., Charvet, I., Gunasekera, R., Imai, K., Fukutani, Y., Abe, Y. and Imamura, F., 2013. Building damage characteristics based on surveyed data and fragility curves of the 2011 Great East Japan tsunami. Natural Hazards, 66(2), pp.319-341.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Masonry,M,Great Japan Tsunami 2011,"Japan, Hokkaido, Aomori, Iwate, Miyagi, Fukushima, Ibaraki
and Chiba",0,0,MLIT,https://www.mlit.go.jp/toshi/toshi-hukkou-arkaibu.html,," Jalayer, F., Ebrahimian, H., Trevlopoulos, K., and Bradley, B. (2022) Empirical tsunami fragility modelling for hierarchical damage levels: An application to damage data of the 2009 South Pacific tsunami, EGUsphere [preprint].",https://doi.org/10.5194/egusphere-2022-206,,,,"Suppasri, A., Mas, E., Charvet, I., Gunasekera, R., Imai, K., Fukutani, Y., Abe, Y. and Imamura, F., 2013. Building damage characteristics based on surveyed data and fragility curves of the 2011 Great East Japan tsunami. Natural Hazards, 66(2), pp.319-341.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"RC, 1 storey",CR/HEX:1,Great Japan Tsunami 2011,"Japan, Hokkaido, Aomori, Iwate, Miyagi, Fukushima, Ibaraki
and Chiba",0,0,MLIT,https://www.mlit.go.jp/toshi/toshi-hukkou-arkaibu.html,"using ""logit"",  ""probit"" and ""cloglog"" link functions"," Jalayer, F., Ebrahimian, H., Trevlopoulos, K., and Bradley, B. (2022) Empirical tsunami fragility modelling for hierarchical damage levels: An application to damage data of the 2009 South Pacific tsunami, EGUsphere [preprint].",https://doi.org/10.5194/egusphere-2022-206,DL0 to DL6,yes,1335,"Suppasri, A., Mas, E., Charvet, I., Gunasekera, R., Imai, K., Fukutani, Y., Abe, Y. and Imamura, F., 2013. Building damage characteristics based on surveyed data and fragility curves of the 2011 Great East Japan tsunami. Natural Hazards, 66(2), pp.319-341.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Wood, 1 storey",W/HEX:1,Great Japan Tsunami 2011,"Japan, Hokkaido, Aomori, Iwate, Miyagi, Fukushima, Ibaraki
and Chiba",0,0,MLIT,https://www.mlit.go.jp/toshi/toshi-hukkou-arkaibu.html,"using ""logit"",  ""probit"" and ""cloglog"" link functions"," Jalayer, F., Ebrahimian, H., Trevlopoulos, K., and Bradley, B. (2022) Empirical tsunami fragility modelling for hierarchical damage levels: An application to damage data of the 2009 South Pacific tsunami, EGUsphere [preprint].",https://doi.org/10.5194/egusphere-2022-206,DL0 to DL6,yes,51259,"Suppasri, A., Mas, E., Charvet, I., Gunasekera, R., Imai, K., Fukutani, Y., Abe, Y. and Imamura, F., 2013. Building damage characteristics based on surveyed data and fragility curves of the 2011 Great East Japan tsunami. Natural Hazards, 66(2), pp.319-341.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"RC, 2 storey ",CR/HEX:2,Great Japan Tsunami 2011,"Japan, Hokkaido, Aomori, Iwate, Miyagi, Fukushima, Ibaraki
and Chiba",0,0,MLIT,https://www.mlit.go.jp/toshi/toshi-hukkou-arkaibu.html,"using ""logit"",  ""probit"" and ""cloglog"" link functions"," Jalayer, F., Ebrahimian, H., Trevlopoulos, K., and Bradley, B. (2022) Empirical tsunami fragility modelling for hierarchical damage levels: An application to damage data of the 2009 South Pacific tsunami, EGUsphere [preprint].",https://doi.org/10.5194/egusphere-2022-206,DL0 to DL6,yes,1903,"Suppasri, A., Mas, E., Charvet, I., Gunasekera, R., Imai, K., Fukutani, Y., Abe, Y. and Imamura, F., 2013. Building damage characteristics based on surveyed data and fragility curves of the 2011 Great East Japan tsunami. Natural Hazards, 66(2), pp.319-341.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"RC, 3 storey and more",CR/HEX:3,Great Japan Tsunami 2011,"Japan, Hokkaido, Aomori, Iwate, Miyagi, Fukushima, Ibaraki
and Chiba",0,0,MLIT,https://www.mlit.go.jp/toshi/toshi-hukkou-arkaibu.html,"using ""logit"",  ""probit"" and ""cloglog"" link functions"," Jalayer, F., Ebrahimian, H., Trevlopoulos, K., and Bradley, B. (2022) Empirical tsunami fragility modelling for hierarchical damage levels: An application to damage data of the 2009 South Pacific tsunami, EGUsphere [preprint].",https://doi.org/10.5194/egusphere-2022-206,DL0 to DL6,yes,1812,"Suppasri, A., Mas, E., Charvet, I., Gunasekera, R., Imai, K., Fukutani, Y., Abe, Y. and Imamura, F., 2013. Building damage characteristics based on surveyed data and fragility curves of the 2011 Great East Japan tsunami. Natural Hazards, 66(2), pp.319-341.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Wood, 2 storey",W/HEX:2,Great Japan Tsunami 2011,"Japan, Hokkaido, Aomori, Iwate, Miyagi, Fukushima, Ibaraki
and Chiba",0,0,MLIT,https://www.mlit.go.jp/toshi/toshi-hukkou-arkaibu.html,"using ""logit"",  ""probit"" and ""cloglog"" link functions"," Jalayer, F., Ebrahimian, H., Trevlopoulos, K., and Bradley, B. (2022) Empirical tsunami fragility modelling for hierarchical damage levels: An application to damage data of the 2009 South Pacific tsunami, EGUsphere [preprint].",https://doi.org/10.5194/egusphere-2022-206,DL0 to DL6,yes,79292,"Suppasri, A., Mas, E., Charvet, I., Gunasekera, R., Imai, K., Fukutani, Y., Abe, Y. and Imamura, F., 2013. Building damage characteristics based on surveyed data and fragility curves of the 2011 Great East Japan tsunami. Natural Hazards, 66(2), pp.319-341.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Wood, 3 storey and more",W/HAPP:3,Great Japan Tsunami 2011,"Japan, Hokkaido, Aomori, Iwate, Miyagi, Fukushima, Ibaraki
and Chiba",0,0,MLIT,https://www.mlit.go.jp/toshi/toshi-hukkou-arkaibu.html,"using ""logit"",  ""probit"" and ""cloglog"" link functions"," Jalayer, F., Ebrahimian, H., Trevlopoulos, K., and Bradley, B. (2022) Empirical tsunami fragility modelling for hierarchical damage levels: An application to damage data of the 2009 South Pacific tsunami, EGUsphere [preprint].",https://doi.org/10.5194/egusphere-2022-206,DL0 to DL6,yes,630,"Suppasri, A., Mas, E., Charvet, I., Gunasekera, R., Imai, K., Fukutani, Y., Abe, Y. and Imamura, F., 2013. Building damage characteristics based on surveyed data and fragility curves of the 2011 Great East Japan tsunami. Natural Hazards, 66(2), pp.319-341.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
