D1,,,,parameters of the mean fragility,,,D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,,D4,,,,parameters of the mean fragility,,,D5,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,1.84703E-15,8.0741E-14,0.29980432,0.457818944,0.222616554,0.000001,0,0,0,0.455657112,0.369345224,0.147499895,0.000001,0,0,0,1.281053102,0.348472631,0.07426793,0.000001,0,0,0,1.811430389,0.419429164,0.066088479,0.000001,0,0,0,2.475786147,0.4694495,0.068529019
0.01,0,0.000297318,0.004326471,,,,0.01,0,4.94364E-09,1.7159E-07,,,,0.01,0,0,0,,,,0.01,0,0,0,,,,0.01,0,0,0,,,
0.02,0,0.001145639,0.010862542,,,,0.02,0,3.77777E-07,1.11737E-05,,,,0.02,0,0,0,,,,0.02,0,0,0,,,,0.02,0,0,0,,,
0.03,0,0.002616546,0.019119687,,,,0.03,0,3.30241E-06,8.37423E-05,,,,0.03,0,0,0,,,,0.03,0,0,0,,,,0.03,0,0,0,,,
0.04,0,0.004778348,0.029036137,,,,0.04,0,1.34351E-05,0.000293936,,,,0.04,0,1.92541E-17,6.69532E-16,,,,0.04,0,0,0,,,,0.04,0,0,0,,,
0.05,0,0.007706596,0.040556525,,,,0.05,0,3.75029E-05,0.000711253,,,,0.05,0,1.98104E-15,6.80457E-14,,,,0.05,0,0,0,,,,0.05,0,0,0,,,
0.06,0,0.011490051,0.053651345,,,,0.06,0,8.41051E-05,0.001388533,,,,0.06,0,6.36789E-14,2.15451E-12,,,,0.06,0,0,0,,,,0.06,0,0,0,,,
0.07,0,0.016228804,0.068316172,,,,0.07,0,0.000164004,0.002363684,,,,0.07,0,9.64251E-13,3.1992E-11,,,,0.07,0,5.92435E-20,2.62319E-18,,,,0.07,0,0,0,,,
0.08,0,0.022029567,0.084564814,,,,0.08,0,0.000290939,0.003664525,,,,0.08,0,8.68461E-12,2.81185E-10,,,,0.08,0,4.50186E-18,1.28106E-16,,,,0.08,0,0,0,,,
0.09,0,0.02900001,0.102421496,,,,0.09,0,0.000482838,0.005314807,,,,0.09,0,5.37657E-11,1.68884E-09,,,,0.09,0,1.45703E-16,4.46195E-15,,,,0.09,0,0,0,,,
0.1,0,0.037243617,0.121912401,,,,0.1,0,0.000763195,0.007340885,,,,0.1,0,2.51784E-10,7.61689E-09,,,,0.1,0,2.72591E-15,8.72476E-14,,,,0.1,0,8.88652E-19,2.5067E-17,,,
0.11,0,0.046855958,0.143055793,,,,0.11,0,0.00116239,0.009778189,,,,0.11,0,9.53227E-10,2.75272E-08,,,,0.11,0,3.32014E-14,1.08461E-12,,,,0.11,0,1.34483E-17,3.50085E-16,,,
0.12,0,0.05792238,0.165851741,,,,0.12,0,0.001718823,0.012676425,,,,0.12,0,3.06028E-09,8.35129E-08,,,,0.12,0,2.86275E-13,9.41069E-12,,,,0.12,0,1.42836E-16,3.66022E-15,,,
0.13,0,0.070516563,0.1902739,,,,0.13,0,0.002479751,0.016102645,,,,0.13,0,8.62861E-09,2.20161E-07,,,,0.13,0,1.86268E-12,6.10685E-11,,,,0.13,0,1.13884E-15,2.89273E-14,,,
0.14,0,0.084699289,0.216265181,,,,0.14,0,0.003501811,0.020141885,,,,0.14,0,2.19275E-08,5.17836E-07,,,,0.14,0,9.60971E-12,3.12312E-10,,,,0.14,0,7.18985E-15,1.81065E-13,,,
0.15,0,0.100516954,0.243737275,,,,0.15,0,0.004851214,0.024895498,,,,0.15,0,5.11958E-08,1.10947E-06,,,,0.15,0,4.08641E-11,1.3106E-09,,,,0.15,0,3.73264E-14,9.30129E-13,,,
