D1,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,0.000417457,0.000973116,0.879743811,2.036069426,0.145837099
0.01,0.030436334,0.05263038,0.074824426,,,
0.02,0.048833532,0.076433907,0.104034282,,,
0.03,0.06401712,0.094967002,0.125916883,,,
0.04,0.077365769,0.110688654,0.144011539,,,
0.05,0.089462672,0.12457517,0.159687668,,,
0.06,0.100625096,0.137136199,0.173647302,,,
0.07,0.111050233,0.148678819,0.186307406,,,
0.08,0.120871409,0.159405521,0.197939633,,,
0.09,0.130184192,0.169458431,0.20873267,,,
0.1,0.139060099,0.178941995,0.218823891,,,
0.11,0.147554454,0.187935729,0.228317003,,,
0.12,0.155711193,0.196501882,0.237292571,,,
0.13,0.163565961,0.204690312,0.245814663,,,
0.14,0.171148197,0.212541709,0.253935222,,,
0.15,0.178482582,0.220089816,0.261697051,,,
0.16,0.185590071,0.227362995,0.26913592,,,
0.17,0.192488655,0.234385369,0.276282082,,,
0.18,0.199193933,0.241177665,0.283161397,,,
0.19,0.205719541,0.247757856,0.289796172,,,
0.2,0.212077492,0.254141652,0.296205811,,,
0.21,0.218278443,0.26034288,0.302407318,,,
0.22,0.224331899,0.266373794,0.308415689,,,
0.23,0.230246393,0.272245314,0.314244235,,,
0.24,0.236029615,0.277967222,0.319904828,,,
0.25,0.241688535,0.283548324,0.325408114,,,
0.26,0.247229489,0.288996586,0.330763683,,,
0.27,0.252658264,0.294319236,0.335980208,,,
0.28,0.257980163,0.299522864,0.341065564,,,
0.29,0.263200061,0.304613494,0.346026927,,,
0.3,0.268322453,0.309596655,0.350870856,,,
0.31,0.273351496,0.314477432,0.355603368,,,
0.32,0.278291043,0.31926052,0.360229996,,,
0.33,0.283144676,0.32395026,0.364755843,,,
0.34,0.287915732,0.328550679,0.369185625,,,
0.35,0.292607325,0.33306552,0.373523715,,,
0.36,0.297222371,0.337498271,0.37777417,,,
0.37,0.301763599,0.341852186,0.381940772,,,
0.38,0.306233576,0.346130309,0.386027042,,,
0.39,0.310634712,0.350335493,0.390036274,,,
0.4,0.31496928,0.354470414,0.393971548,,,
0.41,0.319239425,0.35853759,0.397835755,,,
0.42,0.323447173,0.362539389,0.401631606,,,
0.43,0.32759444,0.366478047,0.405361653,,,
0.44,0.331683044,0.370355672,0.4090283,,,
0.45,0.335714707,0.37417426,0.412633813,,,
0.46,0.339691066,0.377935699,0.416180331,,,
0.47,0.343613677,0.381641779,0.419669881,,,
0.48,0.347484022,0.385294199,0.423104376,,,
0.49,0.351303512,0.388894573,0.426485635,,,
0.5,0.355073494,0.392444437,0.429815379,,,
0.51,0.358795254,0.395945251,0.433095247,,,
0.52,0.36247002,0.399398408,0.436326795,,,
0.53,0.366098967,0.402805236,0.439511505,,,
0.54,0.369683222,0.406167004,0.442650787,,,
0.55,0.37322386,0.409484924,0.445745988,,,
0.56,0.376721917,0.412760155,0.448798393,,,
0.57,0.380178383,0.415993806,0.451809228,,,
0.58,0.383594212,0.419186939,0.454779667,,,
0.59,0.386970318,0.422340575,0.457710831,,,
0.6,0.390307582,0.425455689,0.460603796,,,
0.61,0.393606849,0.42853322,0.46345959,,,
0.62,0.396868937,0.431574069,0.466279201,,,
0.63,0.400094629,0.434579103,0.469063576,,,
0.64,0.403284684,0.437549154,0.471813625,,,
0.65,0.406439831,0.440485026,0.474530221,,,
0.66,0.409560776,0.44338749,0.477214203,,,
0.67,0.412648199,0.44625729,0.479866381,,,
0.68,0.415702758,0.449095145,0.482487531,,,
0.69,0.418725089,0.451901746,0.485078402,,,
0.7,0.421715805,0.454677761,0.487639717,,,
0.71,0.424675502,0.457423836,0.490172169,,,
0.72,0.427604755,0.460140593,0.492676431,,,
0.73,0.430504122,0.462828636,0.495153151,,,
0.74,0.433374143,0.465488547,0.497602952,,,
0.75,0.43621534,0.46812089,0.50002644,,,
0.76,0.439028223,0.47072621,0.502424197,,,
0.77,0.441813283,0.473305036,0.504796788,,,
0.78,0.444570998,0.475857879,0.50714476,,,
0.79,0.447301831,0.478385235,0.509468639,,,
0.8,0.450006233,0.480887586,0.511768938,,,
0.81,0.452684643,0.483365397,0.514046152,,,
0.82,0.455337484,0.485819122,0.516300761,,,
0.83,0.45796517,0.4882492,0.518533229,,,
0.84,0.460568104,0.490656056,0.520744008,,,
0.85,0.463146676,0.493040106,0.522933536,,,
0.86,0.465701268,0.495401752,0.525102235,,,
0.87,0.468232249,0.497741384,0.52725052,,,
0.88,0.470739981,0.500059385,0.529378788,,,
0.89,0.473224814,0.502356122,0.53148743,,,
0.9,0.475687092,0.504631957,0.533576822,,,
0.91,0.478127148,0.50688724,0.535647331,,,
0.92,0.480545308,0.509122311,0.537699314,,,
0.93,0.482941888,0.511337503,0.539733117,,,
0.94,0.485317199,0.513533139,0.541749078,,,
0.95,0.487671541,0.515709534,0.543747526,,,
0.96,0.490005211,0.517866995,0.545728779,,,
0.97,0.492318495,0.520005822,0.547693148,,,
0.98,0.494611676,0.522126306,0.549640937,,,
0.99,0.496885026,0.524228733,0.55157244,,,
1,0.499138814,0.52631338,0.553487945,,,
1.01,0.501373303,0.528380518,0.555387732,,,
1.02,0.503588749,0.530430411,0.557272073,,,
1.03,0.505785402,0.532463318,0.559141235,,,
1.04,0.507963506,0.534479492,0.560995477,,,
1.05,0.510123302,0.536479177,0.562835052,,,
1.06,0.512265024,0.538462616,0.564660208,,,
1.07,0.514388901,0.540430042,0.566471184,,,
1.08,0.516495159,0.542381687,0.568268216,,,
1.09,0.518584016,0.544317774,0.570051533,,,
1.1,0.520655688,0.546238524,0.57182136,,,
1.11,0.522710387,0.548144151,0.573577914,,,
1.12,0.524748319,0.550034865,0.575321411,,,
1.13,0.526769687,0.551910872,0.577052057,,,
1.14,0.528774688,0.553772373,0.578770057,,,
1.15,0.530763519,0.555619564,0.58047561,,,
1.16,0.532736369,0.55745264,0.582168911,,,
1.17,0.534693426,0.559271787,0.583850148,,,
1.18,0.536634874,0.561077192,0.58551951,,,
1.19,0.538560894,0.562869035,0.587177176,,,
1.2,0.540471662,0.564647493,0.588823324,,,
1.21,0.542367351,0.56641274,0.590458129,,,
1.22,0.544248133,0.568164946,0.592081759,,,
1.23,0.546114176,0.569904278,0.593694381,,,
1.24,0.547965643,0.5716309,0.595296157,,,
1.25,0.549802697,0.573344971,0.596887246,,,
1.26,0.551625497,0.57504665,0.598467803,,,
1.27,0.553434198,0.576736089,0.600037981,,,
1.28,0.555228955,0.578413441,0.601597927,,,
1.29,0.557009918,0.580078853,0.603147788,,,
1.3,0.558777237,0.581732471,0.604687705,,,
1.31,0.560531058,0.583374438,0.606217819,,,
1.32,0.562271524,0.585004894,0.607738264,,,
1.33,0.563998776,0.586623976,0.609249176,,,
1.34,0.565712956,0.58823182,0.610750683,,,
1.35,0.567414199,0.589828557,0.612242915,,,
1.36,0.569102641,0.591414319,0.613725996,,,
1.37,0.570778415,0.592989232,0.615200048,,,
1.38,0.572441653,0.594553423,0.616665192,,,
1.39,0.574092483,0.596107014,0.618121545,,,
1.4,0.575731033,0.597650127,0.619569221,,,
1.41,0.577357429,0.599182881,0.621008333,,,
1.42,0.578971794,0.600705392,0.622438991,,,
1.43,0.58057425,0.602217777,0.623861303,,,
1.44,0.582164919,0.603720147,0.625275374,,,
1.45,0.583743919,0.605212613,0.626681308,,,
1.46,0.585311366,0.606695286,0.628079205,,,
1.47,0.586867377,0.608168271,0.629469165,,,
1.48,0.588412067,0.609631675,0.630851284,,,
1.49,0.589945547,0.611085602,0.632225658,,,
1.5,0.591467928,0.612530153,0.633592378,,,
1.51,0.592979322,0.61396543,0.634951537,,,
1.52,0.594479836,0.61539153,0.636303224,,,
1.53,0.595969578,0.616808551,0.637647524,,,
1.54,0.597448653,0.618216589,0.638984524,,,
1.55,0.598917167,0.619615737,0.640314307,,,
1.56,0.600375222,0.621006089,0.641636956,,,
1.57,0.601822921,0.622387735,0.642952549,,,
1.58,0.603260365,0.623760765,0.644261166,,,
1.59,0.604687654,0.625125268,0.645562883,,,
1.6,0.606104886,0.626481331,0.646857775,,,
1.61,0.60751216,0.627829038,0.648145917,,,
1.62,0.608909572,0.629168475,0.649427379,,,
1.63,0.610297217,0.630499725,0.650702232,,,
1.64,0.61167519,0.631822868,0.651970546,,,
1.65,0.613043584,0.633137987,0.653232389,,,
1.66,0.614402493,0.634445159,0.654487825,,,
1.67,0.615752007,0.635744464,0.655736921,,,
1.68,0.617092217,0.637035978,0.656979738,,,
1.69,0.618423213,0.638319777,0.658216341,,,
