D1,,,,parameters of the mean fragility,,,D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,,D4,,,,parameters of the mean fragility,,,D5,,,,parameters of the mean fragility,,,D6,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,3.83295E-05,0.000726615,0.0014149,0.082383156,1.859336463,0.217276546,0.000001,0,1.63583E-07,3.73539E-07,0.358930789,1.277063688,0.073389762,0.000001,0,6.04932E-15,1.86564E-14,1.403866805,0.805881465,0.033811415,0.000001,0,0,0,2.878063317,0.623752747,0.027574864,0.000001,0,0,0,6.093787389,0.818354957,0.036782341,0.000001,0,0,0,14.16080381,0.792709502,0.071671205
0.01,0.128839006,0.169772777,0.210706547,,,,0.01,0.009717875,0.01423,0.018742125,,,,0.01,1.55335E-05,2.94557E-05,4.33779E-05,,,,0.01,3.90572E-09,1.31086E-08,2.23115E-08,,,,0.01,0,2.67109E-11,5.358E-11,,,,0.01,0,4.49492E-14,1.26103E-13,,,
0.02,0.20108147,0.248770604,0.296459738,,,,0.02,0.02381903,0.032049239,0.040279448,,,,0.02,9.26465E-05,0.000152759,0.000212872,,,,0.02,6.92674E-08,1.70898E-07,2.72528E-07,,,,0.02,9.64143E-11,6.53441E-10,1.21047E-09,,,,0.02,0,1.9236E-12,4.78702E-12,,,
0.03,0.257811198,0.308061076,0.358310955,,,,0.03,0.039474644,0.050747881,0.062021118,,,,0.03,0.000256526,0.000394027,0.000531529,,,,0.03,3.51783E-07,7.56641E-07,1.1615E-06,,,,0.03,9.66177E-10,4.18583E-09,7.40548E-09,,,,0.03,0,1.71543E-11,3.98774E-11,,,
0.04,0.305434898,0.356461352,0.407487807,,,,0.04,0.05588032,0.069673809,0.083467298,,,,0.04,0.00052132,0.000764627,0.001007934,,,,0.04,1.09009E-06,2.15506E-06,3.22003E-06,,,,0.04,4.45313E-09,1.55018E-08,2.65504E-08,,,,0.04,0,8.04702E-11,1.78406E-10,,,
0.05,0.346752388,0.397620824,0.448489259,,,,0.05,0.072638365,0.088535139,0.104431913,,,,0.05,0.000895804,0.001270413,0.001645022,,,,0.05,2.58864E-06,4.82273E-06,7.05682E-06,,,,0.05,1.40214E-08,4.2537E-08,7.10526E-08,,,,0.05,0,2.65496E-10,5.67698E-10,,,
0.06,0.383325961,0.433499228,0.483672496,,,,0.06,0.08951757,0.107177653,0.124837735,,,,0.06,0.001385473,0.001914113,0.002442753,,,,0.06,5.20464E-06,9.26891E-06,1.33332E-05,,,,0.06,3.50952E-08,9.65856E-08,1.58076E-07,,,,0.06,0,7.01222E-10,1.45625E-09,,,
0.07,0.416146902,0.465302792,0.514458683,,,,0.07,0.10637191,0.125513615,0.14465532,,,,0.07,0.00199362,0.002696473,0.003399327,,,,0.07,9.33763E-06,1.60417E-05,2.27458E-05,,,,0.07,7.5314E-08,1.92481E-07,3.09648E-07,,,,0.07,0,1.58862E-09,3.21948E-09,,,
0.08,0.445897004,0.493840308,0.541783613,,,,0.08,0.123104631,0.143491738,0.163878844,,,,0.08,0.002721981,0.003616914,0.004511846,,,,0.08,1.54211E-05,2.57177E-05,3.60142E-05,,,,0.08,1.44722E-07,3.48697E-07,5.52673E-07,,,,0.08,4.98089E-11,3.21697E-09,6.38413E-09,,,
0.09,0.473072005,0.519687094,0.566302183,,,,0.09,0.139649813,0.161082369,0.182514925,,,,0.09,0.003571154,0.004673934,0.005776715,,,,0.09,2.39157E-05,3.88935E-05,5.38713E-05,,,,0.09,2.55904E-07,5.87386E-07,9.18868E-07,,,,0.09,3.08607E-10,5.97977E-09,1.16509E-08,,,
0.1,0.498047345,0.543270519,0.588493693,,,,0.1,0.1559619,0.178269403,0.200576906,,,,0.1,0.004540886,0.005865385,0.007189885,,,,0.1,3.53029E-05,5.61796E-05,7.70562E-05,,,,0.1,4.24082E-07,9.34374E-07,1.44467E-06,,,,0.1,8.64069E-10,1.03899E-08,1.99157E-08,,,
0.11,0.521116351,0.564918764,0.608721177,,,,0.11,0.17200934,0.195045535,0.218081731,,,,0.11,0.00563028,0.007188652,0.008747023,,,,0.11,5.00811E-05,7.81946E-05,0.000106308,,,,0.11,6.67177E-07,1.41912E-06,2.17107E-06,,,,0.11,1.89938E-09,1.7094E-08,3.22885E-08,,,
0.12,0.542513894,0.584890541,0.627267188,,,,0.12,0.18777049,0.211409322,0.235048153,,,,0.12,0.006837946,0.008640789,0.010443631,,,,0.12,6.87602E-05,0.000105562,0.000142363,,,,0.12,1.00584E-06,2.07467E-06,3.1435E-06,,,,0.12,3.66057E-09,2.68862E-08,5.01118E-08,,,
