D1,,,,parameters of the mean fragility,,,D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,,D4,,,,parameters of the mean fragility,,,D5,,,,parameters of the mean fragility,,,D6,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,2.31108E-08,3.09269E-07,0.065396331,1.585604372,0.257911947,0.000001,0,0,0,0.369381859,0.974164746,0.058856829,0.000001,0,0,0,1.26039223,0.717122613,0.02883984,0.000001,0,0,0,2.971379664,0.73111717,0.032144154,0.000001,0,0,0,10.73410259,1.128032847,0.103011368,0.000001,0,0,0,37.62039797,0.874686951,0.225881167
0.01,0.067257358,0.124882485,0.182507613,,,,0.01,0,8.04825E-05,0.000182567,,,,0.01,0,1.91387E-13,8.67931E-13,,,,0.01,0,0,0,,,,0.01,0,0,0,,,,0.01,0,0,0,,,
0.02,0.159996531,0.231609195,0.303221858,,,,0.02,0.000221742,0.001113135,0.002004529,,,,0.02,0,2.56869E-10,8.29483E-10,,,,0.02,0,1.04208E-17,8.26709E-17,,,,0.02,0,0,0,,,,0.02,0,0,0,,,
0.03,0.239584485,0.313965326,0.388346166,,,,0.03,0.001653306,0.004210214,0.006767122,,,,0.03,0,1.08547E-08,2.89415E-08,,,,0.03,0,5.45449E-15,2.54488E-14,,,,0.03,0,1.05301E-18,1.97498E-17,,,,0.03,0,0,0,,,
0.04,0.306632525,0.379733809,0.452835092,,,,0.04,0.00497476,0.009834946,0.014695132,,,,0.04,0,1.24704E-07,2.92682E-07,,,,0.04,0,2.7317E-13,1.06484E-12,,,,0.04,0,1.73809E-16,1.34673E-15,,,,0.04,0,5.85561E-20,2.6076E-18,,,
0.05,0.363554069,0.43375826,0.503962452,,,,0.05,0.010465413,0.017971814,0.025478214,,,,0.05,0,7.31073E-07,1.56363E-06,,,,0.05,0,4.76367E-12,1.61899E-11,,,,0.05,0,4.56309E-15,2.76764E-14,,,,0.05,0,9.07619E-18,8.75944E-17,,,
0.06,0.412418029,0.479106971,0.545795912,,,,0.06,0.018113453,0.028373314,0.038633174,,,,0.06,2.61792E-08,2.85661E-06,5.68703E-06,,,,0.06,0,4.3866E-11,1.33803E-10,,,,0.06,0,5.6967E-14,2.91806E-13,,,,0.06,0,1.61498E-16,1.19908E-15,,,
0.07,0.454815139,0.517824074,0.580833008,,,,0.07,0.027747864,0.040705774,0.053663685,,,,0.07,1.02937E-06,8.53162E-06,1.60339E-05,,,,0.07,0,2.64143E-10,7.38159E-10,,,,0.07,0,4.42983E-13,1.98081E-12,,,,0.07,0,1.48709E-15,9.83317E-15,,,
0.08,0.49195366,0.551332927,0.610712193,,,,0.08,0.039125216,0.054623326,0.070121436,,,,0.08,4.38933E-06,2.10783E-05,3.77673E-05,,,,0.08,0,1.17703E-09,3.05932E-09,,,,0.08,0,2.46023E-12,9.84111E-12,,,,0.08,0,9.37547E-15,5.6913E-14,,,
0.09,0.524759269,0.580661069,0.636562868,,,,0.09,0.051980251,0.069802149,0.087624048,,,,0.09,1.26397E-05,4.52647E-05,7.78896E-05,,,,0.09,0,4.19466E-09,1.02563E-08,,,,0.09,0,1.06343E-11,3.8767E-11,,,,0.09,0,4.52012E-14,2.54711E-13,,,
0.1,0.553950925,0.606572511,0.659194097,,,,0.1,0.06605331,0.08595418,0.105855051,,,,0.1,2.95312E-05,8.73151E-05,0.000145099,,,,0.1,0,1.25903E-08,2.9214E-08,,,,0.1,0,3.78908E-11,1.27703E-10,,,,0.1,0,1.77392E-13,9.35792E-13,,,
