D1,,,,parameters of the mean fragility,,,D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,,D4,,,,parameters of the mean fragility,,,D5,,,,parameters of the mean fragility,,,D6,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0.000908122,0.001634881,0.002361641,0.066419261,1.988974096,0.145182936,0.000001,9.23523E-08,2.48562E-07,4.04771E-07,0.360164124,1.305417812,0.046551262,0.000001,4.10324E-15,2.83558E-14,5.26084E-14,1.324465362,0.842750983,0.020990589,0.000001,0,0,0,2.876891023,0.723499531,0.01700151,0.000001,0,0,0,7.090787419,1.154764016,0.030693075,0.000001,0,0,0,22.85269386,0.93628358,0.087370071
0.01,0.190831923,0.217366595,0.243901267,,,,0.01,0.013576651,0.016600081,0.019623511,,,,0.01,4.2443E-05,5.71394E-05,7.18359E-05,,,,0.01,5.73363E-08,8.76114E-08,1.17886E-07,,,,0.01,7.01457E-10,1.34229E-09,1.98312E-09,,,,0.01,1.21842E-12,5.39997E-12,9.58152E-12,,,
0.02,0.272072601,0.301320589,0.330568576,,,,0.02,0.030712306,0.036091108,0.041469909,,,,0.02,0.000211894,0.000270464,0.000329033,,,,0.02,6.34287E-07,9.0071E-07,1.16713E-06,,,,0.02,1.22113E-08,2.07474E-08,2.92836E-08,,,,0.02,4.38791E-11,1.34266E-10,2.24653E-10,,,
0.03,0.331295476,0.361142799,0.390990122,,,,0.03,0.048690539,0.055955331,0.063220123,,,,0.03,0.000532956,0.000660503,0.000788051,,,,0.03,2.53663E-06,3.46207E-06,4.38751E-06,,,,0.03,6.33394E-08,1.01193E-07,1.39047E-07,,,,0.03,3.3195E-10,8.65643E-10,1.39934E-09,,,
0.04,0.378732446,0.408387298,0.438042151,,,,0.04,0.066878066,0.075685402,0.084492737,,,,0.04,0.001014719,0.001232482,0.001450245,,,,0.04,6.70623E-06,8.91091E-06,1.11156E-05,,,,0.04,2.00987E-07,3.08321E-07,4.15655E-07,,,,0.04,1.35919E-09,3.21618E-09,5.07316E-09,,,
0.05,0.418517408,0.447612389,0.47670737,,,,0.05,0.084997195,0.09508189,0.105166584,,,,0.05,0.001660269,0.00198622,0.002312171,,,,0.05,1.41479E-05,1.84261E-05,2.27044E-05,,,,0.05,4.87992E-07,7.26524E-07,9.65056E-07,,,,0.05,3.99941E-09,8.84082E-09,1.36822E-08,,,
0.06,0.452828048,0.481179242,0.509530436,,,,0.06,0.102903816,0.114054181,0.125204547,,,,0.06,0.002469545,0.002918907,0.003368269,,,,0.06,2.58927E-05,3.31906E-05,4.04885E-05,,,,0.06,1.0011E-06,1.45583E-06,1.91056E-06,,,,0.06,9.57134E-09,2.0094E-08,3.06167E-08,,,
0.07,0.482982801,0.510498439,0.538014077,,,,0.07,0.120517368,0.132560542,0.144603716,,,,0.07,0.003440649,0.004026312,0.004611975,,,,0.07,4.29757E-05,5.43709E-05,6.57661E-05,,,,0.07,1.82912E-06,2.60933E-06,3.38953E-06,,,,0.07,1.98854E-08,4.00658E-08,6.02462E-08,,,
0.08,0.50985284,0.536491719,0.563130599,,,,0.08,0.137791648,0.150584125,0.163376602,,,,0.08,0.004570545,0.005303405,0.006036265,,,,0.08,6.64225E-05,8.31058E-05,9.9789E-05,,,,0.08,3.07134E-06,4.31104E-06,5.55074E-06,,,,0.08,3.72768E-08,7.26011E-08,1.07925E-07,,,
