D1,,,,parameters of the mean fragility,,,D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,,D4,,,,parameters of the mean fragility,,,D5,,,,parameters of the mean fragility,,,D6,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,9.22925E-11,4.05669E-10,7.19045E-10,0.189866271,0.928371481,0.032717772,0.000001,0,0,0,0.362268967,0.842073,0.019689012,0.000001,0,0,0,1.121288174,0.678484668,0.0086003,0.000001,0,0,0,2.23439203,0.658233554,0.011722006,0.000001,0,0,0,3.956152464,1.142545509,0.017284486,0.000001,0,0,0,11.63539155,0.96806222,0.031042577
0.01,0.004029926,0.005084183,0.00613844,,,,0.01,2.19984E-05,3.09198E-05,3.98412E-05,,,,0.01,3.75105E-10,6.28945E-10,8.82784E-10,,,,0.01,3.36932E-15,7.68113E-15,1.19929E-14,,,,0.01,2.13573E-17,9.69406E-17,1.72524E-16,,,,0.01,0,0,0,,,
0.02,0.014443039,0.017355389,0.02026774,,,,0.02,0.000241218,0.000315395,0.000389572,,,,0.02,2.16906E-08,3.24349E-08,4.31792E-08,,,,0.02,9.43627E-13,1.76686E-12,2.59009E-12,,,,0.02,1.75448E-14,3.85878E-14,5.96308E-14,,,,0.02,0,0,0,,,
0.03,0.030153341,0.035218483,0.040283624,,,,0.03,0.000958974,0.001203454,0.001447933,,,,0.03,2.27066E-07,3.19542E-07,4.12019E-07,,,,0.03,2.45379E-11,4.17743E-11,5.90108E-11,,,,0.03,6.46611E-13,1.25794E-12,1.86926E-12,,,,0.03,1.18866E-16,3.24743E-16,5.3062E-16,,,
0.04,0.050330124,0.057596547,0.06486297,,,,0.04,0.002506992,0.003056236,0.00360548,,,,0.04,1.17781E-06,1.59088E-06,2.00395E-06,,,,0.04,2.41792E-10,3.87178E-10,5.32564E-10,,,,0.04,8.11608E-12,1.46174E-11,2.11187E-11,,,,0.04,2.40376E-15,5.74237E-15,9.08099E-15,,,
0.05,0.074189828,0.083548761,0.092907694,,,,0.05,0.005195864,0.00619316,0.007190456,,,,0.05,4.14908E-06,5.43417E-06,6.71926E-06,,,,0.05,1.39852E-09,2.142E-09,2.88548E-09,,,,0.05,5.64776E-11,9.62548E-11,1.36032E-10,,,,0.05,2.39343E-14,5.24799E-14,8.10256E-14,,,
0.06,0.100980601,0.112222684,0.123464766,,,,0.06,0.009282536,0.010862344,0.012442153,,,,0.06,1.14256E-05,1.46017E-05,1.77778E-05,,,,0.06,5.76863E-09,8.53541E-09,1.13022E-08,,,,0.06,2.70463E-10,4.41788E-10,6.13114E-10,,,,0.06,1.53039E-13,3.14912E-13,4.76785E-13,,,
0.07,0.129993592,0.142850988,0.155708385,,,,0.07,0.014952258,0.017227367,0.019502476,,,,0.07,2.65188E-05,3.32112E-05,3.99036E-05,,,,0.07,1.88279E-08,2.70901E-08,3.53522E-08,,,,0.07,1.00021E-09,1.57893E-09,2.15765E-09,,,,0.07,7.21181E-13,1.41181E-12,2.10244E-12,,,
0.08,0.160577588,0.174756042,0.188934497,,,,0.08,0.022312309,0.025366208,0.028420108,,,,0.08,5.4276E-05,6.68191E-05,7.93623E-05,,,,0.08,5.17471E-08,7.27401E-08,9.37332E-08,,,,0.08,3.0602E-09,4.69579E-09,6.33139E-09,,,,0.08,2.71839E-12,5.10985E-12,7.50132E-12,,,
