D1,,,,parameters of the mean fragility,,,D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,,D4,,,,parameters of the mean fragility,,,D5,,,,parameters of the mean fragility,,,D6,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0.001521946,0.001637268,0.00175259,0.067092158,2.008736622,0.023959034,0.000001,1.24665E-07,1.38782E-07,1.52899E-07,0.356859315,1.255912665,0.007612197,0.000001,1.02011E-14,1.19152E-14,1.36294E-14,1.097505329,0.801066226,0.003742459,0.000001,0,0,0,2.041002172,0.551733951,0.002576667,0.000001,0,0,0,2.201877017,0.559628028,0.002607218,0.000001,0,0,0,3.529586049,0.562828744,0.002490893
0.01,0.213821401,0.218233314,0.222645227,,,,0.01,0.014170266,0.014630075,0.015089884,,,,0.01,5.30416E-05,5.57067E-05,5.83717E-05,,,,0.01,1.11356E-08,1.19394E-08,1.27431E-08,,,,0.01,2.00696E-09,2.18724E-09,2.36753E-09,,,,0.01,7.33729E-13,8.18364E-13,9.02998E-13,,,
0.02,0.296788471,0.301656711,0.306524952,,,,0.02,0.031916226,0.032761569,0.033606912,,,,0.02,0.000267257,0.000278517,0.000289778,,,,0.02,1.68475E-07,1.78851E-07,1.89228E-07,,,,0.02,4.01469E-08,4.32013E-08,4.62556E-08,,,,0.02,3.71338E-11,4.07913E-11,4.44489E-11,,,
0.03,0.355941898,0.360915283,0.365888667,,,,0.03,0.050495232,0.051658261,0.052821291,,,,0.03,0.000676392,0.000701727,0.000727062,,,,0.03,8.11058E-07,8.56085E-07,9.01112E-07,,,,0.03,2.2633E-07,2.41768E-07,2.57207E-07,,,,0.03,3.60233E-10,3.9226E-10,4.24287E-10,,,
0.04,0.4026817,0.407628782,0.412575864,,,,0.04,0.069271154,0.070698982,0.072126811,,,,0.04,0.00129383,0.001338051,0.001382272,,,,0.04,2.44791E-06,2.5734E-06,2.69889E-06,,,,0.04,7.61826E-07,8.0961E-07,8.57394E-07,,,,0.04,1.7819E-09,1.92843E-09,2.07495E-09,,,
0.05,0.441507296,0.446367,0.451226704,,,,0.05,0.087965553,0.089615816,0.091266079,,,,0.05,0.002124781,0.002192061,0.002259341,,,,0.05,5.72538E-06,6.00022E-06,6.27506E-06,,,,0.05,1.93545E-06,2.04872E-06,2.16199E-06,,,,0.05,6.10149E-09,6.57211E-09,7.04273E-09,,,
0.06,0.474749518,0.479491139,0.484232761,,,,0.06,0.106434115,0.108272115,0.110110115,,,,0.06,0.003170058,0.003263995,0.003357932,,,,0.06,1.1402E-05,1.19193E-05,1.24365E-05,,,,0.06,4.11831E-06,4.34538E-06,4.57245E-06,,,,0.06,1.65668E-08,1.77765E-08,1.89862E-08,,,
0.07,0.503800726,0.508408796,0.513016867,,,,0.07,0.124596265,0.126593107,0.128589949,,,,0.07,0.004427829,0.004551508,0.004675187,,,,0.07,2.03282E-05,2.12055E-05,2.20828E-05,,,,0.07,7.75733E-06,8.16306E-06,8.56879E-06,,,,0.07,3.83442E-08,4.10123E-08,4.36804E-08,,,
0.08,0.52957063,0.534038038,0.538505445,,,,0.08,0.14240587,0.144537184,0.146668499,,,,0.08,0.00589458,0.006050631,0.006206683,,,,0.08,3.34294E-05,3.48087E-05,3.61879E-05,,,,0.08,1.33683E-05,1.40351E-05,1.47018E-05,,,,0.08,7.8982E-08,8.4245E-08,8.95081E-08,,,
0.09,0.552691617,0.557016096,0.561340575,,,,0.09,0.159836966,0.162081995,0.164327025,,,,0.09,0.007565691,0.007756343,0.007946995,,,,0.09,5.16922E-05,5.3739E-05,5.57859E-05,,,,0.09,2.15293E-05,2.25574E-05,2.35854E-05,,,,0.09,1.48858E-07,1.58394E-07,1.6793E-07,,,
0.1,0.573623811,0.577806005,0.581988199,,,,0.1,0.176876056,0.179216981,0.181557905,,,,0.1,0.009435812,0.009662936,0.009890059,,,,0.1,7.61517E-05,7.90547E-05,8.19577E-05,,,,0.1,3.28735E-05,3.43814E-05,3.58894E-05,,,,0.1,2.61606E-07,2.77767E-07,2.93929E-07,,,
0.11,0.59271394,0.596756264,0.600798589,,,,0.11,0.193517639,0.195939063,0.198360486,,,,0.11,0.011499114,0.011764263,0.012029412,,,,0.11,0.000107882,0.000111851,0.000115821,,,,0.11,4.80833E-05,5.02079E-05,5.23325E-05,,,,0.11,4.34511E-07,4.60464E-07,4.86417E-07,,,
0.12,0.610230639,0.614136592,0.618042544,,,,0.12,0.209761467,0.212250019,0.21473857,,,,0.12,0.013749465,0.01405391,0.014358356,,,,0.12,0.000147985,0.000153253,0.00015852,,,,0.12,6.78842E-05,7.078E-05,7.36759E-05,,,,0.12,6.88883E-07,7.2875E-07,7.68618E-07,,,
0.13,0.6263868,0.630160523,0.633934245,,,,0.13,0.225610799,0.228154817,0.230698835,,,,0.13,0.016180549,0.016525312,0.016870074,,,,0.13,0.000197588,0.000204403,0.000211218,,,,0.13,9.3039E-05,9.68783E-05,0.000100718,,,,0.13,1.05039E-06,1.1094E-06,1.16841E-06,,,
0.14,0.641354327,0.645000325,0.648646322,,,,0.14,0.241071244,0.243660524,0.246249803,,,,0.14,0.018785966,0.019171841,0.019557716,,,,0.14,0.000257828,0.000266461,0.000275093,,,,0.14,0.000124343,0.000129315,0.000134286,,,,0.14,1.54938E-06,1.634E-06,1.71863E-06,,,
0.15,0.65527424,0.658797196,0.662320151,,,,0.15,0.256149989,0.258775572,0.261401156,,,,0.15,0.021559287,0.021986871,0.022414455,,,,0.15,0.000329855,0.00034059,0.000351324,,,,0.15,0.000162617,0.000168927,0.000175237,,,,0.15,2.22113E-06,2.33924E-06,2.45735E-06,,,
0.16,0.668263795,0.671668449,0.675073103,,,,0.16,0.27085525,0.273509259,0.276163267,,,,0.16,0.024494113,0.024963823,0.025433533,,,,0.16,0.000414821,0.000427958,0.000441096,,,,0.16,0.000208708,0.000216577,0.000224446,,,,0.16,3.10611E-06,3.26712E-06,3.42813E-06,,,
0.17,0.680421637,0.683712704,0.68700377,,,,0.17,0.285195904,0.287871395,0.290546886,,,,0.17,0.027584106,0.0280962,0.028608294,,,,0.17,0.000513875,0.000529731,0.000545587,,,,0.17,0.000263478,0.000273141,0.000282805,,,,0.17,4.25023E-06,4.46522E-06,4.68021E-06,,,
0.18,0.691831603,0.695013717,0.698195831,,,,0.18,0.299181215,0.301872062,0.30456291,,,,0.18,0.030823016,0.03137761,0.031932203,,,,0.18,0.000628162,0.000647065,0.000665967,,,,0.18,0.000327804,0.000339513,0.000351221,,,,0.18,5.70494E-06,5.98682E-06,6.2687E-06,,,
0.19,0.702565588,0.705643271,0.708720954,,,,0.19,0.312820648,0.315521441,0.318222234,,,,0.19,0.034204706,0.034801787,0.035398869,,,,0.19,0.00075882,0.000781108,0.000803396,,,,0.19,0.000402576,0.000416592,0.000430607,,,,0.19,7.52748E-06,7.8911E-06,8.25472E-06,,,
0.2,0.712685742,0.715663379,0.718641017,,,,0.2,0.326123725,0.328829684,0.331535642,,,,0.2,0.03772316,0.038362605,0.039002049,,,,0.2,0.000906971,0.000932994,0.000959017,,,,0.2,0.000488689,0.000505287,0.000521885,,,,0.2,9.78095E-06,1.02432E-05,1.07055E-05,,,
0.21,0.722246176,0.725128003,0.728009831,,,,0.21,0.339099934,0.341806832,0.344513731,,,,0.21,0.0413725,0.042054081,0.042735662,,,,0.21,0.001073725,0.001103842,0.001133959,,,,0.21,0.000587044,0.000606511,0.000625977,,,,0.21,1.25344E-05,1.31145E-05,1.36946E-05,,,
0.22,0.731294304,0.7340844,0.736874495,,,,0.22,0.35175865,0.354462756,0.357166862,,,,0.22,0.04514699,0.045870391,0.046593793,,,,0.22,0.001260173,0.00129475,0.001329327,,,,0.22,0.000698543,0.000721174,0.000743806,,,,0.22,1.58631E-05,1.65823E-05,1.73016E-05,,,
0.23,0.739871916,0.742574198,0.745276479,,,,0.23,0.364109089,0.366807107,0.369505126,,,,0.23,0.04904104,0.049805865,0.050570691,,,,0.23,0.001467387,0.001506796,0.001546206,,,,0.23,0.000824087,0.000850189,0.000876291,,,,0.23,1.98481E-05,2.07304E-05,2.16127E-05,,,
0.24,0.748016037,0.750634263,0.75325249,,,,0.24,0.376160274,0.378849297,0.381538321,,,,0.24,0.053049212,0.053854995,0.054660778,,,,0.24,0.001696416,0.001741037,0.001785658,,,,0.24,0.000964573,0.000994459,0.001024346,,,,0.24,2.4577E-05,2.56487E-05,2.67204E-05,,,
0.25,0.755759631,0.758297404,0.760835176,,,,0.25,0.387921004,0.390598474,0.393275944,,,,0.25,0.057166221,0.058012431,0.058858641,,,,0.25,0.001948289,0.001998503,0.002048718,,,,0.25,0.001120892,0.001154886,0.001188879,,,,0.25,3.01433E-05,3.14333E-05,3.27233E-05,,,
0.26,0.763132177,0.765592943,0.768053708,,,,0.26,0.399399848,0.402063513,0.404727179,,,,0.26,0.061386933,0.062272986,0.063159038,,,,0.26,0.002224005,0.0022802,0.002336395,,,,0.26,0.00129393,0.001332359,0.001370787,,,,0.26,3.66467E-05,3.81866E-05,3.97265E-05,,,
0.27,0.770160143,0.772547199,0.774934255,,,,0.27,0.410605123,0.413253014,0.415900904,,,,0.27,0.065706368,0.066631629,0.06755689,,,,0.27,0.002524543,0.002587106,0.002649669,,,,0.27,0.00148456,0.001527758,0.001570956,,,,0.27,4.41931E-05,4.60173E-05,4.78415E-05,,,
0.28,0.776867383,0.779183882,0.781500382,,,,0.28,0.421544903,0.424175295,0.426805687,,,,0.28,0.070119695,0.071083488,0.072047281,,,,0.28,0.002850851,0.002920172,0.002989493,,,,0.28,0.001693646,0.001741953,0.001790259,,,,0.28,5.28943E-05,5.504E-05,5.71857E-05,,,
0.29,0.783275472,0.785524429,0.787773385,,,,0.29,0.432227004,0.434838398,0.437449792,,,,0.29,0.074622233,0.075623845,0.076625457,,,,0.29,0.003203849,0.003280319,0.003356789,,,,0.29,0.001922038,0.001975797,0.002029555,,,,0.29,6.28683E-05,6.53755E-05,6.78828E-05,,,
0.3,0.789403985,0.791588279,0.793772572,,,,0.3,0.442658996,0.445250093,0.447841191,,,,0.3,0.079209447,0.080248133,0.081286819,,,,0.3,0.003584431,0.003668439,0.003752448,,,,0.3,0.002170573,0.00223013,0.002289686,,,,0.3,7.42389E-05,7.71507E-05,8.00626E-05,,,
0.31,0.795270737,0.797393119,0.799515502,,,,0.31,0.452848199,0.455417882,0.457987565,,,,0.31,0.083876946,0.084951933,0.086026921,,,,0.31,0.003993459,0.004085395,0.004177332,,,,0.31,0.002440072,0.002505775,0.002571479,,,,0.31,8.71358E-05,9.04983E-05,9.38607E-05,,,
0.32,0.800891984,0.802955086,0.805018188,,,,0.32,0.46280169,0.465349003,0.467896317,,,,0.32,0.088620479,0.089730973,0.090841467,,,,0.32,0.004431767,0.004532018,0.004632269,,,,0.32,0.002731338,0.002803539,0.002875741,,,,0.32,0.000101695,0.000105557,0.000109419,,,
0.33,0.806282605,0.808288938,0.810295271,,,,0.33,0.47252631,0.475050445,0.477574581,,,,0.33,0.093435934,0.094581119,0.095726305,,,,0.33,0.004900157,0.005009107,0.005118057,,,,0.33,0.00304516,0.00312421,0.00320326,,,,0.33,0.000118056,0.00012247,0.000126883,,,
0.34,0.811456244,0.813408209,0.815360174,,,,0.34,0.482028666,0.484528948,0.487029229,,,,0.34,0.098319332,0.099498379,0.100677426,,,,0.34,0.005399401,0.005517432,0.005635463,,,,0.34,0.003382304,0.003468556,0.003554807,,,,0.34,0.000136367,0.000141387,0.000146408,,,
0.35,0.816425447,0.818325339,0.82022523,,,,0.35,0.491315144,0.493791014,0.496266885,,,,0.35,0.103266828,0.104478893,0.105690958,,,,0.35,0.005930242,0.00605773,0.006185218,,,,0.35,0.003743521,0.003837325,0.003931129,,,,0.35,0.000156779,0.000162464,0.000168149,,,
0.36,0.821201775,0.823051785,0.824901795,,,,0.36,0.500391909,0.502842918,0.505293927,,,,0.36,0.108274702,0.109518932,0.110763162,,,,0.36,0.006493389,0.006630707,0.006768026,,,,0.36,0.004129538,0.004231246,0.004332953,,,,0.36,0.00017945,0.000185861,0.000192272,,,
0.37,0.825795902,0.827598125,0.829400348,,,,0.37,0.509264917,0.511690712,0.514116507,,,,0.37,0.113339359,0.114614894,0.115890429,,,,0.37,0.007089521,0.007237038,0.007384554,,,,0.37,0.004541065,0.004651025,0.004760984,,,,0.37,0.000204541,0.000211742,0.000218944,,,
0.38,0.830217702,0.83197414,0.833730578,,,,0.38,0.517939919,0.520340235,0.522740551,,,,0.38,0.118457325,0.119763301,0.121069276,,,,0.38,0.007719288,0.007877365,0.008035441,,,,0.38,0.004978789,0.005097347,0.005215905,,,,0.38,0.00023222,0.000240279,0.000248338,,,
0.39,0.834476327,0.836188893,0.83790146,,,,0.39,0.526422472,0.528797122,0.531171772,,,,0.39,0.123625245,0.124960793,0.12629634,,,,0.39,0.008383307,0.008552299,0.008721291,,,,0.39,0.005443374,0.005570875,0.005698375,,,,0.39,0.000262658,0.000271645,0.000280633,,,
0.4,0.838580273,0.840250798,0.841921322,,,,0.4,0.534717941,0.53706681,0.539415678,,,,0.4,0.128839875,0.130204127,0.131568379,,,,0.4,0.009082164,0.009262421,0.009442678,,,,0.4,0.005935465,0.006072248,0.006209032,,,,0.4,0.000296031,0.00030602,0.000316009,,,
