D1,,,,parameters of the mean fragility,,,D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,,D4,,,,parameters of the mean fragility,,,D5,,,,parameters of the mean fragility,,,D6,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,0,0,0.146764865,1.280327004,0.022798029,0.000001,0,0,0,0.380326024,1.015756806,0.010574159,0.000001,0,0,0,1.057848135,0.78851285,0.006676543,0.000001,0,0,0,1.909434233,0.66990732,0.005607275,0.000001,0,0,0,2.114435991,0.697859544,0.005815232,0.000001,0,0,0,3.148759924,0.686065814,0.005836327
0.01,0.016008397,0.018056382,0.020104367,,,,0.01,5.52342E-05,6.79474E-05,8.06606E-05,,,,0.01,9.61501E-12,1.509E-11,2.0565E-11,,,,0.01,0,0,0,,,,0.01,0,0,0,,,,0.01,0,0,0,,,
0.02,0.055348855,0.059938301,0.064527748,,,,0.02,0.000952046,0.001092301,0.001232557,,,,0.02,8.12044E-09,1.09867E-08,1.38529E-08,,,,0.02,3.46925E-16,6.76102E-16,1.00528E-15,,,,0.02,7.64326E-20,5.79763E-17,1.15876E-16,,,,0.02,0,0,0,,,
0.03,0.101340495,0.107671657,0.11400282,,,,0.03,0.003865944,0.004295044,0.004724144,,,,0.03,2.41641E-07,3.06073E-07,3.70504E-07,,,,0.03,1.64779E-13,2.62401E-13,3.60023E-13,,,,0.03,2.12622E-14,3.54755E-14,4.96887E-14,,,,0.03,0,0,0,,,
0.04,0.14774305,0.155166312,0.162589573,,,,0.04,0.009318741,0.010153301,0.010987862,,,,0.04,2.112E-06,2.57117E-06,3.03035E-06,,,,0.04,8.35621E-12,1.22652E-11,1.61742E-11,,,,0.04,1.39069E-12,2.115E-12,2.8393E-12,,,,0.04,0,1.60979E-17,5.5357E-17,,,
0.05,0.192285423,0.200351567,0.20841771,,,,0.05,0.017300819,0.018600182,0.019899545,,,,0.05,9.92292E-06,1.17559E-05,1.35888E-05,,,,0.05,1.40411E-10,1.95271E-10,2.50131E-10,,,,0.05,2.80264E-11,4.01236E-11,5.22208E-11,,,,0.05,1.15894E-15,1.98931E-15,2.81969E-15,,,
0.06,0.234168457,0.242573855,0.250979253,,,,0.06,0.027548003,0.029327129,0.031106255,,,,0.06,3.2241E-05,3.74339E-05,4.26267E-05,,,,0.06,1.22065E-09,1.63251E-09,2.04437E-09,,,,0.06,2.79958E-10,3.83787E-10,4.87617E-10,,,,0.06,2.59545E-14,4.15873E-14,5.72201E-14,,,
0.07,0.273192244,0.281731795,0.290271346,,,,0.07,0.039706785,0.041951386,0.044195988,,,,0.07,8.22884E-05,9.40537E-05,0.000105819,,,,0.07,6.88191E-09,8.93213E-09,1.09824E-08,,,,0.07,1.76363E-09,2.33913E-09,2.91463E-09,,,,0.07,3.13664E-13,4.77731E-13,6.41799E-13,,,
0.08,0.309411172,0.317946115,0.326481059,,,,0.08,0.053415715,0.056094122,0.05877253,,,,0.08,0.000177421,0.000200238,0.000223055,,,,0.08,2.86351E-08,3.62874E-08,4.39398E-08,,,,0.08,8.0413E-09,1.0389E-08,1.27367E-08,,,,0.08,2.45889E-12,3.59989E-12,4.7409E-12,,,
0.09,0.342985295,0.351421968,0.359858641,,,,0.09,0.068341255,0.071412653,0.07448405,,,,0.09,0.000338055,0.000377558,0.000417062,,,,0.09,9.52946E-08,1.18411E-07,1.41528E-07,,,,0.09,2.89078E-08,3.65541E-08,4.42004E-08,,,,0.09,1.40175E-11,1.98774E-11,2.57373E-11,,,
