D1,,,,parameters of the mean fragility,,,D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,,D4,,,,parameters of the mean fragility,,,D5,,,,parameters of the mean fragility,,,D6,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,4.77382E-05,0.000306986,0.083732782,1.594686831,0.33463732,0.000001,0,2.44576E-11,1.76389E-10,0.321422238,1.192250354,0.10958287,0.000001,0,0,0,1.146230017,0.689452661,0.023467417,0.000001,0,0,0,2.103081273,0.736463337,0.053139854,0.000001,0,0,0,3.515844007,1.907245947,0.099958756,0.000001,0,0,0,13.50000605,1.475711835,0.27699793
0.01,0.03979132,0.107480641,0.175169962,,,,0.01,0.000108752,0.002343029,0.004577305,,,,0.01,0,3.29311E-08,9.50632E-08,,,,0.01,0,4.72123E-12,2.19855E-11,,,,0.01,0,1.96313E-12,1.00102E-11,,,,0.01,0,1.41405E-14,1.18754E-13,,,
0.02,0.101716321,0.190279365,0.278842409,,,,0.02,0.002590899,0.009290573,0.015990247,,,,0.02,0,6.64037E-07,1.59479E-06,,,,0.02,0,2.99883E-10,1.0821E-09,,,,0.02,0,1.30785E-10,5.07883E-10,,,,0.02,0,1.42818E-12,8.93757E-12,,,
0.03,0.162228333,0.259539865,0.356851396,,,,0.03,0.008140395,0.020086861,0.032033327,,,,0.03,0,3.75261E-06,8.12234E-06,,,,0.03,0,3.34115E-09,1.04202E-08,,,,0.03,0,1.50273E-09,4.97994E-09,,,,0.03,0,2.12098E-11,1.09473E-10,,,
0.04,0.218607939,0.318668516,0.418729092,,,,0.04,0.016628652,0.033904807,0.051180962,,,,0.04,0,1.2576E-05,2.53363E-05,,,,0.04,0,1.81851E-08,5.13177E-08,,,,0.04,0,8.36998E-09,2.48696E-08,,,,0.04,0,1.42649E-10,6.3955E-10,,,
0.05,0.270276701,0.369790983,0.469305265,,,,0.05,0.027693492,0.050015247,0.072337003,,,,0.05,2.90875E-06,3.16529E-05,6.0397E-05,,,,0.05,0,6.6795E-08,1.74877E-07,,,,0.05,0,3.1319E-08,8.57552E-08,,,,0.05,0,6.20131E-10,2.49315E-09,,,
0.06,0.317309352,0.414414541,0.511519729,,,,0.06,0.040910272,0.067808633,0.094706995,,,,0.06,1.15149E-05,6.64959E-05,0.000121477,,,,0.06,0,1.91312E-07,4.71991E-07,,,,0.06,0,9.11073E-08,2.33878E-07,,,,0.06,0,2.04385E-09,7.52805E-09,,,
0.07,0.360011781,0.453670884,0.547329986,,,,0.07,0.055860951,0.086787354,0.117713756,,,,0.07,2.93684E-05,0.000123363,0.000217358,,,,0.07,0,4.61609E-07,1.08455E-06,,,,0.07,0,2.22788E-07,5.4248E-07,,,,0.07,0,5.56287E-09,1.90608E-08,,,
0.08,0.398764147,0.488438031,0.578111916,,,,0.08,0.072162905,0.106550756,0.140938606,,,,0.08,6.09554E-05,0.000209037,0.000357118,,,,0.08,0,9.82666E-07,2.21536E-06,,,,0.08,0,4.79869E-07,1.11764E-06,,,,0.08,0,1.31608E-08,4.24287E-08,,,
0.09,0.433955487,0.519412166,0.604868845,,,,0.09,0.089479386,0.126779417,0.164079448,,,,0.09,0.000111377,0.000330631,0.000549886,,,,0.09,0,1.90148E-06,4.13661E-06,,,,0.09,0,9.38324E-07,2.10344E-06,,,,0.09,0,2.79765E-08,8.56004E-08,,,
0.1,0.465955711,0.547154149,0.628352586,,,,0.1,0.107521181,0.147220807,0.186920432,,,,0.1,0.000186218,0.000495442,0.000804665,,,,0.1,0,3.41333E-06,7.1968E-06,,,,0.1,0,1.70035E-06,3.68636E-06,,,,0.1,0,5.46611E-08,1.59815E-07,,,
0.11,0.495104382,0.572121498,0.649138614,,,,0.11,0.126044105,0.167676928,0.209309751,,,,0.11,0.000291428,0.000710815,0.001130201,,,,0.11,0,5.76733E-06,1.18261E-05,,,,0.11,0,2.89779E-06,6.09896E-06,,,,0.11,0,9.97644E-08,2.8024E-07,,,
0.12,0.521707407,0.594691293,0.66767518,,,,0.12,0.144844688,0.187993971,0.231143254,,,,0.12,0.000433217,0.000984052,0.001534886,,,,0.12,1.97791E-09,9.27122E-06,1.85405E-05,,,,0.12,0,4.6952E-06,9.62275E-06,,,,0.12,0,1.7214E-07,4.66622E-07,,,
0.13,0.546037485,0.615177058,0.684316632,,,,0.13,0.163755268,0.20805377,0.252352271,,,,0.13,0.000617966,0.00132233,0.002026695,,,,0.13,6.46437E-07,1.42954E-05,2.79443E-05,,,,0.13,0,7.29248E-06,1.45904E-05,,,,0.13,0,2.83368E-07,7.43939E-07,,,
0.14,0.568336279,0.633841491,0.699346703,,,,0.14,0.182639118,0.22776682,0.272894521,,,,0.14,0.000852152,0.001732645,0.002613137,,,,0.14,1.82008E-06,2.12761E-05,4.0732E-05,,,,0.14,4.67127E-07,1.09272E-05,2.13873E-05,,,,0.14,0,4.48177E-07,1.14302E-06,,,
0.15,0.588817273,0.650906224,0.712995176,,,,0.15,0.201385908,0.247066595,0.292747282,,,,0.15,0.001142285,0.002221758,0.003301232,,,,0.15,3.74747E-06,3.07181E-05,5.76886E-05,,,,0.15,1.30053E-06,1.58765E-05,3.04524E-05,,,,0.15,0,6.84879E-07,1.70116E-06,,,
0.16,0.607668788,0.666559417,0.725450046,,,,0.16,0.219907628,0.265904944,0.31190226,,,,0.16,0.00149485,0.002796171,0.004097493,,,,0.16,6.70375E-06,4.31965E-05,7.96892E-05,,,,0.16,2.63804E-06,2.24584E-05,4.22787E-05,,,,0.16,0,1.01579E-06,2.46266E-06,,,
0.17,0.625056905,0.680961726,0.736866547,,,,0.17,0.238135011,0.28424836,0.33036171,,,,0.17,0.001916267,0.003462093,0.005007919,,,,0.17,1.10185E-05,5.93581E-05,0.000107698,,,,0.17,4.65341E-06,3.10333E-05,5.74132E-05,,,,0.17,0,1.46764E-06,3.47937E-06,,,
0.18,0.641128161,0.694251055,0.747373949,,,,0.18,0.256014438,0.302074973,0.348135509,,,,0.18,0.002412852,0.004225424,0.006037995,,,,0.18,1.70787E-05,7.99219E-05,0.000142765,,,,0.18,7.55303E-06,4.20045E-05,7.64561E-05,,,,0.18,0,2.07198E-06,4.81118E-06,,,
0.19,0.656011981,0.706546362,0.757080742,,,,0.19,0.273505292,0.319372116,0.36523894,,,,0.19,0.002990784,0.005091741,0.007192697,,,,0.19,2.53321E-05,0.000105679,0.000186026,,,,0.19,1.15779E-05,5.58188E-05,0.00010006,,,,0.19,0,2.86559E-06,6.52644E-06,,,
0.2,0.669822834,0.717950731,0.766078629,,,,0.2,0.290577708,0.336134365,0.381691022,,,,0.2,0.003656077,0.006066289,0.008476501,,,,0.2,3.62888E-05,0.000137493,0.000238697,,,,0.2,1.7005E-05,7.29662E-05,0.000128927,,,,0.2,0,3.89081E-06,8.70238E-06,,,
0.21,0.682662125,0.728553884,0.774445644,,,,0.21,0.307210669,0.352361955,0.397513242,,,,0.21,0.004414561,0.007153976,0.009893391,,,,0.21,5.05238E-05,0.000176297,0.000302071,,,,0.21,2.41493E-05,9.39805E-05,0.000163812,,,,0.21,0,5.19588E-06,1.14254E-05,,,
0.22,0.694619848,0.738434226,0.782248604,,,,0.22,0.323390412,0.368059512,0.412728613,,,,0.22,0.005271858,0.008359366,0.011446873,,,,0.22,6.86777E-05,0.000223095,0.000377513,,,,0.22,3.33639E-05,0.000119438,0.000205512,,,,0.22,0,6.83531E-06,1.47914E-05,,,
0.23,0.705776027,0.747660538,0.789545048,,,,0.23,0.339109087,0.383235023,0.427360959,,,,0.23,0.006233365,0.009686678,0.013139991,,,,0.23,9.14579E-05,0.000278958,0.000466458,,,,0.23,4.50416E-05,0.000149958,0.000254874,,,,0.23,0,8.87011E-06,1.8906E-05,,,
0.24,0.716201955,0.756293377,0.7963848,,,,0.24,0.354363635,0.397899011,0.441434386,,,,0.24,0.007304244,0.011139789,0.014975335,,,,0.24,0.000119639,0.000345021,0.000570404,,,,0.24,5.96151E-05,0.000186199,0.000312782,,,,0.24,0,1.13681E-05,2.38846E-05,,,
0.25,0.725961282,0.764386248,0.802811214,,,,0.25,0.369154856,0.412063878,0.454972899,,,,0.25,0.008489402,0.012722231,0.016955061,,,,0.25,0.000154062,0.000422484,0.000690906,,,,0.25,7.75572E-05,0.000228861,0.000380164,,,,0.25,0,1.4404E-05,2.98528E-05,,,
0.26,0.735110947,0.771986575,0.808862203,,,,0.26,0.38348663,0.425743371,0.468000112,,,,0.26,0.009793483,0.014437193,0.019080904,,,,0.26,0.000195634,0.000512603,0.000829572,,,,0.26,9.93806E-05,0.000278681,0.000457982,,,,0.26,0,1.80598E-05,3.69461E-05,,,
0.27,0.743701991,0.779136525,0.814571059,,,,0.27,0.397365273,0.438952164,0.480539055,,,,0.27,0.011220858,0.016287525,0.021354193,,,,0.27,0.000245328,0.000616692,0.000988057,,,,0.27,0.000125638,0.000336434,0.000547231,,,,0.27,0,2.24249E-05,4.53102E-05,,,
0.28,0.75178026,0.785873703,0.819967147,,,,0.28,0.410799002,0.451705515,0.492612029,,,,0.28,0.012775616,0.018275741,0.023775866,,,,0.28,0.000304181,0.000736118,0.001168055,,,,0.28,0.000156921,0.000402929,0.000648937,,,,0.28,9.14404E-08,2.7596E-05,5.51006E-05,,,
0.29,0.759387017,0.792231743,0.825076468,,,,0.29,0.423797492,0.464019004,0.504240517,,,,0.29,0.014461552,0.020404018,0.026346485,,,,0.29,0.000373291,0.000872294,0.001371297,,,,0.29,0.00019386,0.000479006,0.000764152,,,,0.29,8.7208E-07,3.36776E-05,6.64831E-05,,,
0.3,0.766559476,0.798240802,0.829922128,,,,0.3,0.436371514,0.475908322,0.515445131,,,,0.3,0.016282165,0.022674209,0.029066253,,,,0.3,0.000453816,0.001026679,0.001599542,,,,0.3,0.000237122,0.000565537,0.000893952,,,,0.3,1.92998E-06,4.07814E-05,7.96327E-05,,,
