D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,,D4,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,5.53191E-13,9.20835E-12,1.486018745,0.504489269,0.109475383,0.000001,0,1.18631E-14,3.00523E-13,2.590158906,1.349304103,0.16994487,0.000001,0,6.88407E-15,1.82762E-13,28.03495112,1.994740536,0.666184093
0.01,0,4.15951E-06,3.68817E-05,,,,0.01,0,6.53404E-07,7.52994E-06,,,,0.01,0,3.60309E-07,4.22423E-06,,,
0.02,0,1.61201E-05,0.00012151,,,,0.02,0,2.88049E-06,2.79933E-05,,,,0.02,0,1.58463E-06,1.56351E-05,,,
0.03,0,3.67937E-05,0.00024706,,,,0.03,0,7.06216E-06,6.10161E-05,,,,0.03,0,3.87809E-06,3.40096E-05,,,
0.04,0,6.72704E-05,0.000411801,,,,0.04,0,1.35664E-05,0.000106769,,,,0.04,0,7.43824E-06,5.94396E-05,,,
0.05,0,0.000108666,0.000615267,,,,0.05,0,2.27633E-05,0.000165564,,,,0.05,0,1.24633E-05,9.20961E-05,,,
0.06,0,0.000162105,0.00085756,,,,0.06,0,3.50299E-05,0.000237778,,,,0.06,0,1.91549E-05,0.000132185,,,
0.07,0,0.000228722,0.001139099,,,,0.07,0,5.07532E-05,0.000323824,,,,0.07,0,2.77199E-05,0.000179933,,,
0.08,0,0.000309656,0.001460502,,,,0.08,0,7.03312E-05,0.000424145,,,,0.08,0,3.83706E-05,0.000235579,,,
0.09,0,0.000406057,0.001822517,,,,0.09,0,9.41734E-05,0.000539199,,,,0.09,0,5.13256E-05,0.000299374,,,
0.1,0,0.000519083,0.002225991,,,,0.1,0,0.000122702,0.000669464,,,,0.1,0,6.68098E-05,0.000371573,,,
0.11,0,0.000649901,0.002671837,,,,0.11,0,0.00015635,0.000815431,,,,0.11,0,8.50545E-05,0.000452443,,,
0.12,0,0.000799687,0.003161027,,,,0.12,0,0.000195565,0.000977604,,,,0.12,0,0.000106298,0.000542252,,,
0.13,0,0.000969628,0.003694574,,,,0.13,0,0.000240805,0.001156497,,,,0.13,0,0.000130783,0.000641278,,,
0.14,0,0.001160919,0.004273524,,,,0.14,0,0.000292542,0.001352639,,,,0.14,0,0.000158763,0.000749802,,,
0.15,0,0.001374766,0.00489895,,,,0.15,0,0.000351259,0.001566566,,,,0.15,0,0.000190494,0.00086811,,,
0.16,0,0.001612385,0.00557195,,,,0.16,0,0.000417451,0.001798827,,,,0.16,0,0.000226239,0.000996494,,,
0.17,0,0.001874997,0.006293635,,,,0.17,0,0.000491628,0.002049978,,,,0.17,0,0.00026627,0.001135251,,,
0.18,0,0.002163835,0.007065133,,,,0.18,0,0.000574307,0.002320588,,,,0.18,0,0.000310862,0.00128468,,,
0.19,0,0.002480139,0.007887582,,,,0.19,0,0.000666021,0.00261123,,,,0.19,0,0.000360298,0.001445088,,,
0.2,0,0.002825158,0.008762127,,,,0.2,0,0.00076731,0.002922491,,,,0.2,0,0.000414866,0.001616784,,,
0.21,0,0.003200144,0.009689918,,,,0.21,0,0.000878729,0.003254961,,,,0.21,0,0.000474861,0.001800081,,,
0.22,0,0.003606359,0.010672108,,,,0.22,0,0.001000841,0.003609242,,,,0.22,0,0.000540582,0.001995297,,,
0.23,0,0.00404507,0.01170985,,,,0.23,0,0.001134221,0.00398594,,,,0.23,0,0.000612335,0.002202751,,,
0.24,0,0.004517546,0.012804295,,,,0.24,0,0.001279453,0.004385669,,,,0.24,0,0.000690431,0.002422769,,,
0.25,0,0.005025064,0.01395659,,,,0.25,0,0.001437132,0.004809049,,,,0.25,0,0.000775185,0.002655678,,,
0.26,0,0.005568901,0.015167876,,,,0.26,0,0.001607862,0.005256705,,,,0.26,0,0.000866918,0.002901807,,,
0.27,0,0.006150337,0.016439286,,,,0.27,0,0.001792254,0.005729268,,,,0.27,0,0.000965957,0.00316149,,,
0.28,0,0.006770655,0.017771942,,,,0.28,0,0.00199093,0.006227372,,,,0.28,0,0.001072631,0.003435061,,,
0.29,0,0.007431136,0.019166954,,,,0.29,0,0.002204519,0.006751654,,,,0.29,0,0.001187274,0.003722858,,,
0.3,0,0.008133061,0.02062542,,,,0.3,0,0.002433658,0.007302756,,,,0.3,0,0.001310225,0.00402522,,,
0.31,0,0.00887771,0.022148418,,,,0.31,0,0.002678991,0.00788132,,,,0.31,0,0.001441825,0.004342485,,,
0.32,0,0.009666359,0.023737012,,,,0.32,0,0.002941168,0.008487991,,,,0.32,0,0.001582422,0.004674994,,,
0.33,0,0.010500281,0.025392242,,,,0.33,0,0.003220847,0.009123412,,,,0.33,0,0.001732363,0.005023089,,,
0.34,0,0.011380743,0.027115129,,,,0.34,0,0.003518688,0.009788227,,,,0.34,0,0.001891999,0.00538711,,,
0.35,0,0.012309005,0.028906669,,,,0.35,0,0.003835359,0.010483079,,,,0.35,0,0.002061687,0.005767399,,,
0.36,0,0.013286321,0.030767831,,,,0.36,0,0.004171532,0.011208608,,,,0.36,0,0.002241781,0.006164295,,,
0.37,0,0.014313934,0.032699557,,,,0.37,0,0.004527882,0.01196545,,,,0.37,0,0.002432641,0.006578137,,,
0.38,0,0.015393078,0.03470276,,,,0.38,0,0.004905086,0.012754239,,,,0.38,0,0.002634627,0.00700926,,,
0.39,0,0.016524976,0.036778319,,,,0.39,0,0.005303826,0.013575601,,,,0.39,0,0.0028481,0.007458,,,
0.4,0,0.017710835,0.038927081,,,,0.4,0,0.005724783,0.014430157,,,,0.4,0,0.003073422,0.007924687,,,
0.41,0,0.018951852,0.041149856,,,,0.41,0,0.006168641,0.015318522,,,,0.41,0,0.003310957,0.00840965,,,
0.42,0,0.020249204,0.043447418,,,,0.42,0,0.006636084,0.0162413,,,,0.42,0,0.003561066,0.008913212,,,
0.43,0,0.021604052,0.0458205,,,,0.43,0,0.007127794,0.017199086,,,,0.43,0,0.003824113,0.009435692,,,
0.44,0,0.023017541,0.048269794,,,,0.44,0,0.007644453,0.018192466,,,,0.44,0,0.004100459,0.009977405,,,
0.45,0,0.02449079,0.050795949,,,,0.45,0,0.008186741,0.019222012,,,,0.45,0,0.004390465,0.01053866,,,
0.46,0,0.026024903,0.053399568,,,,0.46,0,0.008755335,0.020288286,,,,0.46,0,0.004694491,0.011119758,,,
0.47,0,0.027620954,0.056081209,,,,0.47,0,0.009350909,0.021391832,,,,0.47,0,0.005012893,0.011720995,,,
0.48,0,0.029279998,0.058841381,,,,0.48,0,0.00997413,0.022533183,,,,0.48,0,0.005346026,0.012342658,,,
0.49,0.000325581,0.031003061,0.06168054,,,,0.49,0,0.010625663,0.023712852,,,,0.49,0,0.005694242,0.012985027,,,
0.5,0.000983184,0.032791139,0.064599095,,,,0.5,0,0.011306165,0.024931338,,,,0.5,0,0.00605789,0.013648373,,,
