D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,,D4,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,1.83177E-05,0.000148893,2.280275124,1.22534693,0.233793256,0.000001,0,4.30389E-10,4.69102E-09,4.800911779,0.932384352,0.186788863,0.000001,0,4.30387E-10,4.69101E-09,7.21680917,1.235553573,0.565479127
0.01,0,0.007245496,0.031935037,,,,0.01,0,0.000143116,0.001555351,,,,0.01,0,0.000140727,0.001529502,,,
0.02,0,0.010970243,0.044853518,,,,0.02,0,0.000254096,0.002736811,,,,0.02,0,0.00024741,0.002666069,,,
0.03,0,0.014069715,0.054609341,,,,0.03,0,0.000350741,0.003723953,,,,0.03,0,0.00033871,0.003600887,,,
0.04,0,0.01687479,0.062767946,,,,0.04,0,0.00044067,0.004590323,,,,0.04,0,0.000422362,0.004410684,,,
0.05,0,0.019509882,0.069935486,,,,0.05,0,0.000527896,0.00537284,,,,0.05,0,0.000502364,0.005133784,,,
0.06,0,0.022036149,0.076420699,,,,0.06,0,0.000614909,0.006093562,,,,0.06,0,0.000581152,0.005792977,,,
0.07,0,0.024488309,0.082405041,,,,0.07,0,0.000703402,0.006767084,,,,0.07,0,0.00066036,0.006403272,,,
0.08,0,0.026887976,0.088005177,,,,0.08,0,0.000794597,0.007403749,,,,0.08,0,0.000741151,0.006975252,,,
0.09,0,0.029249511,0.093300907,,,,0.09,0,0.000889417,0.00801125,,,,0.09,0,0.000824393,0.007516752,,,
0.1,0,0.031582931,0.098349352,,,,0.1,0,0.00098858,0.008595532,,,,0.1,0,0.000910751,0.008033794,,,
0.11,0,0.033895484,0.103192845,,,,0.11,0,0.001092658,0.00916132,,,,0.11,0,0.001000753,0.008531138,,,
0.12,0,0.036192578,0.107863636,,,,0.12,0,0.001202118,0.009712461,,,,0.12,0,0.001094821,0.009012639,,,
0.13,0,0.038478343,0.112386842,,,,0.13,0,0.001317348,0.010252145,,,,0.13,0,0.001193306,0.009481476,,,
0.14,0,0.040755998,0.116782395,,,,0.14,0,0.001438673,0.010783062,,,,0.14,0,0.001296496,0.009940311,,,
0.15,0,0.043028089,0.121066354,,,,0.15,0,0.001566372,0.011307506,,,,0.15,0,0.001404636,0.010391404,,,
0.16,0,0.045296662,0.125251833,,,,0.16,0,0.001700684,0.011827459,,,,0.16,0,0.001517935,0.010836694,,,
0.17,0,0.047563374,0.129349665,,,,0.17,0,0.001841817,0.012344645,,,,0.17,0,0.001636573,0.011277859,,,
0.18,0,0.049829583,0.133368885,,,,0.18,0,0.001989956,0.01286058,,,,0.18,0,0.001760706,0.011716362,,,
0.19,0,0.052096407,0.137317096,,,,0.19,0,0.002145262,0.013376599,,,,0.19,0,0.001890472,0.012153489,,,
0.2,0,0.054364773,0.141200747,,,,0.2,0,0.002307881,0.013893891,,,,0.2,0,0.002025992,0.012590372,,,
0.21,0,0.056635453,0.145025346,,,,0.21,0,0.002477942,0.014413515,,,,0.21,0,0.002167372,0.013028018,,,
0.22,0,0.058909087,0.148795625,,,,0.22,0,0.002655564,0.014936417,,,,0.22,0,0.002314708,0.013467321,,,
0.23,0,0.061186212,0.152515672,,,,0.23,0,0.002840851,0.01546345,,,,0.23,0,0.002468086,0.013909078,,,
0.24,0,0.063467272,0.156189039,,,,0.24,0,0.003033902,0.015995379,,,,0.24,0,0.002627584,0.014354004,,,
0.25,0,0.065752636,0.159818824,,,,0.25,0,0.003234805,0.016532893,,,,0.25,0,0.002793271,0.014802737,,,
0.26,0,0.068042608,0.163407743,,,,0.26,0,0.00344364,0.017076615,,,,0.26,0,0.002965211,0.015255852,,,
0.27,0,0.070337436,0.166958182,,,,0.27,0,0.003660484,0.017627108,,,,0.27,0,0.003143462,0.015713862,,,
0.28,0,0.072637318,0.170472249,,,,0.28,0,0.003885404,0.018184879,,,,0.28,0,0.003328075,0.016177231,,,
0.29,0,0.074942411,0.17395181,,,,0.29,0,0.004118466,0.018750388,,,,0.29,0,0.003519099,0.016646373,,,
0.3,0,0.077252833,0.177398524,,,,0.3,0,0.004359727,0.019324048,,,,0.3,0,0.003716577,0.017121659,,,
0.31,0,0.079568673,0.180813867,,,,0.31,0,0.004609244,0.019906233,,,,0.31,0,0.00392055,0.017603424,,,
0.32,0,0.081889986,0.184199159,,,,0.32,0,0.004867067,0.02049728,,,,0.32,0,0.004131055,0.018091966,,,
0.33,0,0.084216804,0.187555581,,,,0.33,0,0.005133244,0.02109749,,,,0.33,0,0.004348126,0.018587551,,,
0.34,0,0.086549136,0.190884194,,,,0.34,0,0.005407819,0.021707136,,,,0.34,0,0.004571794,0.019090417,,,
0.35,0,0.08888697,0.194185951,,,,0.35,0,0.005690835,0.022326459,,,,0.35,0,0.004802086,0.019600772,,,
0.36,0,0.091230274,0.197461714,,,,0.36,0,0.00598233,0.022955677,,,,0.36,0,0.005039031,0.020118804,,,
0.37,0,0.093579002,0.20071226,,,,0.37,0,0.00628234,0.02359498,,,,0.37,0,0.005282651,0.020644677,,,
0.38,0,0.095933092,0.203938293,,,,0.38,0,0.006590899,0.024244538,,,,0.38,0,0.00553297,0.021178532,,,
0.39,0,0.098292466,0.207140455,,,,0.39,0,0.006908039,0.024904499,,,,0.39,0,0.005790006,0.021720494,,,
0.4,0,0.100657038,0.210319325,,,,0.4,0,0.007233789,0.025574993,,,,0.4,0,0.006053779,0.022270669,,,
0.41,0,0.103026707,0.213475435,,,,0.41,0,0.007568177,0.026256129,,,,0.41,0,0.006324306,0.022829149,,,
0.42,0,0.105401366,0.21660927,,,,0.42,0,0.007911229,0.026948003,,,,0.42,0,0.006601603,0.023396008,,,
0.43,0,0.107780895,0.219721272,,,,0.43,0,0.008262969,0.027650694,,,,0.43,0,0.006885682,0.023971309,,,
0.44,0,0.110165168,0.222811851,,,,0.44,0,0.008623418,0.028364266,,,,0.44,0,0.007176556,0.024555102,,,
0.45,0,0.112554052,0.225881379,,,,0.45,0,0.008992597,0.029088771,,,,0.45,0,0.007474238,0.025147425,,,
0.46,0.000964608,0.114947406,0.228930205,,,,0.46,0,0.009370526,0.029824246,,,,0.46,0,0.007778736,0.025748305,,,
0.47,0.002731524,0.117345085,0.231958646,,,,0.47,0,0.009757221,0.030570719,,,,0.47,0,0.00809006,0.02635776,,,
0.48,0.004526873,0.119746936,0.234967,,,,0.48,0,0.0101527,0.031328208,,,,0.48,0,0.008408217,0.026975797,,,
0.49,0.006350066,0.122152804,0.237955542,,,,0.49,0,0.010556975,0.032096717,,,,0.49,0,0.008733213,0.027602418,,,
0.5,0.008200527,0.124562528,0.240924529,,,,0.5,0,0.01097006,0.032876243,,,,0.5,0,0.009065055,0.028237613,,,
0.51,0.010077685,0.126975944,0.243874203,,,,0.51,0,0.011391968,0.033666776,,,,0.51,0,0.009403746,0.028881369,,,
0.52,0.011980981,0.129392884,0.246804787,,,,0.52,0,0.011822707,0.034468294,,,,0.52,0,0.00974929,0.029533664,,,
0.53,0.013909862,0.131813179,0.249716496,,,,0.53,0,0.012262288,0.03528077,,,,0.53,0,0.010101689,0.03019447,,,
0.54,0.015863782,0.134236655,0.252609528,,,,0.54,0,0.012710718,0.03610417,,,,0.54,0,0.010460944,0.030863754,,,
0.55,0.017842202,0.136663138,0.255484073,,,,0.55,0,0.013168003,0.036938451,,,,0.55,0,0.010827056,0.031541476,,,
0.56,0.019844589,0.139092451,0.258340312,,,,0.56,0,0.013634149,0.037783567,,,,0.56,0,0.011200024,0.032227595,,,
0.57,0.021870415,0.141524416,0.261178417,,,,0.57,0,0.014109159,0.038639464,,,,0.57,0,0.011579846,0.032922061,,,
0.58,0.023919157,0.143958855,0.263998552,,,,0.58,0,0.014593035,0.039506082,,,,0.58,0,0.01196652,0.033624824,,,
0.59,0.025990298,0.146395586,0.266800874,,,,0.59,0,0.01508578,0.040383359,,,,0.59,0,0.012360043,0.034335828,,,
0.6,0.028083325,0.148834431,0.269585536,,,,0.6,0,0.015587393,0.041271226,,,,0.6,0,0.012760411,0.035055013,,,
0.61,0.030197731,0.151275207,0.272352683,,,,0.61,0,0.016097872,0.04216961,,,,0.61,0,0.013167617,0.035782317,,,
0.62,0.03233301,0.153717734,0.275102458,,,,0.62,0,0.016617216,0.043078434,,,,0.62,0,0.013581656,0.036517675,,,
0.63,0.034488664,0.156161831,0.277834999,,,,0.63,0,0.017145421,0.043997618,,,,0.63,0,0.01400252,0.037261019,,,
0.64,0.036664197,0.158607318,0.280550439,,,,0.64,0,0.017682482,0.044927078,,,,0.64,0,0.014430203,0.038012279,,,
0.65,0.038859118,0.161054014,0.28324891,,,,0.65,0,0.018228392,0.045866725,,,,0.65,0,0.014864695,0.038771383,,,
0.66,0.041072939,0.16350174,0.285930541,,,,0.66,0,0.018783144,0.04681647,,,,0.66,0,0.015305986,0.039538255,,,
0.67,0.043305178,0.165950317,0.288595457,,,,0.67,0,0.019346729,0.047776221,,,,0.67,0,0.015754066,0.040312819,,,
0.68,0.045555354,0.168399568,0.291243782,,,,0.68,0,0.019919138,0.04874588,,,,0.68,0,0.016208923,0.041094996,,,
0.69,0.047822992,0.170849315,0.293875639,,,,0.69,0,0.02050036,0.04972535,,,,0.69,0,0.016670545,0.041884708,,,
0.7,0.050107622,0.173299385,0.296491148,,,,0.7,0,0.021090382,0.050714531,,,,0.7,0,0.01713892,0.042681873,,,
