D1,,,,parameters of the mean fragility,,,D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,2.21316E-16,8.39525E-15,0.53900497,0.453103199,0.092116477,0.000001,0,0,0,2.611917413,0.639134023,0.095435196,0.000001,0,0,0,3.793573764,0.764271409,0.174145702
0.01,0,2.21229E-06,1.09491E-05,,,,0.01,0,4.13103E-11,5.29029E-10,,,,0.01,0,9.53291E-13,1.9042E-11,,,
0.02,0,1.73258E-05,6.54016E-05,,,,0.02,0,9.0493E-10,9.6221E-09,,,,0.02,0,2.68914E-11,4.59951E-10,,,
0.03,0,5.97174E-05,0.000194333,,,,0.03,0,5.75387E-09,5.32349E-08,,,,0.03,0,1.96202E-10,3.00933E-09,,,
0.04,0,0.000146047,0.000429746,,,,0.04,0,2.19342E-08,1.80808E-07,,,,0.04,0,8.20429E-10,1.15127E-08,,,
0.05,0,0.000295149,0.000805071,,,,0.05,0,6.30122E-08,4.69923E-07,,,,0.05,0,2.52586E-09,3.27957E-08,,,
0.06,0,0.000527931,0.001355137,,,,0.06,0,1.51124E-07,1.03103E-06,,,,0.06,0,6.40325E-09,7.74906E-08,,,
0.07,0,0.00086728,0.002116053,,,,0.07,0,3.19654E-07,2.01241E-06,,,,0.07,0,1.41898E-08,1.60882E-07,,,
0.08,0,0.001337967,0.003125049,,,,0.08,0,6.16238E-07,3.60525E-06,,,,0.08,0,2.84875E-08,3.03781E-07,,,
0.09,0,0.00196654,0.004420276,,,,0.09,0,1.10609E-06,6.04908E-06,,,,0.09,0,5.30205E-08,5.33423E-07,,,
0.1,0,0.002781203,0.006040577,,,,0.1,0,1.87565E-06,9.63722E-06,,,,0.1,0,9.29355E-08,8.8439E-07,,,
0.11,0,0.00381168,0.008025227,,,,0.11,0,3.0365E-06,1.47224E-05,,,,0.11,0,1.55147E-07,1.39957E-06,,,
0.12,0,0.005089051,0.010413637,,,,0.12,0,4.72955E-06,2.17226E-05,,,,0.12,0,2.48729E-07,2.1311E-06,,,
0.13,4.60964E-05,0.006645566,0.013245035,,,,0.13,0,7.12942E-06,3.11262E-05,,,,0.13,0,3.85356E-07,3.14136E-06,,,
0.14,0.000470744,0.008514429,0.016558115,,,,0.14,0,1.0449E-05,4.34983E-05,,,,0.14,0,5.79785E-07,4.50397E-06,,,
0.15,0.001068466,0.010729561,0.020390656,,,,0.15,0,1.49441E-05,5.9485E-05,,,,0.15,0,8.50396E-07,6.30472E-06,,,
0.16,0.001871513,0.013325318,0.024779123,,,,0.16,0,2.09182E-05,7.98193E-05,,,,0.16,0,1.21977E-06,8.64256E-06,,,
0.17,0.002914147,0.016336196,0.029758245,,,,0.17,0,2.87267E-05,0.000105324,,,,0.17,0,1.71528E-06,1.16305E-05,,,
0.18,0.004232413,0.019796495,0.035360577,,,,0.18,0,3.87818E-05,0.000136919,,,,0.18,0,2.36979E-06,1.53966E-05,,,
0.19,0.005863864,0.023739957,0.041616051,,,,0.19,0,5.15563E-05,0.000175617,,,,0.19,0,3.22227E-06,2.00845E-05,,,
0.2,0.00784724,0.028199385,0.04855153,,,,0.2,0,6.75871E-05,0.000222535,,,,0.2,0,4.31854E-06,2.58547E-05,,,
0.21,0.010222099,0.033206229,0.05619036,,,,0.21,0,8.74789E-05,0.000278886,,,,0.21,0,5.71193E-06,3.28844E-05,,,
0.22,0.0130284,0.038790168,0.064551937,,,,0.22,0,0.000111906,0.000345984,,,,0.22,0,7.46396E-06,4.13688E-05,,,
0.23,0.016306046,0.044978671,0.073651296,,,,0.23,0,0.000141615,0.00042524,,,,0.23,0,9.64503E-06,5.15211E-05,,,
0.24,0.020094382,0.051796557,0.083498732,,,,0.24,0,0.000177422,0.000518157,,,,0.24,0,1.2335E-05,6.35725E-05,,,
0.25,0.024431663,0.059265563,0.094099462,,,,0.25,0,0.000220219,0.000626327,,,,0.25,0,1.56238E-05,7.77727E-05,,,
0.26,0.029354492,0.067403917,0.105453342,,,,0.26,0,0.000270965,0.000751418,,,,0.26,0,1.96118E-05,9.4389E-05,,,
0.27,0.034897236,0.076225942,0.117554647,,,,0.27,0,0.000330686,0.00089517,,,,0.27,0,2.44103E-05,0.000113706,,,
