D1,,,,parameters of the mean fragility,,,D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,1.56056E-15,3.50895E-14,0.731735701,0.460388665,0.098803343,0.000001,0,0,0,2.479493533,0.667743517,0.085258711,0.000001,0,0,0,3.324010465,0.463018779,0.083447619
0.01,0,2.44034E-06,1.46595E-05,,,,0.01,0,4.77191E-11,7.5733E-10,,,,0.01,0,1.33159E-16,3.982E-15,,,
0.02,0,1.51596E-05,7.37923E-05,,,,0.02,0,9.29439E-10,1.08645E-08,,,,0.02,0,9.51301E-15,2.55277E-13,,,
0.03,0,4.57197E-05,0.000194722,,,,0.03,0,5.56415E-09,5.32271E-08,,,,0.03,0,1.18766E-13,2.93468E-12,,,
0.04,0,0.000101874,0.000393017,,,,0.04,0,2.03445E-08,1.67465E-07,,,,0.04,0,7.24302E-13,1.66934E-11,,,
0.05,0,0.000191766,0.000683751,,,,0.05,0,5.65464E-08,4.12658E-07,,,,0.05,0,2.97926E-12,6.45734E-11,,,
0.06,0,0.000323967,0.001081839,,,,0.06,0,1.31861E-07,8.7027E-07,,,,0.06,0,9.54543E-12,1.95695E-10,,,
0.07,0,0.000507483,0.00160216,,,,0.07,0,2.7206E-07,1.64716E-06,,,,0.07,0,2.57281E-11,5.01092E-10,,,
0.08,0,0.000751748,0.002259603,,,,0.08,0,5.12787E-07,2.87864E-06,,,,0.08,0,6.10852E-11,1.13405E-09,,,
0.09,0,0.001066609,0.00306907,,,,0.09,0,9.01484E-07,4.73158E-06,,,,0.09,0,1.31613E-10,2.33533E-09,,,
0.1,0,0.001462308,0.004045462,,,,0.1,0,1.49944E-06,7.40753E-06,,,,0.1,0,2.62617E-10,4.46355E-09,,,
0.11,0,0.001949462,0.005203648,,,,0.11,0,2.38394E-06,1.11458E-05,,,,0.11,0,4.92401E-10,8.03112E-09,,,
0.12,0,0.002539034,0.006558428,,,,0.12,0,3.65057E-06,1.62266E-05,,,,0.12,0,8.76899E-10,1.3746E-08,,,
0.13,0,0.003242308,0.008124483,,,,0.13,0,5.41555E-06,2.29742E-05,,,,0.13,0,1.4954E-09,2.25592E-08,,,
0.14,0,0.004070853,0.009916322,,,,0.14,0,7.8182E-06,3.17594E-05,,,,0.14,0,2.45755E-09,3.57194E-08,,,
0.15,0,0.005036493,0.011948229,,,,0.15,0,1.10235E-05,4.3003E-05,,,,0.15,0,3.91172E-09,5.48326E-08,,,
0.16,0,0.006151267,0.014234195,,,,0.16,0,1.52244E-05,5.71785E-05,,,,0.16,0,6.05507E-09,8.19301E-08,,,
