D1,,,,parameters of the mean fragility,,,D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,,D4,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,7.15203E-12,3.25268E-11,0.692272353,0.570336645,0.063250872,0.000001,0,0,0,2.642164913,0.61852065,0.062223724,0.000001,0,0,0,3.467336335,0.425553658,0.067982442,0.000001,0,0,0,7.184026984,1.350195917,0.90206389
0.01,6.99229E-06,0.000145423,0.000283854,,,,0.01,0,8.2632E-09,3.00341E-08,,,,0.01,0,1.47765E-12,1.03887E-11,,,,0.01,0,6.35093E-13,5.49371E-12,,,
0.02,0.000108119,0.000557402,0.001006686,,,,0.02,0,9.18539E-08,2.86375E-07,,,,0.02,0,3.89277E-11,2.37112E-10,,,,0.02,0,1.58226E-11,1.20004E-10,,,
0.03,0.000341227,0.001231366,0.002121506,,,,0.03,0,3.82872E-07,1.08738E-06,,,,0.03,0,2.70188E-10,1.49356E-09,,,,0.03,0,1.0625E-10,7.34829E-10,,,
0.04,0.000726723,0.00216718,0.003607637,,,,0.04,0,1.06333E-06,2.82354E-06,,,,0.04,0,1.08153E-09,5.54585E-09,,,,0.04,0,4.15725E-10,2.67088E-09,,,
0.05,0.001279331,0.003365352,0.005451373,,,,0.05,0,2.36001E-06,5.94577E-06,,,,0.05,0,3.19626E-09,1.54054E-08,,,,0.05,0,1.2081E-09,7.29164E-09,,,
0.06,0.002010707,0.004826441,0.007642175,,,,0.06,0,4.54142E-06,1.09585E-05,,,,0.06,0,7.78884E-09,3.56039E-08,,,,0.06,0,2.90612E-09,1.66064E-08,,,
0.07,0.002930521,0.00655087,0.010171218,,,,0.07,0,7.9157E-06,1.84149E-05,,,,0.07,0,1.66047E-08,7.24591E-08,,,,0.07,0,6.13256E-09,3.33684E-08,,,
0.08,0.004047007,0.008538852,0.013030698,,,,0.08,0,1.28287E-05,2.89127E-05,,,,0.08,0,3.20857E-08,1.34335E-07,,,,0.08,0,1.17536E-08,6.11697E-08,,,
