D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,,D4,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,0.000400021,0.001556955,1.45075227,1.565525519,0.236069247,0.000001,0,0.000151354,0.000762344,3.690613713,1.92123342,0.430251543,0.000001,0,2.60881E-06,4.15691E-05,9.214120833,1.274260213,0.686076749
0.01,0,0.026638713,0.058974771,,,,0.01,0,0.011925813,0.030912104,,,,0.01,0,0.000612171,0.002729982,,,
0.02,0,0.038861159,0.080092821,,,,0.02,0,0.017733126,0.042374333,,,,0.02,0,0.001076216,0.004175599,,,
0.03,0.00143212,0.048765888,0.096099655,,,,0.03,0,0.02253999,0.051171132,,,,0.03,0,0.001523021,0.00542488,,,
0.04,0.005389551,0.057452238,0.109514925,,,,0.04,0,0.026822815,0.058616042,,,,0.04,0,0.001965201,0.006575099,,,
0.05,0.009406742,0.065348946,0.12129115,,,,0.05,0,0.030767351,0.065205935,,,,0.05,0,0.002407323,0.007663816,,,
0.06,0.013444885,0.072677362,0.13190984,,,,0.06,0,0.034469366,0.071191962,,,,0.06,0,0.002851538,0.008710198,,,
0.07,0.017485396,0.079569802,0.141654208,,,,0.07,0,0.037985998,0.076721796,,,,0.07,0,0.003299,0.009725554,,,
0.08,0.02151852,0.086112986,0.150707452,,,,0.08,0.000818314,0.041354615,0.081890915,,,,0.08,0,0.003750376,0.010717192,,,
0.09,0.025538852,0.092367485,0.159196119,,,,0.09,0.002437267,0.044601256,0.086765245,,,,0.09,0,0.004206065,0.011690142,,,
0.1,0.02954331,0.098377633,0.167211955,,,,0.1,0.004097311,0.047744934,0.091392556,,,,0.1,0,0.004666314,0.012648028,,,
0.11,0.033530137,0.104177065,0.174823993,,,,0.11,0.005791299,0.050800037,0.095808776,,,,0.11,0,0.005131269,0.013593553,,,
0.12,0.037498355,0.109792039,0.182085723,,,,0.12,0.007513809,0.053777771,0.100041733,,,,0.12,0,0.005601019,0.014528792,,,
0.13,0.041447465,0.11524353,0.189039595,,,,0.13,0.00926062,0.056687063,0.104113505,,,,0.13,0,0.006075605,0.015455372,,,
0.14,0.045377267,0.120548622,0.195719977,,,,0.14,0.011028369,0.059535163,0.108041956,,,,0.14,0,0.006555046,0.016374594,,,
0.15,0.049287747,0.125721453,0.202155158,,,,0.15,0.012814325,0.062328057,0.11184179,,,,0.15,0,0.007039336,0.017287514,,,
0.16,0.053179013,0.130773887,0.208368762,,,,0.16,0.014616233,0.065070757,0.115525281,,,,0.16,0,0.007528458,0.018194999,,,
0.17,0.057051244,0.135716001,0.214380759,,,,0.17,0.016432205,0.067767504,0.119102803,,,,0.17,0,0.008022386,0.01909777,,,
0.18,0.060904665,0.140556441,0.220208218,,,,0.18,0.018260641,0.070421932,0.122583223,,,,0.18,0,0.008521084,0.019996435,,,
0.19,0.064739529,0.145302696,0.225865864,,,,0.19,0.020100165,0.073037176,0.125974187,,,,0.19,0,0.009024514,0.020891505,,,
0.2,0.068556101,0.149961305,0.23136651,,,,0.2,0.021949589,0.075615969,0.129282349,,,,0.2,0,0.009532633,0.021783419,,,
0.21,0.07235465,0.154538019,0.236721389,,,,0.21,0.023807873,0.078160708,0.132513544,,,,0.21,0,0.010045394,0.02267255,,,
0.22,0.076135445,0.15903793,0.241940414,,,,0.22,0.0256741,0.080673509,0.135672918,,,,0.22,0,0.010562753,0.023559225,,,
0.23,0.079898751,0.163465572,0.247032392,,,,0.23,0.027547456,0.083156251,0.138765047,,,,0.23,0,0.01108466,0.024443723,,,
0.24,0.083644824,0.167825005,0.252005186,,,,0.24,0.029427215,0.085610614,0.141794013,,,,0.24,0,0.011611066,0.025326289,,,
0.25,0.087373914,0.172119884,0.256865855,,,,0.25,0.031312722,0.088038103,0.144763484,,,,0.25,0,0.012141924,0.026207139,,,
0.26,0.091086258,0.17635351,0.261620763,,,,0.26,0.033203386,0.090440077,0.147676767,,,,0.26,0,0.012677185,0.02708646,,,
0.27,0.094782085,0.180528881,0.266275677,,,,0.27,0.03509867,0.092817765,0.15053686,,,,0.27,0,0.013216799,0.027964417,,,
0.28,0.098461614,0.184648727,0.270835839,,,,0.28,0.036998082,0.095172284,0.153346487,,,,0.28,0,0.013760718,0.028841158,,,
0.29,0.102125054,0.188715544,0.275306033,,,,0.29,0.038901173,0.097504654,0.156108136,,,,0.29,0,0.014308894,0.029716811,,,
0.3,0.105772602,0.192731622,0.279690643,,,,0.3,0.040807526,0.099815807,0.158824087,,,,0.3,0,0.01486128,0.030591492,,,
0.31,0.109404448,0.19669907,0.283993692,,,,0.31,0.04271676,0.102106598,0.161496436,,,,0.31,0,0.015417828,0.031465303,,,
0.32,0.11302077,0.20061983,0.28821889,,,,0.32,0.044628516,0.104377814,0.164127113,,,,0.32,0,0.015978492,0.032338334,,,
