D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,,D4,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,5.63265E-17,2.81137E-16,2.838285945,0.927758705,0.17570036,0.000001,0,2.21909E-17,1.03436E-16,4.142939058,1.402964158,0.385326245,0.000001,0,1.23358E-17,7.52364E-17,12.10040879,1.485537044,0.995933937
0.01,0,7.5057E-05,0.000326158,,,,0.01,0,5.66933E-05,0.0002542,,,,0.01,0,2.51137E-05,0.000134031,,,
0.02,0,0.000252449,0.001070118,,,,0.02,0,0.000193236,0.000848988,,,,0.02,0,8.5713E-05,0.000432899,,,
0.03,0,0.000488706,0.002028731,,,,0.03,0,0.000375134,0.001622438,,,,0.03,0,0.000167279,0.000812727,,,
0.04,0,0.000765911,0.003118439,,,,0.04,0,0.000587603,0.002504989,,,,0.04,0,0.000263492,0.00124069,,,
0.05,0,0.001075044,0.004295861,,,,0.05,0,0.000823189,0.003459902,,,,0.05,0,0.000371068,0.001700212,,,
0.06,0,0.001411117,0.005535555,,,,0.06,0,0.001077802,0.004465407,,,,0.06,0,0.000488147,0.002181763,,,
0.07,0,0.001771249,0.006821488,,,,0.07,0,0.001349108,0.005507683,,,,0.07,0,0.000613631,0.002679442,,,
0.08,0,0.002153764,0.008143078,,,,0.08,0,0.001635765,0.00657756,,,,0.08,0,0.000746864,0.00318941,,,
0.09,0,0.002557708,0.009493124,,,,0.09,0,0.001937015,0.007668765,,,,0.09,0,0.000887458,0.003709098,,,
0.1,0,0.002982578,0.010866629,,,,0.1,0,0.002252455,0.008776928,,,,0.1,0,0.001035193,0.004236756,,,
0.11,0,0.003428154,0.012260083,,,,0.11,0,0.002581906,0.009898968,,,,0.11,0,0.001189957,0.004771179,,,
0.12,0,0.003894396,0.013671013,,,,0.12,0,0.00292532,0.011032703,,,,0.12,0,0.001351705,0.005311545,,,
0.13,0,0.004381379,0.015097681,,,,0.13,0,0.003282735,0.012176592,,,,0.13,0,0.001520437,0.0058573,,,
0.14,0,0.004889246,0.01653888,,,,0.14,0,0.003654238,0.013329558,,,,0.14,0,0.001696182,0.006408083,,,
0.15,0,0.005418179,0.017993787,,,,0.15,0,0.00403994,0.014490863,,,,0.15,0,0.001878984,0.006963674,,,
0.16,0,0.005968379,0.019461868,,,,0.16,0,0.004439968,0.015660021,,,,0.16,0,0.002068898,0.00752396,,,
0.17,0,0.006540052,0.020942795,,,,0.17,0,0.004854449,0.01683673,,,,0.17,0,0.002265983,0.008088902,,,
0.18,0,0.007133398,0.022436397,,,,0.18,0,0.005283507,0.018020825,,,,0.18,0,0.002470302,0.008658518,,,
0.19,0,0.007748608,0.023942615,,,,0.19,0,0.005727261,0.019212244,,,,0.19,0,0.002681916,0.009232872,,,
0.2,0,0.008385856,0.025461473,,,,0.2,0,0.006185819,0.020410997,,,,0.2,0,0.002900885,0.009812053,,,
0.21,0,0.0090453,0.026993053,,,,0.21,0,0.006659278,0.021617149,,,,0.21,0,0.003127266,0.010396174,,,
0.22,0,0.009727079,0.028537478,,,,0.22,0,0.007147727,0.022830801,,,,0.22,0,0.003361114,0.010985364,,,
0.23,0,0.010431312,0.030094896,,,,0.23,0,0.007651239,0.024052078,,,,0.23,0,0.003602482,0.011579758,,,
0.24,0,0.011158097,0.03166547,,,,0.24,0,0.008169881,0.02528112,,,,0.24,0,0.003851417,0.012179498,,,
0.25,0,0.011907515,0.033249373,,,,0.25,0,0.008703706,0.026518076,,,,0.25,0,0.004107965,0.012784727,,,
0.26,0,0.012679626,0.034846776,,,,0.26,0,0.009252757,0.027763096,,,,0.26,0,0.00437217,0.013395586,,,
0.27,0,0.013474473,0.036457846,,,,0.27,0,0.00981707,0.029016325,,,,0.27,0,0.004644072,0.014012213,,,
0.28,0,0.014292082,0.038082741,,,,0.28,0,0.01039667,0.030277904,,,,0.28,0,0.004923709,0.014634742,,,
0.29,0,0.01513246,0.039721608,,,,0.29,0,0.010991573,0.031547965,,,,0.29,0,0.005211115,0.015263298,,,
0.3,0,0.015995602,0.041374581,,,,0.3,0,0.011601789,0.032826626,,,,0.3,0,0.005506324,0.015898,,,
0.31,0,0.016881487,0.043041778,,,,0.31,0,0.01222732,0.034113996,,,,0.31,0,0.005809367,0.01653896,,,
0.32,0,0.017790078,0.0447233,,,,0.32,0,0.01286816,0.035410169,,,,0.32,0,0.006120273,0.017186279,,,
0.33,0,0.018721329,0.046419231,,,,0.33,0,0.013524299,0.036715223,,,,0.33,0,0.006439069,0.017840049,,,
0.34,0,0.019675179,0.048129636,,,,0.34,0,0.014195719,0.038029224,,,,0.34,0,0.006765782,0.018500353,,,
0.35,0,0.020651558,0.049854563,,,,0.35,0,0.014882396,0.039352221,,,,0.35,0,0.007100434,0.019167264,,,
0.36,0,0.021650383,0.05159404,,,,0.36,0,0.015584303,0.040684249,,,,0.36,0,0.007443049,0.019840845,,,
0.37,0,0.022671565,0.053348077,,,,0.37,0,0.016301407,0.042025328,,,,0.37,0,0.007793647,0.02052115,,,
0.38,0,0.023715002,0.055116664,,,,0.38,0,0.01703367,0.043375462,,,,0.38,0,0.008152247,0.021208222,,,
0.39,0,0.024780585,0.056899776,,,,0.39,0,0.01778105,0.044734642,,,,0.39,0,0.008518868,0.021902095,,,
0.4,0,0.025868199,0.058697365,,,,0.4,0,0.018543501,0.046102845,,,,0.4,0,0.008893526,0.022602794,,,
0.41,0,0.026977718,0.060509371,,,,0.41,0,0.019320972,0.047480033,,,,0.41,0,0.009276235,0.023310335,,,
0.42,0,0.028109013,0.062335712,,,,0.42,0,0.02011341,0.048866157,,,,0.42,0,0.009667011,0.024024724,,,
0.43,0,0.029261944,0.064176293,,,,0.43,0,0.020920756,0.050261154,,,,0.43,0,0.010065864,0.024745959,,,
0.44,0,0.03043637,0.066030999,,,,0.44,0,0.02174295,0.051664949,,,,0.44,0,0.010472805,0.025474032,,,
0.45,0,0.03163214,0.067899704,,,,0.45,0,0.022579926,0.053077457,,,,0.45,0,0.010887844,0.026208924,,,
0.46,0,0.032849099,0.069782263,,,,0.46,0,0.023431618,0.054498582,,,,0.46,0,0.011310988,0.026950609,,,
0.47,0,0.034087089,0.07167852,,,,0.47,0,0.024297953,0.055928216,,,,0.47,0,0.011742243,0.027699057,,,
0.48,0,0.035345944,0.073588303,,,,0.48,0,0.025178858,0.057366243,,,,0.48,0,0.012181613,0.028454228,,,
0.49,0,0.036625495,0.075511429,,,,0.49,0,0.026074256,0.058812539,,,,0.49,0,0.012629101,0.029216076,,,
0.5,0,0.037925569,0.077447701,,,,0.5,0,0.026984066,0.06026697,,,,0.5,0,0.013084708,0.029984551,,,
0.51,0,0.039245989,0.079396911,,,,0.51,0,0.027908205,0.061729394,,,,0.51,0,0.013548434,0.030759596,,,
0.52,0,0.040586573,0.08135884,,,,0.52,0,0.028846587,0.063199664,,,,0.52,0,0.014020275,0.03154115,,,
0.53,0.000561009,0.041947135,0.083333261,,,,0.53,0,0.029799123,0.064677625,,,,0.53,0,0.014500228,0.032329145,,,
0.54,0.001335042,0.043327489,0.085319935,,,,0.54,0,0.030765723,0.066163116,,,,0.54,0,0.014988287,0.033123511,,,
0.55,0.002136266,0.044727441,0.087318616,,,,0.55,0,0.03174629,0.06765597,,,,0.55,0,0.015484444,0.033924172,,,
0.56,0.002964547,0.046146797,0.089329047,,,,0.56,0,0.03274073,0.069156017,,,,0.56,0,0.015988689,0.03473105,,,
0.57,0.00381975,0.047585359,0.091350968,,,,0.57,0,0.033748942,0.07066308,,,,0.57,0,0.01650101,0.035544063,,,
0.58,0.004701742,0.049042926,0.093384109,,,,0.58,0,0.034770824,0.072176981,,,,0.58,0,0.017021394,0.036363125,,,
0.59,0.005610392,0.050519294,0.095428196,,,,0.59,0,0.035806272,0.073697537,,,,0.59,0,0.017549825,0.037188149,,,
0.6,0.006545566,0.052014257,0.097482948,,,,0.6,0,0.036855179,0.075224561,,,,0.6,0,0.018086286,0.038019044,,,
0.61,0.007507132,0.053527606,0.099548081,,,,0.61,0,0.037917434,0.076757866,,,,0.61,0,0.018630758,0.038855717,,,
0.62,0.008494956,0.055059131,0.101623305,,,,0.62,0,0.038992927,0.078297261,,,,0.62,0,0.019183219,0.039698075,,,
0.63,0.009508903,0.056608616,0.103708329,,,,0.63,0.000320531,0.040081542,0.079842554,,,,0.63,0,0.019743645,0.040546021,,,
0.64,0.010548838,0.058175848,0.105802857,,,,0.64,0.000972778,0.041183165,0.081393551,,,,0.64,0,0.020312012,0.041399459,,,
0.65,0.011614622,0.059760607,0.107906592,,,,0.65,0.00164529,0.042297674,0.082950059,,,,0.65,0,0.020888293,0.04225829,,,
0.66,0.012706116,0.061362674,0.110019233,,,,0.66,0.002338019,0.043424951,0.084511882,,,,0.66,0,0.021472457,0.043122414,,,
0.67,0.013823175,0.062981829,0.112140482,,,,0.67,0.003050915,0.044564871,0.086078826,,,,0.67,0.000137215,0.022064474,0.043991733,,,
0.68,0.014965656,0.064617846,0.114270036,,,,0.68,0.003783922,0.045717309,0.087650696,,,,0.68,0.000462475,0.02266431,0.044866145,,,
0.69,0.016133408,0.066270502,0.116407595,,,,0.69,0.004536979,0.046882138,0.089227297,,,,0.69,0.000798311,0.023271931,0.045745552,,,
0.7,0.01732628,0.067939569,0.118552857,,,,0.7,0.005310022,0.048059229,0.090808436,,,,0.7,0.001144748,0.0238873,0.046629852,,,
0.71,0.018544116,0.069624819,0.120705522,,,,0.71,0.00610298,0.04924845,0.09239392,,,,0.71,0.001501809,0.024510377,0.047518945,,,
0.72,0.019786757,0.071326023,0.12286529,,,,0.72,0.00691578,0.050449669,0.093983559,,,,0.72,0.001869512,0.025141121,0.048412731,,,
0.73,0.021054038,0.073042951,0.125031863,,,,0.73,0.007748341,0.051662751,0.095577161,,,,0.73,0.002247871,0.025779491,0.049311112,,,
0.74,0.022345791,0.074775369,0.127204947,,,,0.74,0.008600578,0.052887559,0.097174539,,,,0.74,0.002636895,0.026425441,0.050213987,,,
0.75,0.023661843,0.076523045,0.129384248,,,,0.75,0.009472401,0.054123954,0.098775507,,,,0.75,0.003036591,0.027078926,0.051121261,,,
0.76,0.025002017,0.078285745,0.131569473,,,,0.76,0.010363713,0.055371797,0.100379881,,,,0.76,0.003446959,0.027739897,0.052032834,,,
0.77,0.026366131,0.080063234,0.133760337,,,,0.77,0.011274413,0.056630946,0.10198748,,,,0.77,0.003867996,0.028408304,0.052948612,,,
0.78,0.027753997,0.081855275,0.135956553,,,,0.78,0.012204394,0.057901259,0.103598124,,,,0.78,0.004299693,0.029084096,0.0538685,,,
0.79,0.029165424,0.083661633,0.138157842,,,,0.79,0.013153544,0.059182591,0.105211637,,,,0.79,0.004742038,0.02976722,0.054792403,,,
0.8,0.030600214,0.085482069,0.140363924,,,,0.8,0.014121744,0.060474795,0.106827846,,,,0.8,0.005195013,0.030457621,0.05572023,,,
0.81,0.032058163,0.087316346,0.142574529,,,,0.81,0.01510887,0.061777725,0.108446581,,,,0.81,0.005658597,0.031155243,0.056651889,,,
0.82,0.033539066,0.089164226,0.144789385,,,,0.82,0.016114793,0.063091234,0.110067674,,,,0.82,0.006132763,0.031860027,0.057587292,,,
0.83,0.035042708,0.091025469,0.147008229,,,,0.83,0.017139378,0.06441517,0.111690961,,,,0.83,0.00661748,0.032571915,0.05852635,,,
0.84,0.036568871,0.092899837,0.149230802,,,,0.84,0.018182485,0.065749384,0.113316283,,,,0.84,0.007112712,0.033290845,0.059468977,,,
0.85,0.038117331,0.09478709,0.151456848,,,,0.85,0.019243966,0.067093724,0.114943481,,,,0.85,0.00761842,0.034016754,0.060415089,,,
0.86,0.03968786,0.096686989,0.153686117,,,,0.86,0.020323671,0.068448037,0.116572403,,,,0.86,0.008134558,0.03474958,0.061364603,,,
0.87,0.041280223,0.098599294,0.155918365,,,,0.87,0.021421442,0.06981217,0.118202898,,,,0.87,0.008661077,0.035489258,0.062317438,,,
0.88,0.04289418,0.100523766,0.158153352,,,,0.88,0.022537117,0.071185969,0.119834822,,,,0.88,0.009197924,0.03623572,0.063273515,,,
0.89,0.044529486,0.102460165,0.160390844,,,,0.89,0.023670527,0.072569279,0.121468031,,,,0.89,0.009745041,0.036988899,0.064232756,,,
0.9,0.046185892,0.104408253,0.162630613,,,,0.9,0.0248215,0.073961944,0.123102387,,,,0.9,0.010302365,0.037748726,0.065195088,,,
0.91,0.047863143,0.10636779,0.164872436,,,,0.91,0.025989858,0.075363807,0.124737757,,,,0.91,0.01086983,0.038515132,0.066160435,,,
0.92,0.049560978,0.108338537,0.167116096,,,,0.92,0.027175416,0.076774713,0.126374009,,,,0.92,0.011447365,0.039288046,0.067128727,,,
0.93,0.051279132,0.110320257,0.169361382,,,,0.93,0.028377987,0.078194503,0.128011018,,,,0.93,0.012034894,0.040067394,0.068099895,,,
0.94,0.053017336,0.112312712,0.171608087,,,,0.94,0.029597376,0.079623019,0.129648662,,,,0.94,0.01263234,0.040853105,0.069073871,,,
0.95,0.054775315,0.114315664,0.173856013,,,,0.95,0.030833386,0.081060104,0.131286822,,,,0.95,0.013239619,0.041645104,0.070050589,,,
0.96,0.056552789,0.116328877,0.176104965,,,,0.96,0.032085815,0.082505599,0.132925384,,,,0.96,0.013856644,0.042443316,0.071029988,,,
0.97,0.058349475,0.118352116,0.178354756,,,,0.97,0.033354453,0.083959346,0.134564239,,,,0.97,0.014483325,0.043247665,0.072012005,,,
0.98,0.060165085,0.120385145,0.180605204,,,,0.98,0.03463909,0.085421186,0.136203281,,,,0.98,0.015119568,0.044058074,0.072996581,,,
0.99,0.061999327,0.122427729,0.182856132,,,,0.99,0.035939509,0.086890959,0.137842408,,,,0.99,0.015765274,0.044874466,0.073983659,,,
1,0.063851903,0.124479637,0.185107372,,,,1,0.03725549,0.088368507,0.139481523,,,,1,0.016420342,0.045696763,0.074973184,,,
1.01,0.065722513,0.126540635,0.187358758,,,,1.01,0.038586807,0.08985367,0.141120534,,,,1.01,0.017084668,0.046524886,0.075965103,,,
1.02,0.067610852,0.128610492,0.189610132,,,,1.02,0.039933231,0.091346291,0.142759351,,,,1.02,0.017758142,0.047358754,0.076959366,,,
1.03,0.069516613,0.130688978,0.191861343,,,,1.03,0.041294531,0.09284621,0.144397889,,,,1.03,0.018440654,0.048198288,0.077955923,,,
1.04,0.071439483,0.132775864,0.194112244,,,,1.04,0.042670469,0.094353268,0.146036068,,,,1.04,0.019132089,0.049043408,0.078954726,,,
1.05,0.073379148,0.134870921,0.196362695,,,,1.05,0.044060805,0.095867308,0.147673811,,,,1.05,0.019832329,0.049894031,0.079955733,,,
1.06,0.075335288,0.136973924,0.198612561,,,,1.06,0.045465296,0.097388171,0.149311046,,,,1.06,0.020541255,0.050750076,0.080958898,,,
1.07,0.077307582,0.139084647,0.200861713,,,,1.07,0.046883694,0.098915699,0.150947705,,,,1.07,0.021258742,0.051611462,0.081964182,,,
1.08,0.079295705,0.141202866,0.203110027,,,,1.08,0.04831575,0.100449736,0.152583723,,,,1.08,0.021984664,0.052478104,0.082971545,,,
1.09,0.08129933,0.143328359,0.205357388,,,,1.09,0.049761208,0.101990124,0.15421904,,,,1.09,0.022718893,0.053349921,0.08398095,,,
1.1,0.083318126,0.145460904,0.207603681,,,,1.1,0.051219813,0.103536707,0.1558536,,,,1.1,0.023461297,0.054226829,0.084992362,,,
1.11,0.085351761,0.147600282,0.209848803,,,,1.11,0.052691306,0.105089329,0.157487352,,,,1.11,0.024211743,0.055108745,0.086005747,,,
1.12,0.087399899,0.149746274,0.21209265,,,,1.12,0.054175424,0.106647835,0.159120246,,,,1.12,0.024970095,0.055995585,0.087021075,,,
1.13,0.089462202,0.151898666,0.214335129,,,,1.13,0.055671901,0.10821207,0.160752239,,,,1.13,0.025736215,0.056887265,0.088038315,,,
1.14,0.091538332,0.154057241,0.216576149,,,,1.14,0.057180471,0.109781881,0.162383291,,,,1.14,0.026509962,0.0577837,0.089057439,,,
1.15,0.093627947,0.156221786,0.218815625,,,,1.15,0.058700863,0.111357113,0.164013363,,,,1.15,0.027291194,0.058684808,0.090078421,,,
1.16,0.095730703,0.15839209,0.221053478,,,,1.16,0.060232805,0.112937615,0.165642425,,,,1.16,0.028079767,0.059590502,0.091101237,,,
1.17,0.097846255,0.160567944,0.223289633,,,,1.17,0.061776024,0.114523235,0.167270447,,,,1.17,0.028875535,0.0605007,0.092125865,,,
1.18,0.099974258,0.162749139,0.225524021,,,,1.18,0.063330242,0.116113822,0.168897403,,,,1.18,0.02967835,0.061415316,0.093152282,,,
1.19,0.102114362,0.16493547,0.227756578,,,,1.19,0.06489518,0.117709226,0.170523272,,,,1.19,0.030488063,0.062334266,0.094180469,,,
1.2,0.10426622,0.167126732,0.229987243,,,,1.2,0.06647056,0.119309298,0.172148037,,,,1.2,0.031304523,0.063257466,0.095210409,,,
1.21,0.106429482,0.169322722,0.232215963,,,,1.21,0.068056098,0.12091389,0.173771682,,,,1.21,0.032127579,0.064184832,0.096242084,,,
1.22,0.108603795,0.171523241,0.234442688,,,,1.22,0.069651512,0.122522854,0.175394196,,,,1.22,0.032957076,0.065116279,0.097275481,,,
