D1,,,,parameters of the mean fragility,,,D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,,D4,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,0,0,0.874676423,0.212012383,0.050680861,0.000001,0,0,0,14.82120872,1.534392656,0.758581609,0.000001,0,0,0,71.06339967,1.11489007,0.80066751,0.000001,0,0,0,65.67545085,1.145837371,1.192248812
0.01,0,7.83496E-10,1.4494E-08,,,,0.01,0,1.89116E-11,4.47819E-10,,,,0.01,0,2.95488E-12,4.57763E-11,,,,0.01,0,2.51371E-12,8.45837E-11,,,
0.02,0,1.06733E-08,1.62779E-07,,,,0.02,0,3.15246E-10,6.21802E-09,,,,0.02,0,5.93336E-11,8.03455E-10,,,,0.02,0,3.80941E-11,1.26845E-09,,,
0.03,0,5.08827E-08,6.79911E-07,,,,0.03,0,1.69875E-09,2.92887E-08,,,,0.03,0,3.51472E-10,4.34269E-09,,,,0.03,0,1.88297E-10,6.18234E-09,,,
0.04,0,1.57089E-07,1.89322E-06,,,,0.04,0,5.73496E-09,8.86418E-08,,,,0.04,0,1.26042E-09,1.44792E-08,,,,0.04,0,5.8966E-10,1.90225E-08,,,
0.05,0,3.81587E-07,4.22026E-06,,,,0.05,0,1.49538E-08,2.10565E-07,,,,0.05,0,3.43076E-09,3.70362E-08,,,,0.05,0,1.4404E-09,4.54952E-08,,,
0.06,0,7.95859E-07,8.17139E-06,,,,0.06,0,3.30806E-08,4.29183E-07,,,,0.06,0,7.84115E-09,8.01029E-08,,,,0.06,0,3.01113E-09,9.27886E-08,,,
0.07,0,1.49353E-06,1.43543E-05,,,,0.07,0,6.52949E-08,7.87127E-07,,,,0.07,0,1.58829E-08,1.54303E-07,,,,0.07,0,5.65972E-09,1.69559E-07,,,
0.08,0,2.59371E-06,2.34798E-05,,,,0.08,0,1.18522E-07,1.3363E-06,,,,0.08,0,2.94482E-08,2.73078E-07,,,,0.08,0,9.85061E-09,2.8593E-07,,,
0.09,0,4.24477E-06,3.63679E-05,,,,0.09,0,2.01761E-07,2.13871E-06,,,,0.09,0,5.10298E-08,4.52994E-07,,,,0.09,0,1.61792E-08,4.53507E-07,,,
0.1,0,6.62857E-06,5.39557E-05,,,,0.1,0,3.26458E-07,3.26746E-06,,,,0.1,0,8.38333E-08,7.14073E-07,,,,0.1,0,2.54018E-08,6.85392E-07,,,
0.11,0,9.96523E-06,7.7305E-05,,,,0.11,0,5.0692E-07,4.80771E-06,,,,0.11,0,1.31904E-07,1.08015E-06,,,,0.11,0,3.84718E-08,9.96225E-07,,,
0.12,0,1.45184E-05,0.000107611,,,,0.12,0,7.60792E-07,6.85782E-06,,,,0.12,0,2.00269E-07,1.57927E-06,,,,0.12,0,5.65828E-08,1.40223E-06,,,
0.13,0,2.06011E-05,0.000146212,,,,0.13,0,1.10958E-06,9.53057E-06,,,,0.13,0,2.951E-07,2.2441E-06,,,,0.13,0,8.12201E-08,1.92127E-06,,,
0.14,0,2.85825E-05,0.000194599,,,,0.14,0,1.57927E-06,1.29544E-05,,,,0.14,0,4.23893E-07,3.11241E-06,,,,0.14,0,1.1422E-07,2.57293E-06,,,
0.15,0,3.8895E-05,0.000254427,,,,0.15,0,2.20096E-06,1.72749E-05,,,,0.15,0,5.95671E-07,4.22756E-06,,,,0.15,0,1.57839E-07,3.37864E-06,,,
0.16,0,5.20426E-05,0.000327529,,,,0.16,0,3.01163E-06,2.26564E-05,,,,0.16,0,8.21217E-07,5.63906E-06,,,,0.16,0,2.14837E-07,4.36173E-06,,,
0.17,0,6.86095E-05,0.000415924,,,,0.17,0,4.05502E-06,2.92832E-05,,,,0.17,0,1.11332E-06,7.40313E-06,,,,0.17,0,2.88566E-07,5.54765E-06,,,
0.18,0,8.92704E-05,0.000521837,,,,0.18,0,5.3825E-06,3.73619E-05,,,,0.18,0,1.48708E-06,9.58336E-06,,,,0.18,0,3.83081E-07,6.96408E-06,,,
0.19,0,0.000114801,0.000647706,,,,0.19,0,7.05418E-06,4.71229E-05,,,,0.19,0,1.9602E-06,1.22514E-05,,,,0.19,0,5.03258E-07,8.64119E-06,,,
0.2,0,0.000146091,0.000796207,,,,0.2,0,9.14004E-06,5.88228E-05,,,,0.2,0,2.55338E-06,1.54876E-05,,,,0.2,0,6.54936E-07,1.06118E-05,,,
0.21,0,0.000184157,0.000970264,,,,0.21,0,1.17213E-05,7.27461E-05,,,,0.21,0,3.29067E-06,1.9382E-05,,,,0.21,0,8.45071E-07,1.29118E-05,,,
0.22,0,0.000230156,0.00117307,,,,0.22,0,1.48917E-05,8.92079E-05,,,,0.22,0,4.19995E-06,2.4035E-05,,,,0.22,0,1.08192E-06,1.55803E-05,,,
