D1,,,,parameters of the mean fragility,,,D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,0,0,0.965901517,0.171509024,0.022684125,0.000001,0,0,0,11.68526248,1.593701042,0.552607232,0.000001,0,0,0,14.22837429,1.207534628,0.463479158
0.01,0,0,0,,,,0.01,0,0,0,,,,0.01,0,0,0,,,
0.02,0,0,0,,,,0.02,0,0,0,,,,0.02,0,0,0,,,
0.03,0,0,0,,,,0.03,0,0,0,,,,0.03,0,0,0,,,
0.04,0,0,0,,,,0.04,0,0,0,,,,0.04,0,0,0,,,
0.05,0,0,0,,,,0.05,0,0,0,,,,0.05,0,0,0,,,
0.06,0,1.57287E-19,6.0066E-18,,,,0.06,0,0,0,,,,0.06,0,0,0,,,
0.07,0,6.6957E-18,2.0315E-16,,,,0.07,0,1.54522E-19,4.21735E-18,,,,0.07,0,0,0,,,
0.08,0,1.44188E-16,4.20154E-15,,,,0.08,0,4.83764E-18,1.32515E-16,,,,0.08,0,2.40655E-19,6.90941E-18,,,
0.09,0,1.89481E-15,5.31641E-14,,,,0.09,0,7.01582E-17,1.91663E-15,,,,0.09,0,3.44939E-18,1.06296E-16,,,
0.1,0,1.72261E-14,4.67163E-13,,,,0.1,0,6.98767E-16,1.90299E-14,,,,0.1,0,3.79433E-17,1.13062E-15,,,
0.11,0,1.17243E-13,3.08474E-12,,,,0.11,0,5.13356E-15,1.39788E-13,,,,0.11,0,3.02905E-16,8.79249E-15,,,
0.12,0,6.32563E-13,1.6198E-11,,,,0.12,0,2.95834E-14,8.06012E-13,,,,0.12,0,1.88634E-15,5.3555E-14,,,
0.13,0,2.82268E-12,7.05307E-11,,,,0.13,0,1.39774E-13,3.81044E-12,,,,0.13,0,9.59172E-15,2.66963E-13,,,
0.14,0,1.07603E-11,2.62876E-10,,,,0.14,0,5.60092E-13,1.527E-11,,,,0.14,0,4.12099E-14,1.12643E-12,,,
