D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,,D4,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,4.16227E-18,8.5942E-17,2.780687552,0.503271203,0.053976104,0.000001,0,0,0,4.373347052,0.742731016,0.050276833,0.000001,0,0,0,78.34153806,1.985348078,0.764797225
0.01,0,5.13922E-08,2.31601E-07,,,,0.01,0,1.89714E-10,1.92854E-09,,,,0.01,0,1.40757E-10,1.46428E-09,,,
0.02,0,3.44432E-07,1.33039E-06,,,,0.02,0,2.05117E-09,1.70539E-08,,,,0.02,0,1.46113E-09,1.23264E-08,,,
0.03,0,1.066E-06,3.75822E-06,,,,0.03,0,8.49222E-09,6.17945E-08,,,,0.03,0,5.89607E-09,4.32909E-08,,,
0.04,0,2.39575E-06,7.91286E-06,,,,0.04,0,2.36092E-08,1.55256E-07,,,,0.04,0,1.60798E-08,1.06283E-07,,,
0.05,0,4.51204E-06,1.41634E-05,,,,0.05,0,5.26525E-08,3.18992E-07,,,,0.05,0,3.53072E-08,2.14395E-07,,,
0.06,0,7.59366E-06,2.28619E-05,,,,0.06,0,1.02025E-07,5.76904E-07,,,,0.06,0,6.75189E-08,3.81857E-07,,,
0.07,0,1.18206E-05,3.43486E-05,,,,0.07,0,1.79294E-07,9.55172E-07,,,,0.07,0,1.17296E-07,6.24015E-07,,,
0.08,0,1.73746E-05,4.89556E-05,,,,0.08,0,2.93204E-07,1.48222E-06,,,,0.08,0,1.89859E-07,9.57305E-07,,,
0.09,0,2.4439E-05,6.70085E-05,,,,0.09,0,4.53701E-07,2.18869E-06,,,,0.09,0,2.9107E-07,1.39924E-06,,,
0.1,0,3.31993E-05,8.88279E-05,,,,0.1,0,6.71946E-07,3.10741E-06,,,,0.1,0,4.27434E-07,1.96841E-06,,,
0.11,0,4.38427E-05,0.00011473,,,,0.11,0,9.60341E-07,4.27338E-06,,,,0.11,0,6.06103E-07,2.68442E-06,,,
0.12,0,5.65587E-05,0.000145029,,,,0.12,0,1.33255E-06,5.72379E-06,,,,0.12,0,8.34883E-07,3.56794E-06,,,
0.13,0,7.15387E-05,0.000180036,,,,0.13,0,1.80351E-06,7.49797E-06,,,,0.13,0,1.12223E-06,4.64067E-06,,,
0.14,0,8.89761E-05,0.000220057,,,,0.14,0,2.38947E-06,9.63739E-06,,,,0.14,0,1.47728E-06,5.92529E-06,,,
0.15,0,0.000109066,0.000265399,,,,0.15,0,3.10801E-06,1.21857E-05,,,,0.15,0,1.90982E-06,7.44551E-06,,,
0.16,0,0.000132007,0.000316368,,,,0.16,0,3.97803E-06,1.51886E-05,,,,0.16,0,2.4303E-06,9.22604E-06,,,
