D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,,D4,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,0,0,2.637997505,0.726441988,0.092636512,0.000001,0,0,0,4.166895287,1.098140076,0.113958979,0.000001,0,0,0,6.431892993,1.406071662,0.368175399
0.01,0,3.84075E-07,6.75102E-06,,,,0.01,0,1.83024E-08,3.26512E-07,,,,0.01,0,1.13518E-08,2.24473E-07,,,
0.02,0,2.4723E-06,3.82294E-05,,,,0.02,0,1.94723E-07,3.00759E-06,,,,0.02,0,1.23906E-07,2.06289E-06,,,
0.03,0,7.00598E-06,9.7418E-05,,,,0.03,0,7.22785E-07,9.93512E-06,,,,0.03,0,4.72185E-07,6.83519E-06,,,
0.04,0,1.45159E-05,0.00018319,,,,0.04,0,1.79183E-06,2.22279E-05,,,,0.04,0,1.19704E-06,1.53804E-05,,,
0.05,0,2.5539E-05,0.000294087,,,,0.05,0,3.59576E-06,4.06049E-05,,,,0.05,0,2.44667E-06,2.82953E-05,,,
0.06,0,4.06623E-05,0.000428924,,,,0.06,0,6.34183E-06,6.55851E-05,,,,0.06,0,4.38003E-06,4.60515E-05,,,
0.07,0,6.05292E-05,0.000586874,,,,0.07,0,1.02557E-05,9.75873E-05,,,,0.07,0,7.16939E-06,6.9052E-05,,,
0.08,0,8.58367E-05,0.000767445,,,,0.08,0,1.55842E-05,0.000136983,,,,0.08,0,1.10016E-05,9.76613E-05,,,
0.09,0,0.000117327,0.000970434,,,,0.09,0,2.25958E-05,0.000184125,,,,0.09,0,1.60788E-05,0.000132223,,,
0.1,0,0.00015578,0.001195874,,,,0.1,0,3.15805E-05,0.000239366,,,,0.1,0,2.26176E-05,0.00017307,,,
0.11,0,0.000202005,0.00144399,,,,0.11,0,4.28486E-05,0.000303064,,,,0.11,0,3.08492E-05,0.000220532,,,
0.12,0,0.000256834,0.001715163,,,,0.12,0,5.67293E-05,0.000375592,,,,0.12,0,4.1018E-05,0.000274939,,,
0.13,0,0.000321114,0.002009895,,,,0.13,0,7.35686E-05,0.000457336,,,,0.13,0,5.33806E-05,0.000336624,,,
0.14,0,0.000395704,0.002328778,,,,0.14,0,9.37278E-05,0.000548697,,,,0.14,0,6.82042E-05,0.000405923,,,
0.15,0,0.000481465,0.002672476,,,,0.15,0,0.000117581,0.000650091,,,,0.15,0,8.57662E-05,0.000483176,,,
0.16,0,0.000579259,0.003041698,,,,0.16,0,0.000145514,0.000761943,,,,0.16,0,0.000106352,0.000568727,,,
0.17,0,0.000689944,0.003437187,,,,0.17,0,0.00017792,0.00088469,,,,0.17,0,0.000130253,0.000662923,,,
0.18,0,0.00081437,0.003859698,,,,0.18,0,0.000215203,0.001018776,,,,0.18,0,0.00015777,0.000766112,,,
0.19,0,0.000953376,0.004309993,,,,0.19,0,0.000257769,0.001164649,,,,0.19,0,0.000189203,0.00087864,,,
0.2,0,0.001107787,0.004788822,,,,0.2,0,0.000306031,0.00132276,,,,0.2,0,0.00022486,0.001000856,,,
0.21,0,0.001278414,0.005296923,,,,0.21,0,0.000360401,0.001493559,,,,0.21,0,0.000265049,0.001133103,,,
0.22,0,0.001466049,0.00583501,,,,0.22,0,0.000421295,0.001677493,,,,0.22,0,0.00031008,0.001275721,,,
0.23,0,0.001671463,0.006403765,,,,0.23,0,0.000489128,0.001875005,,,,0.23,0,0.000360265,0.001429045,,,
0.24,0,0.001895408,0.007003838,,,,0.24,0,0.000564313,0.002086529,,,,0.24,0,0.000415911,0.001593403,,,
0.25,0,0.002138612,0.007635843,,,,0.25,0,0.00064726,0.002312491,,,,0.25,0,0.00047733,0.001769116,,,
0.26,0,0.00240178,0.00830035,,,,0.26,0,0.000738377,0.002553305,,,,0.26,0,0.000544826,0.001956496,,,
0.27,0,0.002685592,0.008997889,,,,0.27,0,0.000838065,0.002809375,,,,0.27,0,0.000618704,0.002155845,,,
0.28,0,0.002990704,0.009728945,,,,0.28,0,0.000946721,0.003081087,,,,0.28,0,0.000699264,0.002367455,,,
0.29,0,0.003317746,0.010493957,,,,0.29,0,0.001064736,0.003368816,,,,0.29,0,0.000786803,0.002591606,,,
0.3,0,0.003667321,0.01129332,,,,0.3,0,0.001192493,0.003672919,,,,0.3,0,0.000881611,0.002828567,,,
0.31,0,0.004040006,0.012127383,,,,0.31,0,0.001330369,0.003993735,,,,0.31,0,0.000983977,0.003078593,,,
0.32,0,0.004436352,0.01299645,,,,0.32,0,0.00147873,0.004331588,,,,0.32,0,0.001094181,0.003341929,,,
