D1,,,,parameters of the mean fragility,,,D2,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,0,0,0.537817167,0.27464424,0.036402708,0.000001,0,0,0,2.462492087,0.685346507,0.030608573
0.01,0,3.39153E-10,1.81984E-09,,,,0.01,0,6.59359E-16,3.85009E-15,,,
0.02,0,1.1416E-08,4.85695E-08,,,,0.02,0,1.15125E-13,5.32064E-13,,,
0.03,0,9.30082E-08,3.42813E-07,,,,0.03,0,2.44883E-12,9.7909E-12,,,
0.04,0,4.20721E-07,1.39634E-06,,,,0.04,0,2.18971E-11,7.86617E-11,,,
0.05,0,1.37438E-06,4.19879E-06,,,,0.05,0,1.21396E-10,4.00595E-10,,,
0.06,0,3.64847E-06,1.04076E-05,,,,0.06,0,4.96577E-10,1.52738E-09,,,
0.07,0,8.38513E-06,2.256E-05,,,,0.07,0,1.64519E-09,4.76586E-09,,,
0.08,0,1.73306E-05,4.43067E-05,,,,0.08,0,4.66826E-09,1.28353E-08,,,
0.09,0,3.30159E-05,8.06679E-05,,,,0.09,0,1.17626E-08,3.08807E-08,,,
0.1,0,5.89619E-05,0.00013831,,,,0.1,0,2.6978E-08,6.79522E-08,,,
0.11,0,9.99108E-05,0.000225843,,,,0.11,0,5.73278E-08,1.39078E-07,,,
0.12,0,0.000162082,0.000354139,,,,0.12,0,1.14356E-07,2.68073E-07,,,
0.13,0,0.000253458,0.000536664,,,,0.13,0,2.16284E-07,4.91243E-07,,,
0.14,0,0.000384087,0.000789829,,,,0.14,0,3.90867E-07,8.62149E-07,,,
0.15,0,0.000566423,0.001133355,,,,0.15,0,6.79125E-07,1.45763E-06,,,
0.16,4.07274E-05,0.00081568,0.001590634,,,,0.16,0,1.14011E-06,2.38526E-06,,,
0.17,0.000111318,0.001150212,0.002189105,,,,0.17,0,1.85688E-06,3.79247E-06,,,
0.18,0.000223188,0.001591903,0.002960617,,,,0.18,1.03871E-08,2.94392E-06,5.87745E-06,,,
0.19,0.00039139,0.002166579,0.003941769,,,,0.19,2.10125E-07,4.55614E-06,8.90216E-06,,,
