D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,,D4,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,0,0,3.357261197,0.450009153,0.04456602,0.000001,0,0,0,6.221591933,0.925349487,0.295657328,0.000001,0,0,0,42.63363365,1.390999569,0.538907949
0.01,0,0,0,,,,0.01,0,0,0,,,,0.01,0,0,0,,,
0.02,0,5.86126E-18,1.87363E-16,,,,0.02,0,0,0,,,,0.02,0,0,0,,,
0.03,0,5.72059E-16,1.74815E-14,,,,0.03,0,5.19454E-19,1.74526E-17,,,,0.03,0,1.72395E-19,6.35702E-18,,,
0.04,0,1.20391E-14,3.52733E-13,,,,0.04,0,2.30586E-17,5.80928E-16,,,,0.04,0,7.41298E-18,1.8247E-16,,,
0.05,0,1.14296E-13,3.21406E-12,,,,0.05,0,3.67144E-16,8.59864E-15,,,,0.05,0,1.21021E-16,2.73374E-15,,,
0.06,0,6.70291E-13,1.80847E-11,,,,0.06,0,3.21482E-15,7.07447E-14,,,,0.06,0,1.0654E-15,2.26035E-14,,,
0.07,0,2.85394E-12,7.38112E-11,,,,0.07,0,1.8984E-14,3.9429E-13,,,,0.07,0,6.31715E-15,1.26544E-13,,,
0.08,0,9.6877E-12,2.39864E-10,,,,0.08,0,8.48078E-14,1.66657E-12,,,,0.08,0,2.83184E-14,5.37081E-13,,,
0.09,0,2.7806E-11,6.58071E-10,,,,0.09,0,3.08026E-13,5.73507E-12,,,,0.09,0,1.03195E-13,1.85531E-12,,,
0.1,0,7.01835E-11,1.58494E-09,,,,0.1,0,9.5419E-13,1.68465E-11,,,,0.1,0,3.2073E-13,5.46928E-12,,,
0.11,0,1.60101E-10,3.4438E-09,,,,0.11,0,2.60668E-12,4.36608E-11,,,,0.11,0,8.79113E-13,1.42218E-11,,,
0.12,0,3.3667E-10,6.88548E-09,,,,0.12,0,6.43329E-12,1.02256E-10,,,,0.12,0,2.17708E-12,3.34124E-11,,,
0.13,0,6.62285E-10,1.28561E-08,,,,0.13,0,1.46044E-11,2.20327E-10,,,,0.13,0,4.9595E-12,7.22049E-11,,,
0.14,0,1.23244E-09,2.26704E-08,,,,0.14,0,3.09171E-11,4.42758E-10,,,,0.14,0,1.05363E-11,1.45508E-10,,,
0.15,0,2.18841E-09,3.80905E-08,,,,0.15,0,6.16889E-11,8.38726E-10,,,,0.15,0,2.10983E-11,2.76387E-10,,,
0.16,0,3.73328E-09,6.14076E-08,,,,0.16,0,1.16998E-10,1.51049E-09,,,,0.16,0,4.01585E-11,4.99065E-10,,,
0.17,0,6.15196E-09,9.5528E-08,,,,0.17,0,2.12352E-10,2.60395E-09,,,,0.17,0,7.31497E-11,8.62568E-10,,,
0.18,0,9.83575E-09,1.44063E-07,,,,0.18,0,3.70888E-10,4.32115E-09,,,,0.18,0,1.28215E-10,1.43505E-09,,,
0.19,0,1.5312E-08,2.11422E-07,,,,0.19,0,6.26192E-10,6.93474E-09,,,,0.19,0,2.17233E-10,2.30886E-09,,,
0.2,0,2.32798E-08,3.02912E-07,,,,0.2,0,1.02588E-09,1.08046E-08,,,,0.2,0,3.57112E-10,3.60642E-09,,,
0.21,0,3.46512E-08,4.24838E-07,,,,0.21,0,1.63602E-09,1.63964E-08,,,,0.21,0,5.71414E-10,5.48687E-09,,,
