D1,,,,parameters of the mean fragility,,,D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,,D4,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,0,0,0.554928908,0.340454689,0.134262041,0.000001,0,0,0,2.566582796,0.437565376,0.06224523,0.000001,0,0,0,3.667333789,0.607054762,0.088405725,0.000001,0,0,0,7.940351618,0.779438775,0.256154646
0.01,0,7.72473E-06,0.000187838,,,,0.01,0,0,0,,,,0.01,0,0,0,,,,0.01,0,0,0,,,
0.02,0,5.36713E-05,0.001058867,,,,0.02,0,0,0,,,,0.02,0,0,0,,,,0.02,0,0,0,,,
0.03,0,0.000151343,0.00253618,,,,0.03,0,0,0,,,,0.03,0,0,0,,,,0.03,0,0,0,,,
0.04,0,0.000306985,0.004460836,,,,0.04,0,0,0,,,,0.04,0,0,0,,,,0.04,0,0,0,,,
0.05,0,0.000527032,0.006730947,,,,0.05,0,1.77757E-18,4.23266E-17,,,,0.05,0,0,0,,,,0.05,0,0,0,,,
0.06,0,0.000819106,0.009292253,,,,0.06,0,4.35E-17,9.28559E-16,,,,0.06,0,5.73759E-20,2.58061E-18,,,,0.06,0,0,0,,,
0.07,0,0.001192169,0.01212114,,,,0.07,0,5.55253E-16,1.10885E-14,,,,0.07,0,8.33773E-19,2.34422E-17,,,,0.07,0,0,0,,,
0.08,0,0.001656581,0.015212436,,,,0.08,0,4.68223E-15,8.75572E-14,,,,0.08,0,1.16185E-17,2.75083E-16,,,,0.08,0,5.16383E-19,1.45593E-17,,,
0.09,0,0.002224142,0.018571809,,,,0.09,0,2.91228E-14,5.0914E-13,,,,0.09,0,9.79523E-17,2.19899E-15,,,,0.09,0,4.59007E-18,1.37393E-16,,,
0.1,0,0.002908097,0.022211376,,,,0.1,0,1.43599E-13,2.34439E-12,,,,0.1,0,6.22751E-16,1.34997E-14,,,,0.1,0,3.27042E-17,9.69858E-16,,,
0.11,0,0.00372312,0.026147295,,,,0.11,0,5.8973E-13,8.99303E-12,,,,0.11,0,3.17966E-15,6.70312E-14,,,,0.11,0,1.81078E-16,5.34274E-15,,,
0.12,0,0.00468528,0.030398488,,,,0.12,0,2.0897E-12,2.98108E-11,,,,0.12,0,1.35833E-14,2.79006E-13,,,,0.12,0,8.20819E-16,2.40931E-14,,,
0.13,0,0.005811992,0.034985932,,,,0.13,0,6.55755E-12,8.77373E-11,,,,0.13,0,5.01251E-14,1.00202E-12,,,,0.13,0,3.16525E-15,9.22546E-14,,,
0.14,0,0.007121972,0.039932207,,,,0.14,0,1.85856E-11,2.33979E-10,,,,0.14,0,1.63717E-13,3.17717E-12,,,,0.14,0,1.06698E-14,3.08285E-13,,,
0.15,0,0.008635198,0.04526113,,,,0.15,0,4.83071E-11,5.74245E-10,,,,0.15,0,4.82421E-13,9.06061E-12,,,,0.15,0,3.21239E-14,9.18446E-13,,,
0.16,0,0.010372872,0.050997423,,,,0.16,0,1.16541E-10,1.31271E-09,,,,0.16,0,1.30217E-12,2.35933E-11,,,,0.16,0,8.78689E-14,2.48106E-12,,,
0.17,0,0.012357398,0.057166359,,,,0.17,0,2.6351E-10,2.82161E-09,,,,0.17,0,3.25953E-12,5.67959E-11,,,,0.17,0,2.2139E-13,6.16046E-12,,,
0.18,0,0.014612356,0.063793416,,,,0.18,0,5.62887E-10,5.74591E-09,,,,0.18,0,7.64249E-12,1.27704E-10,,,,0.18,0,5.19653E-13,1.42169E-11,,,
0.19,0,0.017162473,0.07090391,,,,0.19,0,1.14345E-09,1.11538E-08,,,,0.19,0,1.69235E-11,2.70497E-10,,,,0.19,0,1.14702E-12,3.07746E-11,,,
0.2,0,0.020033584,0.078522639,,,,0.2,0,2.22126E-09,2.07443E-08,,,,0.2,0,3.56365E-11,5.43645E-10,,,,0.2,0,2.39968E-12,6.29651E-11,,,
0.21,0,0.023252578,0.086673526,,,,0.21,0,4.14587E-09,3.71232E-08,,,,0.21,0,7.17693E-11,1.04305E-09,,,,0.21,0,4.79016E-12,1.22555E-10,,,
0.22,0,0.026847314,0.095379283,,,,0.22,0,7.46492E-09,6.41587E-08,,,,0.22,0,1.38907E-10,1.9203E-09,,,,0.22,0,9.17538E-12,2.28179E-10,,,
0.23,0,0.030846524,0.104661094,,,,0.23,0,1.30121E-08,1.07426E-07,,,,0.23,0,2.59439E-10,3.40747E-09,,,,0.23,0,1.69468E-11,4.08301E-10,,,
0.24,0,0.035279675,0.114538319,,,,0.24,0,2.20244E-08,1.74746E-07,,,,0.24,0,4.69251E-10,5.84979E-09,,,,0.24,0,3.03076E-11,7.05048E-10,,,
0.25,0,0.04017681,0.125028217,,,,0.25,0,3.62954E-08,2.76837E-07,,,,0.25,0,8.24423E-10,9.74807E-09,,,,0.25,0,5.2672E-11,1.17907E-09,,,
0.26,0,0.045568365,0.13614568,,,,0.26,0,5.83722E-08,4.28059E-07,,,,0.26,0,1.41062E-09,1.58126E-08,,,,0.26,0,8.92306E-11,1.91558E-09,,,
0.27,0,0.051484947,0.147902968,,,,0.27,0,9.18046E-08,6.47289E-07,,,,0.27,0,2.35603E-09,2.50307E-08,,,,0.27,0,1.47742E-10,3.03188E-09,,,
0.28,0,0.057957099,0.160309435,,,,0.28,0,1.41455E-07,9.58895E-07,,,,0.28,0,3.84883E-09,3.875E-08,,,,0.28,0,2.39629E-10,4.68647E-09,,,
