D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,,D4,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,6.13945E-16,1.37104E-14,3.784937572,0.438765978,0.04502765,0.000001,0,0,0,4.544703057,0.328068974,0.044403264,0.000001,0,0,0,6.571315891,1.35737627,0.251524356
0.01,0,2.00058E-07,6.86889E-07,,,,0.01,0,4.73884E-12,3.98725E-11,,,,0.01,0,1.86994E-12,1.50503E-11,,,
0.02,0,1.0393E-06,3.03182E-06,,,,0.02,0,6.96848E-11,4.84525E-10,,,,0.02,0,2.85551E-11,1.91567E-10,,,
0.03,0,2.76048E-06,7.35549E-06,,,,0.03,0,3.44531E-10,2.11735E-09,,,,0.03,0,1.4414E-10,8.60232E-10,,,
0.04,0,5.55325E-06,1.3906E-05,,,,0.04,0,1.08462E-09,6.07638E-09,,,,0.04,0,4.60242E-10,2.51683E-09,,,
0.05,0,9.58257E-06,2.28944E-05,,,,0.05,0,2.66082E-09,1.38381E-08,,,,0.05,0,1.14123E-09,5.818E-09,,,
0.06,0,1.4998E-05,3.45084E-05,,,,0.06,0,5.56912E-09,2.7214E-08,,,,0.06,0,2.40918E-09,1.15816E-08,,,
0.07,0,2.19382E-05,4.89186E-05,,,,0.07,0,1.04399E-08,4.83514E-08,,,,0.07,0,4.54868E-09,2.07888E-08,,,
0.08,0,3.05337E-05,6.62829E-05,,,,0.08,0,1.80469E-08,7.97372E-08,,,,0.08,0,7.91142E-09,3.45865E-08,,,
0.09,0,4.09086E-05,8.67492E-05,,,,0.09,0,2.93157E-08,1.24202E-07,,,,0.09,0,1.29207E-08,5.42912E-08,,,
0.1,0,5.31816E-05,0.000110457,,,,0.1,0,4.53327E-08,1.84926E-07,,,,0.1,0,2.00757E-08,8.1392E-08,,,
0.11,0,6.7467E-05,0.000137538,,,,0.11,0,6.73529E-08,2.65445E-07,,,,0.11,0,2.99561E-08,1.17554E-07,,,
0.12,0,8.38754E-05,0.00016812,,,,0.12,0,9.68083E-08,3.69655E-07,,,,0.12,0,4.32259E-08,1.64624E-07,,,
0.13,2.7039E-06,0.000102514,0.000202324,,,,0.13,0,1.35316E-07,5.01821E-07,,,,0.13,0,6.0638E-08,2.2463E-07,,,
0.14,6.70818E-06,0.000123487,0.000240266,,,,0.14,0,1.84686E-07,6.6658E-07,,,,0.14,0,8.30381E-08,2.99789E-07,,,
0.15,1.17341E-05,0.000146897,0.00028206,,,,0.15,0,2.4693E-07,8.6895E-07,,,,0.15,0,1.11369E-07,3.92509E-07,,,
