D1,,,,parameters of the mean fragility,,,D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,6.18116E-12,1.22381E-10,0.377725873,0.585079899,0.161363843,0.000001,0,0,0,2.104874255,0.906555518,0.077932464,0.000001,0,0,0,5.806798765,1.932505246,0.309796526
0.01,0,0.000138325,0.000640666,,,,0.01,0,2.589E-08,1.82651E-07,,,,0.01,0,1.39951E-08,9.6371E-08,,,
0.02,0,0.000633747,0.00236728,,,,0.02,0,3.33661E-07,1.80329E-06,,,,0.02,0,1.8219E-07,9.644E-07,,,
0.03,0,0.001593192,0.005207112,,,,0.03,0,1.54743E-06,7.10439E-06,,,,0.03,0,8.49719E-07,3.82921E-06,,,
0.04,0,0.003109838,0.00921223,,,,0.04,0,4.68071E-06,1.91059E-05,,,,0.04,0,2.58031E-06,1.03566E-05,,,
0.05,0,0.005268095,0.014429006,,,,0.05,0,1.11606E-05,4.15636E-05,,,,0.05,0,6.17081E-06,2.26327E-05,,,
0.06,0,0.008144932,0.020894456,,,,0.06,0,2.28458E-05,7.89298E-05,,,,0.06,0,1.26623E-05,4.31453E-05,,,
0.07,0,0.011810103,0.028635169,,,,0.07,0,4.20365E-05,0.000136306,,,,0.07,0,2.33462E-05,7.47589E-05,,,
0.08,0,0.016325919,0.037666758,,,,0.08,0,7.14742E-05,0.000219379,,,,0.08,0,3.9765E-05,0.000120682,,,
0.09,0,0.021746799,0.047993474,,,,0.09,0,0.000114331,0.000334346,,,,0.09,0,6.37075E-05,0.000184424,,,
0.1,0,0.028118749,0.059607917,,,,0.1,0,0.000174191,0.000487827,,,,0.1,0,9.71968E-05,0.000269749,,,
0.11,0,0.035478814,0.072490848,,,,0.11,0,0.000255015,0.000686763,,,,0.11,0,0.000142474,0.000380617,,,
