D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,,D4,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,6.0352E-07,1.588E-05,2.789678076,0.582598919,0.122793122,0.000001,0,4.3811E-12,1.05973E-10,3.088909158,0.632931792,0.131778788,0.000001,0,2.38499E-14,8.17011E-13,4.426873035,1.070735289,0.268071887
0.01,0,0.000338619,0.005806205,,,,0.01,0,3.38768E-05,0.000520525,,,,0.01,0,3.51672E-06,7.66877E-05,,,
0.02,0,0.00052344,0.007891254,,,,0.02,0,8.10199E-05,0.0011043,,,,0.02,0,1.03595E-05,0.000208931,,,
0.03,0,0.00068862,0.009431392,,,,0.03,0,0.000134256,0.001696134,,,,0.03,0,1.90677E-05,0.000365686,,,
0.04,0,0.000846074,0.010722488,,,,0.04,0,0.000191865,0.002290552,,,,0.04,0,2.91894E-05,0.000534682,,,
0.05,0,0.001000279,0.011870421,,,,0.05,0,0.000253101,0.002884825,,,,0.05,0,4.05441E-05,0.00071008,,,
0.06,0,0.001153556,0.012925925,,,,0.06,0,0.0003176,0.003477491,,,,0.06,0,5.30617E-05,0.000888896,,,
0.07,0,0.001307329,0.013917419,,,,0.07,0,0.000385187,0.004067842,,,,0.07,0,6.67265E-05,0.001069568,,,
0.08,0,0.001462575,0.014862501,,,,0.08,0,0.000455784,0.004655638,,,,0.08,0,8.15523E-05,0.001251294,,,
0.09,0,0.001620015,0.015772889,,,,0.09,0,0.000529376,0.005240932,,,,0.09,0,9.75709E-05,0.001433702,,,
0.1,0,0.001780215,0.016656821,,,,0.1,0,0.000605984,0.005823954,,,,0.1,0,0.000114825,0.001616677,,,
0.11,0,0.001943639,0.017520349,,,,0.11,0,0.000685654,0.006405048,,,,0.11,0,0.000133364,0.001800252,,,
0.12,0,0.002110681,0.018368079,,,,0.12,0,0.000768447,0.006984626,,,,0.12,0,0.000153245,0.001984556,,,
0.13,0,0.002281689,0.019203623,,,,0.13,0,0.00085444,0.007563137,,,,0.13,0,0.000174524,0.002169775,,,
0.14,0,0.002456976,0.020029886,,,,0.14,0,0.000943717,0.008141049,,,,0.14,0,0.000197264,0.002356128,,,
0.15,0,0.002636827,0.020849256,,,,0.15,0,0.00103637,0.008718839,,,,0.15,0,0.000221529,0.002543854,,,
0.16,0,0.002821511,0.021663732,,,,0.16,0,0.001132499,0.009296984,,,,0.16,0,0.000247383,0.002733204,,,
0.17,0,0.003011281,0.022475014,,,,0.17,0,0.001232208,0.009875954,,,,0.17,0,0.000274895,0.002924431,,,
0.18,0,0.003206379,0.02328457,,,,0.18,0,0.001335607,0.01045621,,,,0.18,0,0.000304133,0.003117792,,,
0.19,0,0.00340704,0.024093681,,,,0.19,0,0.001442812,0.011038203,,,,0.19,0,0.000335167,0.003313539,,,
0.2,0,0.003613491,0.024903481,,,,0.2,0,0.001553941,0.011622371,,,,0.2,0,0.000368069,0.003511922,,,
0.21,0,0.003825954,0.02571498,,,,0.21,0,0.001669118,0.012209138,,,,0.21,0,0.000402914,0.003713186,,,
0.22,0,0.004044647,0.026529086,,,,0.22,0,0.001788472,0.012798919,,,,0.22,0,0.000439775,0.003917569,,,
0.23,0,0.004269785,0.027346622,,,,0.23,0,0.001912134,0.013392111,,,,0.23,0,0.00047873,0.004125304,,,
0.24,0,0.004501582,0.028168341,,,,0.24,0,0.002040241,0.013989102,,,,0.24,0,0.000519857,0.004336619,,,
