D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,5.84273E-05,0.000574577,0.988080708,0.54693319,0.272983725,0.000001,0,0,0,1.822201434,0.039580891,0.020833619
0.01,0,0.007435288,0.044324414,,,,0.01,0,1.1171E-11,4.65678E-10,,,
0.02,0,0.011015663,0.060845129,,,,0.02,0,1.32927E-10,5.44752E-09,,,
0.03,0,0.013952438,0.073005752,,,,0.03,0,5.60293E-10,2.26265E-08,,,
0.04,0,0.016583184,0.083027494,,,,0.04,0,1.54811E-09,6.16951E-08,,,
0.05,0,0.019039574,0.091762682,,,,0.05,0,3.39731E-09,1.33752E-07,,,
0.06,0,0.021388939,0.099642117,,,,0.06,0,6.44753E-09,2.50998E-07,,,
0.07,0,0.023671039,0.106917125,,,,0.07,0,1.10723E-08,4.26548E-07,,,
0.08,0,0.025911622,0.1137481,,,,0.08,0,1.76754E-08,6.74305E-07,,,
0.09,0,0.028128505,0.120243933,,,,0.09,0,2.6688E-08,1.00887E-06,,,
0.1,0,0.03033466,0.126481961,,,,0.1,0,3.85659E-08,1.44548E-06,,,
0.11,0,0.03253993,0.13251903,,,,0.11,0,5.37877E-08,1.99992E-06,,,
0.12,0,0.034752052,0.13839808,,,,0.12,0,7.28529E-08,2.68851E-06,,,
0.13,0,0.036977299,0.144152269,,,,0.13,0,9.62795E-08,3.52804E-06,,,
0.14,0,0.039220893,0.149807701,,,,0.14,0,1.24603E-07,4.53575E-06,,,
0.15,0,0.041487293,0.155385272,,,,0.15,0,1.58375E-07,5.72927E-06,,,
0.16,0,0.043780388,0.160901976,,,,0.16,0,1.98161E-07,7.12659E-06,,,
0.17,0,0.046103637,0.166371846,,,,0.17,0,2.4454E-07,8.74605E-06,,,
0.18,0,0.048460171,0.171806645,,,,0.18,0,2.98102E-07,1.06063E-05,,,
0.19,0,0.050852858,0.177216378,,,,0.19,0,3.5945E-07,1.27262E-05,,,
0.2,0,0.053284366,0.182609682,,,,0.2,0,4.29194E-07,1.51249E-05,,,
0.21,0,0.055757194,0.18799412,,,,0.21,0,5.07956E-07,1.78219E-05,,,
0.22,0,0.058273709,0.193376398,,,,0.22,0,5.96364E-07,2.08367E-05,,,
0.23,0,0.060836161,0.198762542,,,,0.23,0,6.95054E-07,2.4189E-05,,,
0.24,0,0.063446703,0.204158024,,,,0.24,0,8.04669E-07,2.78987E-05,,,
0.25,0,0.066107406,0.209567857,,,,0.25,0,9.25858E-07,3.19859E-05,,,
0.26,0,0.068820266,0.214996674,,,,0.26,0,1.05928E-06,3.64706E-05,,,
0.27,0,0.07158721,0.220448776,,,,0.27,0,1.20558E-06,4.13731E-05,,,
0.28,0,0.074410107,0.225928179,,,,0.28,0,1.36544E-06,4.67136E-05,,,
0.29,0,0.077290771,0.231438635,,,,0.29,0,1.53952E-06,5.25125E-05,,,
0.3,0,0.080230967,0.236983659,,,,0.3,0,1.7285E-06,5.879E-05,,,
0.31,0,0.083232413,0.242566534,,,,0.31,0,1.93306E-06,6.55664E-05,,,
0.32,0,0.086296788,0.248190326,,,,0.32,0,2.15387E-06,7.28622E-05,,,
0.33,0,0.089425733,0.253857888,,,,0.33,0,2.39162E-06,8.06976E-05,,,
0.34,0,0.092620857,0.259571859,,,,0.34,0,2.647E-06,8.90929E-05,,,
0.35,0,0.095883745,0.265334672,,,,0.35,0,2.92072E-06,9.80682E-05,,,
0.36,0,0.099215952,0.271148553,,,,0.36,0,3.21346E-06,0.000107644,,,
0.37,0,0.102619019,0.277015529,,,,0.37,0,3.52593E-06,0.00011784,,,
0.38,0,0.106094469,0.28293743,,,,0.38,0,3.85884E-06,0.000128675,,,
0.39,0,0.109643811,0.288915897,,,,0.39,0,4.21291E-06,0.000140171,,,
0.4,0,0.113268546,0.294952387,,,,0.4,0,4.58886E-06,0.000152347,,,
0.41,0,0.116970166,0.301048182,,,,0.41,0,4.98743E-06,0.000165222,,,
0.42,0,0.120750159,0.30720439,,,,0.42,0,5.40934E-06,0.000178816,,,
0.43,0,0.124610007,0.313421951,,,,0.43,0,5.85535E-06,0.000193147,,,
0.44,0,0.128551191,0.319701635,,,,0.44,0,6.32621E-06,0.000208236,,,
0.45,0,0.13257519,0.326044044,,,,0.45,0,6.82271E-06,0.000224101,,,
0.46,0,0.136683487,0.332449605,,,,0.46,0,7.34562E-06,0.00024076,,,
0.47,0,0.140877567,0.338918567,,,,0.47,0,7.89575E-06,0.000258232,,,
0.48,0,0.145158924,0.345451002,,,,0.48,0,8.47393E-06,0.000276536,,,
0.49,0,0.149529065,0.352046804,,,,0.49,0,9.081E-06,0.000295689,,,
0.5,0,0.153989509,0.358705697,,,,0.5,0,9.71782E-06,0.000315709,,,
0.51,0,0.158541798,0.365427252,,,,0.51,0,1.03853E-05,0.000336615,,,
0.52,0,0.163187491,0.372210904,,,,0.52,0,1.10844E-05,0.000358422,,,
0.53,0,0.167928175,0.379055979,,,,0.53,0,1.18161E-05,0.000381149,,,
