D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,0.000101701,0.000804862,0.706235031,1.025561175,0.37983411,0.000001,0,3.99934E-06,7.93296E-05,1.198150113,1.097725152,0.430369105
0.01,0,0.01424821,0.058725823,,,,0.01,0,0.001003249,0.008664093,,,
0.02,0,0.021366146,0.07927831,,,,0.02,0,0.001729348,0.01252706,,,
0.03,0,0.027490495,0.095211911,,,,0.03,0,0.002476699,0.015812631,,,
0.04,0,0.033168639,0.10894115,,,,0.04,0,0.003268074,0.018899142,,,
0.05,0,0.038611563,0.121349173,,,,0.05,0,0.004110742,0.021918749,,,
0.06,0,0.043928114,0.132873107,,,,0.06,0,0.00500835,0.024931052,,,
0.07,0,0.049183872,0.143765762,,,,0.07,0,0.005963503,0.027966805,,,
0.08,0,0.054422451,0.154188168,,,,0.08,0,0.00697854,0.031043497,,,
0.09,0,0.059674902,0.164249852,,,,0.09,0,0.008055799,0.03417197,,,
0.1,0,0.06496443,0.174028899,,,,0.1,0,0.009197703,0.03735953,,,
0.11,0,0.070308992,0.183582964,,,,0.11,0,0.010406787,0.040611513,,,
0.12,0,0.075722817,0.192955755,,,,0.12,0,0.011685693,0.043932113,,,
0.13,0,0.081217355,0.202181095,,,,0.13,0,0.013037157,0.047324833,,,
0.14,0,0.086801892,0.21128557,,,,0.14,0,0.014463984,0.050792737,,,
0.15,0,0.092483955,0.220290329,,,,0.15,0,0.015969032,0.054338591,,,
0.16,0,0.098269603,0.229212338,,,,0.16,0,0.017555182,0.057964945,,,
0.17,0,0.104163626,0.238065274,,,,0.17,0,0.019225321,0.061674176,,,
0.18,0,0.110169696,0.24686019,,,,0.18,0,0.02098232,0.06546851,,,
0.19,0,0.116290477,0.255605997,,,,0.19,0,0.022829011,0.069350029,,,
0.2,0,0.122527715,0.264309844,,,,0.2,0,0.024768168,0.073320673,,,
0.21,0,0.128882311,0.272977407,,,,0.21,0,0.026802488,0.07738223,,,
0.22,0,0.135354378,0.281613119,,,,0.22,0,0.028934574,0.081536331,,,
0.23,0,0.141943293,0.29022036,,,,0.23,0,0.031166912,0.085784436,,,
0.24,0,0.148647749,0.298801609,,,,0.24,0,0.033501862,0.090127822,,,
0.25,0.003573008,0.155465795,0.307358582,,,,0.25,0,0.035941634,0.094567574,,,
0.26,0.008897423,0.162394881,0.315892339,,,,0.26,0,0.038488278,0.099104567,,,
0.27,0.014460405,0.169431898,0.324403391,,,,0.27,0,0.041143667,0.103739461,,,
0.28,0.020254658,0.176573221,0.332891784,,,,0.28,0,0.043909481,0.108472685,,,
0.29,0.026272311,0.183814746,0.341357181,,,,0.29,0,0.0467872,0.113304436,,,
0.3,0.03250494,0.191151935,0.34979893,,,,0.3,0,0.049778086,0.118234663,,,
0.31,0.038943575,0.198579855,0.358216134,,,,0.31,0,0.052883177,0.123263072,,,
0.32,0.045578731,0.206093217,0.366607702,,,,0.32,0,0.056103276,0.128389118,,,
0.33,0.052400438,0.213686421,0.374972404,,,,0.33,0,0.05943894,0.133612009,,,
0.34,0.059398274,0.221353595,0.383308916,,,,0.34,0,0.06289048,0.138930705,,,
0.35,0.066561409,0.229088634,0.391615859,,,,0.35,0,0.06645795,0.144343931,,,
0.36,0.073878651,0.236885243,0.399891835,,,,0.36,0,0.070141147,0.14985018,,,
0.37,0.081338494,0.244736972,0.408135449,,,,0.37,0,0.073939609,0.155447728,,,
0.38,0.088929176,0.252637258,0.41634534,,,,0.38,0,0.077852611,0.161134647,,,
0.39,0.096638728,0.26057946,0.424520193,,,,0.39,0,0.08187917,0.166908816,,,
0.4,0.10445504,0.268556894,0.432658749,,,,0.4,0,0.086018047,0.172767944,,,
0.41,0.112365913,0.276562867,0.440759821,,,,0.41,0.001825913,0.090267749,0.178709584,,,
0.42,0.120359126,0.284590707,0.448822287,,,,0.42,0.004521912,0.094626532,0.184731153,,,
0.43,0.128422491,0.292633795,0.4568451,,,,0.43,0.007354881,0.099092414,0.190829947,,,
0.44,0.136543912,0.300685594,0.464827276,,,,0.44,0.010323185,0.103663175,0.197003165,,,
0.45,0.144711444,0.308739668,0.472767891,,,,0.45,0.013424813,0.108336368,0.203247923,,,
0.46,0.152913347,0.316789712,0.480666076,,,,0.46,0.016657384,0.113109328,0.209561273,,,
