D1,,,,parameters of the mean fragility,,,D2,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,2.00338E-07,7.78754E-06,0.383280186,0.448560808,0.188614332,0.000001,0,0,0,1.592134428,0.327052052,0.11990032
0.01,0,0.001292351,0.016135132,,,,0.01,0,1.82071E-12,5.20684E-11,,,
0.02,0,0.00280869,0.02575623,,,,0.02,0,4.08111E-10,1.10341E-08,,,
0.03,0,0.004590814,0.034839738,,,,0.03,0,6.86548E-09,1.96481E-07,,,
0.04,0,0.006631375,0.043910657,,,,0.04,0,4.19804E-08,1.26808E-06,,,
0.05,0,0.008952052,0.053122876,,,,0.05,0,1.51636E-07,4.73312E-06,,,
0.06,0,0.011585678,0.062567294,,,,0.06,0,4.0024E-07,1.26775E-05,,,
0.07,0,0.014568643,0.07232392,,,,0.07,0,8.62592E-07,2.7317E-05,,,
0.08,0,0.017938741,0.082468276,,,,0.08,0,1.61928E-06,5.06116E-05,,,
0.09,0,0.02173533,0.093070382,,,,0.09,0,2.75733E-06,8.40631E-05,,,
0.1,0,0.026000131,0.104193642,,,,0.1,0,4.37501E-06,0.000128686,,,
0.11,0,0.030777954,0.115894692,,,,0.11,0,6.58865E-06,0.000185091,,,
0.12,0,0.036117082,0.128224062,,,,0.12,0,9.53988E-06,0.000253631,,,
0.13,0,0.042069324,0.141227186,,,,0.13,0,1.34019E-05,0.00033455,,,
0.14,0,0.04868983,0.154945261,,,,0.14,0,1.83836E-05,0.000428133,,,
0.15,0,0.056036706,0.169415584,,,,0.15,0,2.47315E-05,0.000534829,,,
0.16,0,0.064170447,0.184671243,,,,0.16,0,3.27297E-05,0.000655354,,,
0.17,0,0.073153163,0.200740234,,,,0.17,0,4.26973E-05,0.000790764,,,
0.18,0,0.08304755,0.217644176,,,,0.18,0,5.49858E-05,0.000942489,,,
0.19,0,0.093915547,0.235396809,,,,0.19,0,6.99762E-05,0.001112307,,,
0.2,0,0.105816671,0.25400241,,,,0.2,0,8.8076E-05,0.001302277,,,
0.21,0,0.118805998,0.273454241,,,,0.21,0,0.000109718,0.001514614,,,
0.22,0,0.132931816,0.293733165,,,,0.22,0,0.000135357,0.001751538,,,
0.23,0,0.148232962,0.314806592,,,,0.23,0,0.00016547,0.002015144,,,
0.24,0,0.164735902,0.336627995,,,,0.24,0,0.000200554,0.002307288,,,
0.25,0.00576624,0.182451696,0.359137151,,,,0.25,0,0.00024112,0.002629534,,,
0.26,0.020485071,0.201373095,0.382261119,,,,0.26,0,0.000287692,0.002983156,,,
0.27,0.037028429,0.221472071,0.405915712,,,,0.27,0,0.000340796,0.00336917,,,
0.28,0.0553891,0.242698113,0.430007125,,,,0.28,0,0.000400958,0.003788383,,,
0.29,0.075521587,0.264977561,0.454433535,,,,0.29,0,0.00046869,0.004241439,,,
0.3,0.097341456,0.288214119,0.479086781,,,,0.3,0,0.00054449,0.004728836,,,
0.31,0.120726728,0.312290552,0.503854376,,,,0.31,0,0.000628831,0.005250919,,,
0.32,0.145520962,0.337071485,0.528622007,,,,0.32,0,0.000722154,0.005807839,,,
0.33,0.171537782,0.362407071,0.55327636,,,,0.33,0,0.000824869,0.006399513,,,
0.34,0.198566736,0.388137309,0.577707882,,,,0.34,0,0.000937351,0.007025577,,,
0.35,0.226380361,0.414096709,0.601813056,,,,0.35,0,0.00105994,0.007685364,,,
0.36,0.254742123,0.440119024,0.625495925,,,,0.36,0,0.001192944,0.008377904,,,
0.37,0.283414748,0.466041801,0.648668854,,,,0.37,0,0.001336642,0.009101951,,,
0.38,0.312168276,0.491710491,0.671252707,,,,0.38,0,0.00149129,0.009856037,,,
0.39,0.340787237,0.516981954,0.693176671,,,,0.39,0,0.001657125,0.010638549,,,
0.4,0.369076435,0.541727223,0.714378012,,,,0.4,0,0.001834377,0.011447805,,,
0.41,0.396865021,0.565833465,0.734801909,,,,0.41,0,0.002023271,0.012282147,,,
0.42,0.424008778,0.589205132,0.754401487,,,,0.42,0,0.002224038,0.013140014,,,
0.43,0.450390695,0.611764358,0.773138021,,,,0.43,0,0.002436922,0.014020012,,,
0.44,0.475920102,0.633450689,0.790981275,,,,0.44,0,0.002662186,0.014920975,,,
0.45,0.50053071,0.654220263,0.807909816,,,,0.45,0,0.002900123,0.015841994,,,
0.46,0.524177939,0.67404458,0.823911222,,,,0.46,0,0.003151056,0.016782453,,,
0.47,0.546835902,0.692908977,0.838982052,,,,0.47,0,0.003415351,0.01774203,,,
0.48,0.568494339,0.710810943,0.853127548,,,,0.48,0,0.003693416,0.0187207,,,
0.49,0.589155699,0.727758371,0.866361044,,,,0.49,0,0.003985709,0.019718723,,,
0.5,0.608832518,0.743767829,0.878703139,,,,0.5,0,0.004292741,0.020736622,,,
0.51,0.627545137,0.758862916,0.890180695,,,,0.51,0,0.004615074,0.021775163,,,
0.52,0.645319768,0.773072751,0.900825734,,,,0.52,0,0.004953333,0.022835327,,,
0.53,0.6621869,0.786430608,0.910674316,,,,0.53,0,0.005308196,0.023918282,,,
0.54,0.678179989,0.798972721,0.919765453,,,,0.54,0,0.005680405,0.025025356,,,
0.55,0.69333441,0.81073726,0.928140111,,,,0.55,0,0.006070764,0.026158014,,,
0.56,0.707686612,0.821763464,0.935840316,,,,0.56,0,0.006480135,0.027317835,,,
0.57,0.721273465,0.832090929,0.942908393,,,,0.57,0,0.006909449,0.028506491,,,
0.58,0.734131735,0.841759026,0.949386318,,,,0.58,0,0.007359698,0.029725732,,,
0.59,0.746297696,0.85080645,0.955315204,,,,0.59,0,0.007831939,0.030977374,,,
0.6,0.757806831,0.859270862,0.960734893,,,,0.6,0,0.008327298,0.032263286,,,
0.61,0.768693614,0.867188629,0.965683644,,,,0.61,0,0.008846966,0.033585385,,,
0.62,0.77899136,0.874594636,0.970197911,,,,0.62,0,0.009392205,0.034945632,,,
0.63,0.788732116,0.881522157,0.974312197,,,,0.63,0,0.009964347,0.036346024,,,
0.64,0.797946602,0.888002782,0.978058963,,,,0.64,0,0.010564798,0.037788596,,,
0.65,0.806664173,0.894066385,0.981468598,,,,0.65,0,0.011195035,0.039275421,,,
0.66,0.814912814,0.899741115,0.984569416,,,,0.66,0,0.011856615,0.040808607,,,
0.67,0.822719143,0.905053423,0.987387702,,,,0.67,0,0.012551172,0.042390304,,,
0.68,0.830108435,0.910028103,0.989947771,,,,0.68,0,0.013280421,0.044022699,,,
0.69,0.837104649,0.914688346,0.992272044,,,,0.69,0,0.014046158,0.045708019,,,
0.7,0.843730468,0.919055809,0.99438115,,,,0.7,0,0.014850267,0.047448538,,,
0.71,0.850007339,0.92315068,0.996294021,,,,0.71,0,0.015694717,0.049246571,,,
0.72,0.85595552,0.926991761,0.998028002,,,,0.72,0,0.016581569,0.051104481,,,
0.73,0.861594127,0.930596541,0.999598955,,,,0.73,0,0.017512973,0.053024677,,,
0.74,0.866941182,0.933981277,1.001021371,,,,0.74,0,0.018491174,0.055009614,,,
0.75,0.872013661,0.937161066,1.002308471,,,,0.75,0,0.019518511,0.057061797,,,
0.76,0.87682755,0.940149929,1.003472308,,,,0.76,0,0.020597421,0.059183778,,,
0.77,0.881397883,0.942960872,1.00452386,,,,0.77,0,0.021730437,0.061378155,,,
0.78,0.885738801,0.945605964,1.005473127,,,,0.78,0,0.022920194,0.063647573,,,
0.79,0.889863592,0.948096401,1.006329209,,,,0.79,0,0.024169424,0.065994722,,,
0.8,0.89378474,0.950442564,1.007100388,,,,0.8,0,0.025480959,0.068422334,,,
0.81,0.897513968,0.952654084,1.007794201,,,,0.81,0,0.026857731,0.070933181,,,
0.82,0.901062283,0.954739894,1.008417505,,,,0.82,0,0.02830277,0.073530075,,,
0.83,0.904440017,0.956708279,1.008976542,,,,0.83,0,0.029819203,0.076215861,,,
0.84,0.907656863,0.958566928,1.009476992,,,,0.84,0,0.031410254,0.078993413,,,
0.85,0.910721919,0.960322974,1.009924029,,,,0.85,0,0.033079237,0.081865635,,,
0.86,0.913643721,0.961983042,1.010322362,,,,0.86,0,0.03482956,0.084835449,,,
0.87,0.916430277,0.96355328,1.010676283,,,,0.87,0,0.03666471,0.087905795,,,
0.88,0.919089101,0.965039401,1.0109897,,,,0.88,0,0.038588261,0.091079622,,,
0.89,0.921627245,0.966446712,1.011266179,,,,0.89,0,0.040603859,0.094359885,,,
0.9,0.924051325,0.967780148,1.011508971,,,,0.9,0,0.042715217,0.097749532,,,
0.91,0.926367552,0.969044295,1.011721039,,,,0.91,0,0.044926111,0.101251502,,,
0.92,0.928581756,0.970243424,1.011905092,,,,0.92,0,0.04724037,0.104868717,,,
0.93,0.930699413,0.971381505,1.012063598,,,,0.93,0,0.049661865,0.108604067,,,
0.94,0.932725664,0.972462239,1.012198814,,,,0.94,0,0.052194499,0.112460411,,,
0.95,0.934665341,0.973489071,1.012312801,,,,0.95,0,0.054842196,0.11644056,,,
0.96,0.936522983,0.974465213,1.012407442,,,,0.96,0,0.057608891,0.120547271,,,
0.97,0.938302859,0.97539366,1.012484461,,,,0.97,0,0.06049851,0.12478324,,,
0.98,0.940008981,0.976277205,1.012545429,,,,0.98,0,0.063514963,0.129151089,,,
0.99,0.941645125,0.977118457,1.012591789,,,,0.99,0,0.066662122,0.13365336,,,
1,0.943214844,0.97791985,1.012624857,,,,1,0.001595112,0.069943809,0.138292506,,,
1.01,0.944721484,0.978683661,1.012645838,,,,1.01,0.003656668,0.073363776,0.143070883,,,
1.02,0.946168195,0.979412015,1.012655836,,,,1.02,0.005860628,0.076925686,0.147990744,,,
1.03,0.947557944,0.980106903,1.012655861,,,,1.03,0.008211965,0.080633097,0.153054229,,,
1.04,0.948893529,0.980770184,1.012646839,,,,1.04,0.010715514,0.084489439,0.158263365,,,
1.05,0.950177589,0.981403602,1.012629614,,,,1.05,0.013375937,0.088497997,0.163620056,,,
1.06,0.951412612,0.982008788,1.012604964,,,,1.06,0.016197686,0.092661885,0.169126083,,,
