D1,,,,parameters of the mean fragility,,,D2,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,0,0,0.255518255,0.430768995,0.147816244,0.000001,0,0,0,1.240695944,0.587099479,0.065430525
0.01,0,4.64592E-06,9.1004E-05,,,,0.01,0,6.09005E-16,2.68993E-14,,,
0.02,0,7.72654E-05,0.000835155,,,,0.02,0,1.44882E-12,6.06189E-11,,,
0.03,0,0.00038075,0.002844417,,,,0.03,0,7.45145E-11,2.7945E-09,,,
0.04,0,0.001149249,0.006665741,,,,0.04,0,9.98634E-10,3.14655E-08,,,
0.05,0,0.002663679,0.012761901,,,,0.05,0,7.03387E-09,1.75322E-07,,,
0.06,0,0.005237957,0.021504543,,,,0.06,0,3.42837E-08,6.49527E-07,,,
0.07,0,0.009206748,0.033184453,,,,0.07,0,1.30766E-07,1.86072E-06,,,
0.08,0,0.01491094,0.048019737,,,,0.08,0,4.15372E-07,4.49733E-06,,,
0.09,0,0.022681342,0.066156162,,,,0.09,0,1.14075E-06,9.67763E-06,,,
0.1,0,0.032822105,0.087660571,,,,0.1,0,2.78105E-06,1.917E-05,,,
0.11,0,0.045595012,0.112511525,,,,0.11,0,6.14142E-06,3.56571E-05,,,
0.12,0,0.061205339,0.140591767,,,,0.12,0,1.24834E-05,6.2982E-05,,,
0.13,0,0.079789842,0.17168571,,,,0.13,0,2.36578E-05,0.000106323,,,
0.14,0,0.101407373,0.205483363,,,,0.14,0,4.22359E-05,0.000172273,,,
0.15,0.010474408,0.126032658,0.241590908,,,,0.15,0,7.16276E-05,0.000268842,,,
0.16,0.02756021,0.153553776,0.279547343,,,,0.16,0,0.000116176,0.000405378,,,
0.17,0.048701619,0.183773851,0.318846083,,,,0.17,0,0.000181215,0.00059243,,,
0.18,0.073874859,0.21641726,0.35895966,,,,0.18,0,0.000273084,0.000841561,,,
0.19,0.102915432,0.251140269,0.399365106,,,,0.19,0,0.00039909,0.001165102,,,
0.2,0.135523592,0.287545512,0.439567432,,,,0.2,0,0.000567412,0.001575873,,,
0.21,0.171279446,0.325199231,0.479119016,,,,0.21,0,0.000786959,0.002086874,,,
0.22,0.209666234,0.363649871,0.517633508,,,,0.22,0,0.001067182,0.002710965,,,
