D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,6.29711E-06,0.000198104,1.001682517,0.101793327,0.056055606,0.000001,0,5.27988E-07,1.87722E-05,1.13117361,0.586365846,0.184800112
0.01,0,0.00046355,0.008902937,,,,0.01,0,8.75722E-05,0.002389302,,,
0.02,0,0.000690344,0.012725114,,,,0.02,0,0.000135607,0.003451287,,,
0.03,0,0.000875529,0.01567054,,,,0.03,0,0.000176423,0.004306882,,,
0.04,0,0.001038712,0.018127423,,,,0.04,0,0.000213452,0.00505337,,,
0.05,0,0.001187972,0.020258988,,,,0.05,0,0.000248177,0.005726815,,,
0.06,0,0.001327707,0.022154401,,,,0.06,0,0.000281456,0.00634567,,,
0.07,0,0.001460696,0.023869285,,,,0.07,0,0.000313869,0.006921231,,,
0.08,0,0.001588874,0.025441296,,,,0.08,0,0.000345851,0.007461273,,,
0.09,0,0.001713687,0.026897391,,,,0.09,0,0.000377752,0.007971594,,,
0.1,0,0.001836273,0.028257689,,,,0.1,0,0.000409863,0.008456775,,,
0.11,0,0.001957569,0.029537699,,,,0.11,0,0.000442443,0.008920598,,,
0.12,0,0.002078377,0.030749699,,,,0.12,0,0.000475725,0.009366291,,,
0.13,0,0.002199401,0.031903637,,,,0.13,0,0.000509926,0.009796676,,,
0.14,0,0.002321277,0.033007734,,,,0.14,0,0.000545251,0.010214274,,,
0.15,0,0.002444592,0.034068913,,,,0.15,0,0.000581901,0.010621377,,,
0.16,0,0.002569901,0.035093106,,,,0.16,0,0.000620071,0.011020091,,,
0.17,0,0.002697731,0.036085476,,,,0.17,0,0.000659956,0.01141238,,,
0.18,0,0.002828598,0.037050591,,,,0.18,0,0.000701752,0.011800091,,,
0.19,0,0.002963005,0.037992553,,,,0.19,0,0.00074566,0.012184972,,,
0.2,0,0.003101454,0.038915094,,,,0.2,0,0.000791882,0.012568694,,,
0.21,0,0.003244447,0.039821663,,,,0.21,0,0.000840629,0.012952863,,,
0.22,0,0.00339249,0.040715481,,,,0.22,0,0.00089212,0.013339028,,,
0.23,0,0.003546097,0.041599598,,,,0.23,0,0.00094658,0.013728695,,,
0.24,0,0.003705795,0.04247693,,,,0.24,0,0.001004246,0.014123331,,,
0.25,0,0.003872123,0.043350298,,,,0.25,0,0.001065368,0.014524376,,,
0.26,0,0.004045638,0.04422245,,,,0.26,0,0.001130207,0.014933242,,,
0.27,0,0.004226918,0.045096091,,,,0.27,0,0.001199036,0.015351325,,,
0.28,0,0.004416562,0.045973898,,,,0.28,0,0.001272148,0.015780009,,,
0.29,0,0.004615193,0.046858541,,,,0.29,0,0.001349851,0.016220668,,,
0.3,0,0.004823466,0.047752697,,,,0.3,0,0.001432469,0.016674677,,,
0.31,0,0.005042063,0.048659061,,,,0.31,0,0.001520349,0.01714341,,,
0.32,0,0.005271704,0.049580364,,,,0.32,0,0.00161386,0.017628254,,,
0.33,0,0.005513142,0.050519375,,,,0.33,0,0.001713393,0.018130605,,,
0.34,0,0.005767176,0.051478921,,,,0.34,0,0.001819363,0.018651881,,,
0.35,0,0.006034645,0.052461887,,,,0.35,0,0.001932217,0.019193525,,,
0.36,0,0.00631644,0.053471236,,,,0.36,0,0.002052429,0.019757011,,,
0.37,0,0.0066135,0.054510008,,,,0.37,0,0.002180504,0.020343853,,,
0.38,0,0.006926827,0.055581338,,,,0.38,0,0.002316985,0.02095561,,,
0.39,0,0.007257479,0.056688462,,,,0.39,0,0.002462452,0.021593893,,,
0.4,0,0.007606585,0.057834727,,,,0.4,0,0.002617524,0.022260377,,,
0.41,0,0.007975346,0.059023607,,,,0.41,0,0.002782866,0.022956807,,,
0.42,0,0.008365041,0.060258711,,,,0.42,0,0.002959192,0.02368501,,,
0.43,0,0.008777035,0.061543799,,,,0.43,0,0.003147265,0.024446902,,,
0.44,0,0.009212786,0.062882795,,,,0.44,0,0.003347907,0.025244503,,,
0.45,0,0.009673851,0.064279807,,,,0.45,0,0.003562001,0.026079946,,,
0.46,0,0.010161899,0.06573914,,,,0.46,0,0.003790496,0.026955495,,,
0.47,0,0.010678716,0.06726532,,,,0.47,0,0.004034412,0.027873553,,,
0.48,0,0.011226217,0.068863113,,,,0.48,0,0.004294848,0.028836683,,,
0.49,0,0.011806456,0.070537547,,,,0.49,0,0.00457299,0.029847621,,,
0.5,0,0.012421643,0.072293941,,,,0.5,0,0.004870115,0.030909296,,,
0.51,0,0.01307415,0.074137929,,,,0.51,0,0.005187602,0.032024849,,,
0.52,0,0.013766534,0.076075488,,,,0.52,0,0.005526939,0.033197652,,,
0.53,0,0.014501548,0.07811297,,,,0.53,0,0.005889736,0.034431335,,,
0.54,0,0.015282163,0.080257132,,,,0.54,0,0.006277733,0.035729803,,,
0.55,0,0.016111586,0.082515172,,,,0.55,0,0.006692815,0.037097269,,,
0.56,0,0.016993288,0.084894758,,,,0.56,0,0.007137024,0.038538275,,,
0.57,0,0.017931024,0.087404067,,,,0.57,0,0.007612575,0.040057723,,,
0.58,0,0.018928868,0.090051814,,,,0.58,0,0.008121873,0.041660908,,,
0.59,0,0.019991241,0.092847295,,,,0.59,0,0.008667534,0.043353542,,,
0.6,0,0.021122956,0.095800415,,,,0.6,0,0.009252404,0.045141797,,,
0.61,0,0.022329255,0.098921725,,,,0.61,0,0.009879583,0.047032332,,,
0.62,0,0.023615862,0.102222454,,,,0.62,0,0.010552458,0.04903233,,,
0.63,0,0.02498904,0.10571455,,,,0.63,0,0.01127473,0.051149537,,,
0.64,0,0.026455658,0.109410709,,,,0.64,0,0.012050452,0.053392301,,,
0.65,0,0.028023268,0.113324422,,,,0.65,0,0.012884075,0.055769605,,,
0.66,0,0.029700197,0.117470012,,,,0.66,0,0.013780491,0.058291116,,,
0.67,0,0.031495649,0.121862695,,,,0.67,0,0.014745094,0.060967221,,,
0.68,0,0.033419836,0.126518642,,,,0.68,0,0.015783847,0.063809079,,,
0.69,0,0.035484121,0.131455063,,,,0.69,0,0.016903362,0.066828667,,,
0.7,0,0.037701196,0.136690319,,,,0.7,0,0.01811099,0.070038836,,,
0.71,0,0.04008529,0.14224406,,,,0.71,0,0.019414936,0.073453377,,,
0.72,0,0.042652419,0.148137408,,,,0.72,0,0.020824389,0.077087092,,,
0.73,0,0.045420684,0.154393195,,,,0.73,0,0.022349685,0.080955888,,,
0.74,0,0.048410628,0.161036263,,,,0.74,0,0.024002494,0.085076889,,,
0.75,0,0.05164567,0.168093842,,,,0.75,0,0.025796055,0.089468572,,,
0.76,0,0.055152621,0.175596037,,,,0.76,0,0.027745454,0.094150957,,,
0.77,0,0.058962314,0.183576426,,,,0.77,0,0.029867962,0.099145838,,,
0.78,0,0.063110359,0.192072812,,,,0.78,0,0.032183448,0.104477102,,,
0.79,0,0.067638059,0.201128162,,,,0.79,0,0.034714881,0.110171145,,,
0.8,0,0.072593515,0.210791778,,,,0.8,0,0.03748893,0.116257437,,,
0.81,0,0.078032956,0.221120756,,,,0.81,0,0.040536701,0.122769265,,,
0.82,0,0.084022347,0.232181801,,,,0.82,0,0.043894625,0.129744728,,,
0.83,0,0.090639303,0.244053461,,,,0.83,0,0.047605512,0.137228027,,,
0.84,0,0.097975392,0.256828843,,,,0.84,0,0.051719826,0.145271124,,,
0.85,0,0.106138842,0.270618824,,,,0.85,0,0.05629718,0.15393578,,,
0.86,0,0.115257747,0.285555694,,,,0.86,0,0.061408088,0.163295992,,,
0.87,0,0.125483787,0.301797069,,,,0.87,0,0.067135994,0.173440736,,,
0.88,0,0.136996515,0.319529738,,,,0.88,0,0.073579569,0.184476838,,,
0.89,0,0.150008222,0.338973009,,,,0.89,0,0.080855285,0.19653173,,,
0.9,0,0.164769338,0.360381062,,,,0.9,0,0.089100215,0.209755763,,,
0.91,0,0.181574243,0.384043943,,,,0.91,0,0.098474983,0.22432378,,,
0.92,0,0.200767133,0.410286966,,,,0.92,0,0.109166693,0.240435729,,,
0.93,0.006026001,0.222747082,0.439468163,,,,0.93,0,0.121391412,0.258316105,,,
0.94,0.023967708,0.247970252,0.471972796,,,,0.94,0,0.135395181,0.278212169,,,
0.95,0.045684713,0.276944242,0.508203772,,,,0.95,0.002509747,0.151450744,0.300391741,,,
0.96,0.071837924,0.310202633,0.548567341,,,,0.96,0.014544844,0.169842719,0.325140593,,,
0.97,0.103030223,0.348233927,0.593437631,,,,0.97,0.028912209,0.190824791,0.352737372,,,
0.98,0.13962636,0.391323783,0.643021207,,,,0.98,0.045734269,0.214523769,0.383313268,,,
0.99,0.181465043,0.439279653,0.697094263,,,,0.99,0.065022251,0.240781612,0.416540973,,,
1,0.227326186,0.491039016,0.754751846,,,,1,0.086506958,0.268972423,0.451437887,,,
1.01,0.275276235,0.544298415,0.813320595,,,,1.01,0.109457461,0.297886856,0.486316251,,,
1.02,0.323769689,0.596080965,0.868392241,,,,1.02,0.132992014,0.326047574,0.519103135,,,
1.03,0.371393819,0.643966519,0.916539218,,,,1.03,0.156391308,0.35228472,0.548178132,,,
1.04,0.417060364,0.686640251,0.956220138,,,,1.04,0.179039663,0.375983656,0.572927648,,,
1.05,0.459872448,0.723847594,0.98782274,,,,1.05,0.20033315,0.397046533,0.593759916,,,
1.06,0.499375317,0.755843156,1,,,,1.06,0.220013662,0.415582583,0.611151504,,,
1.07,0.535595359,0.783175143,1,,,,1.07,0.238139344,0.431829181,0.625519017,,,
1.08,0.568739678,0.806627205,1,,,,1.08,0.254841747,0.446161922,0.637482096,,,
1.09,0.599068037,0.826937323,1,,,,1.09,0.270239236,0.458949846,0.647660456,,,
1.1,0.626841888,0.844647776,1,,,,1.1,0.284471464,0.47045699,0.656442516,,,
1.11,0.652287517,0.860165957,1,,,,1.11,0.29768728,0.480876021,0.664064763,,,
1.12,0.675604723,0.873812612,1,,,,1.12,0.310004483,0.4903651,0.670725716,,,
1.13,0.69698274,0.885851112,1,,,,1.13,0.32150674,0.4990597,0.676612659,,,
1.14,0.716612078,0.896499651,1,,,,1.14,0.332259816,0.507071735,0.681883654,,,
1.15,0.734670816,0.905939569,1,,,,1.15,0.342321626,0.514491092,0.686660558,,,
1.16,0.751301619,0.914330049,1,,,,1.16,0.351747397,0.521393216,0.691039036,,,
1.17,0.766608243,0.921814165,1,,,,1.17,0.360590614,0.52784416,0.695097705,,,
1.18,0.780669586,0.928513697,1,,,,1.18,0.368900498,0.533900319,0.698900141,,,
1.19,0.79355679,0.934525387,1,,,,1.19,0.376720753,0.539607362,0.702493971,,,
1.2,0.805346401,0.939924422,1,,,,1.2,0.384090765,0.545001394,0.705912022,,,
1.21,0.816126348,0.944771263,1,,,,1.21,0.391046685,0.550111728,0.70917677,,,
1.22,0.825994301,0.949118382,1,,,,1.22,0.397622053,0.554963981,0.71230591,,,
1.23,0.835049921,0.953015254,1,,,,1.23,0.403848575,0.55958238,0.715316185,,,
1.24,0.843385298,0.95651077,1,,,,1.24,0.409756913,0.563990734,0.718224555,,,
1.25,0.851079077,0.959653171,1,,,,1.25,0.415377033,0.568212269,0.721047504,,,
1.26,0.858196069,0.96248818,1,,,,1.26,0.420737743,0.572268735,0.723799727,,,
1.27,0.864790122,0.965056637,1,,,,1.27,0.425865629,0.576179369,0.726493109,,,
1.28,0.870907451,0.967393028,1,,,,1.28,0.430784166,0.579960299,0.729136433,,,
1.29,0.87658914,0.969525451,1,,,,1.29,0.435513496,0.583624602,0.731735708,,,
1.3,0.881872685,0.971476613,1,,,,1.3,0.44007081,0.58718282,0.73429483,,,
1.31,0.886792783,0.973265133,1,,,,1.31,0.444470904,0.590643605,0.736816306,,,
1.32,0.891381668,0.974906693,1,,,,1.32,0.448726685,0.59401429,0.739301895,,,
1.33,0.895669248,0.9764149,1,,,,1.33,0.452849526,0.5973013,0.741753074,,,
1.34,0.899683135,0.97780184,1,,,,1.34,0.456849505,0.600510413,0.744171321,,,
1.35,0.903448627,0.979078422,1,,,,1.35,0.460735561,0.603646913,0.746558264,,,
1.36,0.906988678,0.980254594,1,,,,1.36,0.46451562,0.606715675,0.748915731,,,
1.37,0.910323924,0.981339479,1,,,,1.37,0.468196721,0.609721225,0.75124573,,,
1.38,0.913472796,0.982341483,1,,,,1.38,0.471785151,0.612667772,0.753550393,,,
1.39,0.916451702,0.98326834,1,,,,1.39,0.475286565,0.615559225,0.755831885,,,
1.4,0.919275245,0.984127145,1,,,,1.4,0.478706077,0.618399194,0.758092312,,,
1.41,0.921956433,0.984924354,1,,,,1.41,0.482048326,0.621190983,0.760333639,,,
1.42,0.92450687,0.985665785,1,,,,1.42,0.485317522,0.623937578,0.762557635,,,
1.43,0.926936927,0.986356644,1,,,,1.43,0.488517475,0.626641661,0.764765846,,,
1.44,0.929255884,0.987001559,1,,,,1.44,0.491651638,0.629305615,0.766959592,,,
1.45,0.931472058,0.987604634,1,,,,1.45,0.494723133,0.631931559,0.769139986,,,
