D1,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,0,0,3.168851142,0.224760156,0.034883029
0.01,0,0,0,,,
0.02,0,0,0,,,
0.03,0,0,0,,,
0.04,0,0,0,,,
0.05,0,0,0,,,
0.06,0,0,0,,,
0.07,0,0,0,,,
0.08,0,0,0,,,
0.09,0,0,0,,,
0.1,0,0,0,,,
0.11,0,0,0,,,
0.12,0,0,0,,,
0.13,0,0,0,,,
0.14,0,0,0,,,
0.15,0,0,0,,,
0.16,0,0,0,,,
0.17,0,0,0,,,
0.18,0,0,0,,,
0.19,0,0,0,,,
0.2,0,0,0,,,
0.21,0,0,0,,,
0.22,0,0,0,,,
0.23,0,0,0,,,
0.24,0,6.2093E-20,2.68695E-18,,,
0.25,0,2.48372E-19,1.07478E-17,,,
0.26,0,8.69302E-19,3.25825E-17,,,
0.27,0,2.23535E-18,8.1842E-17,,,
0.28,0,5.58837E-18,1.96869E-16,,,
0.29,0,1.335E-17,4.65173E-16,,,
0.3,0,3.06739E-17,1.04971E-15,,,
0.31,0,6.84265E-17,2.28263E-15,,,
0.32,0,1.46477E-16,4.79526E-15,,,
0.33,0,3.03945E-16,9.7616E-15,,,
0.34,0,6.12672E-16,1.92857E-14,,,
0.35,0,1.20144E-15,3.7061E-14,,,
0.36,0,2.29781E-15,6.93933E-14,,,
0.37,0,4.29199E-15,1.26823E-13,,,
0.38,0,7.84067E-15,2.2656E-13,,,
0.39,0,1.40289E-14,3.96174E-13,,,
0.4,0,2.46173E-14,6.78974E-13,,,
0.41,0,4.24146E-14,1.14181E-12,,,
0.42,0,7.18303E-14,1.88614E-12,,,
0.43,0,1.19685E-13,3.06356E-12,,,
0.44,0,1.96384E-13,4.89719E-12,,,
0.45,0,3.17587E-13,7.71093E-12,,,
0.46,0,5.06581E-13,1.19688E-11,,,
0.47,0,7.9758E-13,1.83271E-11,,,
0.48,0,1.2403E-12,2.77038E-11,,,
0.49,0,1.90624E-12,4.13676E-11,,,
0.5,0,2.89714E-12,6.10545E-11,,,
0.51,0,4.35652E-12,8.91159E-11,,,
0.52,0,6.48488E-12,1.28706E-10,,,
0.53,0,9.56001E-12,1.84018E-10,,,
0.54,0,1.39636E-11,2.60582E-10,,,
0.55,0,2.0216E-11,3.65624E-10,,,
0.56,0,2.90214E-11,5.08523E-10,,,
0.57,0,4.13255E-11,7.01356E-10,,,
0.58,0,5.83905E-11,9.59567E-10,,,
0.59,0,8.18889E-11,1.30278E-09,,,
0.6,0,1.14024E-10,1.75575E-09,,,
0.61,0,1.57678E-10,2.34956E-09,,,
0.62,0,2.16604E-10,3.12296E-09,,,
0.63,0,2.95657E-10,4.12402E-09,,,
0.64,0,4.01083E-10,5.41208E-09,,,
0.65,0,5.4088E-10,7.05996E-09,,,
0.66,0,7.25231E-10,9.15665E-09,,,
0.67,0,9.6704E-10,1.18104E-08,,,
0.68,0,1.28258E-09,1.51522E-08,,,
0.69,0,1.69228E-09,1.934E-08,,,
0.7,0,2.22167E-09,2.45637E-08,,,
0.71,0,2.9025E-09,3.10501E-08,,,
0.72,0,3.77411E-09,3.90697E-08,,,
0.73,0,4.88504E-09,4.89437E-08,,,
0.74,0,6.29491E-09,6.1052E-08,,,
0.75,0,8.07672E-09,7.5843E-08,,,
0.76,0,1.03194E-08,9.38435E-08,,,
0.77,0,1.31312E-08,1.15671E-07,,,
0.78,0,1.66427E-08,1.42048E-07,,,
0.79,0,2.10118E-08,1.73816E-07,,,
0.8,0,2.6428E-08,2.11951E-07,,,
0.81,0,3.31183E-08,2.57587E-07,,,
0.82,0,4.1354E-08,3.12033E-07,,,
0.83,0,5.14574E-08,3.768E-07,,,
0.84,0,6.38112E-08,4.53625E-07,,,
0.85,0,7.88678E-08,5.44501E-07,,,
0.86,0,9.71605E-08,6.51711E-07,,,
0.87,0,1.19316E-07,7.77863E-07,,,
0.88,0,1.46071E-07,9.25927E-07,,,
0.89,0,1.78282E-07,1.09929E-06,,,
0.9,0,2.16951E-07,1.30178E-06,,,
0.91,0,2.63243E-07,1.53775E-06,,,
0.92,0,3.18506E-07,1.81211E-06,,,
0.93,0,3.84301E-07,2.13042E-06,,,
0.94,0,4.62427E-07,2.49891E-06,,,
0.95,0,5.54955E-07,2.92461E-06,,,
0.96,0,6.64263E-07,3.41539E-06,,,
0.97,0,7.93071E-07,3.98007E-06,,,
0.98,0,9.44488E-07,4.62853E-06,,,
0.99,0,1.12206E-06,5.37175E-06,,,
1,0,1.32981E-06,6.22202E-06,,,
1.01,0,1.57231E-06,7.19296E-06,,,
1.02,0,1.85475E-06,8.29972E-06,,,
1.03,0,2.18297E-06,9.55908E-06,,,
1.04,0,2.56356E-06,1.09896E-05,,,
1.05,0,3.00394E-06,1.26118E-05,,,
1.06,0,3.51246E-06,1.44484E-05,,,
1.07,0,4.09844E-06,1.65242E-05,,,
1.08,0,4.77233E-06,1.88667E-05,,,
1.09,0,5.54579E-06,2.1506E-05,,,
1.1,0,6.43183E-06,2.4475E-05,,,
1.11,0,7.4449E-06,2.78098E-05,,,
1.12,0,8.60105E-06,3.155E-05,,,
1.13,0,9.91808E-06,3.57386E-05,,,
1.14,0,1.14157E-05,4.04225E-05,,,
1.15,0,1.31156E-05,4.56527E-05,,,
1.16,0,1.50418E-05,5.14848E-05,,,
1.17,0,1.72207E-05,5.7979E-05,,,
