D1,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,0,0,3.030614699,0.327388636,0.044054243
0.01,0,1.42418E-11,9.4869E-11,,,
0.02,0,2.16338E-10,1.1936E-09,,,
0.03,0,1.08677E-09,5.3611E-09,,,
0.04,0,3.45488E-09,1.57347E-08,,,
0.05,0,8.53279E-09,3.65193E-08,,,
0.06,0,1.79485E-08,7.30036E-08,,,
0.07,0,3.37781E-08,1.31584E-07,,,
0.08,0,5.85771E-08,2.19791E-07,,,
0.09,0,9.54122E-08,3.46319E-07,,,
0.1,0,1.47892E-07,5.21056E-07,,,
0.11,0,2.20196E-07,7.55112E-07,,,
0.12,0,3.1711E-07,1.06085E-06,,,
0.13,0,4.44051E-07,1.45193E-06,,,
0.14,0,6.07102E-07,1.94331E-06,,,
0.15,0,8.13042E-07,2.55131E-06,,,
0.16,0,1.06938E-06,3.29361E-06,,,
0.17,0,1.38436E-06,4.18934E-06,,,
0.18,0,1.76706E-06,5.25901E-06,,,
0.19,0,2.22733E-06,6.52466E-06,,,
0.2,0,2.77591E-06,8.0098E-06,,,
0.21,0,3.42439E-06,9.73949E-06,,,
0.22,0,4.1853E-06,1.17403E-05,,,
0.23,0,5.0721E-06,1.40406E-05,,,
0.24,0,6.09926E-06,1.667E-05,,,
0.25,0,7.28223E-06,1.96602E-05,,,
0.26,0,8.63751E-06,2.30444E-05,,,
0.27,0,1.01827E-05,2.68573E-05,,,
0.28,0,1.19365E-05,3.11358E-05,,,
0.29,0,1.39187E-05,3.59182E-05,,,
0.3,0,1.61504E-05,4.12448E-05,,,
0.31,0,1.86539E-05,4.71578E-05,,,
0.32,0,2.14525E-05,5.3701E-05,,,
0.33,0,2.45711E-05,6.09205E-05,,,
0.34,0,2.80358E-05,6.8864E-05,,,
0.35,0,3.18739E-05,7.75812E-05,,,
0.36,0,3.61144E-05,8.71241E-05,,,
0.37,0,4.07875E-05,9.75465E-05,,,
0.38,0,4.59249E-05,0.000108904,,,
0.39,0,5.15598E-05,0.000121255,,,
0.4,0,5.7727E-05,0.000134659,,,
0.41,0,6.44628E-05,0.000149179,,,
0.42,0,7.18051E-05,0.000164879,,,
0.43,0,7.97935E-05,0.000181825,,,
0.44,0,8.84692E-05,0.000200087,,,
0.45,0,9.78752E-05,0.000219736,,,
0.46,0,0.000108056,0.000240845,,,
0.47,0,0.000119059,0.000263489,,,
0.48,0,0.000130931,0.000287747,,,
0.49,0,0.000143724,0.0003137,,,
0.5,0,0.000157489,0.00034143,,,
0.51,0,0.000172281,0.000371023,,,
0.52,0,0.000188155,0.000402566,,,
0.53,0,0.000205169,0.00043615,,,
0.54,0,0.000223385,0.000471868,,,
0.55,0,0.000242863,0.000509815,,,
0.56,0,0.000263669,0.000550088,,,
0.57,0,0.000285869,0.00059279,,,
0.58,0,0.000309533,0.000638022,,,
0.59,0,0.00033473,0.000685891,,,
0.6,0,0.000361535,0.000736505,,,
0.61,0,0.000390024,0.000789976,,,
0.62,0,0.000420274,0.000846417,,,
0.63,0,0.000452366,0.000905945,,,
0.64,4.08685E-06,0.000486384,0.000968681,,,
0.65,1.00794E-05,0.000522412,0.001034745,,,
0.66,1.68157E-05,0.00056054,0.001104264,,,
0.67,2.43493E-05,0.000600858,0.001177366,,,
0.68,3.27359E-05,0.000643458,0.001254181,,,
0.69,4.20338E-05,0.000688438,0.001334843,,,
0.7,5.23039E-05,0.000735897,0.001419489,,,
0.71,6.36096E-05,0.000785934,0.001508259,,,
0.72,7.60169E-05,0.000838656,0.001601296,,,
0.73,8.95945E-05,0.000894169,0.001698744,,,
0.74,0.000104414,0.000952583,0.001800753,,,
0.75,0.000120549,0.001014012,0.001907474,,,
0.76,0.000138078,0.00107857,0.002019062,,,
0.77,0.000157081,0.001146378,0.002135675,,,
0.78,0.000177639,0.001217556,0.002257473,,,
0.79,0.000199841,0.001292231,0.002384621,,,
0.8,0.000223775,0.00137053,0.002517284,,,
0.81,0.000249534,0.001452584,0.002655635,,,
0.82,0.000277213,0.001538529,0.002799844,,,
0.83,0.000306911,0.001628501,0.00295009,,,
0.84,0.000338732,0.001722642,0.003106551,,,
0.85,0.000372781,0.001821096,0.00326941,,,
0.86,0.000409168,0.001924011,0.003438853,,,
0.87,0.000448006,0.002031537,0.003615069,,,
0.88,0.000489411,0.00214383,0.003798249,,,
0.89,0.000533504,0.002261047,0.00398859,,,
0.9,0.00058041,0.002383349,0.004186289,,,
0.91,0.000630255,0.002510902,0.004391548,,,
0.92,0.000683173,0.002643873,0.004604572,,,
0.93,0.0007393,0.002782435,0.004825569,,,
0.94,0.000798774,0.002926762,0.005054751,,,
0.95,0.00086174,0.003077036,0.005292331,,,
0.96,0.000928347,0.003233437,0.005538527,,,
0.97,0.000998747,0.003396154,0.00579356,,,
0.98,0.001073096,0.003565375,0.006057654,,,
0.99,0.001151556,0.003741295,0.006331035,,,
1,0.001234291,0.003924113,0.006613934,,,
1.01,0.001321473,0.004114028,0.006906584,,,
1.02,0.001413274,0.004311248,0.007209221,,,
1.03,0.001509874,0.00451598,0.007522086,,,
1.04,0.001611457,0.004728438,0.007845419,,,
1.05,0.001718211,0.004948839,0.008179468,,,
1.06,0.001830328,0.005177404,0.00852448,,,
1.07,0.001948007,0.005414357,0.008880707,,,
1.08,0.00207145,0.005659927,0.009248404,,,
1.09,0.002200863,0.005914346,0.009627828,,,
1.1,0.002336461,0.00617785,0.01001924,,,
1.11,0.002478459,0.006450681,0.010422903,,,
1.12,0.00262708,0.006733082,0.010839084,,,
1.13,0.002782551,0.007025301,0.011268051,,,
1.14,0.002945104,0.00732759,0.011710076,,,
1.15,0.003114978,0.007640206,0.012165434,,,
1.16,0.003292415,0.007963408,0.012634401,,,
1.17,0.003477662,0.00829746,0.013117259,,,
1.18,0.003670972,0.008642631,0.01361429,,,
1.19,0.003872604,0.008999191,0.014125777,,,
1.2,0.004082821,0.009367416,0.01465201,,,
1.21,0.004301891,0.009747585,0.015193278,,,
1.22,0.00453009,0.010139982,0.015749874,,,
1.23,0.004767695,0.010544893,0.016322091,,,
1.24,0.005014992,0.01096261,0.016910228,,,
1.25,0.005272271,0.011393427,0.017514582,,,
1.26,0.005539826,0.011837641,0.018135456,,,
1.27,0.005817959,0.012295556,0.018773153,,,
1.28,0.006106974,0.012767476,0.019427978,,,
1.29,0.006407183,0.013253711,0.020100238,,,
1.3,0.006718903,0.013754573,0.020790243,,,
1.31,0.007042454,0.014270378,0.021498302,,,
1.32,0.007378164,0.014801446,0.022224728,,,
1.33,0.007726365,0.0153481,0.022969836,,,
1.34,0.008087393,0.015910666,0.02373394,,,
1.35,0.008461591,0.016489474,0.024517357,,,
1.36,0.008849305,0.017084855,0.025320405,,,
1.37,0.009250889,0.017697147,0.026143404,,,
1.38,0.009666699,0.018326686,0.026986674,,,
1.39,0.010097097,0.018973816,0.027850535,,,
1.4,0.010542449,0.019638879,0.02873531,,,
1.41,0.011003128,0.020322225,0.029641321,,,
1.42,0.011479509,0.021024201,0.030568892,,,
1.43,0.011971973,0.02174516,0.031518347,,,
1.44,0.012480904,0.022485457,0.03249001,,,
1.45,0.013006693,0.023245449,0.033484205,,,
1.46,0.013549731,0.024025494,0.034501257,,,
1.47,0.014110417,0.024825954,0.035541491,,,
1.48,0.014689152,0.025647191,0.036605231,,,
1.49,0.015286341,0.026489571,0.0376928,,,
1.5,0.015902393,0.027353458,0.038804524,,,
1.51,0.016537719,0.028239222,0.039940725,,,
1.52,0.017192736,0.02914723,0.041101725,,,
1.53,0.017867861,0.030077854,0.042287846,,,
1.54,0.018563516,0.031031462,0.043499409,,,
1.55,0.019280125,0.032008429,0.044736733,,,
1.56,0.020018115,0.033009125,0.046000136,,,
1.57,0.020777913,0.034033924,0.047289936,,,
1.58,0.021559952,0.035083199,0.048606446,,,
1.59,0.022364663,0.036157322,0.049949981,,,
1.6,0.023192481,0.037256666,0.051320852,,,
1.61,0.02404384,0.038381604,0.052719368,,,
1.62,0.024919178,0.039532507,0.054145836,,,
1.63,0.025818931,0.040709746,0.055600561,,,
1.64,0.026743538,0.041913691,0.057083844,,,
1.65,0.027693434,0.04314471,0.058595985,,,
1.66,0.028669059,0.04440317,0.06013728,,,
1.67,0.029670848,0.045689435,0.061708023,,,
1.68,0.030699237,0.04700387,0.063308502,,,
1.69,0.031754662,0.048346834,0.064939005,,,
1.7,0.032837556,0.049718685,0.066599814,,,
1.71,0.033948349,0.051119779,0.068291209,,,
1.72,0.035087471,0.052550467,0.070013463,,,
1.73,0.036255348,0.054011098,0.071766848,,,
1.74,0.037452402,0.055502016,0.07355163,,,
1.75,0.038679054,0.057023563,0.075368071,,,
1.76,0.039935718,0.058576073,0.077216429,,,
1.77,0.041222806,0.06015988,0.079096955,,,
1.78,0.042540724,0.061775311,0.081009897,,,
1.79,0.043889873,0.063422685,0.082955497,,,
1.8,0.045270649,0.06510232,0.08493399,,,
1.81,0.04668344,0.066814525,0.08694561,,,
1.82,0.048128629,0.068559604,0.088990579,,,
1.83,0.04960659,0.070337855,0.091069119,,,
1.84,0.051117692,0.072149567,0.093181442,,,
1.85,0.052662293,0.073995024,0.095327754,,,
1.86,0.054240745,0.075874501,0.097508256,,,
1.87,0.055853389,0.077788266,0.099723142,,,
1.88,0.057500556,0.079736578,0.101972599,,,
1.89,0.059182569,0.081719688,0.104256807,,,
1.9,0.060899739,0.083737838,0.106575938,,,
1.91,0.062652364,0.085791261,0.108930157,,,
1.92,0.064440734,0.087880179,0.111319623,,,
1.93,0.066265124,0.090004805,0.113744486,,,
1.94,0.068125796,0.092165342,0.116204888,,,
1.95,0.070023001,0.094361982,0.118700964,,,
1.96,0.071956975,0.096594907,0.121232839,,,
1.97,0.073927939,0.098864285,0.123800631,,,
1.98,0.0759361,0.101170275,0.12640445,,,
1.99,0.077981649,0.103513022,0.129044396,,,
2,0.080064762,0.105892662,0.131720561,,,
2.01,0.082185599,0.108309313,0.134433027,,,
2.02,0.084344302,0.110763085,0.137181868,,,
2.03,0.086540998,0.113254073,0.139967147,,,
2.04,0.088775793,0.115782356,0.14278892,,,
2.05,0.091048777,0.118348004,0.145647231,,,
2.06,0.093360023,0.120951069,0.148542114,,,
2.07,0.095709583,0.123591589,0.151473594,,,
2.08,0.09809749,0.126269588,0.154441687,,,
2.09,0.100523758,0.128985076,0.157446394,,,
2.1,0.102988381,0.131738046,0.16048771,,,
2.11,0.105491332,0.134528475,0.163565618,,,
2.12,0.108032566,0.137356327,0.166680088,,,
2.13,0.110612015,0.140221548,0.16983108,,,
2.14,0.113229591,0.143124067,0.173018544,,,
2.15,0.115885183,0.146063799,0.176242415,,,
2.16,0.118578663,0.149040641,0.179502619,,,
2.17,0.121309877,0.152054473,0.182799069,,,
2.18,0.124078652,0.155105159,0.186131666,,,
2.19,0.126884794,0.158192545,0.189500297,,,
2.2,0.129728085,0.161316461,0.192904838,,,
2.21,0.132608288,0.164476719,0.19634515,,,
2.22,0.135525143,0.167673114,0.199821084,,,
2.23,0.138478369,0.170905422,0.203332474,,,
2.24,0.141467665,0.174173403,0.206879142,,,
