D1,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,6.42597E-17,2.57364E-15,2.329767957,0.302108903,0.035210311
0.01,0,2.59224E-08,3.1874E-07,,,
0.02,0,1.5261E-07,1.40338E-06,,,
0.03,0,4.48811E-07,3.41929E-06,,,
0.04,0,9.84597E-07,6.5246E-06,,,
0.05,0,1.83312E-06,1.08776E-05,,,
0.06,0,3.07106E-06,1.66388E-05,,,
0.07,0,4.77877E-06,2.39717E-05,,,
0.08,0,7.04042E-06,3.30431E-05,,,
0.09,0,9.94396E-06,4.40235E-05,,,
0.1,0,1.35812E-05,5.70869E-05,,,
0.11,0,1.80477E-05,7.24109E-05,,,
0.12,0,2.34432E-05,9.01768E-05,,,
0.13,0,2.98708E-05,0.000110569,,,
0.14,0,3.7438E-05,0.000133777,,,
0.15,0,4.62559E-05,0.000159992,,,
0.16,0,5.64396E-05,0.00018941,,,
0.17,0,6.8108E-05,0.000222229,,,
0.18,0,8.13841E-05,0.000258652,,,
0.19,0,9.63948E-05,0.000298884,,,
0.2,0,0.000113271,0.000343136,,,
0.21,0,0.000132147,0.000391618,,,
0.22,0,0.000153162,0.000444548,,,
0.23,0,0.000176458,0.000502144,,,
0.24,0,0.000202183,0.000564628,,,
0.25,0,0.000230486,0.000632226,,,
0.26,0,0.000261524,0.000705166,,,
0.27,0,0.000295453,0.000783681,,,
0.28,0,0.000332439,0.000868005,,,
0.29,0,0.000372646,0.000958376,,,
0.3,0,0.000416247,0.001055036,,,
0.31,0,0.000463415,0.001158229,,,
0.32,0,0.000514332,0.001268201,,,
0.33,0,0.000569179,0.001385203,,,
0.34,0,0.000628144,0.001509488,,,
0.35,0,0.000691419,0.001641312,,,
0.36,0,0.000759199,0.001780934,,,
0.37,0,0.000831685,0.001928615,,,
0.38,0,0.000909079,0.002084621,,,
0.39,0,0.000991591,0.002249218,,,
0.4,0,0.001079433,0.002422677,,,
0.41,0,0.001172821,0.002605271,,,
0.42,0,0.001271976,0.002797275,,,
0.43,0,0.001377123,0.002998967,,,
0.44,0,0.001488491,0.003210629,,,
0.45,0,0.001606314,0.003432543,,,
0.46,0,0.001730829,0.003664997,,,
0.47,0,0.001862278,0.003908277,,,
0.48,0,0.002000908,0.004162676,,,
0.49,0,0.002146968,0.004428487,,,
0.5,0,0.002300713,0.004706005,,,
0.51,0,0.002462402,0.004995529,,,
0.52,0,0.002632298,0.00529736,,,
0.53,9.536E-06,0.002810668,0.005611799,,,
0.54,5.64132E-05,0.002997783,0.005939153,,,
0.55,0.000108111,0.00319392,0.006279729,,,
0.56,0.000164881,0.003399358,0.006633835,,,
0.57,0.00022698,0.003614382,0.007001784,,,
0.58,0.00029467,0.003839279,0.007383888,,,
0.59,0.000368221,0.004074342,0.007780463,,,
0.6,0.00044791,0.004319869,0.008191827,,,
0.61,0.000534018,0.004576159,0.008618299,,,
0.62,0.000626834,0.004843517,0.0090602,,,
0.63,0.000726655,0.005122254,0.009517853,,,
0.64,0.000833781,0.005412682,0.009991583,,,
0.65,0.000948522,0.005715119,0.010481716,,,
0.66,0.001071191,0.006029885,0.010988579,,,
0.67,0.001202112,0.006357308,0.011512503,,,
0.68,0.001341612,0.006697715,0.012053818,,,
0.69,0.001490026,0.007051441,0.012612857,,,
0.7,0.001647695,0.007418824,0.013189953,,,
0.71,0.001814967,0.007800204,0.013785442,,,
0.72,0.001992196,0.008195928,0.014399659,,,
0.73,0.002179745,0.008606344,0.015032942,,,
0.74,0.002377981,0.009031805,0.01568563,,,
0.75,0.002587277,0.009472669,0.016358061,,,
0.76,0.002808016,0.009929297,0.017050578,,,
0.77,0.003040585,0.010402052,0.01776352,,,
0.78,0.003285377,0.010891304,0.01849723,,,
0.79,0.003542795,0.011397423,0.019252051,,,
0.8,0.003813244,0.011920785,0.020028326,,,
0.81,0.004097138,0.012461769,0.020826399,,,
0.82,0.004394899,0.013020757,0.021646616,,,
0.83,0.004706952,0.013598136,0.02248932,,,
0.84,0.00503373,0.014194293,0.023354857,,,
0.85,0.005375673,0.014809623,0.024243572,,,
0.86,0.005733227,0.015444519,0.025155811,,,
0.87,0.006106843,0.016099382,0.026091921,,,
0.88,0.006496979,0.016774612,0.027052245,,,
0.89,0.006904101,0.017470616,0.02803713,,,
0.9,0.007328678,0.0181878,0.029046921,,,
0.91,0.007771186,0.018926575,0.030081964,,,
0.92,0.008232108,0.019687355,0.031142601,,,
0.93,0.008711933,0.020470556,0.032229178,,,
0.94,0.009211153,0.021276596,0.033342038,,,
0.95,0.009730269,0.022105896,0.034481524,,,
0.96,0.010269785,0.022958881,0.035647977,,,
0.97,0.010830213,0.023835976,0.036841738,,,
0.98,0.011412068,0.024737608,0.038063148,,,
0.99,0.012015871,0.025664208,0.039312546,,,
1,0.012642148,0.026616208,0.040590268,,,
1.01,0.013291432,0.027594042,0.041896652,,,
1.02,0.013964258,0.028598145,0.043232032,,,
1.03,0.014661166,0.029628953,0.044596741,,,
1.04,0.015382702,0.030686907,0.045991112,,,
1.05,0.016129417,0.031772445,0.047415474,,,
1.06,0.016901862,0.032886009,0.048870155,,,
1.07,0.017700598,0.03402804,0.050355482,,,
1.08,0.018526185,0.035198982,0.051871778,,,
1.09,0.01937919,0.036399277,0.053419365,,,
1.1,0.02026018,0.037629371,0.054998563,,,
1.11,0.021169728,0.038889709,0.056609689,,,
1.12,0.02210841,0.040180734,0.058253057,,,
1.13,0.023076804,0.041502892,0.05992898,,,
1.14,0.024075489,0.042856627,0.061637766,,,
1.15,0.025105049,0.044242385,0.063379721,,,
1.16,0.02616607,0.04566061,0.065155149,,,
1.17,0.027259137,0.047111744,0.066964351,,,
1.18,0.028384839,0.048596231,0.068807622,,,
1.19,0.029543766,0.050114512,0.070685258,,,
1.2,0.030736509,0.051667028,0.072597546,,,
1.21,0.031963657,0.053254217,0.074544776,,,
1.22,0.033225804,0.054876516,0.076527229,,,
1.23,0.034523539,0.056534362,0.078545184,,,
1.24,0.035857455,0.058228186,0.080598918,,,
1.25,0.037228141,0.059958421,0.082688701,,,
1.26,0.038636188,0.061725494,0.084814801,,,
1.27,0.040082182,0.063529832,0.086977481,,,
1.28,0.04156671,0.065371855,0.089177,,,
1.29,0.043090355,0.067251984,0.091413612,,,
1.3,0.044653699,0.069170634,0.093687568,,,
1.31,0.04625732,0.071128216,0.095999112,,,
1.32,0.047901792,0.073125139,0.098348487,,,
1.33,0.049587685,0.075161806,0.100735927,,,
1.34,0.051315566,0.077238615,0.103161665,,,
1.35,0.053085996,0.079355961,0.105625926,,,
1.36,0.05489953,0.081514231,0.108128932,,,
1.37,0.056756719,0.08371381,0.1106709,,,
1.38,0.058658106,0.085955074,0.113252041,,,
1.39,0.060604227,0.088238394,0.115872561,,,
1.4,0.062595611,0.090564136,0.118532661,,,
1.41,0.064632779,0.092932658,0.121232537,,,
1.42,0.066716243,0.095344311,0.123972379,,,
1.43,0.068846506,0.097799438,0.126752371,,,
1.44,0.071024061,0.100298378,0.129572695,,,
