D1,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,0,0,4.114481747,0.588488328,0.069378499
0.01,0,1.4287E-14,5.69243E-13,,,
0.02,0,1.78911E-12,6.36121E-11,,,
0.03,0,2.50855E-11,7.88216E-10,,,
0.04,0,1.5294E-10,4.23334E-09,,,
0.05,0,6.0336E-10,1.47215E-08,,,
0.06,0,1.82348E-09,3.93348E-08,,,
0.07,0,4.60441E-09,8.81943E-08,,,
0.08,0,1.02149E-08,1.74634E-07,,,
0.09,0,2.05519E-08,3.15338E-07,,,
0.1,0,3.83054E-08,5.3048E-07,,,
0.11,0,6.71357E-08,8.43873E-07,,,
0.12,0,1.1186E-07,1.28315E-06,,,
0.13,0,1.78647E-07,1.87993E-06,,,
0.14,0,2.75217E-07,2.67004E-06,,,
0.15,0,4.11045E-07,3.69369E-06,,,
0.16,0,5.97566E-07,4.99566E-06,,,
0.17,0,8.48378E-07,6.62551E-06,,,
0.18,0,1.17944E-06,8.6377E-06,,,
0.19,0,1.60929E-06,1.10918E-05,,,
0.2,0,2.1592E-06,1.40525E-05,,,
0.21,0,2.8534E-06,1.759E-05,,,
0.22,0,3.71923E-06,2.17797E-05,,,
0.23,0,4.78734E-06,2.67026E-05,,,
0.24,0,6.0918E-06,3.24452E-05,,,
0.25,0,7.67031E-06,3.90997E-05,,,
0.26,0,9.56429E-06,4.67638E-05,,,
0.27,0,1.1819E-05,5.55406E-05,,,
0.28,0,1.44838E-05,6.55391E-05,,,
0.29,0,1.76119E-05,7.68736E-05,,,
0.3,0,2.12609E-05,8.96639E-05,,,
0.31,0,2.54926E-05,0.000104035,,,
0.32,0,3.0373E-05,0.000120118,,,
0.33,0,3.59725E-05,0.000138048,,,
0.34,0,4.23661E-05,0.000157966,,,
0.35,0,4.96329E-05,0.000180017,,,
0.36,0,5.78566E-05,0.000204352,,,
0.37,0,6.71255E-05,0.000231126,,,
0.38,0,7.7532E-05,0.000260498,,,
0.39,0,8.91731E-05,0.000292632,,,
0.4,0,0.00010215,0.000327695,,,
0.41,0,0.000116569,0.00036586,,,
0.42,0,0.000132539,0.000407302,,,
0.43,0,0.000150175,0.000452198,,,
0.44,0,0.000169594,0.000500732,,,
0.45,0,0.00019092,0.000553088,,,
0.46,0,0.000214279,0.000609453,,,
0.47,0,0.000239799,0.000670018,,,
0.48,0,0.000267617,0.000734975,,,
0.49,0,0.000297868,0.000804518,,,
0.5,0,0.000330693,0.000878845,,,
0.51,0,0.000366238,0.000958151,,,
0.52,0,0.00040465,0.001042638,,,
0.53,0,0.000446079,0.001132505,,,
0.54,0,0.000490678,0.001227952,,,
0.55,0,0.000538606,0.001329183,,,
0.56,0,0.000590019,0.001436398,,,
0.57,0,0.000645081,0.0015498,,,
0.58,0,0.000703955,0.001669592,,,
0.59,0,0.000766807,0.001795974,,,
0.6,0,0.000833805,0.001929149,,,
0.61,0,0.000905119,0.002069318,,,
0.62,0,0.000980921,0.002216679,,,
0.63,0,0.001061384,0.002371431,,,
0.64,0,0.001146683,0.002533772,,,
0.65,0,0.001236993,0.002703898,,,
0.66,0,0.001332491,0.002882003,,,
0.67,0,0.001433355,0.003068278,,,
0.68,0,0.001539763,0.003262914,,,
0.69,0,0.001651895,0.0034661,,,
0.7,0,0.001769928,0.003678021,,,
0.71,0,0.001894043,0.003898859,,,
0.72,0,0.00202442,0.004128796,,,
0.73,0,0.002161237,0.004368009,,,
0.74,0,0.002304674,0.004616674,,,
0.75,3.48574E-05,0.002454909,0.004874961,,,
0.76,8.12029E-05,0.002612121,0.00514304,,,
0.77,0.0001319,0.002776488,0.005421076,,,
0.78,0.00018714,0.002948186,0.005709232,,,
0.79,0.000247115,0.00312739,0.006007665,,,
0.8,0.00031202,0.003314275,0.006316531,,,
0.81,0.00038205,0.003509016,0.006635982,,,
0.82,0.0004574,0.003711782,0.006966165,,,
0.83,0.000538268,0.003922746,0.007307224,,,
0.84,0.000624852,0.004142076,0.0076593,,,
0.85,0.000717349,0.004369939,0.008022529,,,
0.86,0.000815957,0.0046065,0.008397043,,,
0.87,0.000920874,0.004851923,0.008782971,,,
0.88,0.001032299,0.005106368,0.009180437,,,
0.89,0.00115043,0.005369996,0.009589562,,,
0.9,0.001275463,0.005642962,0.010010462,,,
0.91,0.001407595,0.005925422,0.010443249,,,
0.92,0.001547023,0.006217526,0.01088803,,,
0.93,0.00169394,0.006519426,0.011344911,,,
0.94,0.001848543,0.006831267,0.011813991,,,
0.95,0.002011022,0.007153194,0.012295366,,,
0.96,0.002181569,0.007485348,0.012789126,,,
0.97,0.002360375,0.007827867,0.013295359,,,
0.98,0.002547627,0.008180888,0.013814149,,,
0.99,0.002743511,0.008544543,0.014345575,,,
1,0.002948213,0.008918962,0.014889711,,,
1.01,0.003161914,0.009304271,0.015446628,,,
1.02,0.003384795,0.009700594,0.016016394,,,
1.03,0.003617033,0.010108051,0.01659907,,,
1.04,0.003858804,0.01052676,0.017194716,,,
1.05,0.00411028,0.010956833,0.017803386,,,
1.06,0.004371633,0.011398382,0.018425131,,,
1.07,0.00464303,0.011851514,0.019059997,,,
1.08,0.004924635,0.012316332,0.019708028,,,
1.09,0.005216611,0.012792937,0.020369263,,,
1.1,0.005519116,0.013281426,0.021043737,,,
1.11,0.005832305,0.013781894,0.021731482,,,
1.12,0.006156332,0.014294428,0.022432525,,,
1.13,0.006491345,0.014819118,0.023146891,,,
1.14,0.00683749,0.015356045,0.023874599,,,
1.15,0.007194911,0.01590529,0.024615668,,,
1.16,0.007563745,0.016466928,0.025370111,,,
1.17,0.007944128,0.017041033,0.026137938,,,
1.18,0.008336193,0.017627674,0.026919154,,,
1.19,0.008740067,0.018226916,0.027713765,,,
1.2,0.009155875,0.018838822,0.02852177,,,
1.21,0.009583738,0.019463451,0.029343165,,,
1.22,0.010023772,0.020100858,0.030177945,,,
1.23,0.010476091,0.020751095,0.0310261,,,
1.24,0.010940804,0.021414211,0.031887617,,,
1.25,0.011418017,0.022090249,0.032762482,,,
1.26,0.011907831,0.022779253,0.033650676,,,
1.27,0.012410343,0.02348126,0.034552177,,,
1.28,0.012925648,0.024196305,0.035466963,,,
1.29,0.013453834,0.02492442,0.036395006,,,
1.3,0.013994987,0.025665632,0.037336277,,,
1.31,0.01454919,0.026419967,0.038290745,,,
1.32,0.015116519,0.027187446,0.039258374,,,
1.33,0.015697047,0.027968088,0.040239128,,,
1.34,0.016290845,0.028761907,0.041232968,,,
1.35,0.016897978,0.029568915,0.042239853,,,
1.36,0.017518508,0.030389122,0.043259737,,,
1.37,0.01815249,0.031222533,0.044292576,,,
1.38,0.01879998,0.032069151,0.045338321,,,
1.39,0.019461026,0.032928974,0.046396922,,,
1.4,0.020135674,0.033802,0.047468326,,,
1.41,0.020823966,0.034688223,0.04855248,,,
1.42,0.021525937,0.035587632,0.049649327,,,
1.43,0.022241623,0.036500216,0.050758808,,,
1.44,0.022971052,0.037425959,0.051880866,,,
1.45,0.023714251,0.038364844,0.053015437,,,
1.46,0.02447124,0.039316849,0.054162458,,,
1.47,0.025242039,0.040281952,0.055321866,,,
1.48,0.02602666,0.041260127,0.056493593,,,
1.49,0.026825115,0.042251343,0.057677572,,,
1.5,0.027637409,0.043255572,0.058873734,,,
1.51,0.028463547,0.044272777,0.060082008,,,
1.52,0.029303526,0.045302924,0.061302322,,,
1.53,0.030157342,0.046345972,0.062534602,,,
1.54,0.031024988,0.047401882,0.063778775,,,
1.55,0.031906451,0.048470608,0.065034765,,,
1.56,0.032801716,0.049552106,0.066302496,,,
1.57,0.033710765,0.050646327,0.067581888,,,
1.58,0.034633575,0.05175322,0.068872865,,,
1.59,0.035570121,0.052872733,0.070175345,,,
1.6,0.036520374,0.054004811,0.071489248,,,
1.61,0.037484302,0.055149397,0.072814493,,,
1.62,0.038461868,0.056306433,0.074150997,,,
1.63,0.039453035,0.057475856,0.075498678,,,
1.64,0.04045776,0.058657605,0.07685745,,,
1.65,0.041475999,0.059851615,0.078227231,,,
1.66,0.042507703,0.061057818,0.079607933,,,
1.67,0.043552821,0.062276147,0.080999472,,,
1.68,0.044611299,0.06350653,0.082401761,,,
1.69,0.04568308,0.064748897,0.083814714,,,
1.7,0.046768105,0.066003173,0.085238241,,,
1.71,0.047866311,0.067269284,0.086672257,,,
1.72,0.048977631,0.068547151,0.088116671,,,
1.73,0.050101999,0.069836698,0.089571396,,,
1.74,0.051239343,0.071137843,0.091036342,,,
1.75,0.05238959,0.072450505,0.092511421,,,
1.76,0.053552665,0.073774603,0.093996541,,,
1.77,0.054728488,0.075110051,0.095491613,,,
1.78,0.055916979,0.076456763,0.096996548,,,
1.79,0.057118055,0.077814654,0.098511253,,,
1.8,0.058331631,0.079183635,0.10003564,,,
1.81,0.059557618,0.080563617,0.101569616,,,
1.82,0.060795927,0.081954509,0.103113092,,,
1.83,0.062046465,0.083356221,0.104665976,,,
1.84,0.06330914,0.084768658,0.106228177,,,
1.85,0.064583853,0.086191729,0.107799604,,,
1.86,0.065870508,0.087625337,0.109380167,,,
1.87,0.067169004,0.089069389,0.110969773,,,
1.88,0.06847924,0.090523786,0.112568332,,,
1.89,0.06980111,0.091988431,0.114175752,,,
1.9,0.071134511,0.093463227,0.115791944,,,
1.91,0.072479334,0.094948075,0.117416815,,,
1.92,0.073835472,0.096442874,0.119050276,,,
1.93,0.075202813,0.097947524,0.120692235,,,
