D1,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,0,0,2.136303963,0.262813198,0.030066244
0.01,0,1.97294E-09,1.98506E-08,,,
0.02,0,1.69677E-08,1.35824E-07,,,
0.03,0,6.19092E-08,4.26809E-07,,,
0.04,0,1.57945E-07,9.73137E-07,,,
0.05,0,3.30314E-07,1.8592E-06,,,
0.06,0,6.08314E-07,3.17427E-06,,,
0.07,0,1.02531E-06,5.01289E-06,,,
0.08,0,1.61879E-06,7.47509E-06,,,
0.09,0,2.43039E-06,1.06666E-05,,,
0.1,0,3.50597E-06,1.46987E-05,,,
0.11,0,4.89571E-06,1.96888E-05,,,
0.12,0,6.65415E-06,2.576E-05,,,
0.13,0,8.84029E-06,3.30415E-05,,,
0.14,0,1.15177E-05,4.16684E-05,,,
0.15,0,1.47544E-05,5.17819E-05,,,
0.16,0,1.86235E-05,6.35294E-05,,,
0.17,0,2.32025E-05,7.70645E-05,,,
0.18,0,2.85741E-05,9.25468E-05,,,
0.19,0,3.48257E-05,0.000110142,,,
0.2,0,4.20501E-05,0.000130023,,,
0.21,0,5.03449E-05,0.000152369,,,
0.22,0,5.98133E-05,0.000177363,,,
0.23,0,7.05637E-05,0.000205198,,,
0.24,0,8.27099E-05,0.000236071,,,
0.25,0,9.63713E-05,0.000270188,,,
0.26,0,0.000111673,0.000307758,,,
0.27,0,0.000128745,0.000348999,,,
0.28,0,0.000147726,0.000394135,,,
0.29,0,0.000168756,0.000443397,,,
0.3,0,0.000191984,0.000497023,,,
0.31,0,0.000217566,0.000555256,,,
0.32,0,0.000245662,0.000618347,,,
0.33,0,0.000276439,0.000686553,,,
0.34,0,0.00031007,0.000760139,,,
0.35,0,0.000346736,0.000839376,,,
0.36,0,0.000386623,0.000924541,,,
0.37,0,0.000429924,0.00101592,,,
0.38,0,0.00047684,0.001113804,,,
0.39,0,0.000527576,0.001218491,,,
0.4,0,0.000582347,0.001330287,,,
0.41,0,0.000641374,0.001449504,,,
0.42,0,0.000704884,0.001576462,,,
0.43,0,0.000773112,0.001711485,,,
0.44,0,0.000846302,0.001854908,,,
0.45,0,0.000924702,0.00200707,,,
0.46,0,0.00100857,0.002168319,,,
0.47,0,0.001098171,0.002339009,,,
0.48,0,0.001193778,0.002519499,,,
0.49,0,0.001295669,0.002710159,,,
0.5,0,0.001404135,0.002911363,,,
0.51,0,0.001519469,0.003123492,,,
0.52,0,0.001641977,0.003346937,,,
0.53,0,0.00177197,0.003582091,,,
0.54,0,0.001909768,0.003829358,,,
0.55,2.22513E-05,0.0020557,0.004089148,,,
0.56,5.83256E-05,0.002210101,0.004361877,,,
0.57,9.86674E-05,0.002373317,0.004647967,,,
0.58,0.000143553,0.002545702,0.00494785,,,
0.59,0.000193269,0.002727615,0.005261962,,,
0.6,0.000248112,0.002919429,0.005590746,,,
0.61,0.00030839,0.003121522,0.005934654,,,
0.62,0.000374421,0.003334281,0.006294141,,,
0.63,0.000446533,0.003558103,0.006669673,,,
0.64,0.000525066,0.003793393,0.007061719,,,
0.65,0.000610371,0.004040564,0.007470757,,,
0.66,0.00070281,0.00430004,0.007897269,,,
0.67,0.000802757,0.004572251,0.008341746,,,
