D1,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,9.98142E-15,4.22611E-13,1.940120205,0.366348232,0.043021705
0.01,0,8.95552E-08,2.90319E-06,,,
0.02,0,3.48693E-07,9.62225E-06,,,
0.03,0,8.21991E-07,1.95025E-05,,,
0.04,0,1.57152E-06,3.23321E-05,,,
0.05,0,2.6697E-06,4.80309E-05,,,
0.06,0,4.19788E-06,6.65896E-05,,,
0.07,0,6.24577E-06,8.80465E-05,,,
0.08,0,8.91131E-06,0.000112476,,,
0.09,0,1.23005E-05,0.000139985,,,
0.1,0,1.65275E-05,0.000170703,,,
0.11,0,2.17146E-05,0.000204788,,,
0.12,0,2.79924E-05,0.000242418,,,
0.13,0,3.54997E-05,0.000283795,,,
0.14,0,4.43841E-05,0.000329141,,,
0.15,0,5.48015E-05,0.000378697,,,
0.16,0,6.69167E-05,0.000432725,,,
0.17,0,8.09034E-05,0.000491504,,,
0.18,0,9.69443E-05,0.000555335,,,
0.19,0,0.000115231,0.000624533,,,
0.2,0,0.000135966,0.000699433,,,
0.21,0,0.000159359,0.000780387,,,
0.22,0,0.000185631,0.000867762,,,
0.23,0,0.000215012,0.000961943,,,
0.24,0,0.000247744,0.00106333,,,
0.25,0,0.000284076,0.001172339,,,
0.26,0,0.00032427,0.001289399,,,
0.27,0,0.000368598,0.001414956,,,
0.28,0,0.000417343,0.001549469,,,
0.29,0,0.000470797,0.001693411,,,
0.3,0,0.000529266,0.001847269,,,
0.31,0,0.000593065,0.002011541,,,
0.32,0,0.000662522,0.002186741,,,
0.33,0,0.000737977,0.002373393,,,
0.34,0,0.000819779,0.002572035,,,
0.35,0,0.000908291,0.002783215,,,
0.36,0,0.00100389,0.003007496,,,
0.37,0,0.001106961,0.003245449,,,
0.38,0,0.001217906,0.003497659,,,
0.39,0,0.001337135,0.00376472,,,
0.4,0,0.001465076,0.004047238,,,
0.41,0,0.001602166,0.00434583,,,
0.42,0,0.001748856,0.004661122,,,
0.43,0,0.001905611,0.004993753,,,
0.44,0,0.00207291,0.005344368,,,
0.45,0,0.002251243,0.005713626,,,
0.46,0,0.002441116,0.006102193,,,
0.47,0,0.002643048,0.006510745,,,
0.48,0,0.002857571,0.006939968,,,
0.49,0,0.003085233,0.007390557,,,
0.5,0,0.003326595,0.007863215,,,
0.51,0,0.003582232,0.008358654,,,
0.52,0,0.003852732,0.008877594,,,
0.53,0,0.0041387,0.009420763,,,
0.54,0,0.004440754,0.009988898,,,
0.55,0,0.004759526,0.010582741,,,
0.56,0,0.005095664,0.011203044,,,
0.57,0,0.005449828,0.011850564,,,
0.58,0,0.005822694,0.012526065,,,
0.59,0,0.006214954,0.013230317,,,
0.6,0,0.006627312,0.013964096,,,
0.61,0,0.007060487,0.014728183,,,
0.62,0,0.007515213,0.015523365,,,
0.63,0,0.007992238,0.016350432,,,
0.64,0,0.008492325,0.017210179,,,
0.65,0,0.00901625,0.018103405,,,
0.66,9.86938E-05,0.009564803,0.019030912,,,
0.67,0.000284074,0.010138789,0.019993503,,,
0.68,0.000486065,0.010739025,0.020991986,,,
0.69,0.000705521,0.011366344,0.022027168,,,
0.7,0.000943323,0.012021591,0.023099858,,,
0.71,0.001200378,0.012705622,0.024210867,,,
0.72,0.001477618,0.01341931,0.025361002,,,
0.73,0.001776002,0.014163537,0.026551073,,,
0.74,0.002096513,0.014939199,0.027781886,,,
0.75,0.002440161,0.015747204,0.029054246,,,
0.76,0.002807983,0.016588469,0.030368955,,,
0.77,0.003201041,0.017463927,0.031726812,,,
0.78,0.003620423,0.018374516,0.03312861,,,
0.79,0.00406724,0.019321189,0.034575138,,,
0.8,0.004542632,0.020304906,0.036067179,,,
0.81,0.005047763,0.021326636,0.03760551,,,
0.82,0.00558382,0.02238736,0.039190899,,,
0.83,0.006152017,0.023488062,0.040824108,,,
0.84,0.006753589,0.024629738,0.042505887,,,
0.85,0.007389797,0.025813388,0.044236979,,,
0.86,0.008061925,0.027040019,0.046018113,,,
0.87,0.008771277,0.028310643,0.047850009,,,
0.88,0.00951918,0.029626276,0.049733372,,,
0.89,0.010306984,0.03098794,0.051668896,,,
0.9,0.011136055,0.032396656,0.053657257,,,
0.91,0.012007782,0.03385345,0.055699118,,,
0.92,0.012923569,0.035359347,0.057795125,,,
0.93,0.01388484,0.036915373,0.059945906,,,
0.94,0.014893034,0.038522553,0.062152072,,,
0.95,0.015949603,0.040181908,0.064414213,,,
0.96,0.017056016,0.041894457,0.066732899,,,
0.97,0.018213751,0.043661215,0.06910868,,,
0.98,0.019424298,0.04548319,0.071542083,,,
0.99,0.020689156,0.047361383,0.074033611,,,
1,0.022009831,0.049296787,0.076583743,,,
1.01,0.023387834,0.051290385,0.079192936,,,
1.02,0.024824681,0.053343149,0.081861616,,,
1.03,0.026321888,0.055456037,0.084590187,,,
1.04,0.02788097,0.057629996,0.087379021,,,
1.05,0.029503441,0.059865953,0.090228466,,,
1.06,0.031190808,0.062164822,0.093138836,,,
1.07,0.032944572,0.064527495,0.096110419,,,
1.08,0.034766222,0.066954845,0.099143468,,,
1.09,0.036657236,0.069447722,0.102238209,,,
1.1,0.038619074,0.072006953,0.105394832,,,
1.11,0.040653178,0.074633337,0.108613497,,,
1.12,0.04276097,0.077327649,0.111894328,,,
1.13,0.044943844,0.08009063,0.115237416,,,
1.14,0.04720317,0.082922995,0.118642819,,,
1.15,0.049540282,0.085825421,0.122110559,,,
1.16,0.051956483,0.088798553,0.125640624,,,
1.17,0.054453034,0.091843,0.129232965,,,
1.18,0.057031157,0.094959328,0.132887499,,,
1.19,0.059692026,0.098148067,0.136604107,,,
1.2,0.062436765,0.101409701,0.140382636,,,
1.21,0.065266447,0.104744671,0.144222895,,,
1.22,0.068182084,0.108153372,0.148124661,,,
1.23,0.071184627,0.11163615,0.152087672,,,
1.24,0.074274964,0.1151933,0.156111637,,,
1.25,0.077453909,0.118825067,0.160196226,,,
1.26,0.080722204,0.122531641,0.164341078,,,
1.27,0.084080512,0.126313156,0.168545799,,,
1.28,0.087529414,0.130169689,0.172809963,,,
1.29,0.091069404,0.134101259,0.177133114,,,
1.3,0.094700883,0.138107824,0.181514765,,,
1.31,0.098424159,0.142189279,0.185954399,,,
1.32,0.10223944,0.146345457,0.190451474,,,
1.33,0.106146829,0.150576125,0.19500542,,,
1.34,0.110146324,0.154880983,0.199615643,,,
1.35,0.11423781,0.159259667,0.204281523,,,
1.36,0.118421058,0.16371174,0.209002423,,,
1.37,0.122695718,0.168236699,0.213777681,,,
1.38,0.12706132,0.17283397,0.218606619,,,
1.39,0.131517269,0.177502906,0.223488543,,,
1.4,0.136062839,0.182242791,0.228422743,,,
1.41,0.140697177,0.187052836,0.233408496,,,
1.42,0.145419292,0.19193218,0.238445068,,,
1.43,0.150228061,0.196879888,0.243531716,,,
1.44,0.15512222,0.201894955,0.24866769,,,
1.45,0.160100369,0.206976302,0.253852235,,,
1.46,0.165160966,0.212122778,0.25908459,,,
1.47,0.17030233,0.217333162,0.264363995,,,
1.48,0.175522637,0.222606162,0.269689686,,,
1.49,0.180819925,0.227940415,0.275060904,,,
1.5,0.186192092,0.233334489,0.280476887,,,
1.51,0.191636896,0.238786888,0.28593688,,,
1.52,0.197151961,0.244296045,0.29144013,,,
1.53,0.202734779,0.249860333,0.296985888,,,
1.54,0.20838271,0.25547806,0.30257341,,,
1.55,0.21409299,0.261147473,0.308201955,,,
1.56,0.219862735,0.266866761,0.313870787,,,
1.57,0.225688946,0.272634058,0.31957917,,,
1.58,0.231568515,0.278447443,0.32532637,,,
1.59,0.237498235,0.284304943,0.331111651,,,
1.6,0.243474805,0.29020454,0.336934274,,,
1.61,0.24949484,0.296144166,0.342793493,,,
1.62,0.255554884,0.302121716,0.348688548,,,
1.63,0.261651413,0.308135041,0.354618669,,,
1.64,0.267780856,0.314181959,0.360583063,,,
