D1,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,0,0,2.334886034,0.235802088,0.027633767
0.01,0,1.23404E-10,9.52108E-10,,,
0.02,0,1.49059E-09,9.74501E-09,,,
0.03,0,6.57432E-09,3.862E-08,,,
0.04,0,1.91089E-08,1.03517E-07,,,
0.05,0,4.41129E-08,2.23724E-07,,,
0.06,0,8.79389E-08,4.21734E-07,,,
0.07,0,1.58332E-07,7.23196E-07,,,
0.08,0,2.64492E-07,1.15689E-06,,,
0.09,0,4.17144E-07,1.75476E-06,,,
0.1,0,6.28599E-07,2.55189E-06,,,
0.11,0,9.12833E-07,3.58661E-06,,,
0.12,0,1.28555E-06,4.90047E-06,,,
0.13,0,1.76425E-06,6.53834E-06,,,
0.14,0,2.36833E-06,8.54842E-06,,,
0.15,0,3.11911E-06,1.09823E-05,,,
0.16,0,4.03994E-06,1.38951E-05,,,
0.17,0,5.15629E-06,1.73455E-05,,,
0.18,0,6.49578E-06,2.13955E-05,,,
0.19,0,8.08828E-06,2.61111E-05,,,
0.2,0,9.96602E-06,3.15617E-05,,,
0.21,0,1.21636E-05,3.78207E-05,,,
0.22,0,1.47181E-05,4.49653E-05,,,
0.23,0,1.76693E-05,5.30764E-05,,,
0.24,0,2.10594E-05,6.22392E-05,,,
0.25,0,2.49334E-05,7.25425E-05,,,
0.26,0,2.93393E-05,8.40796E-05,,,
0.27,0,3.43278E-05,9.69478E-05,,,
0.28,0,3.99527E-05,0.000111249,,,
0.29,0,4.62706E-05,0.000127088,,,
0.3,0,5.33416E-05,0.000144576,,,
0.31,0,6.12289E-05,0.000163827,,,
0.32,0,6.99989E-05,0.00018496,,,
0.33,0,7.97215E-05,0.000208099,,,
0.34,0,9.04702E-05,0.000233372,,,
0.35,0,0.000102322,0.000260913,,,
0.36,0,0.000115357,0.000290858,,,
0.37,0,0.000129661,0.00032335,,,
0.38,0,0.000145321,0.000358537,,,
0.39,0,0.00016243,0.000396571,,,
0.4,0,0.000181083,0.000437609,,,
0.41,0,0.000201382,0.000481813,,,
0.42,0,0.000223431,0.000529352,,,
0.43,0,0.000247339,0.000580397,,,
0.44,0,0.000273219,0.000635126,,,
0.45,0,0.00030119,0.000693724,,,
0.46,0,0.000331374,0.000756377,,,
0.47,0,0.000363897,0.000823281,,,
0.48,0,0.000398892,0.000894634,,,
0.49,0,0.000436497,0.000970643,,,
0.5,0,0.000476852,0.001051516,,,
0.51,0,0.000520106,0.001137471,,,
0.52,0,0.000566409,0.00122873,,,
0.53,0,0.000615921,0.001325519,,,
0.54,0,0.000668802,0.001428073,,,
0.55,0,0.000725223,0.001536632,,,
0.56,0,0.000785357,0.001651439,,,
0.57,0,0.000849384,0.001772747,,,
0.58,0,0.00091749,0.001900812,,,
0.59,0,0.000989865,0.002035899,,,
0.6,0,0.001066707,0.002178276,,,
0.61,0,0.00114822,0.002328219,,,
0.62,0,0.001234614,0.002486009,,,
0.63,2.72857E-07,0.001326104,0.002651935,,,
0.64,1.95355E-05,0.001422913,0.002826291,,,
0.65,4.11639E-05,0.001525271,0.003009378,,,
0.66,6.53224E-05,0.001633412,0.003201501,,,
0.67,9.21821E-05,0.001747579,0.003402975,,,
0.68,0.000121922,0.001868021,0.00361412,,,
0.69,0.000154727,0.001994994,0.003835261,,,
0.7,0.000190792,0.002128762,0.004066731,,,
0.71,0.000230318,0.002269593,0.004308869,,,
0.72,0.000273513,0.002417767,0.004562021,,,
0.73,0.000320595,0.002573567,0.004826539,,,
0.74,0.000371789,0.002737285,0.005102782,,,
0.75,0.000427329,0.002909222,0.005391115,,,
0.76,0.000487457,0.003089683,0.00569191,,,
0.77,0.000552425,0.003278986,0.006005547,,,
0.78,0.000622492,0.00347745,0.006332409,,,
0.79,0.000697928,0.003685409,0.00667289,,,
0.8,0.000779011,0.003903199,0.007027387,,,
0.81,0.000866029,0.004131168,0.007396306,,,
0.82,0.00095928,0.00436967,0.00778006,,,
0.83,0.001059071,0.004619068,0.008179066,,,
0.84,0.001165718,0.004879734,0.008593749,,,
0.85,0.001279551,0.005152047,0.009024542,,,
0.86,0.001400906,0.005436395,0.009471884,,,
0.87,0.001530132,0.005733175,0.009936218,,,
0.88,0.001667587,0.006042793,0.010417998,,,
0.89,0.001813642,0.006365662,0.010917681,,,
0.9,0.001968677,0.006702205,0.011435733,,,
0.91,0.002133083,0.007052854,0.011972624,,,
0.92,0.002307265,0.007418049,0.012528833,,,
0.93,0.002491637,0.00779824,0.013104843,,,
0.94,0.002686626,0.008193886,0.013701147,,,
0.95,0.002892668,0.008605454,0.01431824,,,
0.96,0.003110215,0.009033421,0.014956627,,,
0.97,0.003339729,0.009478273,0.015616817,,,
0.98,0.003581684,0.009940505,0.016299326,,,
0.99,0.003836566,0.010420621,0.017004676,,,
1,0.004104876,0.010919136,0.017733396,,,
1.01,0.004387124,0.011436571,0.018486018,,,
1.02,0.004683836,0.011973461,0.019263085,,,
1.03,0.00499555,0.012530345,0.020065141,,,
1.04,0.005322816,0.013107777,0.020892738,,,
1.05,0.005666197,0.013706315,0.021746433,,,
1.06,0.00602627,0.01432653,0.02262679,,,
1.07,0.006403627,0.014969001,0.023534376,,,
1.08,0.00679887,0.015634318,0.024469766,,,
1.09,0.007212616,0.016323077,0.025433538,,,
1.1,0.007645497,0.017035886,0.026426276,,,
1.11,0.008098157,0.017773363,0.027448569,,,
1.12,0.008571253,0.018536132,0.028501011,,,
1.13,0.009065457,0.019324829,0.029584201,,,
1.14,0.009581455,0.020140098,0.030698741,,,
1.15,0.010119947,0.020982593,0.03184524,,,
1.16,0.010681644,0.021852976,0.033024308,,,
1.17,0.011267274,0.022751918,0.034236561,,,
1.18,0.011877577,0.023680099,0.03548262,,,
1.19,0.012513308,0.024638208,0.036763108,,,
1.2,0.013175235,0.025626943,0.038078651,,,
1.21,0.013864139,0.026647009,0.039429879,,,
1.22,0.014580816,0.027699122,0.040817428,,,
1.23,0.015326075,0.028784003,0.042241931,,,
1.24,0.016100736,0.029902383,0.04370403,,,
1.25,0.016905637,0.031055001,0.045204365,,,
1.26,0.017741625,0.032242603,0.04674358,,,
1.27,0.018609561,0.033465942,0.048322322,,,
1.28,0.019510321,0.03472578,0.049941238,,,
1.29,0.020444791,0.036022884,0.051600977,,,
1.3,0.021413869,0.03735803,0.053302191,,,
1.31,0.022418468,0.038731999,0.05504553,,,
1.32,0.02345951,0.040145579,0.056831648,,,
1.33,0.02453793,0.041599563,0.058661197,,,
1.34,0.025654673,0.043094752,0.060534831,,,
1.35,0.026810697,0.04463195,0.062453202,,,
1.36,0.028006969,0.046211967,0.064416965,,,
1.37,0.029244466,0.047835619,0.066426771,,,
1.38,0.030524176,0.049503724,0.068483272,,,
1.39,0.031847093,0.051217105,0.070587117,,,
1.4,0.033214223,0.052976589,0.072738955,,,
1.41,0.03462658,0.054783007,0.074939434,,,
1.42,0.036085183,0.05663719,0.077189197,,,
1.43,0.037591061,0.058539974,0.079488886,,,
1.44,0.039145248,0.060492195,0.081839141,,,
1.45,0.040748783,0.062494691,0.084240598,,,
1.46,0.042402711,0.0645483,0.086693889,,,
1.47,0.044108081,0.066653862,0.089199643,,,
1.48,0.045865946,0.068812215,0.091758484,,,
1.49,0.047677361,0.071024197,0.094371032,,,
1.5,0.049543382,0.073290642,0.097037903,,,
1.51,0.051465067,0.075612386,0.099759704,,,
1.52,0.053443475,0.077990259,0.102537042,,,
1.53,0.055479661,0.080425087,0.105370514,,,
1.54,0.057574679,0.082917695,0.108260711,,,
1.55,0.059729581,0.085468901,0.11120822,,,
1.56,0.061945414,0.088079516,0.114213618,,,
1.57,0.064223217,0.090750346,0.117277476,,,
1.58,0.066564025,0.093482191,0.120400357,,,
1.59,0.068968863,0.09627584,0.123582817,,,
1.6,0.071438749,0.099132076,0.126825402,,,
1.61,0.073974686,0.102051668,0.130128651,,,
1.62,0.076577669,0.10503538,0.133493091,,,
1.63,0.079248674,0.108083959,0.136919244,,,
1.64,0.081988666,0.111198142,0.140407618,,,
1.65,0.084798591,0.114378653,0.143958715,,,
1.66,0.087679376,0.117626199,0.147573023,,,
1.67,0.090631927,0.120941474,0.151251022,,,
1.68,0.093657128,0.124325154,0.154993179,,,
1.69,0.09675584,0.127777896,0.158799953,,,
1.7,0.099928896,0.131300342,0.162671787,,,
1.71,0.103177102,0.13489311,0.166609117,,,
1.72,0.106501234,0.138556799,0.170612364,,,
1.73,0.109902034,0.142291986,0.174681938,,,
1.74,0.113380212,0.146099223,0.178818235,,,
1.75,0.116936441,0.14997904,0.18302164,,,
1.76,0.120571355,0.153931939,0.187292524,,,
1.77,0.124285547,0.157958396,0.191631245,,,
1.78,0.128079567,0.162058858,0.196038149,,,
1.79,0.131953921,0.166233743,0.200513566,,,
1.8,0.135909065,0.170483439,0.205057813,,,
1.81,0.139945406,0.1748083,0.209671194,,,
1.82,0.144063299,0.179208647,0.214353996,,,
1.83,0.148263043,0.183684768,0.219106493,,,
1.84,0.152544882,0.188236914,0.223928946,,,
1.85,0.156908998,0.192865297,0.228821596,,,
1.86,0.161355513,0.197570093,0.233784673,,,
1.87,0.165884483,0.202351435,0.238818388,,,
1.88,0.170495899,0.207209418,0.243922937,,,
1.89,0.175189682,0.212144091,0.2490985,,,
1.9,0.179965683,0.217155461,0.254345238,,,
1.91,0.184823681,0.222243488,0.259663296,,,
1.92,0.189763377,0.227408087,0.265052797,,,
1.93,0.194784397,0.232649124,0.27051385,,,
1.94,0.199886289,0.237966414,0.276046539,,,
1.95,0.20506852,0.243359725,0.28165093,,,
1.96,0.210330473,0.248828769,0.287327066,,,
1.97,0.215671452,0.254373209,0.293074965,,,
1.98,0.221090673,0.259992649,0.298894624,,,
1.99,0.226587271,0.26568664,0.30478601,,,
2,0.232160291,0.271454678,0.310749064,,,
2.01,0.237808696,0.277296196,0.316783696,,,
2.02,0.243531361,0.283210573,0.322889785,,,
2.03,0.249327076,0.289197126,0.329067175,,,
2.04,0.255194545,0.295255109,0.335315674,,,
2.05,0.261132388,0.301383718,0.341635047,,,
2.06,0.267139145,0.307582082,0.34802502,,,
2.07,0.27321327,0.31384927,0.354485269,,,
2.08,0.279353142,0.320184283,0.361015424,,,
2.09,0.285557061,0.326586059,0.367615058,,,
