D1,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,0,0,2.546747908,0.268618061,0.033269039
0.01,0,0,0,,,
0.02,0,0,0,,,
0.03,0,0,0,,,
0.04,0,0,0,,,
0.05,0,0,0,,,
0.06,0,0,0,,,
0.07,0,0,0,,,
0.08,0,0,0,,,
0.09,0,0,0,,,
0.1,0,0,0,,,
0.11,0,0,0,,,
0.12,0,1.2552E-19,3.85644E-18,,,
0.13,0,1.00416E-18,2.00124E-17,,,
0.14,0,6.02495E-18,1.04041E-16,,,
0.15,0,2.68612E-17,4.44797E-16,,,
0.16,0,1.0506E-16,1.68171E-15,,,
0.17,0,3.70409E-16,5.7315E-15,,,
0.18,0,1.18673E-15,1.78029E-14,,,
0.19,0,3.50389E-15,5.09973E-14,,,
0.2,0,9.62605E-15,1.35976E-13,,,
0.21,0,2.48101E-14,3.40149E-13,,,
0.22,0,6.03994E-14,8.03669E-13,,,
0.23,0,1.39687E-13,1.80382E-12,,,
0.24,0,3.08435E-13,3.86521E-12,,,
0.25,0,6.53022E-13,7.94133E-12,,,
0.26,0,1.3307E-12,1.57033E-11,,,
0.27,0,2.6185E-12,2.99849E-11,,,
0.28,0,4.99008E-12,5.545E-11,,,
0.29,0,9.23342E-12,9.95658E-11,,,
0.3,0,1.66269E-11,1.73993E-10,,,
0.31,0,2.91971E-11,2.96526E-10,,,
0.32,0,5.00891E-11,4.93746E-10,,,
0.33,0,8.40883E-11,8.04598E-10,,,
0.34,0,1.38344E-10,1.28511E-09,,,
0.35,0,2.23358E-10,2.01455E-09,,,
0.36,0,3.54314E-10,3.10333E-09,,,
0.37,0,5.5284E-10,4.70303E-09,,,
0.38,0,8.49324E-10,7.01898E-09,,,
0.39,0,1.28591E-09,1.03258E-08,,,
0.4,0,1.92036E-09,1.49864E-08,,,
0.41,0,2.83087E-09,2.14755E-08,,,
0.42,0,4.12227E-09,3.04068E-08,,,
0.43,0,5.93359E-09,4.25671E-08,,,
0.44,0,8.44749E-09,5.89551E-08,,,
0.45,0,1.19017E-08,8.08278E-08,,,
0.46,0,1.66033E-08,1.09755E-07,,,
0.47,0,2.29449E-08,1.4768E-07,,,
0.48,0,3.14256E-08,1.96995E-07,,,
0.49,0,4.26747E-08,2.60621E-07,,,
0.5,0,5.74798E-08,3.42102E-07,,,
0.51,0,7.68203E-08,4.45714E-07,,,
0.52,0,1.01907E-07,5.76581E-07,,,
0.53,0,1.34225E-07,7.40812E-07,,,
0.54,0,1.7559E-07,9.45654E-07,,,
0.55,0,2.28205E-07,1.19965E-06,,,
0.56,0,2.94729E-07,1.51285E-06,,,
0.57,0,3.78356E-07,1.89696E-06,,,
0.58,0,4.82907E-07,2.36564E-06,,,
0.59,0,6.12923E-07,2.93468E-06,,,
0.6,0,7.73785E-07,3.62233E-06,,,
0.61,0,9.71832E-07,4.44952E-06,,,
0.62,0,1.21451E-06,5.44026E-06,,,
0.63,0,1.51052E-06,6.62188E-06,,,
0.64,0,1.86999E-06,8.02549E-06,,,
0.65,0,2.30469E-06,9.6863E-06,,,
0.66,0,2.82819E-06,1.16441E-05,,,
0.67,0,3.45614E-06,1.39436E-05,,,
0.68,0,4.20649E-06,1.66351E-05,,,
0.69,0,5.09977E-06,1.97747E-05,,,
0.7,0,6.15939E-06,2.34251E-05,,,
0.71,0,7.41195E-06,2.7656E-05,,,
0.72,0,8.88758E-06,3.25448E-05,,,
0.73,0,1.06203E-05,3.81771E-05,,,
0.74,0,1.26485E-05,4.46472E-05,,,
0.75,0,1.50153E-05,5.20593E-05,,,
0.76,0,1.77687E-05,6.05275E-05,,,
0.77,0,2.09629E-05,7.0177E-05,,,
0.78,0,2.46577E-05,8.11445E-05,,,
0.79,0,2.89199E-05,9.35794E-05,,,
0.8,0,3.38235E-05,0.000107644,,,
0.81,0,3.94504E-05,0.000123514,,,
0.82,0,4.58907E-05,0.000141382,,,
0.83,0,5.32439E-05,0.000161454,,,
0.84,0,6.16192E-05,0.000183952,,,
0.85,0,7.11363E-05,0.000209118,,,
0.86,0,8.19259E-05,0.000237209,,,
0.87,0,9.41309E-05,0.000268503,,,
0.88,0,0.000107907,0.000303296,,,
0.89,0,0.000123423,0.000341906,,,
0.9,0,0.000140862,0.000384671,,,
0.91,0,0.000160423,0.000431953,,,
0.92,0,0.000182321,0.000484134,,,
0.93,0,0.000206787,0.000541622,,,
0.94,0,0.000234069,0.000604847,,,
0.95,0,0.000264436,0.000674267,,,
0.96,0,0.000298174,0.000750363,,,
0.97,0,0.000335591,0.000833644,,,
0.98,0,0.000377016,0.000924643,,,
0.99,0,0.000422799,0.001023923,,,
1,0,0.000473314,0.001132075,,,
1.01,0,0.000528957,0.001249715,,,
1.02,0,0.000590151,0.001377489,,,
1.03,0,0.000657342,0.001516074,,,
1.04,0,0.000731004,0.001666172,,,
1.05,0,0.000811637,0.001828517,,,
1.06,0,0.000899767,0.00200387,,,
1.07,0,0.000995951,0.002193021,,,
1.08,0,0.001100773,0.002396792,,,
1.09,0,0.001214845,0.002616029,,,
1.1,0,0.001338812,0.00285161,,,
1.11,0,0.001473347,0.00310444,,,
1.12,0,0.001619153,0.00337545,,,
1.13,0,0.001776967,0.0036656,,,
1.14,0,0.001947554,0.003975877,,,
1.15,0,0.00213171,0.00430729,,,
1.16,0,0.002330267,0.004660876,,,
1.17,5.04686E-05,0.002544082,0.005037695,,,
1.18,0.000109266,0.002774048,0.005438831,,,
1.19,0.000176789,0.003021087,0.005865386,,,
1.2,0.000253819,0.003286153,0.006318488,,,
1.21,0.000341181,0.00357023,0.006799279,,,
1.22,0.000439739,0.003874331,0.007308923,,,
1.23,0.0005504,0.0041995,0.0078486,,,
1.24,0.000674115,0.004546809,0.008419502,,,
1.25,0.000811878,0.004917358,0.009022838,,,
1.26,0.000964724,0.005312276,0.009659828,,,
1.27,0.001133731,0.005732716,0.010331701,,,
1.28,0.001320019,0.006179857,0.011039695,,,
1.29,0.00152475,0.006654903,0.011785056,,,
1.3,0.001749128,0.007159081,0.012569033,,,
1.31,0.001994396,0.007693638,0.013392879,,,
1.32,0.002261837,0.008259842,0.014257847,,,
1.33,0.002552772,0.008858981,0.01516519,,,
1.34,0.002868559,0.009492358,0.016116158,,,
1.35,0.003210593,0.010161294,0.017111995,,,
1.36,0.003580301,0.01086712,0.018153939,,,
1.37,0.003979145,0.011611182,0.019243218,,,
1.38,0.004408617,0.012394834,0.020381052,,,
1.39,0.004870236,0.01321944,0.021568643,,,
1.4,0.005365551,0.014086367,0.022807183,,,
1.41,0.005896132,0.014996988,0.024097844,,,
1.42,0.006463573,0.015952677,0.02544178,,,
1.43,0.007069488,0.016954807,0.026840125,,,
1.44,0.007715507,0.018004748,0.028293989,,,
1.45,0.008403273,0.019103866,0.029804458,,,
1.46,0.009134443,0.020253518,0.031372593,,,
1.47,0.00991068,0.021455052,0.032999425,,,
1.48,0.010733652,0.022709805,0.034685957,,,
1.49,0.011605032,0.024019096,0.036433161,,,
1.5,0.012526488,0.025384231,0.038241974,,,
1.51,0.013499686,0.026806495,0.040113303,,,
1.52,0.014526283,0.028287149,0.042048016,,,
1.53,0.015607925,0.029827435,0.044046945,,,
1.54,0.016746243,0.031428564,0.046110885,,,
1.55,0.01794285,0.033091721,0.048240593,,,
1.56,0.019199336,0.034818059,0.050436782,,,
1.57,0.020517266,0.036608698,0.052700129,,,
1.58,0.021898178,0.038464722,0.055031266,,,
1.59,0.023343574,0.040387178,0.057430783,,,
1.6,0.024854922,0.042377075,0.059899228,,,
1.61,0.02643365,0.044435377,0.062437105,,,
1.62,0.028081144,0.046563008,0.065044873,,,
1.63,0.029798741,0.048760844,0.067722947,,,
1.64,0.03158773,0.051029714,0.070471698,,,
1.65,0.033449348,0.0533704,0.073291451,,,
1.66,0.035384773,0.055783631,0.076182488,,,
1.67,0.037395126,0.058270085,0.079145044,,,
1.68,0.039481465,0.060830387,0.08217931,,,
1.69,0.041644782,0.063465107,0.085285433,,,
1.7,0.043886001,0.066174758,0.088463514,,,
1.71,0.046205978,0.068959795,0.091713612,,,
1.72,0.048605493,0.071820617,0.095035742,,,
1.73,0.051085252,0.074757563,0.098429874,,,
1.74,0.053645883,0.07777091,0.101895937,,,
1.75,0.056287935,0.080860877,0.105433818,,,
1.76,0.059011875,0.084027619,0.109043362,,,
1.77,0.061818088,0.087271231,0.112724375,,,
1.78,0.064706873,0.090591746,0.11647662,,,
1.79,0.067678444,0.093989134,0.120299823,,,
1.8,0.070732928,0.0974633,0.124193671,,,
1.81,0.073870365,0.10101409,0.128157814,,,
1.82,0.077090705,0.104641285,0.132191865,,,
1.83,0.08039381,0.108344605,0.136295399,,,
1.84,0.083779453,0.112123706,0.140467959,,,
1.85,0.087247317,0.115978184,0.144709052,,,
1.86,0.090796996,0.119907574,0.149018151,,,
1.87,0.094427996,0.123911347,0.153394698,,,
1.88,0.098139735,0.127988919,0.157838103,,,
1.89,0.101931541,0.132139642,0.162347742,,,
1.9,0.10580266,0.136362812,0.166922965,,,
1.91,0.109752251,0.140657669,0.171563087,,,
1.92,0.113779388,0.145023393,0.176267399,,,
1.93,0.117883065,0.149459112,0.181035159,,,
1.94,0.122062197,0.153963898,0.1858656,,,
1.95,0.126315619,0.158536772,0.190757926,,,
1.96,0.130642092,0.163176703,0.195711313,,,
1.97,0.135040304,0.167882608,0.200724912,,,
1.98,0.139508872,0.172653359,0.205797846,,,
1.99,0.144046347,0.177487779,0.21092921,,,
2,0.148651216,0.182384646,0.216118076,,,
2.01,0.153321902,0.187342695,0.221363487,,,
2.02,0.158056775,0.192360618,0.22666446,,,
2.03,0.162854149,0.197437068,0.232019987,,,
2.04,0.167712285,0.202570658,0.237429031,,,
2.05,0.172629403,0.207759966,0.24289053,,,
2.06,0.177603676,0.213003535,0.248403394,,,
2.07,0.18263324,0.218299873,0.253966506,,,
2.08,0.187716197,0.223647459,0.259578722,,,
2.09,0.192850617,0.229044743,0.26523887,,,
2.1,0.198034546,0.234490147,0.270945747,,,
2.11,0.203266006,0.239982067,0.276698127,,,
2.12,0.208543002,0.245518876,0.282494749,,,
2.13,0.213863525,0.251098926,0.288334327,,,
2.14,0.219225556,0.25672055,0.294215545,,,
2.15,0.224627069,0.262382062,0.300137055,,,
2.16,0.23006604,0.268081761,0.306097482,,,
2.17,0.235540443,0.273817932,0.312095421,,,
2.18,0.241048259,0.279588848,0.318129436,,,
2.19,0.246587479,0.285392771,0.324198063,,,
2.2,0.252156107,0.291227957,0.330299808,,,
2.21,0.257752161,0.297092654,0.336433148,,,
2.22,0.263373679,0.302985106,0.342596532,,,
2.23,0.269018722,0.308903552,0.348788383,,,
2.24,0.274685372,0.314846233,0.355007094,,,
2.25,0.280371742,0.320811389,0.361251036,,,
2.26,0.286075971,0.326797261,0.367518552,,,
2.27,0.29179623,0.332802096,0.373807963,,,
2.28,0.297530723,0.338824146,0.380117568,,,
2.29,0.303277689,0.344861668,0.386445647,,,
2.3,0.309035401,0.350912929,0.392790457,,,
2.31,0.314802171,0.356976207,0.399150243,,,
2.32,0.320576346,0.363049788,0.40552323,,,
2.33,0.326356314,0.369131974,0.411907633,,,
2.34,0.332140502,0.375221079,0.418301656,,,
2.35,0.337927373,0.381315432,0.424703492,,,
2.36,0.343715434,0.387413381,0.431111329,,,
2.37,0.349503228,0.393513289,0.437523349,,,
2.38,0.355289341,0.399613538,0.443937735,,,
2.39,0.361072395,0.405712531,0.450352667,,,
2.4,0.366851052,0.411808691,0.456766329,,,
2.41,0.372624015,0.417900463,0.463176911,,,
2.42,0.37839002,0.423986314,0.469582609,,,
2.43,0.384147846,0.430064738,0.475981629,,,
2.44,0.389896304,0.436134247,0.482372191,,,
2.45,0.395634245,0.442193385,0.488752526,,,
2.46,0.401360551,0.448240718,0.495120884,,,
2.47,0.407074143,0.454274838,0.501475534,,,
2.48,0.412773972,0.460294368,0.507814764,,,
2.49,0.418459024,0.466297954,0.514136884,,,
2.5,0.424128317,0.472284275,0.520440233,,,
2.51,0.429780898,0.478252034,0.52672317,,,
2.52,0.435415848,0.484199968,0.532984089,,,
2.53,0.441032273,0.49012684,0.539221407,,,
2.54,0.446629313,0.496031445,0.545433578,,,
2.55,0.452206131,0.501912608,0.551619085,,,
2.56,0.457761921,0.507769183,0.557776445,,,
2.57,0.4632959,0.513600056,0.563904212,,,
2.58,0.468807315,0.519404145,0.570000976,,,
2.59,0.474295433,0.525180398,0.576065362,,,
2.6,0.47975955,0.530927792,0.582096035,,,
2.61,0.485198983,0.53664534,0.588091698,,,
2.62,0.490613072,0.542332083,0.594051094,,,
2.63,0.496001182,0.547987094,0.599973006,,,
2.64,0.501362697,0.553609477,0.605856257,,,
2.65,0.506697023,0.559198368,0.611699712,,,
2.66,0.51200359,0.564752934,0.617502277,,,
2.67,0.517281845,0.570272372,0.623262899,,,
2.68,0.522531255,0.575755911,0.628980567,,,
2.69,0.527751309,0.581202811,0.634654313,,,
2.7,0.532941513,0.586612361,0.640283209,,,
2.71,0.538101393,0.591983881,0.64586637,,,
2.72,0.543230492,0.597316722,0.651402952,,,
2.73,0.548328372,0.602610262,0.656892153,,,
2.74,0.553394612,0.607863912,0.662333212,,,
2.75,0.55842881,0.613077109,0.667725408,,,
2.76,0.563430578,0.61824932,0.673068063,,,
2.77,0.568399547,0.623380042,0.678360537,,,
2.78,0.573335363,0.628468796,0.68360223,,,
2.79,0.578237689,0.633515136,0.688792582,,,
2.8,0.583106204,0.638518638,0.693931072,,,
2.81,0.587940601,0.643478908,0.699017216,,,
2.82,0.59274059,0.648395579,0.704050568,,,
2.83,0.597505894,0.653268307,0.70903072,,,
2.84,0.602236253,0.658096776,0.713957299,,,
2.85,0.60693142,0.662880694,0.718829968,,,
2.86,0.611591163,0.667619795,0.723648426,,,
2.87,0.616215264,0.672313834,0.728412405,,,
2.88,0.620803518,0.676962594,0.73312167,,,
2.89,0.625355735,0.681565878,0.73777602,,,
2.9,0.629871736,0.686123511,0.742375287,,,
2.91,0.634351358,0.690635345,0.746919331,,,
2.92,0.638794449,0.695101248,0.751408046,,,
2.93,0.643200871,0.699521112,0.755841353,,,
2.94,0.647570497,0.70389485,0.760219203,,,
2.95,0.651903213,0.708222394,0.764541575,,,
2.96,0.656198918,0.712503697,0.768808475,,,
2.97,0.660457521,0.716738729,0.773019937,,,
2.98,0.664678943,0.72092748,0.777176017,,,
2.99,0.668863118,0.725069959,0.7812768,,,
3,0.67300999,0.729166191,0.785322393,,,
3.01,0.677119514,0.733216219,0.789312925,,,
3.02,0.681191655,0.737220103,0.793248551,,,
3.03,0.685226391,0.741177917,0.797129444,,,
3.04,0.689223707,0.745089754,0.8009558,,,
3.05,0.693183602,0.748955718,0.804727834,,,
3.06,0.697106081,0.752775932,0.808445782,,,
3.07,0.700991162,0.756550529,0.812109896,,,
3.08,0.704838871,0.76027966,0.815720449,,,
3.09,0.708649242,0.763963485,0.819277727,,,
3.1,0.71242232,0.767602179,0.822782037,,,
3.11,0.716158159,0.771195929,0.826233698,,,
3.12,0.719856822,0.774744934,0.829633046,,,
3.13,0.723518377,0.778249403,0.83298043,,,
3.14,0.727142904,0.781709558,0.836276212,,,
3.15,0.73073049,0.78512563,0.83952077,,,
3.16,0.73428123,0.78849786,0.84271449,,,
3.17,0.737795226,0.7918265,0.845857773,,,
3.18,0.741272587,0.795111808,0.84895103,,,
3.19,0.74471343,0.798354055,0.85199468,,,
3.2,0.748117881,0.801553518,0.854989155,,,
3.21,0.751486068,0.804710481,0.857934894,,,
3.22,0.754818131,0.807825238,0.860832346,,,
3.23,0.758114212,0.810898089,0.863681966,,,
3.24,0.761374462,0.81392934,0.866484219,,,
3.25,0.764599037,0.816919306,0.869239575,,,
3.26,0.767788099,0.819868304,0.87194851,,,
3.27,0.770941816,0.822776662,0.874611508,,,
3.28,0.77406036,0.825644709,0.877229057,,,
3.29,0.777143911,0.82847278,0.87980165,,,
3.3,0.780192652,0.831261218,0.882329783,,,
3.31,0.783206772,0.834010366,0.884813959,,,
3.32,0.786186463,0.836720573,0.887254683,,,
3.33,0.789131923,0.839392193,0.889652463,,,
3.34,0.792043354,0.842025581,0.892007808,,,
3.35,0.794920963,0.844621098,0.894321234,,,
3.36,0.797764959,0.847179106,0.896593253,,,
3.37,0.800575558,0.849699971,0.898824384,,,
3.38,0.803352977,0.85218406,0.901015144,,,
3.39,0.806097436,0.854631744,0.903166051,,,
3.4,0.808809162,0.857043393,0.905277625,,,
3.41,0.811488381,0.859419383,0.907350385,,,
3.42,0.814135326,0.861760088,0.909384849,,,
3.43,0.816750228,0.864065883,0.911381538,,,
3.44,0.819333326,0.866337148,0.913340969,,,
3.45,0.821884857,0.868574259,0.91526366,,,
3.46,0.824405065,0.870777595,0.917150126,,,
3.47,0.826894192,0.872947537,0.919000882,,,
3.48,0.829352484,0.875084462,0.92081644,,,
3.49,0.831780189,0.87718875,0.922597312,,,
3.5,0.834177558,0.879260782,0.924344006,,,
3.51,0.836544841,0.881300935,0.926057029,,,
3.52,0.838882292,0.883309588,0.927736884,,,
3.53,0.841190165,0.885287119,0.929384072,,,
3.54,0.843468716,0.887233904,0.930999092,,,
3.55,0.845718203,0.889150321,0.932582439,,,
3.56,0.847938884,0.891036744,0.934134604,,,
3.57,0.850131017,0.892893546,0.935656075,,,
3.58,0.852294863,0.894721101,0.937147338,,,
3.59,0.854430683,0.896519778,0.938608873,,,
3.6,0.856538738,0.898289948,0.940041158,,,
3.61,0.858619291,0.900031978,0.941444666,,,
3.62,0.860672603,0.901746234,0.942819866,,,
3.63,0.862698937,0.90343308,0.944167223,,,
3.64,0.864698558,0.905092878,0.945487199,,,
3.65,0.866671726,0.906725987,0.946780249,,,
3.66,0.868618707,0.908332766,0.948046825,,,
3.67,0.870539762,0.909913569,0.949287376,,,
3.68,0.872435156,0.91146875,0.950502344,,,
3.69,0.87430515,0.912998659,0.951692167,,,
3.7,0.876150008,0.914503644,0.952857279,,,
3.71,0.877969991,0.91598405,0.953998109,,,
3.72,0.879765361,0.917440221,0.95511508,,,
3.73,0.881536379,0.918872496,0.956208613,,,
3.74,0.883283306,0.920281213,0.95727912,,,
3.75,0.885006401,0.921666706,0.958327011,,,
3.76,0.886705924,0.923029307,0.959352691,,,
3.77,0.888382132,0.924369345,0.960356559,,,
3.78,0.890035284,0.925687146,0.961339008,,,
3.79,0.891665635,0.926983032,0.96230043,,,
3.8,0.893273441,0.928257324,0.963241206,,,
3.81,0.894858957,0.929510338,0.964161718,,,
3.82,0.896422435,0.930742387,0.965062338,,,
3.83,0.897964129,0.931953783,0.965943437,,,
3.84,0.899484288,0.933144832,0.966805377,,,
3.85,0.900983162,0.93431584,0.967648518,,,
3.86,0.902461,0.935467107,0.968473213,,,
3.87,0.903918049,0.936598931,0.969279813,,,
3.88,0.905354553,0.937711606,0.970068659,,,
3.89,0.906770759,0.938805425,0.970840092,,,
3.9,0.908166907,0.939880676,0.971594445,,,
