D1,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,0,0,2.851824171,0.285741717,0.03719689
0.01,0,0,0,,,
0.02,0,0,0,,,
0.03,0,0,0,,,
0.04,0,0,0,,,
0.05,0,0,0,,,
0.06,0,0,0,,,
0.07,0,0,0,,,
0.08,0,6.45103E-20,2.73994E-18,,,
0.09,0,5.80593E-19,2.46595E-17,,,
0.1,0,3.61258E-18,1.53437E-16,,,
0.11,0,1.91596E-17,8.00437E-16,,,
0.12,0,8.34764E-17,3.44962E-15,,,
0.13,0,3.13133E-16,1.28208E-14,,,
0.14,0,1.03784E-15,4.20394E-14,,,
0.15,0,3.09759E-15,1.23987E-13,,,
0.16,0,8.45653E-15,3.33958E-13,,,
0.17,0,2.13805E-14,8.31636E-13,,,
0.18,0,5.05702E-14,1.93406E-12,,,
0.19,0,1.12843E-13,4.23553E-12,,,
0.2,0,2.39218E-13,8.79559E-12,,,
0.21,0,4.84621E-13,1.74215E-11,,,
0.22,0,9.42934E-13,3.30777E-11,,,
0.23,0,1.76967E-12,6.04605E-11,,,
0.24,0,3.21542E-12,1.06782E-10,,,
0.25,0,5.67418E-12,1.82816E-10,,,
0.26,0,9.75206E-12,3.04254E-10,,,
0.27,0,1.63632E-11,4.93442E-10,,,
0.28,0,2.68622E-11,7.81561E-10,,,
0.29,0,4.32241E-11,1.21132E-09,,,
0.3,0,6.82863E-11,1.84023E-09,,,
0.31,0,1.06071E-10,2.7446E-09,,,
0.32,0,1.62207E-10,4.0242E-09,,,
0.33,0,2.44486E-10,5.80792E-09,,,
0.34,0,3.63568E-10,8.26029E-09,,,
0.35,0,5.339E-10,1.15891E-08,,,
0.36,0,7.74867E-10,1.60545E-08,,,
0.37,0,1.11225E-09,2.19786E-08,,,
0.38,0,1.58006E-09,2.97582E-08,,,
0.39,0,2.22276E-09,3.98774E-08,,,
0.4,0,3.09806E-09,5.29234E-08,,,
0.41,0,4.28032E-09,6.96039E-08,,,
0.42,0,5.86467E-09,9.07669E-08,,,
0.43,0,7.97196E-09,1.17424E-07,,,
0.44,0,1.07548E-08,1.50773E-07,,,
0.45,0,1.44046E-08,1.92233E-07,,,
0.46,0,1.916E-08,2.43469E-07,,,
0.47,0,2.53171E-08,3.06435E-07,,,
0.48,0,3.32409E-08,3.8341E-07,,,
0.49,0,4.33788E-08,4.77047E-07,,,
0.5,0,5.62771E-08,5.90424E-07,,,
0.51,0,7.25987E-08,7.27099E-07,,,
0.52,0,9.31449E-08,8.91176E-07,,,
0.53,0,1.18879E-07,1.08737E-06,,,
0.54,0,1.50954E-07,1.3211E-06,,,
0.55,0,1.90746E-07,1.59854E-06,,,
0.56,0,2.39887E-07,1.92677E-06,,,
0.57,0,3.00306E-07,2.31381E-06,,,
0.58,0,3.74275E-07,2.76878E-06,,,
0.59,0,4.64461E-07,3.30202E-06,,,
0.6,0,5.73978E-07,3.9252E-06,,,
0.61,0,7.06455E-07,4.65148E-06,,,
0.62,0,8.66101E-07,5.49565E-06,,,
0.63,0,1.05779E-06,6.47432E-06,,,
0.64,0,1.28712E-06,7.60609E-06,,,
0.65,0,1.56056E-06,8.91172E-06,,,
0.66,0,1.88549E-06,1.04144E-05,,,
0.67,0,2.27035E-06,1.21398E-05,,,
0.68,0,2.72474E-06,1.41165E-05,,,
0.69,0,3.25958E-06,1.63763E-05,,,
0.7,0,3.88722E-06,1.8954E-05,,,
0.71,0,4.62161E-06,2.18883E-05,,,
0.72,0,5.47845E-06,2.52217E-05,,,
0.73,0,6.4754E-06,2.90008E-05,,,
0.74,0,7.63223E-06,3.32768E-05,,,
0.75,0,8.97104E-06,3.81057E-05,,,
0.76,0,1.05165E-05,4.35486E-05,,,
0.77,0,1.2296E-05,4.96723E-05,,,
0.78,0,1.43399E-05,5.65492E-05,,,
0.79,0,1.6682E-05,6.42581E-05,,,
0.8,0,1.93596E-05,7.28845E-05,,,
0.81,0,2.24136E-05,8.25209E-05,,,
0.82,0,2.58892E-05,9.32672E-05,,,
0.83,0,2.98361E-05,0.000105231,,,
0.84,0,3.43087E-05,0.000118528,,,
0.85,0,3.93664E-05,0.000133284,,,
0.86,0,4.50741E-05,0.000149632,,,
0.87,0,5.15025E-05,0.000167715,,,
0.88,0,5.87287E-05,0.000187687,,,
0.89,0,6.68361E-05,0.000209712,,,
0.9,0,7.59151E-05,0.000233964,,,
0.91,0,8.60638E-05,0.00026063,,,
0.92,0,9.73877E-05,0.000289907,,,
0.93,0,0.000110001,0.000322004,,,
0.94,0,0.000124026,0.000357145,,,
0.95,0,0.000139595,0.000395565,,,
0.96,0,0.000156849,0.000437513,,,
