D1,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,3.33846E-16,9.17904E-15,2.605948757,0.47100556,0.05767393
0.01,0,8.43027E-08,6.90336E-07,,,
0.02,0,4.5403E-07,2.99212E-06,,,
0.03,0,1.2569E-06,7.20441E-06,,,
0.04,0,2.63195E-06,1.35965E-05,,,
0.05,0,4.71691E-06,2.24246E-05,,,
0.06,0,7.65037E-06,3.39382E-05,,,
0.07,0,1.15728E-05,4.83829E-05,,,
0.08,0,1.6627E-05,6.60022E-05,,,
0.09,0,2.29584E-05,8.70383E-05,,,
0.1,0,3.07154E-05,0.000111733,,,
0.11,0,4.00494E-05,0.000140328,,,
0.12,0,5.11146E-05,0.000173066,,,
0.13,0,6.40685E-05,0.00021019,,,
0.14,0,7.90718E-05,0.000251942,,,
0.15,0,9.62882E-05,0.000298568,,,
0.16,0,0.000115885,0.000350312,,,
0.17,0,0.000138031,0.000407422,,,
0.18,0,0.000162901,0.000470144,,,
0.19,0,0.00019067,0.000538728,,,
0.2,0,0.000221519,0.000613422,,,
0.21,0,0.000255629,0.000694479,,,
0.22,0,0.000293188,0.000782149,,,
0.23,0,0.000334382,0.000876686,,,
0.24,0,0.000379406,0.000978345,,,
0.25,0,0.000428453,0.001087379,,,
0.26,0,0.000481722,0.001204047,,,
0.27,0,0.000539414,0.001328604,,,
0.28,0,0.000601733,0.00146131,,,
0.29,0,0.000668886,0.001602424,,,
0.3,0,0.000741084,0.001752205,,,
0.31,0,0.00081854,0.001910916,,,
0.32,0,0.000901469,0.002078818,,,
0.33,0,0.000990091,0.002256173,,,
0.34,0,0.001084627,0.002443246,,,
0.35,0,0.001185302,0.0026403,,,
0.36,0,0.001292344,0.0028476,,,
0.37,0,0.001405982,0.003065412,,,
0.38,0,0.001526449,0.003294001,,,
0.39,0,0.001653982,0.003533634,,,
0.4,0,0.001788818,0.003784578,,,
0.41,0,0.001931199,0.0040471,,,
0.42,0,0.002081367,0.004321467,,,
0.43,0,0.002239569,0.004607947,,,
0.44,0,0.002406054,0.004906807,,,
0.45,0,0.002581073,0.005218317,,,
0.46,0,0.002764878,0.005542742,,,
0.47,3.51005E-05,0.002957727,0.005880353,,,
0.48,8.83371E-05,0.003159877,0.006231416,,,
0.49,0.000146977,0.003371588,0.006596199,,,
0.5,0.000211278,0.003593124,0.006974969,,,
0.51,0.000281503,0.003824748,0.007367994,,,
0.52,0.000357919,0.004066729,0.007775539,,,
0.53,0.000440799,0.004319335,0.008197872,,,
0.54,0.000530418,0.004582838,0.008635258,,,
0.55,0.000627058,0.004857509,0.009087961,,,
0.56,0.000731005,0.005143625,0.009556245,,,
0.57,0.000842547,0.005441461,0.010040375,,,
0.58,0.00096198,0.005751297,0.010540613,,,
0.59,0.001089603,0.006073411,0.01105722,,,
0.6,0.001225717,0.006408087,0.011590456,,,
0.61,0.001370631,0.006755606,0.012140582,,,
0.62,0.001524656,0.007116255,0.012707854,,,
0.63,0.001688106,0.007490318,0.01329253,,,
