D1,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,0,0,3.983720297,0.590014237,0.068552494
0.01,0,9.00797E-15,3.21178E-13,,,
0.02,0,1.52937E-12,4.48304E-11,,,
0.03,0,2.5379E-11,6.25393E-10,,,
0.04,0,1.72188E-10,3.64066E-09,,,
0.05,0,7.29362E-10,1.34587E-08,,,
0.06,0,2.31329E-09,3.77762E-08,,,
0.07,0,6.03705E-09,8.8252E-08,,,
0.08,0,1.36974E-08,1.80969E-07,,,
0.09,0,2.79771E-08,3.36773E-07,,,
0.1,0,5.26591E-08,5.81535E-07,,,
0.11,0,9.28506E-08,9.46352E-07,,,
0.12,0,1.55214E-07,1.4677E-06,,,
0.13,0,2.48204E-07,2.1876E-06,,,
0.14,0,3.82302E-07,3.15367E-06,,,
0.15,0,5.70263E-07,4.4193E-06,,,
0.16,0,8.27341E-07,6.04368E-06,,,
0.17,0,1.17153E-06,8.09191E-06,,,
0.18,0,1.6238E-06,1.0635E-05,,,
0.19,0,2.2083E-06,1.37502E-05,,,
0.2,0,2.95256E-06,1.75205E-05,,,
0.21,0,3.88774E-06,2.20353E-05,,,
0.22,0,5.04877E-06,2.73899E-05,,,
0.23,0,6.47456E-06,3.36861E-05,,,
0.24,0,8.20814E-06,4.10315E-05,,,
0.25,0,1.02968E-05,4.95402E-05,,,
0.26,0,1.27924E-05,5.93319E-05,,,
0.27,0,1.57511E-05,7.0533E-05,,,
0.28,0,1.92339E-05,8.32755E-05,,,
0.29,0,2.33066E-05,9.76975E-05,,,
0.3,0,2.80395E-05,0.000113943,,,
0.31,0,3.35082E-05,0.000132161,,,
0.32,0,3.97929E-05,0.000152507,,,
0.33,0,4.69791E-05,0.000175142,,,
0.34,0,5.5157E-05,0.000200231,,,
0.35,0,6.44218E-05,0.000227946,,,
0.36,0,7.4874E-05,0.000258462,,,
0.37,0,8.66187E-05,0.00029196,,,
0.38,0,9.97661E-05,0.000328625,,,
0.39,0,0.000114431,0.000368646,,,
0.4,0,0.000130734,0.000412216,,,
0.41,0,0.000148799,0.000459533,,,
0.42,0,0.000168755,0.000510797,,,
0.43,0,0.000190737,0.000566212,,,
0.44,0,0.000214882,0.000625985,,,
0.45,0,0.000241333,0.000690324,,,
0.46,0,0.000270237,0.000759443,,,
0.47,0,0.000301745,0.000833555,,,
0.48,0,0.000336011,0.000912876,,,
0.49,0,0.000373194,0.000997624,,,
0.5,0,0.000413457,0.001088017,,,
0.51,0,0.000456965,0.001184276,,,
0.52,0,0.000503887,0.001286621,,,
0.53,0,0.000554395,0.001395274,,,
0.54,0,0.000608665,0.001510456,,,
0.55,0,0.000666873,0.001632388,,,
0.56,0,0.000729202,0.001761291,,,
0.57,0,0.000795833,0.001897387,,,
0.58,0,0.000866952,0.002040894,,,
0.59,0,0.000942745,0.002192033,,,
0.6,0,0.001023403,0.002351019,,,
0.61,0,0.001109115,0.00251807,,,
0.62,0,0.001200073,0.002693399,,,
0.63,0,0.001296472,0.002877219,,,
0.64,0,0.001398505,0.00306974,,,
0.65,0,0.001506368,0.00327117,,,
0.66,0,0.001620256,0.003481714,,,
0.67,0,0.001740367,0.003701575,,,
0.68,0,0.001866897,0.003930953,,,
0.69,0,0.002000043,0.004170045,,,
0.7,0,0.002140003,0.004419043,,,
0.71,0,0.002286972,0.004678139,,,
0.72,0,0.002441147,0.004947518,,,
0.73,0,0.002602724,0.005227365,,,
0.74,2.59381E-05,0.002771898,0.005517857,,,
0.75,7.85533E-05,0.002948862,0.005819171,,,
0.76,0.000136143,0.003133811,0.006131479,,,
0.77,0.000198923,0.003326935,0.006454947,,,
0.78,0.000267112,0.003528425,0.006789738,,,
0.79,0.000340928,0.00373847,0.007136012,,,
0.8,0.00042059,0.003957257,0.007493924,,,
0.81,0.000506318,0.004184971,0.007863623,,,
0.82,0.000598335,0.004421795,0.008245256,,,
0.83,0.00069686,0.004667912,0.008638963,,,
0.84,0.000802115,0.004923499,0.009044883,,,
0.85,0.000914321,0.005188733,0.009463145,,,
0.86,0.0010337,0.00546379,0.00989388,,,
0.87,0.001160471,0.005748839,0.010337208,,,
0.88,0.001294853,0.006044051,0.010793249,,,
0.89,0.001437067,0.006349591,0.011262115,,,
0.9,0.001587329,0.006665622,0.011743916,,,
0.91,0.001745855,0.006992306,0.012238756,,,
0.92,0.001912862,0.007329798,0.012746734,,,
0.93,0.002088561,0.007678253,0.013267945,,,
0.94,0.002273164,0.008037821,0.013802478,,,
0.95,0.002466882,0.008408651,0.01435042,,,
0.96,0.002669921,0.008790885,0.01491185,,,
0.97,0.002882486,0.009184665,0.015486845,,,
0.98,0.00310478,0.009590128,0.016075476,,,
0.99,0.003337004,0.010007407,0.01667781,,,
1,0.003579354,0.010436631,0.017293909,,,
1.01,0.003832025,0.010877928,0.017923831,,,
1.02,0.004095209,0.011331419,0.018567628,,,
1.03,0.004369093,0.011797222,0.019225351,,,
1.04,0.004653864,0.012275454,0.019897044,,,
1.05,0.004949702,0.012766224,0.020582746,,,
1.06,0.005256787,0.01326964,0.021282494,,,
1.07,0.005575292,0.013785806,0.021996319,,,
1.08,0.00590539,0.014314819,0.022724249,,,
1.09,0.006247247,0.014856777,0.023466307,,,
1.1,0.006601026,0.01541177,0.024222514,,,
1.11,0.006966887,0.015979885,0.024992883,,,
1.12,0.007344987,0.016561207,0.025777427,,,
1.13,0.007735475,0.017155814,0.026576153,,,
1.14,0.008138499,0.017763783,0.027389066,,,
1.15,0.008554203,0.018385184,0.028216165,,,
1.16,0.008982725,0.019020086,0.029057448,,,
1.17,0.009424199,0.019668553,0.029912907,,,
1.18,0.009878755,0.020330643,0.030782531,,,
1.19,0.010346519,0.021006413,0.031666308,,,
1.2,0.010827612,0.021695915,0.032564219,,,
1.21,0.01132215,0.022399197,0.033476244,,,
1.22,0.011830246,0.023116303,0.03440236,,,
1.23,0.012352006,0.023847273,0.03534254,,,
1.24,0.012887534,0.024592143,0.036296753,,,
1.25,0.013436927,0.025350947,0.037264968,,,
1.26,0.014000279,0.026123713,0.038247148,,,
1.27,0.01457768,0.026910467,0.039243254,,,
1.28,0.015169213,0.02771123,0.040253247,,,
1.29,0.015774957,0.028526019,0.04127708,,,
1.3,0.016394988,0.029354849,0.042314709,,,
1.31,0.017029376,0.03019773,0.043366084,,,
1.32,0.017678187,0.03105467,0.044431153,,,
1.33,0.018341481,0.031925671,0.045509862,,,
1.34,0.019019314,0.032810735,0.046602156,,,
1.35,0.019711739,0.033709857,0.047707975,,,
1.36,0.020418802,0.034623031,0.04882726,,,
1.37,0.021140546,0.035550246,0.049959947,,,
1.38,0.021877008,0.03649149,0.051105971,,,
1.39,0.022628223,0.037446745,0.052265266,,,
1.4,0.023394219,0.038415991,0.053437764,,,
1.41,0.024175019,0.039399206,0.054623394,,,
1.42,0.024970645,0.040396364,0.055822083,,,
1.43,0.025781112,0.041407435,0.057033758,,,
1.44,0.026606431,0.042432387,0.058258343,,,
1.45,0.027446608,0.043471185,0.059495762,,,
1.46,0.028301647,0.044523791,0.060745936,,,
1.47,0.029171545,0.045590165,0.062008785,,,
1.48,0.030056297,0.046670262,0.063284227,,,
1.49,0.030955892,0.047764036,0.06457218,,,
1.5,0.031870317,0.048871439,0.06587256,,,
1.51,0.032799553,0.049992418,0.067185282,,,
1.52,0.033743578,0.051126919,0.06851026,,,
1.53,0.034702366,0.052274886,0.069847406,,,
1.54,0.035675887,0.05343626,0.071196633,,,
1.55,0.036664106,0.054610978,0.07255785,,,
1.56,0.037666987,0.055798977,0.073930968,,,
1.57,0.038684487,0.057000191,0.075315895,,,
1.58,0.039716562,0.058214551,0.07671254,,,
1.59,0.040763163,0.059441987,0.07812081,,,
1.6,0.041824237,0.060682425,0.079540612,,,
1.61,0.04289973,0.06193579,0.080971851,,,
1.62,0.043989581,0.063202007,0.082414433,,,
1.63,0.045093728,0.064480995,0.083868263,,,
1.64,0.046212106,0.065772675,0.085333244,,,
1.65,0.047344645,0.067076963,0.086809281,,,
1.66,0.048491273,0.068393775,0.088296277,,,
1.67,0.049651916,0.069723025,0.089794134,,,
1.68,0.050826493,0.071064624,0.091302755,,,
1.69,0.052014925,0.072418484,0.092822042,,,
1.7,0.053217126,0.073784512,0.094351898,,,
1.71,0.05443301,0.075162616,0.095892222,,,
1.72,0.055662487,0.076552703,0.097442918,,,
1.73,0.056905464,0.077954675,0.099003886,,,
1.74,0.058161846,0.079368436,0.100575027,,,
1.75,0.059431536,0.080793888,0.102156241,,,
1.76,0.060714432,0.082230931,0.10374743,,,
1.77,0.062010432,0.083679463,0.105348494,,,
1.78,0.063319431,0.085139383,0.106959335,,,
1.79,0.064641321,0.086610586,0.108579851,,,
1.8,0.065975993,0.088092969,0.110209945,,,
1.81,0.067323335,0.089586426,0.111849517,,,
1.82,0.068683233,0.09109085,0.113498467,,,
1.83,0.070055571,0.092606133,0.115156696,,,
1.84,0.07144023,0.094132168,0.116824105,,,
1.85,0.072837091,0.095668844,0.118500596,,,
1.86,0.074246032,0.097216051,0.120186069,,,
1.87,0.07566693,0.098773678,0.121880426,,,
1.88,0.077099659,0.100341614,0.123583568,,,
1.89,0.078544093,0.101919745,0.125295397,,,
1.9,0.080000102,0.103507959,0.127015816,,,
1.91,0.081467557,0.105106141,0.128744725,,,
1.92,0.082946327,0.106714177,0.130482028,,,
1.93,0.084436278,0.108331952,0.132227627,,,
1.94,0.085937276,0.10995935,0.133981425,,,
1.95,0.087449185,0.111596256,0.135743326,,,
1.96,0.08897187,0.113242552,0.137513233,,,
1.97,0.090505192,0.114898121,0.13929105,,,
1.98,0.092049012,0.116562847,0.141076681,,,
1.99,0.093603191,0.118236611,0.142870031,,,
2,0.095167587,0.119919295,0.144671004,,,
2.01,0.096742058,0.121610782,0.146479506,,,
2.02,0.098326462,0.123310952,0.148295441,,,
2.03,0.099920656,0.125019687,0.150118717,,,
2.04,0.101524495,0.126736867,0.15194924,,,
2.05,0.103137835,0.128462375,0.153786915,,,
2.06,0.104760529,0.13019609,0.15563165,,,
2.07,0.106392432,0.131937892,0.157483352,,,
2.08,0.108033398,0.133687664,0.15934193,,,
2.09,0.109683279,0.135445285,0.16120729,,,
2.1,0.111341928,0.137210635,0.163079342,,,
2.11,0.113009198,0.138983596,0.164957994,,,
2.12,0.11468494,0.140764048,0.166843156,,,
2.13,0.116369006,0.142551872,0.168734738,,,
2.14,0.118061248,0.144346948,0.170632648,,,
2.15,0.119761517,0.146149157,0.172536798,,,
2.16,0.121469664,0.147958381,0.174447098,,,
2.17,0.123185542,0.1497745,0.176363459,,,
2.18,0.124909,0.151597397,0.178285793,,,
2.19,0.126639892,0.153426952,0.180214012,,,
2.2,0.128378068,0.155263048,0.182148027,,,
2.21,0.13012338,0.157105566,0.184087752,,,
2.22,0.13187568,0.15895439,0.186033099,,,
2.23,0.13363482,0.160809401,0.187983981,,,
2.24,0.135400653,0.162670483,0.189940312,,,
2.25,0.137173032,0.164537519,0.191902006,,,
2.26,0.138951809,0.166410393,0.193868977,,,
2.27,0.140736839,0.168288989,0.19584114,,,
2.28,0.142527975,0.170173192,0.197818409,,,
2.29,0.144325072,0.172062886,0.199800699,,,
2.3,0.146127986,0.173957956,0.201787927,,,
2.31,0.147936572,0.17585829,0.203780007,,,
2.32,0.149750686,0.177763772,0.205776857,,,
2.33,0.151570186,0.179674289,0.207778391,,,
2.34,0.15339493,0.181589729,0.209784528,,,
2.35,0.155224775,0.183509979,0.211795183,,,
2.36,0.157059582,0.185434928,0.213810274,,,
2.37,0.15889921,0.187364464,0.215829718,,,
2.38,0.16074352,0.189298477,0.217853434,,,
2.39,0.162592374,0.191236856,0.219881338,,,
2.4,0.164445635,0.193179492,0.221913349,,,
2.41,0.166303166,0.195126276,0.223949386,,,
2.42,0.168164833,0.1970771,0.225989367,,,
2.43,0.1700305,0.199031855,0.22803321,,,
2.44,0.171900034,0.200990434,0.230080835,,,
2.45,0.173773303,0.202952732,0.232132161,,,
2.46,0.175650176,0.204918642,0.234187108,,,
2.47,0.177530522,0.206888058,0.236245594,,,
2.48,0.179414213,0.208860877,0.238307541,,,
2.49,0.18130112,0.210836993,0.240372867,,,
2.5,0.183191117,0.212816305,0.242441493,,,
2.51,0.185084079,0.214798709,0.244513339,,,
2.52,0.18697988,0.216784103,0.246588326,,,
2.53,0.188878398,0.218772386,0.248666374,,,
2.54,0.19077951,0.220763457,0.250747404,,,
2.55,0.192683098,0.222757218,0.252831338,,,
2.56,0.194589039,0.224753568,0.254918096,,,
2.57,0.196497218,0.226752408,0.257007599,,,
2.58,0.198407517,0.228753643,0.259099769,,,
2.59,0.20031982,0.230757174,0.261194527,,,
2.6,0.202234014,0.232762905,0.263291795,,,
2.61,0.204149985,0.23477074,0.265391496,,,
2.62,0.206067623,0.236780586,0.26749355,,,
2.63,0.207986817,0.238792348,0.26959788,,,
2.64,0.209907458,0.240805933,0.271704408,,,
2.65,0.211829439,0.242821248,0.273813057,,,
2.66,0.213752655,0.244838202,0.275923748,,,
2.67,0.215677,0.246856703,0.278036406,,,
2.68,0.217602371,0.248876661,0.280150952,,,
2.69,0.219528667,0.250897988,0.282267309,,,
2.7,0.221455787,0.252920594,0.2843854,,,
2.71,0.223383632,0.254944391,0.28650515,,,
2.72,0.225312105,0.256969292,0.28862648,,,
2.73,0.227241109,0.258995212,0.290749315,,,
2.74,0.22917055,0.261022064,0.292873578,,,
2.75,0.231100334,0.263049763,0.294999192,,,
2.76,0.233030369,0.265078226,0.297126083,,,
2.77,0.234960565,0.267107369,0.299254174,,,
2.78,0.236890832,0.269137111,0.301383389,,,
2.79,0.238821083,0.271167368,0.303513653,,,
2.8,0.240751231,0.273198061,0.305644891,,,
2.81,0.242681191,0.275229109,0.307777027,,,
2.82,0.244610879,0.277260433,0.309909986,,,
2.83,0.246540214,0.279291954,0.312043694,,,
2.84,0.248469114,0.281323595,0.314178076,,,
2.85,0.250397499,0.283355278,0.316313058,,,
2.86,0.252325292,0.285386929,0.318448565,,,
2.87,0.254252415,0.28741847,0.320584524,,,
2.88,0.256178793,0.289449827,0.322720862,,,
2.89,0.258104351,0.291480927,0.324857503,,,
2.9,0.260029017,0.293511697,0.326994376,,,
2.91,0.261952719,0.295542063,0.329131407,,,
2.92,0.263875386,0.297571955,0.331268525,,,
2.93,0.26579695,0.299601302,0.333405655,,,
2.94,0.267717342,0.301630034,0.335542727,,,
