D1,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,5.37861E-17,9.80778E-16,2.472935324,0.341183153,0.043437079
0.01,0,6.56417E-08,3.74252E-07,,,
0.02,0,3.87154E-07,1.82686E-06,,,
0.03,0,1.12052E-06,4.71056E-06,,,
0.04,0,2.41036E-06,9.32338E-06,,,
0.05,0,4.39794E-06,1.59412E-05,,,
0.06,0,7.22374E-06,2.48271E-05,,,
0.07,0,1.10285E-05,3.62366E-05,,,
0.08,0,1.59541E-05,5.04194E-05,,,
0.09,0,2.21437E-05,6.76214E-05,,,
0.1,0,2.97421E-05,8.80856E-05,,,
0.11,0,3.88959E-05,0.000112053,,,
0.12,0,4.97536E-05,0.000139763,,,
0.13,0,6.24659E-05,0.000171454,,,
0.14,0,7.71854E-05,0.000207363,,,
0.15,0,9.40668E-05,0.000247728,,,
0.16,0,0.000113267,0.000292783,,,
0.17,0,0.000134946,0.000342766,,,
0.18,0,0.000159264,0.000397912,,,
0.19,0,0.000186385,0.000458458,,,
0.2,0,0.000216474,0.000524638,,,
0.21,0,0.000249701,0.000596689,,,
0.22,0,0.000286236,0.000674847,,,
0.23,0,0.00032625,0.000759349,,,
0.24,0,0.000369919,0.000850431,,,
0.25,0,0.00041742,0.000948329,,,
0.26,0,0.000468932,0.001053281,,,
0.27,0,0.000524638,0.001165523,,,
0.28,0,0.00058472,0.001285295,,,
0.29,0,0.000649365,0.001412832,,,
0.3,0,0.000718762,0.001548375,,,
0.31,0,0.0007931,0.00169216,,,
0.32,0,0.000872573,0.001844428,,,
0.33,0,0.000957376,0.002005416,,,
0.34,0,0.001047706,0.002175365,,,
0.35,0,0.001143762,0.002354514,,,
0.36,0,0.001245746,0.002543103,,,
0.37,0,0.001353862,0.002741372,,,
0.38,0,0.001468315,0.002949561,,,
0.39,1.07172E-05,0.001589314,0.003167911,,,
0.4,3.74749E-05,0.001717069,0.003396663,,,
0.41,6.75261E-05,0.001851792,0.003636058,,,
0.42,0.000101059,0.001993698,0.003886337,,,
0.43,0.000138264,0.002143003,0.004147741,,,
0.44,0.000179339,0.002299925,0.004420511,,,
0.45,0.000224483,0.002464686,0.004704889,,,
0.46,0.000273899,0.002637508,0.005001117,,,
0.47,0.000327795,0.002818615,0.005309436,,,
0.48,0.000386384,0.003008236,0.005630087,,,
0.49,0.000449881,0.003206597,0.005963312,,,
0.5,0.000518507,0.00341393,0.006309353,,,
0.51,0.000592484,0.003630468,0.006668451,,,
0.52,0.000672042,0.003856444,0.007040847,,,
0.53,0.00075741,0.004092097,0.007426783,,,
0.54,0.000848827,0.004337663,0.007826499,,,
0.55,0.000946529,0.004593383,0.008240236,,,
0.56,0.001050763,0.004859499,0.008668235,,,
0.57,0.001161773,0.005136255,0.009110736,,,
0.58,0.001279813,0.005423896,0.009567979,,,
0.59,0.001405137,0.005722671,0.010040204,,,
0.6,0.001538004,0.006032827,0.01052765,,,
0.61,0.001678677,0.006354617,0.011030556,,,
0.62,0.001827422,0.006688291,0.01154916,,,
0.63,0.00198451,0.007034106,0.012083701,,,
0.64,0.002150215,0.007392315,0.012634415,,,
0.65,0.002324814,0.007763177,0.01320154,,,
0.66,0.002508589,0.00814695,0.013785312,,,
0.67,0.002701825,0.008543896,0.014385966,,,
0.68,0.002904811,0.008954275,0.015003738,,,
0.69,0.003117839,0.009378351,0.015638862,,,
0.7,0.003341206,0.009816389,0.016291571,,,
0.71,0.00357521,0.010268654,0.016962098,,,
0.72,0.003820154,0.010735415,0.017650676,,,
0.73,0.004076346,0.01121694,0.018357534,,,
0.74,0.004344094,0.011713498,0.019082903,,,
0.75,0.004623712,0.012225362,0.019827012,,,
0.76,0.004915516,0.012752803,0.02059009,,,
0.77,0.005219827,0.013296095,0.021372363,,,
0.78,0.005536967,0.013855512,0.022174057,,,
0.79,0.005867262,0.01443133,0.022995398,,,
0.8,0.006211041,0.015023825,0.023836608,,,
0.81,0.006568638,0.015633275,0.024697911,,,
0.82,0.006940387,0.016259958,0.025579528,,,
0.83,0.007326627,0.016904153,0.026481678,,,
0.84,0.007727699,0.01756614,0.02740458,,,
0.85,0.008143947,0.018246199,0.028348451,,,
0.86,0.008575718,0.018944612,0.029313507,,,
0.87,0.00902336,0.019661661,0.030299962,,,
0.88,0.009487227,0.020397628,0.031308029,,,
0.89,0.009967674,0.021152796,0.032337919,,,
0.9,0.010465056,0.021927448,0.033389841,,,
0.91,0.010979733,0.022721868,0.034464004,,,
0.92,0.011512068,0.02353634,0.035560612,,,
0.93,0.012062423,0.024371147,0.036679871,,,
0.94,0.012631166,0.025226575,0.037821984,,,
0.95,0.013218664,0.026102907,0.038987151,,,
0.96,0.013825286,0.027000428,0.04017557,,,
0.97,0.014451406,0.027919422,0.041387439,,,
0.98,0.015097395,0.028860174,0.042622953,,,
0.99,0.01576363,0.029822968,0.043882305,,,
1,0.016450487,0.030808086,0.045165685,,,
1.01,0.017158343,0.031815813,0.046473283,,,
1.02,0.017887578,0.032846431,0.047805285,,,
1.03,0.018638572,0.033900223,0.049161875,,,
1.04,0.019411706,0.034977471,0.050543236,,,
1.05,0.020207363,0.036078456,0.051949549,,,
1.06,0.021025925,0.037203457,0.05338099,,,
1.07,0.021867776,0.038352755,0.054837735,,,
