D1,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,0,0,2.74987877,0.320960578,0.04203249
0.01,0,0,0,,,
0.02,0,0,0,,,
0.03,0,0,0,,,
0.04,0,0,0,,,
0.05,0,0,0,,,
0.06,0,0,0,,,
0.07,0,5.10447E-19,1.45848E-17,,,
0.08,0,6.38059E-18,1.62127E-16,,,
0.09,0,5.02153E-17,1.17611E-15,,,
0.1,0,2.94847E-16,6.58906E-15,,,
0.11,0,1.4096E-15,3.00333E-14,,,
0.12,0,5.68581E-15,1.15848E-13,,,
0.13,0,1.997E-14,3.89551E-13,,,
0.14,0,6.24805E-14,1.16799E-12,,,
0.15,0,1.77256E-13,3.17811E-12,,,
0.16,0,4.62465E-13,7.95844E-12,,,
0.17,0,1.12228E-12,1.85485E-11,,,
0.18,0,2.55675E-12,4.06074E-11,,,
0.19,0,5.51029E-12,8.41438E-11,,,
0.2,0,1.13067E-11,1.6608E-10,,,
0.21,0,2.22082E-11,3.13917E-10,,,
0.22,0,4.19471E-11,5.70813E-10,,,
0.23,0,7.64901E-11,1.00242E-09,,,
0.24,0,1.35112E-10,1.70585E-09,,,
0.25,0,2.31872E-10,2.82124E-09,,,
0.26,0,3.87596E-10,4.54628E-09,,,
0.27,0,6.32506E-10,7.15424E-09,,,
0.28,0,1.00964E-09,1.10159E-08,,,
0.29,0,1.57925E-09,1.66262E-08,,,
0.3,0,2.42434E-09,2.46352E-08,,,
0.31,0,3.65764E-09,3.58855E-08,,,
0.32,0,5.43019E-09,5.14546E-08,,,
0.33,0,7.9419E-09,7.27048E-08,,,
0.34,0,1.14543E-08,1.01339E-07,,,
0.35,0,1.63059E-08,1.39466E-07,,,
0.36,0,2.29305E-08,1.89669E-07,,,
0.37,0,3.1879E-08,2.55094E-07,,,
0.38,0,4.38444E-08,3.39529E-07,,,
0.39,0,5.96922E-08,4.47512E-07,,,
0.4,0,8.04941E-08,5.84436E-07,,,
0.41,0,1.07568E-07,7.56673E-07,,,
0.42,0,1.42523E-07,9.71699E-07,,,
0.43,0,1.87312E-07,1.23824E-06,,,
0.44,0,2.44289E-07,1.56644E-06,,,
0.45,0,3.16276E-07,1.96799E-06,,,
0.46,0,4.06636E-07,2.45636E-06,,,
0.47,0,5.19357E-07,3.04695E-06,,,
0.48,0,6.59143E-07,3.75731E-06,,,
0.49,0,8.31515E-07,4.60738E-06,,,
0.5,0,1.04293E-06,5.61968E-06,,,
0.51,0,1.30088E-06,6.81962E-06,,,
0.52,0,1.61406E-06,8.23571E-06,,,
0.53,0,1.9925E-06,9.89986E-06,,,
0.54,0,2.44772E-06,1.18477E-05,,,
0.55,0,2.99289E-06,1.41187E-05,,,
0.56,0,3.64305E-06,1.6757E-05,,,
0.57,0,4.41527E-06,1.9811E-05,,,
0.58,0,5.32891E-06,2.33344E-05,,,
0.59,0,6.40579E-06,2.73861E-05,,,
