D1,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,7.59919E-18,1.57148E-16,2.240870858,0.408602122,0.049001658
0.01,0,2.88511E-08,2.26092E-07,,,
0.02,0,1.79828E-07,1.20165E-06,,,
0.03,0,5.40704E-07,3.24086E-06,,,
0.04,0,1.20017E-06,6.60886E-06,,,
0.05,0,2.25091E-06,1.15541E-05,,,
0.06,0,3.79039E-06,1.83184E-05,,,
0.07,0,5.92124E-06,2.71409E-05,,,
0.08,0,8.75143E-06,3.82614E-05,,,
0.09,0,1.23944E-05,5.19213E-05,,,
0.1,0,1.69691E-05,6.8365E-05,,,
0.11,0,2.26001E-05,8.78402E-05,,,
0.12,0,2.94177E-05,0.000110599,,,
0.13,0,3.75577E-05,0.000136897,,,
0.14,0,4.7162E-05,0.000166996,,,
0.15,0,5.83781E-05,0.000201161,,,
0.16,0,7.13594E-05,0.000239662,,,
0.17,0,8.62651E-05,0.000282777,,,
0.18,0,0.000103261,0.000330784,,,
0.19,0,0.000122517,0.000383972,,,
0.2,0,0.000144213,0.000442632,,,
0.21,0,0.00016853,0.000507059,,,
0.22,0,0.000195658,0.000577557,,,
0.23,0,0.000225795,0.000654433,,,
0.24,0,0.00025914,0.000738,,,
0.25,0,0.000295904,0.000828575,,,
0.26,0,0.0003363,0.000926484,,,
0.27,0,0.000380549,0.001032053,,,
0.28,0,0.00042888,0.001145618,,,
0.29,0,0.000481526,0.001267517,,,
0.3,0,0.000538727,0.001398095,,,
0.31,0,0.000600732,0.001537701,,,
0.32,0,0.000667792,0.00168669,,,
0.33,0,0.000740169,0.001845421,,,
0.34,0,0.000818129,0.002014259,,,
0.35,0,0.000901947,0.002193574,,,
0.36,0,0.000991901,0.002383739,,,
0.37,0,0.00108828,0.002585133,,,
0.38,0,0.001191377,0.00279814,,,
0.39,0,0.001301492,0.003023148,,,
0.4,0,0.001418933,0.00326055,,,
0.41,0,0.001544015,0.003510743,,,
0.42,0,0.001677057,0.003774128,,,
0.43,0,0.001818389,0.004051111,,,
0.44,0,0.001968344,0.004342101,,,
0.45,0,0.002127265,0.004647511,,,
0.46,0,0.002295499,0.004967761,,,
0.47,0,0.002473403,0.00530327,,,
0.48,0,0.002661338,0.005654463,,,
0.49,0,0.002859673,0.00602177,,,
0.5,0,0.003068784,0.006405622,,,
0.51,0,0.003289053,0.006806453,,,
0.52,0,0.003520871,0.007224702,,,
0.53,0,0.003764632,0.00766081,,,
0.54,0,0.004020741,0.008115221,,,
0.55,0,0.004289605,0.008588382,,,
0.56,6.2545E-05,0.004571643,0.00908074,,,
0.57,0.000141802,0.004867275,0.009592748,,,
0.58,0.000229005,0.005176932,0.010124859,,,
0.59,0.000324569,0.005501048,0.010677528,,,
0.6,0.000428923,0.005840067,0.011251211,,,
0.61,0.000542503,0.006194436,0.011846369,,,
0.62,0.00066576,0.00656461,0.01246346,,,
0.63,0.000799153,0.00695105,0.013102946,,,
0.64,0.000943154,0.007354222,0.013765289,,,
0.65,0.001098245,0.007774598,0.014450952,,,
0.66,0.00126492,0.008212659,0.015160397,,,
0.67,0.001443684,0.008668887,0.01589409,,,
0.68,0.001635052,0.009143773,0.016652493,,,
0.69,0.001839552,0.009637811,0.01743607,,,
0.7,0.002057721,0.010151502,0.018245284,,,
0.71,0.002290108,0.010685353,0.019080598,,,
0.72,0.002537273,0.011239873,0.019942473,,,
0.73,0.002799786,0.011815578,0.02083137,,,
0.74,0.00307823,0.012412988,0.021747747,,,
0.75,0.003373195,0.013032629,0.022692062,,,
0.76,0.003685285,0.013675028,0.02366477,,,
0.77,0.004015112,0.014340718,0.024666324,,,
0.78,0.004363298,0.015030237,0.025697176,,,
0.79,0.004730478,0.015744124,0.026757771,,,
0.8,0.005117293,0.016482924,0.027848555,,,
0.81,0.005524397,0.017247183,0.02896997,,,
0.82,0.005952452,0.018037452,0.030122452,,,
0.83,0.006402128,0.018854281,0.031306434,,,
0.84,0.006874105,0.019698226,0.032522347,,,
0.85,0.007369074,0.020569844,0.033770614,,,
0.86,0.00788773,0.021469692,0.035051655,,,
0.87,0.008430779,0.022398332,0.036365885,,,
0.88,0.008998934,0.023356322,0.03771371,,,
0.89,0.009592915,0.024344226,0.039095536,,,
0.9,0.010213451,0.025362604,0.040511757,,,
0.91,0.010861274,0.026412019,0.041962764,,,
0.92,0.011537126,0.027493033,0.04344894,,,
0.93,0.012241752,0.028606206,0.04497066,,,
0.94,0.012975903,0.029752098,0.046528293,,,
0.95,0.013740336,0.030931268,0.048122199,,,
0.96,0.014535812,0.032144271,0.049752731,,,
0.97,0.015363093,0.033391662,0.051420231,,,
0.98,0.016222947,0.034673991,0.053125035,,,
0.99,0.017116146,0.035991807,0.054867468,,,
1,0.018043459,0.037345653,0.056647847,,,
1.01,0.019005661,0.038736069,0.058466477,,,
1.02,0.020003525,0.04016359,0.060323655,,,
1.03,0.021037825,0.041628746,0.062219667,,,
1.04,0.022109334,0.043132061,0.064154787,,,
1.05,0.023218825,0.044674052,0.066129279,,,
1.06,0.024367065,0.046255231,0.068143397,,,
1.07,0.025554822,0.047876102,0.070197381,,,
1.08,0.026782858,0.049537159,0.07229146,,,
1.09,0.02805193,0.051238891,0.074425852,,,
1.1,0.02936279,0.052981776,0.076600761,,,
1.11,0.030716184,0.054766282,0.078816379,,,
1.12,0.03211285,0.056592868,0.081072886,,,
1.13,0.033553516,0.058461981,0.083370446,,,
1.14,0.035038904,0.060374059,0.085709214,,,
1.15,0.036569722,0.062329525,0.088089328,,,
1.16,0.038146668,0.064328792,0.090510915,,,
1.17,0.03977043,0.066372257,0.092974084,,,
1.18,0.041441677,0.068460306,0.095478936,,,
1.19,0.043161067,0.07059331,0.098025552,,,
1.2,0.044929243,0.072771622,0.100614002,,,
1.21,0.046746828,0.074995585,0.103244342,,,
1.22,0.048614428,0.077265519,0.105916611,,,
1.23,0.05053263,0.079581733,0.108630836,,,
1.24,0.052502002,0.081944515,0.111387029,,,
1.25,0.054523087,0.084354136,0.114185185,,,
1.26,0.056596407,0.086810848,0.117025289,,,
1.27,0.05872246,0.089314883,0.119907306,,,
1.28,0.060901718,0.091866455,0.122831192,,,
1.29,0.063134627,0.094465755,0.125796884,,,
1.3,0.065421603,0.097112955,0.128804307,,,
1.31,0.067763036,0.099808204,0.131853372,,,
1.32,0.070159284,0.102551629,0.134943975,,,
1.33,0.072610672,0.105343335,0.138075998,,,
1.34,0.075117493,0.108183401,0.141249309,,,
1.35,0.077680008,0.111071886,0.144463765,,,
1.36,0.080298439,0.114008822,0.147719206,,,
1.37,0.082972974,0.116994217,0.151015461,,,
1.38,0.085703762,0.120028054,0.154352347,,,
1.39,0.088490912,0.123110289,0.157729666,,,
1.4,0.091334496,0.126240853,0.161147211,,,
1.41,0.094234542,0.129419651,0.16460476,,,
1.42,0.097191036,0.132646559,0.168102082,,,
1.43,0.10020392,0.135921427,0.171638934,,,
1.44,0.103273094,0.139244078,0.175215062,,,
1.45,0.106398411,0.142614307,0.178830202,,,
1.46,0.109579676,0.146031879,0.182484081,,,
1.47,0.11281665,0.149496533,0.186176416,,,
1.48,0.116109043,0.153007979,0.189906915,,,
1.49,0.119456517,0.156565897,0.193675276,,,
1.5,0.122858687,0.160169939,0.197481192,,,
1.51,0.126315115,0.16381973,0.201324345,,,
1.52,0.129825312,0.167514863,0.205204414,,,
1.53,0.13338874,0.171254904,0.209121067,,,
1.54,0.13700481,0.175039389,0.213073968,,,
1.55,0.140672878,0.178867827,0.217062775,,,
1.56,0.144392252,0.182739696,0.221087139,,,
1.57,0.148162186,0.186654447,0.225146708,,,
1.58,0.151981883,0.190611503,0.229241123,,,
1.59,0.155850495,0.194610259,0.233370023,,,
1.6,0.15976712,0.198650079,0.237533039,,,
1.61,0.163730809,0.202730305,0.2417298,,,
1.62,0.167740561,0.206850247,0.245959933,,,
1.63,0.171795327,0.211009191,0.250223056,,,
1.64,0.175894006,0.215206397,0.254518788,,,
