D1,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,0.000547378,0.002046881,1.257765694,1.443641854,0.219402769
0.01,0,0.028507068,0.067818621,,,
0.02,0,0.040624739,0.090585267,,,
0.03,0,0.05035858,0.107624108,,,
0.04,0,0.058874398,0.121801943,,,
0.05,0,0.066617465,0.134189581,,,
0.06,0.002304682,0.073814133,0.145323585,,,
0.07,0.005678668,0.08059798,0.155517292,,,
0.08,0.009139006,0.087055568,0.16497213,,,
0.09,0.01266701,0.093246742,0.173826475,,,
0.1,0.016249639,0.099214895,0.182180151,,,
0.11,0.019877387,0.104992655,0.190107923,,,
0.12,0.023543085,0.110605281,0.197667477,,,
0.13,0.027241164,0.116072789,0.204904414,,,
0.14,0.030967196,0.121411353,0.21185551,,,
0.15,0.034717585,0.126634259,0.218550932,,,
0.16,0.038489359,0.131752573,0.225015788,,,
0.17,0.04228002,0.136775627,0.231271234,,,
0.18,0.046087443,0.14171137,0.237335297,,,
0.19,0.049909796,0.146566642,0.243223487,,,
0.2,0.053745482,0.15134737,0.248949257,,,
0.21,0.057593092,0.156058734,0.254524376,,,
0.22,0.061451378,0.160705289,0.2599592,,,
0.23,0.065319219,0.165291064,0.265262909,,,
0.24,0.069195602,0.16981964,0.270443679,,,
0.25,0.07307961,0.174294222,0.275508835,,,
0.26,0.0769704,0.178717684,0.280464969,,,
0.27,0.080867199,0.183092619,0.285318039,,,
0.28,0.084769289,0.187421372,0.290073454,,,
0.29,0.088676006,0.191706074,0.294736142,,,
0.3,0.092586726,0.195948666,0.299310606,,,
0.31,0.096500867,0.200150924,0.30380098,,,
0.32,0.100417879,0.204314472,0.308211065,,,
0.33,0.104337243,0.208440807,0.312544371,,,
0.34,0.108258466,0.212531304,0.316804143,,,
0.35,0.11218108,0.216587237,0.320993393,,,
0.36,0.116104639,0.220609781,0.325114923,,,
0.37,0.120028715,0.224600028,0.329171341,,,
0.38,0.123952899,0.228558993,0.333165086,,,
0.39,0.127876798,0.232487619,0.33709844,,,
0.4,0.131800032,0.236386787,0.340973543,,,
0.41,0.135722235,0.24025732,0.344792405,,,
0.42,0.139643056,0.244099988,0.34855692,,,
0.43,0.14356215,0.247915511,0.352268872,,,
0.44,0.147479187,0.251704567,0.355929947,,,
0.45,0.151393843,0.25546779,0.359541738,,,
0.46,0.155305806,0.259205781,0.363105756,,,
0.47,0.159214769,0.262919101,0.366623434,,,
0.48,0.163120435,0.266608284,0.370096133,,,
0.49,0.167022513,0.27027383,0.373525148,,,
0.5,0.170920719,0.273916216,0.376911713,,,
0.51,0.174814774,0.277535889,0.380257004,,,
0.52,0.178704407,0.281133276,0.383562146,,,
0.53,0.182589349,0.28470878,0.386828212,,,
0.54,0.18646934,0.288262785,0.39005623,,,
0.55,0.190344122,0.291795654,0.393247186,,,
0.56,0.194213441,0.295307733,0.396402025,,,
0.57,0.198077051,0.298799353,0.399521655,,,
0.58,0.201934705,0.302270826,0.402606948,,,
0.59,0.205786164,0.305722453,0.405658743,,,
0.6,0.209631189,0.309154519,0.408677849,,,
0.61,0.213469547,0.312567296,0.411665045,,,
0.62,0.217301007,0.315961046,0.414621084,,,
0.63,0.221125341,0.319336017,0.417546693,,,
0.64,0.224942324,0.322692448,0.420442572,,,
0.65,0.228751734,0.326030568,0.423309403,,,
0.66,0.23255335,0.329350596,0.426147842,,,
0.67,0.236346956,0.332652742,0.428958528,,,
0.68,0.240132336,0.335937208,0.431742079,,,
0.69,0.243909278,0.339204186,0.434499095,,,
0.7,0.24767757,0.342453865,0.43723016,,,
0.71,0.251437003,0.345686422,0.439935841,,,
0.72,0.25518737,0.34890203,0.44261669,,,
0.73,0.258928465,0.352100855,0.445273244,,,
0.74,0.262660086,0.355283056,0.447906027,,,
0.75,0.266382029,0.358448789,0.450515549,,,
0.76,0.270094093,0.361598201,0.453102308,,,
0.77,0.273796079,0.364731436,0.455666792,,,
0.78,0.27748779,0.367848633,0.458209476,,,
0.79,0.281169027,0.370949926,0.460730825,,,
0.8,0.284839595,0.374035444,0.463231294,,,
0.81,0.288499298,0.377105314,0.465711329,,,
0.82,0.292147945,0.380159655,0.468171366,,,
0.83,0.29578534,0.383198587,0.470611834,,,
0.84,0.299411292,0.386222223,0.473033153,,,
0.85,0.30302561,0.389230673,0.475435736,,,
0.86,0.306628103,0.392224045,0.477819987,,,
0.87,0.31021858,0.395202443,0.480186306,,,
0.88,0.313796853,0.398165968,0.482535083,,,
0.89,0.317362733,0.401114719,0.484866706,,,
0.9,0.32091603,0.404048792,0.487181554,,,
0.91,0.324456557,0.406968279,0.48948,,,
0.92,0.327984127,0.409873271,0.491762416,,,
0.93,0.33149855,0.412763857,0.494029163,,,
0.94,0.334999641,0.415640122,0.496280603,,,
0.95,0.338487212,0.418502151,0.49851709,,,
0.96,0.341961077,0.421350025,0.500738974,,,
0.97,0.345421048,0.424183825,0.502946603,,,
0.98,0.348866938,0.427003629,0.50514032,,,
0.99,0.352298561,0.429809513,0.507320464,,,
1,0.35571573,0.432601551,0.509487372,,,
1.01,0.359118258,0.435379817,0.511641376,,,
1.02,0.362505958,0.438144383,0.513782807,,,
1.03,0.365878643,0.440895318,0.515911992,,,
1.04,0.369236125,0.44363269,0.518029255,,,
1.05,0.372578218,0.446356568,0.520134919,,,
1.06,0.375904732,0.449067018,0.522229303,,,
1.07,0.379215481,0.451764103,0.524312725,,,
