D1,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,0,0,2.889786674,0.367288976,0.046592761
0.01,0,2.86397E-10,2.26892E-09,,,
0.02,0,3.00855E-09,1.94004E-08,,,
0.03,0,1.22686E-08,6.92971E-08,,,
0.04,0,3.37555E-08,1.72784E-07,,,
0.05,0,7.46817E-08,3.53442E-07,,,
0.06,0,1.4377E-07,6.37524E-07,,,
0.07,0,2.51262E-07,1.05391E-06,,,
0.08,0,4.08929E-07,1.63408E-06,,,
0.09,0,6.30103E-07,2.41209E-06,,,
0.1,0,9.29691E-07,3.42461E-06,,,
0.11,0,1.32421E-06,4.71084E-06,,,
0.12,0,1.83182E-06,6.31259E-06,,,
0.13,0,2.47234E-06,8.27424E-06,,,
0.14,0,3.26729E-06,1.06428E-05,,,
0.15,0,4.23993E-06,1.34678E-05,,,
0.16,0,5.41528E-06,1.68014E-05,,,
0.17,0,6.82016E-06,2.06985E-05,,,
0.18,0,8.48321E-06,2.52164E-05,,,
0.19,0,1.04349E-05,3.04154E-05,,,
0.2,0,1.27078E-05,3.6358E-05,,,
0.21,0,1.5336E-05,4.31097E-05,,,
0.22,0,1.83561E-05,5.07386E-05,,,
0.23,0,2.18061E-05,5.93155E-05,,,
0.24,0,2.57266E-05,6.89139E-05,,,
0.25,0,3.01599E-05,7.961E-05,,,
0.26,0,3.51506E-05,9.14828E-05,,,
0.27,0,4.07453E-05,0.000104614,,,
0.28,0,4.69927E-05,0.000119088,,,
0.29,0,5.39441E-05,0.000134992,,,
0.3,0,6.16526E-05,0.000152416,,,
0.31,0,7.01738E-05,0.000171453,,,
0.32,0,7.95656E-05,0.000192199,,,
0.33,0,8.98882E-05,0.000214752,,,
0.34,0,0.000101204,0.000239214,,,
0.35,0,0.000113579,0.000265688,,,
0.36,0,0.000127079,0.000294282,,,
0.37,0,0.000141775,0.000325106,,,
0.38,0,0.000157739,0.000358273,,,
0.39,0,0.000175046,0.000393898,,,
0.4,0,0.000193775,0.000432099,,,
0.41,0,0.000214004,0.000473,,,
0.42,0,0.000235817,0.000516723,,,
