D1,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,3.94308E-17,1.37076E-15,1.950370093,0.300207298,0.033816423
0.01,0,3.89633E-08,3.95193E-07,,,
0.02,0,2.3725E-07,1.88978E-06,,,
0.03,0,7.09769E-07,4.82597E-06,,,
0.04,0,1.57534E-06,9.50742E-06,,,
0.05,0,2.95967E-06,1.62284E-05,,,
0.06,0,4.99604E-06,2.5282E-05,,,
0.07,0,7.82554E-06,3.69639E-05,,,
0.08,0,1.15972E-05,5.15742E-05,,,
0.09,0,1.64681E-05,6.94182E-05,,,
0.1,0,2.26031E-05,9.08076E-05,,,
0.11,0,3.01755E-05,0.00011606,,,
0.12,0,3.93661E-05,0.000145501,,,
0.13,0,5.03644E-05,0.000179461,,,
0.14,0,6.33674E-05,0.00021828,,,
0.15,0,7.85806E-05,0.000262303,,,
0.16,0,9.62174E-05,0.000311882,,,
0.17,0,0.0001165,0.000367377,,,
0.18,0,0.000139657,0.000429155,,,
0.19,0,0.000165927,0.000497589,,,
0.2,0,0.000195556,0.00057306,,,
0.21,0,0.0002288,0.000655955,,,
0.22,0,0.00026592,0.000746669,,,
0.23,0,0.000307187,0.000845603,,,
0.24,0,0.000352881,0.000953164,,,
0.25,0,0.00040329,0.001069766,,,
0.26,0,0.00045871,0.001195832,,,
0.27,0,0.000519445,0.001331788,,,
0.28,0,0.000585809,0.001478068,,,
0.29,0,0.000658122,0.001635113,,,
0.3,0,0.000736715,0.00180337,,,
0.31,0,0.000821926,0.001983291,,,
0.32,0,0.000914103,0.002175335,,,
0.33,0,0.0010136,0.002379967,,,
0.34,0,0.001120782,0.002597659,,,
0.35,0,0.001236021,0.002828888,,,
0.36,0,0.001359699,0.003074136,,,
0.37,0,0.001492206,0.003333892,,,
0.38,0,0.001633939,0.003608651,,,
0.39,0,0.001785307,0.00389891,,,
0.4,0,0.001946725,0.004205177,,,
0.41,0,0.002118618,0.00452796,,,
0.42,0,0.002301418,0.004867777,,,
0.43,0,0.002495567,0.005225146,,,
0.44,0,0.002701516,0.005600595,,,
0.45,0,0.002919723,0.005994653,,,
0.46,0,0.003150656,0.006407856,,,
0.47,0,0.003394792,0.006840744,,,
0.48,1.13684E-05,0.003652615,0.007293861,,,
0.49,8.14793E-05,0.003924617,0.007767756,,,
0.5,0.000159623,0.004211302,0.008262981,,,
0.51,0.000246264,0.00451318,0.008780095,,,
0.52,0.000341879,0.004830768,0.009319658,,,
0.53,0.000446956,0.005164595,0.009882235,,,
0.54,0.000561998,0.005515196,0.010468395,,,
0.55,0.000687522,0.005883115,0.011078708,,,
0.56,0.000824057,0.006268904,0.011713752,,,
0.57,0.000972144,0.006673124,0.012374104,,,
0.58,0.001132339,0.007096342,0.013060346,,,
0.59,0.001305211,0.007539136,0.013773062,,,
0.6,0.001491342,0.00800209,0.014512839,,,
0.61,0.001691328,0.008485798,0.015280267,,,
0.62,0.001905778,0.008990858,0.016075938,,,
0.63,0.002135315,0.00951788,0.016900445,,,
0.64,0.002380573,0.010067479,0.017754384,,,
0.65,0.002642202,0.010640278,0.018638354,,,
0.66,0.002920865,0.011236908,0.019552952,,,
0.67,0.003217237,0.011858008,0.020498779,,,
0.68,0.003532007,0.012504222,0.021476437,,,
0.69,0.003865878,0.013176203,0.022486527,,,
0.7,0.004219565,0.013874609,0.023529653,,,
0.71,0.004593797,0.014600107,0.024606418,,,
0.72,0.004989314,0.01535337,0.025717426,,,
0.73,0.005406871,0.016135075,0.026863278,,,
0.74,0.005847236,0.016945908,0.02804458,,,
0.75,0.006311188,0.017786561,0.029261933,,,
0.76,0.00679952,0.018657729,0.030515938,,,
0.77,0.007313037,0.019560117,0.031807197,,,
0.78,0.007852555,0.020494431,0.033136308,,,
0.79,0.008418903,0.021461386,0.034503869,,,
0.8,0.009012923,0.022461699,0.035910476,,,
0.81,0.009635467,0.023496094,0.037356722,,,
0.82,0.010287399,0.024565299,0.038843198,,,
0.83,0.010969594,0.025670043,0.040370493,,,
0.84,0.011682939,0.026811065,0.041939191,,,
0.85,0.012428329,0.027989102,0.043549876,,,
0.86,0.013206673,0.029204899,0.045203124,,,
0.87,0.014018888,0.030459199,0.04689951,,,
0.88,0.014865899,0.031752752,0.048639605,,,
0.89,0.015748645,0.033086309,0.050423974,,,
0.9,0.016668069,0.034460623,0.052253177,,,
0.91,0.017625126,0.035876448,0.05412777,,,
0.92,0.018620778,0.037334541,0.056048303,,,
0.93,0.019655995,0.038835658,0.05801532,,,
0.94,0.020731754,0.040380556,0.060029359,,,
0.95,0.021849038,0.041969994,0.062090951,,,
0.96,0.023008838,0.043604729,0.06420062,,,
0.97,0.02421215,0.045285517,0.066358884,,,
0.98,0.025459975,0.047013114,0.068566253,,,
0.99,0.026753319,0.048788274,0.070823229,,,
1,0.028093192,0.050611749,0.073130305,,,
1.01,0.029480606,0.052484287,0.075487967,,,
1.02,0.030916577,0.054406634,0.077896691,,,
1.03,0.032402124,0.056379534,0.080356945,,,
1.04,0.033938266,0.058403725,0.082869184,,,
1.05,0.035526021,0.06047994,0.085433859,,,
1.06,0.03716641,0.062608908,0.088051405,,,
1.07,0.038860451,0.06479135,0.09072225,,,
1.08,0.04060916,0.067027985,0.093446809,,,
1.09,0.042413551,0.06931952,0.096225489,,,
1.1,0.044274634,0.071666657,0.099058681,,,
1.11,0.046193414,0.07407009,0.101946767,,,
1.12,0.048170891,0.076530503,0.104890116,,,
1.13,0.050208057,0.079048571,0.107889085,,,
1.14,0.052305898,0.081624958,0.110944018,,,
1.15,0.054465392,0.084260318,0.114055245,,,
1.16,0.056687504,0.086955294,0.117223084,,,
1.17,0.058973191,0.089710515,0.120447839,,,
1.18,0.061323395,0.092526597,0.123729798,,,
1.19,0.063739049,0.095404144,0.127069238,,,
1.2,0.066221066,0.098343743,0.13046642,,,
1.21,0.068770348,0.101345969,0.13392159,,,
1.22,0.071387776,0.104411377,0.137434979,,,
1.23,0.074074214,0.107540509,0.141006804,,,
1.24,0.076830507,0.110733886,0.144637264,,,
1.25,0.079657477,0.113992012,0.148326546,,,
1.26,0.082555925,0.117315372,0.152074819,,,
1.27,0.085526625,0.12070443,0.155882235,,,
1.28,0.088570326,0.12415963,0.159748933,,,
1.29,0.091687753,0.127681394,0.163675035,,,
1.3,0.094879596,0.13127012,0.167660643,,,
1.31,0.09814652,0.134926184,0.171705848,,,
1.32,0.101489154,0.138649938,0.175810721,,,
1.33,0.104908095,0.142441706,0.179975318,,,
1.34,0.108403903,0.14630179,0.184199676,,,
1.35,0.111977102,0.15023046,0.188483819,,,
1.36,0.115628175,0.154227964,0.192827753,,,
1.37,0.119357566,0.158294515,0.197231465,,,
1.38,0.123165676,0.162430302,0.201694928,,,
1.39,0.127052859,0.166635479,0.206218099,,,
1.4,0.131019426,0.170910171,0.210800917,,,
1.41,0.135065637,0.175254471,0.215443305,,,
1.42,0.139191703,0.179668437,0.22014517,,,
1.43,0.143397784,0.184152093,0.224906403,,,
1.44,0.147683983,0.188705431,0.229726879,,,
1.45,0.152050351,0.193328405,0.234606458,,,
1.46,0.156496879,0.198020931,0.239544983,,,
1.47,0.161023499,0.202782891,0.244542283,,,
1.48,0.165630081,0.207614126,0.249598172,,,
1.49,0.170316433,0.21251444,0.254712447,,,
1.5,0.175082298,0.217483596,0.259884894,,,
1.51,0.17992735,0.222521315,0.265115281,,,
1.52,0.184851198,0.22762728,0.270403363,,,
1.53,0.189853378,0.23280113,0.275748882,,,
1.54,0.194933356,0.238042461,0.281151566,,,
1.55,0.200090524,0.243350825,0.286611127,,,
1.56,0.205324199,0.248725733,0.292127267,,,
1.57,0.210633622,0.254166647,0.297699672,,,
