D1,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,0,0,1.915378868,0.24281146,0.028546361
0.01,0,1.60673E-09,2.4763E-08,,,
0.02,0,1.35329E-08,1.59665E-07,,,
0.03,0,4.93359E-08,4.84171E-07,,,
0.04,0,1.26522E-07,1.07729E-06,,,
0.05,0,2.66595E-07,2.02201E-06,,,
0.06,0,4.95157E-07,3.40687E-06,,,
0.07,0,8.42022E-07,5.32665E-06,,,
0.08,0,1.34136E-06,7.88289E-06,,,
0.09,0,2.03185E-06,1.11842E-05,,,
0.1,0,2.95682E-06,1.53467E-05,,,
0.11,0,4.16444E-06,2.04938E-05,,,
0.12,0,5.70784E-06,2.67568E-05,,,
0.13,0,7.64535E-06,3.42752E-05,,,
0.14,0,1.00406E-05,4.31961E-05,,,
0.15,0,1.29628E-05,5.36753E-05,,,
0.16,0,1.64867E-05,6.58769E-05,,,
0.17,0,2.06931E-05,7.99734E-05,,,
0.18,0,2.56688E-05,9.61461E-05,,,
0.19,0,3.15069E-05,0.000114585,,,
0.2,0,3.83068E-05,0.00013549,,,
0.21,0,4.61746E-05,0.000159069,,,
0.22,0,5.52234E-05,0.00018554,,,
0.23,0,6.55732E-05,0.000215129,,,
0.24,0,7.7351E-05,0.000248074,,,
0.25,0,9.06917E-05,0.000284621,,,
0.26,0,0.000105737,0.000325025,,,
0.27,0,0.000122638,0.000369553,,,
0.28,0,0.000141553,0.000418482,,,
0.29,0,0.000162647,0.000472097,,,
0.3,0,0.000186095,0.000530696,,,
0.31,0,0.000212082,0.000594585,,,
0.32,0,0.0002408,0.000664083,,,
0.33,0,0.000272449,0.000739519,,,
0.34,0,0.000307242,0.000821231,,,
0.35,0,0.000345399,0.000909571,,,
0.36,0,0.000387149,0.001004899,,,
0.37,0,0.000432732,0.00110759,,,
0.38,0,0.0004824,0.001218026,,,
0.39,0,0.000536414,0.001336604,,,
0.4,0,0.000595043,0.00146373,,,
0.41,0,0.000658571,0.001599823,,,
0.42,0,0.000727292,0.001745314,,,
0.43,0,0.00080151,0.001900645,,,
0.44,0,0.000881541,0.00206627,,,
0.45,0,0.000967713,0.002242655,,,
0.46,0,0.001060367,0.002430278,,,
0.47,0,0.001159855,0.00262963,,,
0.48,0,0.001266542,0.002841214,,,
0.49,0,0.001380805,0.003065544,,,
0.5,0,0.001503035,0.003303147,,,
0.51,0,0.001633635,0.003554565,,,
0.52,0,0.001773023,0.003820347,,,
0.53,0,0.001921629,0.004101061,,,
0.54,0,0.002079897,0.004397282,,,
0.55,0,0.002248287,0.0047096,,,
0.56,0,0.00242727,0.005038619,,,
0.57,0,0.002617334,0.005384954,,,
0.58,0,0.002818981,0.005749231,,,
0.59,0,0.003032728,0.006132093,,,
0.6,0,0.003259107,0.006534191,,,
0.61,4.11364E-05,0.003498665,0.006956193,,,
0.62,0.000105154,0.003751965,0.007398776,,,
0.63,0.00017654,0.004019585,0.007862631,,,
0.64,0.00025578,0.004302122,0.008348463,,,
0.65,0.000343381,0.004600184,0.008856987,,,
0.66,0.000439865,0.004914399,0.009388933,,,
0.67,0.000545781,0.005245411,0.009945042,,,
0.68,0.000661694,0.005593881,0.010526067,,,
0.69,0.000788194,0.005960484,0.011132774,,,
0.7,0.000925889,0.006345915,0.011765941,,,
0.71,0.001075413,0.006750885,0.012426358,,,
0.72,0.00123742,0.007176124,0.013114828,,,
0.73,0.00141259,0.007622377,0.013832164,,,
0.74,0.001601623,0.008090407,0.014579192,,,
0.75,0.001805245,0.008580997,0.015356749,,,
0.76,0.002024206,0.009094945,0.016165684,,,
0.77,0.002259281,0.009633069,0.017006856,,,
0.78,0.002511269,0.010196203,0.017881136,,,
0.79,0.002780995,0.010785201,0.018789406,,,
0.8,0.003069311,0.011400934,0.019732557,,,
0.81,0.003377091,0.012044292,0.020711493,,,
0.82,0.003705241,0.012716183,0.021727125,,,
