D1,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,1.66851E-16,5.68075E-15,2.89446943,0.490319609,0.060388904
0.01,0,6.27397E-08,4.69119E-07,,,
0.02,0,3.61669E-07,2.06295E-06,,,
0.03,0,1.03716E-06,5.0386E-06,,,
0.04,0,2.21993E-06,9.63497E-06,,,
0.05,0,4.03787E-06,1.60814E-05,,,
0.06,0,6.61819E-06,2.46012E-05,,,
0.07,0,1.00884E-05,3.54135E-05,,,
0.08,0,1.45771E-05,4.87346E-05,,,
0.09,0,2.02136E-05,6.47783E-05,,,
0.1,0,2.71292E-05,8.37569E-05,,,
0.11,0,3.54563E-05,0.000105881,,,
0.12,0,4.53292E-05,0.000131361,,,
0.13,0,5.68837E-05,0.000160405,,,
0.14,0,7.02576E-05,0.000193223,,,
0.15,0,8.55901E-05,0.000230021,,,
0.16,0,0.000103023,0.000271008,,,
0.17,0,0.000122698,0.00031639,,,
0.18,0,0.000144761,0.000366375,,,
0.19,0,0.000169359,0.00042117,,,
0.2,0,0.00019664,0.000480981,,,
0.21,0,0.000226753,0.000546015,,,
0.22,0,0.000259853,0.000616479,,,
0.23,0,0.000296091,0.000692579,,,
0.24,0,0.000335624,0.000774522,,,
0.25,0,0.000378609,0.000862515,,,
0.26,0,0.000425206,0.000956764,,,
0.27,0,0.000475575,0.001057475,,,
0.28,0,0.000529879,0.001164857,,,
0.29,0,0.000588282,0.001279114,,,
0.3,0,0.00065095,0.001400455,,,
0.31,0,0.000718052,0.001529085,,,
0.32,0,0.000789755,0.001665211,,,
0.33,0,0.000866233,0.00180904,,,
0.34,0,0.000947656,0.001960778,,,
0.35,0,0.001034199,0.002120632,,,
0.36,0,0.001126038,0.002288807,,,
0.37,0,0.00122335,0.002465511,,,
0.38,1.67905E-06,0.001326314,0.002650949,,,
0.39,2.48937E-05,0.00143511,0.002845327,,,
0.4,5.09906E-05,0.00154992,0.00304885,,,
0.41,8.01307E-05,0.001670928,0.003261725,,,
0.42,0.000112478,0.001798317,0.003484156,,,
0.43,0.0001482,0.001932274,0.003716348,,,
0.44,0.000187466,0.002072986,0.003958506,,,
0.45,0.00023045,0.002220642,0.004210833,,,
0.46,0.000277328,0.002375431,0.004473535,,,
0.47,0.000328279,0.002537546,0.004746813,,,
0.48,0.000383484,0.002707178,0.005030871,,,
0.49,0.00044313,0.002884521,0.005325912,,,
0.5,0.000507403,0.00306977,0.005632136,,,
0.51,0.000576494,0.00326312,0.005949747,,,
0.52,0.000650597,0.00346477,0.006278943,,,
0.53,0.000729907,0.003674916,0.006619925,,,
0.54,0.000814624,0.003893759,0.006972893,,,
0.55,0.00090495,0.004121498,0.007338045,,,
0.56,0.001001088,0.004358333,0.007715579,,,
0.57,0.001103245,0.004604468,0.008105692,,,
0.58,0.001211631,0.004860105,0.008508579,,,
0.59,0.001326457,0.005125447,0.008924437,,,
0.6,0.001447939,0.005400699,0.009353459,,,
0.61,0.001576294,0.005686066,0.009795838,,,
0.62,0.001711739,0.005981753,0.010251766,,,
0.63,0.001854499,0.006287967,0.010721436,,,
0.64,0.002004795,0.006604915,0.011205036,,,
0.65,0.002162855,0.006932805,0.011702755,,,
0.66,0.002328907,0.007271844,0.01221478,,,
0.67,0.002503182,0.00762224,0.012741299,,,
0.68,0.002685913,0.007984204,0.013282495,,,
0.69,0.002877334,0.008357943,0.013838552,,,
0.7,0.003077682,0.008743667,0.014409651,,,
0.71,0.003287196,0.009141585,0.014995975,,,
0.72,0.003506117,0.009551909,0.0155977,,,
0.73,0.003734687,0.009974846,0.016215005,,,
0.74,0.00397315,0.010410608,0.016848065,,,
0.75,0.004221752,0.010859403,0.017497055,,,
0.76,0.00448074,0.011321443,0.018162145,,,
0.77,0.004750364,0.011796936,0.018843508,,,
0.78,0.005030874,0.012286092,0.01954131,,,
0.79,0.005322521,0.01278912,0.02025572,,,
0.8,0.005625558,0.013306229,0.0209869,,,
0.81,0.005940241,0.013837628,0.021735015,,,
0.82,0.006266824,0.014383524,0.022500225,,,
0.83,0.006605563,0.014944125,0.023282687,,,
0.84,0.006956717,0.015519638,0.024082559,,,
0.85,0.007320544,0.016110269,0.024899993,,,
0.86,0.007697302,0.016716222,0.025735143,,,
0.87,0.008087251,0.017337704,0.026588157,,,
0.88,0.008490652,0.017974917,0.027459182,,,
0.89,0.008907766,0.018628065,0.028348363,,,
0.9,0.009338854,0.019297348,0.029255842,,,
0.91,0.009784177,0.019982968,0.030181758,,,
0.92,0.010243998,0.020685123,0.031126248,,,
0.93,0.010718577,0.021404012,0.032089447,,,
0.94,0.011208177,0.022139832,0.033071487,,,
0.95,0.01171306,0.022892777,0.034072495,,,
0.96,0.012233486,0.023663042,0.035092598,,,
0.97,0.012769716,0.024450818,0.03613192,,,
0.98,0.013322012,0.025256296,0.03719058,,,
0.99,0.013890633,0.026079664,0.038268696,,,
1,0.014475838,0.02692111,0.039366383,,,
1.01,0.015077885,0.027780818,0.040483751,,,
1.02,0.015697031,0.028658971,0.04162091,,,
1.03,0.016333534,0.029555749,0.042777965,,,
1.04,0.016987647,0.030471332,0.043955017,,,
1.05,0.017659623,0.031405894,0.045152166,,,
1.06,0.018349716,0.032359611,0.046369507,,,
1.07,0.019058174,0.033332653,0.047607132,,,
1.08,0.019785247,0.03432519,0.048865132,,,
1.09,0.020531181,0.035337386,0.050143591,,,
1.1,0.02129622,0.036369406,0.051442593,,,
1.11,0.022080607,0.037421411,0.052762215,,,
1.12,0.02288458,0.038493557,0.054102535,,,
1.13,0.023708378,0.039586,0.055463623,,,
1.14,0.024552234,0.040698891,0.056845549,,,
1.15,0.02541638,0.041832379,0.058248378,,,
1.16,0.026301045,0.042986608,0.05967217,,,
1.17,0.027206454,0.04416172,0.061116986,,,
1.18,0.028132829,0.045357853,0.062582877,,,
1.19,0.029080389,0.046575143,0.064069897,,,
1.2,0.030049349,0.04781372,0.065578091,,,
1.21,0.031039919,0.049073711,0.067107504,,,
1.22,0.032052307,0.050355241,0.068658175,,,
1.23,0.033086715,0.051658428,0.07023014,,,
1.24,0.034143343,0.052983388,0.071823432,,,
1.25,0.035222385,0.054330233,0.07343808,,,
1.26,0.036324029,0.05569907,0.07507411,,,
1.27,0.037448462,0.057090002,0.076731541,,,
1.28,0.038595861,0.058503127,0.078410394,,,
1.29,0.039766403,0.059938542,0.08011068,,,
1.3,0.040960256,0.061396334,0.081832411,,,
1.31,0.042177585,0.062876589,0.083575594,,,
1.32,0.043418546,0.064379388,0.085340231,,,
1.33,0.044683293,0.065904807,0.087126321,,,
1.34,0.045971972,0.067452916,0.088933861,,,
1.35,0.047284722,0.069023782,0.090762842,,,
1.36,0.048621679,0.070617466,0.092613253,,,
1.37,0.049982968,0.072234023,0.094485078,,,
1.38,0.051368712,0.073873505,0.096378298,,,
1.39,0.052779023,0.075535957,0.098292892,,,
1.4,0.054214009,0.07722142,0.100228832,,,
1.41,0.055673769,0.078929929,0.102186089,,,
1.42,0.057158396,0.080661513,0.10416463,,,
1.43,0.058667976,0.082416197,0.106164418,,,
1.44,0.060202584,0.084193999,0.108185414,,,
1.45,0.061762292,0.085994933,0.110227574,,,
1.46,0.063347161,0.087819006,0.112290851,,,
1.47,0.064957244,0.089666219,0.114375194,,,
1.48,0.066592587,0.091536569,0.116480551,,,
1.49,0.068253229,0.093430046,0.118606864,,,
1.5,0.069939196,0.095346635,0.120754073,,,
1.51,0.071650511,0.097286313,0.122922115,,,
1.52,0.073387183,0.099249054,0.125110924,,,
1.53,0.075149217,0.101234824,0.12732043,,,
1.54,0.076936605,0.103243583,0.129550561,,,
1.55,0.078749334,0.105275287,0.131801241,,,
1.56,0.080587377,0.107329884,0.134072391,,,
1.57,0.082450702,0.109407316,0.13636393,,,
1.58,0.084339265,0.111507519,0.138675774,,,
1.59,0.086253015,0.113630425,0.141007835,,,
1.6,0.088191889,0.115775956,0.143360024,,,
1.61,0.090155815,0.117944031,0.145732247,,,
1.62,0.092144714,0.120134562,0.148124411,,,
1.63,0.094158493,0.122347454,0.150536415,,,
1.64,0.096197052,0.124582607,0.152968161,,,
1.65,0.098260282,0.126839913,0.155419544,,,
1.66,0.10034806,0.12911926,0.15789046,,,
1.67,0.102460259,0.131420529,0.1603808,,,
1.68,0.104596736,0.133743595,0.162890454,,,
1.69,0.106757344,0.136088326,0.165419309,,,
1.7,0.108941921,0.138454585,0.167967249,,,
1.71,0.111150298,0.140842228,0.170534157,,,
1.72,0.113382297,0.143251106,0.173119914,,,
1.73,0.115637727,0.145681062,0.175724398,,,
1.74,0.117916389,0.148131936,0.178347484,,,
1.75,0.120218075,0.15060356,0.180989046,,,
