D1,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,0.0001128,0.000868233,0.961017802,0.774810723,0.369119822
0.01,0,0.014838803,0.064226942,,,
0.02,0,0.022304342,0.088725621,,,
0.03,0,0.028483794,0.107271971,,,
0.04,0,0.03400588,0.122832858,,,
0.05,0,0.039118213,0.136535162,,,
0.06,0,0.043949003,0.148948611,,,
0.07,0,0.048574881,0.160407638,,,
0.08,0,0.053045998,0.171127832,,,
0.09,0,0.057397309,0.181257453,,,
0.1,0,0.061654346,0.190903416,,,
0.11,0,0.065836448,0.200145676,,,
0.12,0,0.069958701,0.209045774,,,
0.13,0,0.074033159,0.217652194,,,
0.14,0,0.078069657,0.22600388,,,
0.15,0,0.082076358,0.234132626,,,
0.16,0,0.086060148,0.242064749,,,
0.17,0,0.090026917,0.249822299,,,
0.18,0,0.093981761,0.257423944,,,
0.19,0,0.097929146,0.264885632,,,
0.2,0,0.10187302,0.272221105,,,
0.21,0,0.10581691,0.279442284,,,
0.22,0,0.109763994,0.286559586,,,
0.23,0,0.113717156,0.293582162,,,
0.24,0,0.117679034,0.300518096,,,
0.25,0,0.121652058,0.307374565,,,
0.26,0,0.125638478,0.314157968,,,
0.27,0,0.129640392,0.320874033,,,
0.28,0,0.133659762,0.327527906,,,
0.29,0,0.137698436,0.334124225,,,
0.3,0,0.141758158,0.340667182,,,
0.31,0,0.145840583,0.347160576,,,
0.32,0,0.149947286,0.353607855,,,
0.33,0,0.154079768,0.360012157,,,
0.34,0,0.158239466,0.36637634,,,
0.35,0,0.162427757,0.372703012,,,
0.36,0,0.166645966,0.37899455,,,
0.37,0,0.170895364,0.385253126,,,
0.38,0,0.175177179,0.391480724,,,
0.39,0,0.179492592,0.397679149,,,
0.4,0,0.183842743,0.403850051,,,
0.41,0,0.188228735,0.409994927,,,
0.42,0,0.192651629,0.416115136,,,
0.43,0,0.197112451,0.42221191,,,
0.44,0,0.20161219,0.428286355,,,
0.45,0,0.2061518,0.434339465,,,
0.46,0,0.210732199,0.440372121,,,
0.47,0,0.215354271,0.446385105,,,
0.48,0,0.220018863,0.452379094,,,
0.49,0,0.224726788,0.458354674,,,
0.5,0,0.229478823,0.464312336,,,
0.51,0,0.23427571,0.470252482,,,
0.52,0.002060873,0.239118151,0.476175429,,,
0.53,0.005932218,0.244006814,0.482081409,,,
0.54,0.009914081,0.248942325,0.48797057,,,
0.55,0.014007569,0.253925275,0.493842982,,,
0.56,0.018213791,0.258956212,0.499698632,,,
0.57,0.022533851,0.264035642,0.505537433,,,
0.58,0.026968843,0.26916403,0.511359217,,,
0.59,0.031519852,0.274341797,0.517163741,,,
0.6,0.036187948,0.279569318,0.522950688,,,
0.61,0.040974183,0.284846923,0.528719663,,,
0.62,0.045879587,0.290174893,0.534470199,,,
0.63,0.050905166,0.295553461,0.540201755,,,
0.64,0.056051899,0.300982807,0.545913716,,,
0.65,0.061320731,0.306463062,0.551605393,,,
