D1,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,0,0,2.547812197,0.293293523,0.036137087
0.01,0,1.05075E-11,1.25414E-10,,,
0.02,0,1.55947E-10,1.53586E-09,,,
0.03,0,7.80398E-10,6.75358E-09,,,
0.04,0,2.48896E-09,1.949E-08,,,
0.05,0,6.18792E-09,4.46205E-08,,,
0.06,0,1.3126E-08,8.82019E-08,,,
0.07,0,2.49363E-08,1.57506E-07,,,
0.08,0,4.3679E-08,2.61064E-07,,,
0.09,0,7.18854E-08,4.08714E-07,,,
0.1,0,1.12602E-07,6.11658E-07,,,
0.11,0,1.69438E-07,8.82514E-07,,,
0.12,0,2.46609E-07,1.23538E-06,,,
0.13,0,3.48989E-07,1.6859E-06,,,
0.14,0,4.82158E-07,2.2513E-06,,,
0.15,0,6.5245E-07,2.9505E-06,,,
0.16,0,8.67012E-07,3.80414E-06,,,
0.17,0,1.13385E-06,4.83466E-06,,,
0.18,0,1.46188E-06,6.06638E-06,,,
0.19,0,1.86101E-06,7.52557E-06,,,
0.2,0,2.34215E-06,9.24048E-06,,,
0.21,0,2.91731E-06,1.12415E-05,,,
0.22,0,3.59966E-06,1.35611E-05,,,
0.23,0,4.40357E-06,1.62341E-05,,,
0.24,0,5.34467E-06,1.92975E-05,,,
0.25,0,6.43995E-06,2.27909E-05,,,
0.26,0,7.70778E-06,2.6756E-05,,,
0.27,0,9.16801E-06,3.12374E-05,,,
0.28,0,1.0842E-05,3.62823E-05,,,
0.29,0,1.27529E-05,4.19403E-05,,,
0.3,0,1.49252E-05,4.82641E-05,,,
0.31,0,1.73854E-05,5.53091E-05,,,
0.32,0,2.01618E-05,6.31339E-05,,,
0.33,0,2.32845E-05,7.17997E-05,,,
0.34,0,2.67857E-05,8.13713E-05,,,
0.35,0,3.06997E-05,9.19165E-05,,,
0.36,0,3.50627E-05,0.000103506,,,
0.37,0,3.99135E-05,0.000116215,,,
0.38,0,4.52928E-05,0.000130121,,,
0.39,0,5.1244E-05,0.000145306,,,
0.4,0,5.7813E-05,0.000161854,,,
0.41,0,6.5048E-05,0.000179855,,,
0.42,0,7.30001E-05,0.000199401,,,
0.43,0,8.17231E-05,0.00022059,,,
0.44,0,9.12737E-05,0.000243521,,,
0.45,0,0.000101711,0.0002683,,,
0.46,0,0.000113099,0.000295036,,,
0.47,0,0.000125502,0.000323842,,,
0.48,0,0.00013899,0.000354835,,,
0.49,0,0.000153636,0.000388139,,,
0.5,0,0.000169514,0.000423879,,,
0.51,0,0.000186704,0.000462187,,,
0.52,0,0.00020529,0.0005032,,,
0.53,0,0.000225359,0.000547058,,,
0.54,0,0.000247,0.000593908,,,
0.55,0,0.00027031,0.0006439,,,
0.56,0,0.000295386,0.000697192,,,
0.57,0,0.000322333,0.000753944,,,
0.58,0,0.000351256,0.000814323,,,
0.59,0,0.000382269,0.000878502,,,
0.6,0,0.000415488,0.000946659,,,
0.61,0,0.000451034,0.001018977,,,
0.62,0,0.000489034,0.001095645,,,
0.63,0,0.000529617,0.001176859,,,
0.64,0,0.000572921,0.001262819,,,
0.65,0,0.000619086,0.001353732,,,
0.66,0,0.000668259,0.001449812,,,
0.67,0,0.000720593,0.001551277,,,
