D3,,,,parameters of the mean fragility,,,D4,,,,parameters of the mean fragility,,,D5,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,0.000139043,0.001049679,0.626532771,1.198015292,0.636859653,0.000001,0,2.26348E-05,0.000314287,0.749747481,1.013750178,0.458461798,0.000001,0,0,0,1.536790357,0.256981745,0.080949453
0.01,0,0.03827664,0.141211635,,,,0.01,0,0.013874625,0.070828797,,,,0.01,0,2.13746E-06,7.37321E-05,,,
0.02,0,0.054280899,0.182075836,,,,0.02,0,0.021790029,0.096659557,,,,0.02,0,1.01363E-05,0.000349457,,,
0.03,0,0.066988057,0.211207293,,,,0.03,0,0.028784005,0.116550501,,,,0.03,0,2.21169E-05,0.000761034,,,
0.04,0,0.07809224,0.234899103,,,,0.04,0,0.035372369,0.133630848,,,,0.04,0,3.64332E-05,0.001248966,,,
0.05,0,0.08821929,0.255363422,,,,0.05,0,0.041746472,0.149026114,,,,0.05,0,5.21419E-05,0.001777311,,,
0.06,0,0.097681588,0.273657489,,,,0.06,0,0.048000007,0.163280323,,,,0.06,0,6.87172E-05,0.002324536,,,
0.07,0,0.106661793,0.290374406,,,,0.07,0,0.054185867,0.176701596,,,,0.07,0,8.58691E-05,0.002877548,,,
0.08,0,0.115277731,0.305882496,,,,0.08,0,0.060336718,0.189483079,,,,0.08,0,0.000103445,0.003428324,,,
0.09,0,0.123610612,0.320427432,,,,0.09,0,0.066474046,0.201754551,,,,0.09,0,0.000121378,0.003971975,,,
0.1,0,0.131719102,0.334182066,,,,0.1,0,0.072612642,0.213607623,,,,0.1,0,0.000139653,0.004505597,,,
0.11,0,0.139647066,0.347273175,,,,0.11,0,0.078763023,0.225109358,,,,0.11,0,0.000158296,0.005027572,,,
0.12,0,0.147428169,0.359796859,,,,0.12,0,0.084932811,0.236310236,,,,0.12,0,0.000177359,0.005537125,,,
0.13,0,0.155088761,0.37182795,,,,0.13,0,0.091127576,0.247249104,,,,0.13,0,0.000196919,0.006034043,,,
0.14,0,0.162649788,0.383426005,,,,0.14,0,0.097351361,0.257956417,,,,0.14,0,0.000217069,0.006518492,,,
0.15,0,0.170128101,0.394639291,,,,0.15,0,0.103607043,0.268456426,,,,0.15,0,0.000237919,0.006990896,,,
0.16,0,0.177537382,0.405507521,,,,0.16,0,0.109896579,0.278768707,,,,0.16,0,0.000259591,0.007451861,,,
0.17,0,0.18488882,0.416063773,,,,0.17,0,0.116221192,0.288909251,,,,0.17,0,0.000282219,0.00790212,,,
0.18,0,0.192191618,0.426335888,,,,0.18,0,0.122581508,0.298891247,,,,0.18,0,0.000305949,0.0083425,,,
0.19,0,0.199453375,0.436347502,,,,0.19,0,0.12897767,0.308725665,,,,0.19,0,0.000330929,0.008773902,,,
0.2,0,0.206680381,0.446118821,,,,0.2,0,0.135409423,0.318421685,,,,0.2,0,0.000357319,0.009197286,,,
0.21,0,0.213877853,0.455667218,,,,0.21,0,0.14187619,0.327987029,,,,0.21,0,0.000385281,0.009613662,,,
0.22,0,0.221050116,0.465007702,,,,0.22,0,0.148377135,0.337428203,,,,0.22,0,0.000414981,0.010024085,,,
0.23,0,0.228200754,0.47415329,,,,0.23,0,0.15491121,0.346750698,,,,0.23,0,0.000446586,0.010429653,,,
0.24,0,0.235332727,0.483115304,,,,0.24,0,0.161477199,0.355959139,,,,0.24,0,0.000480266,0.010831501,,,
0.25,0,0.242448466,0.491903614,,,,0.25,0,0.168073755,0.365057412,,,,0.25,0,0.000516189,0.011230802,,,
0.26,0,0.249549956,0.500526841,,,,0.26,0,0.174699429,0.374048767,,,,0.26,0,0.000554525,0.011628759,,,
0.27,0.004285066,0.256638798,0.50899253,,,,0.27,0,0.181352692,0.382935899,,,,0.27,0,0.000595441,0.012026605,,,
0.28,0.010125234,0.263716259,0.517307283,,,,0.28,0,0.188031956,0.391721025,,,,0.28,0,0.000639103,0.012425598,,,
0.29,0.016089744,0.270783318,0.525476893,,,,0.29,0,0.194735591,0.400405944,,,,0.29,0,0.000685675,0.012827014,,,
0.3,0.022174971,0.277840705,0.533506439,,,,0.3,0,0.201461936,0.408992094,,,,0.3,0,0.000735321,0.013232142,,,
0.31,0.02837746,0.284888922,0.541400384,,,,0.31,0,0.208209309,0.417480598,,,,0.31,0,0.000788202,0.013642278,,,
0.32,0.034693897,0.291928275,0.549162652,,,,0.32,0.004079714,0.214976013,0.425872312,,,,0.32,0,0.000844478,0.014058719,,,
0.33,0.041121082,0.298958891,0.556796701,,,,0.33,0.009352831,0.221760345,0.43416786,,,,0.33,0,0.00090431,0.014482754,,,
0.34,0.047655895,0.305980738,0.564305581,,,,0.34,0.01475352,0.228560595,0.44236767,,,,0.34,0,0.000967857,0.014915657,,,
0.35,0.054295277,0.312993635,0.571691993,,,,0.35,0.020278095,0.235375052,0.450472009,,,,0.35,0,0.001035281,0.015358682,,,
0.36,0.061036204,0.319997269,0.578958335,,,,0.36,0.025922997,0.242202002,0.458481008,,,,0.36,0,0.001106745,0.015813057,,,
0.37,0.067875666,0.326991207,0.586106748,,,,0.37,0.03168478,0.249039734,0.466394689,,,,0.37,0,0.001182414,0.016279976,,,
0.38,0.074810651,0.3339749,0.59313915,,,,0.38,0.03756008,0.255886535,0.47421299,,,,0.38,0,0.001262458,0.016760594,,,
0.39,0.081838125,0.3409477,0.600057274,,,,0.39,0.043545601,0.262740693,0.481935785,,,,0.39,0,0.001347052,0.017256025,,,
0.4,0.088955024,0.34790886,0.606862696,,,,0.4,0.049638087,0.269600495,0.489562902,,,,0.4,0,0.001436379,0.017767339,,,
0.41,0.096158239,0.354857549,0.613556858,,,,0.41,0.055834315,0.276464227,0.49709414,,,,0.41,0,0.001530626,0.018295556,,,
0.42,0.103444612,0.361792854,0.620141096,,,,0.42,0.06213107,0.283330177,0.504529284,,,,0.42,0,0.001629993,0.018841648,,,
0.43,0.110810929,0.368713792,0.626616656,,,,0.43,0.068525138,0.290196629,0.511868119,,,,0.43,0,0.001734689,0.019406538,,,
0.44,0.118253913,0.375619311,0.632984709,,,,0.44,0.075013293,0.297061866,0.519110439,,,,0.44,0,0.001844935,0.019991102,,,
0.45,0.125770229,0.3825083,0.639246371,,,,0.45,0.081592285,0.303924171,0.526256057,,,,0.45,0,0.001960966,0.020596169,,,
0.46,0.133356478,0.389379595,0.645402711,,,,0.46,0.088258837,0.310781827,0.533304817,,,,0.46,0,0.002083034,0.021222527,,,
0.47,0.141009205,0.396231983,0.651454761,,,,0.47,0.095009634,0.317633114,0.540256595,,,,0.47,0,0.002211407,0.021870921,,,
0.48,0.148724894,0.403064211,0.657403528,,,,0.48,0.101841322,0.324476315,0.547111308,,,,0.48,0,0.00234637,0.022542067,,,
0.49,0.15649998,0.409874989,0.663249997,,,,0.49,0.108750505,0.331309713,0.553868921,,,,0.49,0,0.002488232,0.023236647,,,
0.5,0.16433085,0.416662995,0.668995141,,,,0.5,0.115733738,0.338131592,0.560529446,,,,0.5,0,0.002637322,0.023955324,,,
0.51,0.172213845,0.423426884,0.674639924,,,,0.51,0.122787535,0.344940242,0.567092949,,,,0.51,0,0.002793993,0.024698744,,,
0.52,0.180145273,0.430165289,0.680185304,,,,0.52,0.129908362,0.351733956,0.573559551,,,,0.52,0,0.002958627,0.025467543,,,
0.53,0.188121409,0.436876825,0.685632242,,,,0.53,0.13709264,0.358511035,0.579929429,,,,0.53,0,0.003131631,0.026262357,,,
0.54,0.196138502,0.4435601,0.690981699,,,,0.54,0.144336749,0.365269785,0.58620282,,,,0.54,0,0.003313442,0.027083825,,,
0.55,0.204192782,0.450213712,0.696234642,,,,0.55,0.151637028,0.372008524,0.59238002,,,,0.55,0,0.00350453,0.027932605,,,
0.56,0.212280464,0.456836256,0.701392048,,,,0.56,0.158989778,0.378725581,0.598461384,,,,0.56,0,0.003705396,0.028809372,,,
0.57,0.220397756,0.46342633,0.706454905,,,,0.57,0.166391266,0.385419298,0.604447329,,,,0.57,0,0.003916578,0.029714835,,,
0.58,0.228540859,0.469982536,0.711424213,,,,0.58,0.173837726,0.39208803,0.610338333,,,,0.58,0,0.004138651,0.030649739,,,
0.59,0.236705974,0.476503482,0.716300989,,,,0.59,0.181325368,0.398730151,0.616134935,,,,0.59,0,0.004372227,0.031614876,,,
0.6,0.24488931,0.48298779,0.72108627,,,,0.6,0.188850375,0.405344054,0.621837733,,,,0.6,0,0.004617959,0.032611093,,,
0.61,0.253087081,0.489434096,0.725781112,,,,0.61,0.196408912,0.411928151,0.627447389,,,,0.61,0,0.004876542,0.0336393,,,
0.62,0.261295512,0.495841054,0.730386595,,,,0.62,0.203997129,0.418480877,0.632964625,,,,0.62,0,0.005148716,0.034700475,,,
0.63,0.269510848,0.502207335,0.734903823,,,,0.63,0.211611163,0.425000692,0.63839022,,,,0.63,0,0.005435265,0.035795678,,,
0.64,0.277729346,0.508531638,0.73933393,,,,0.64,0.219247145,0.431486081,0.643725018,,,,0.64,0,0.005737019,0.036926052,,,
0.65,0.285947288,0.514812682,0.743678077,,,,0.65,0.226901202,0.43793556,0.648969917,,,,0.65,0,0.006054859,0.038092836,,,
0.66,0.294160978,0.521049218,0.747937457,,,,0.66,0.234569465,0.44434767,0.654125876,,,,0.66,0,0.006389716,0.039297369,,,
0.67,0.302366748,0.527240023,0.752113297,,,,0.67,0.242248069,0.45072099,0.659193911,,,,0.67,0,0.006742573,0.040541098,,,
0.68,0.310560958,0.533383907,0.756206857,,,,0.68,0.249933162,0.457054127,0.664175092,,,,0.68,0,0.007114467,0.041825585,,,
0.69,0.318739999,0.539479716,0.760219433,,,,0.69,0.257620906,0.463345725,0.669070545,,,,0.69,0,0.007506495,0.043152513,,,
0.7,0.3269003,0.545526327,0.764152355,,,,0.7,0.265307486,0.469594467,0.673881448,,,,0.7,0,0.00791981,0.044523692,,,
0.71,0.335038325,0.551522658,0.768006991,,,,0.71,0.272989111,0.475799071,0.678609031,,,,0.71,0,0.008355629,0.045941062,,,
0.72,0.34315058,0.557467662,0.771784744,,,,0.72,0.280662022,0.481958296,0.683254571,,,,0.72,0,0.008815233,0.047406699,,,
0.73,0.351233615,0.563360335,0.775487055,,,,0.73,0.288322496,0.488070943,0.687819391,,,,0.73,0,0.009299972,0.04892282,,,
0.74,0.359284028,0.569199712,0.779115397,,,,0.74,0.295966851,0.494135855,0.692304858,,,,0.74,0,0.009811269,0.050491782,,,
0.75,0.367298468,0.574984873,0.782671277,,,,0.75,0.303591455,0.500151917,0.69671238,,,,0.75,0,0.01035062,0.052116083,,,
0.76,0.37527364,0.580714937,0.786156235,,,,0.76,0.311192725,0.506118062,0.7010434,,,,0.76,0,0.010919604,0.053798368,,,
0.77,0.383206306,0.586389073,0.789571841,,,,0.77,0.318767137,0.512033267,0.705299398,,,,0.77,0,0.011519884,0.055541421,,,
0.78,0.391093294,0.592006492,0.79291969,,,,0.78,0.326311232,0.517896556,0.709481881,,,,0.78,0,0.012153213,0.057348169,,,
0.79,0.398931498,0.597566451,0.796201405,,,,0.79,0.333821618,0.523707001,0.713592383,,,,0.79,0,0.012821438,0.059221678,,,
0.8,0.406717884,0.603068255,0.799418627,,,,0.8,0.341294981,0.529463721,0.717632462,,,,0.8,0,0.013526507,0.06116515,,,
0.81,0.414449494,0.608511256,0.802573018,,,,0.81,0.348728082,0.535165887,0.721603691,,,,0.81,0,0.014270477,0.063181916,,,
0.82,0.422123451,0.613894852,0.805666253,,,,0.82,0.356117771,0.540812716,0.72550766,,,,0.82,0,0.015055516,0.065275441,,,
0.83,0.429736965,0.619218491,0.808700017,,,,0.83,0.363460987,0.546403477,0.729345967,,,,0.83,0,0.015883911,0.06744931,,,
0.84,0.437287332,0.624481667,0.811676002,,,,0.84,0.370754764,0.551937488,0.733120213,,,,0.84,0,0.016758077,0.069707232,,,
0.85,0.444771944,0.629683924,0.814595904,,,,0.85,0.377996234,0.557414119,0.736832004,,,,0.85,0,0.01768056,0.07205303,,,
0.86,0.452188291,0.634824852,0.817461414,,,,0.86,0.385182638,0.562832788,0.740482938,,,,0.86,0,0.018654045,0.074490644,,,
0.87,0.459533964,0.639904091,0.820274218,,,,0.87,0.392311319,0.568192964,0.744074609,,,,0.87,0,0.019681366,0.077024123,,,
0.88,0.466806661,0.644921327,0.823035992,,,,0.88,0.399379739,0.573494167,0.747608595,,,,0.88,0,0.02076551,0.079657629,,,
0.89,0.474004189,0.649876292,0.825748396,,,,0.89,0.406385469,0.578735964,0.751086459,,,,0.89,0,0.021909623,0.08239543,,,
0.9,0.481124466,0.654768768,0.82841307,,,,0.9,0.413326205,0.583917976,0.754509746,,,,0.9,0,0.023117019,0.085241903,,,
