Reference,DOI,Type of structure,Format,Intensity Measure,Shape,Damage state,mean,stddev
Reese et al. 2011,http://dx.doi.org/10.1016/j.earscirev.2016.12.015,W,continuous,v_tsi,logncdf,DS2_Minor,0.00,4.50
Reese et al. 2011,http://dx.doi.org/10.1016/j.earscirev.2016.12.015,W,continuous,v_tsi,logncdf,DS3_Moderate,0.27,1.42
Reese et al. 2011,http://dx.doi.org/10.1016/j.earscirev.2016.12.015,W,continuous,v_tsi,logncdf,DS4_Major,1.03,0.76
Reese et al. 2011,http://dx.doi.org/10.1016/j.earscirev.2016.12.015,W,continuous,v_tsi,logncdf,DS5_Complete,2.04,0.40
Reese et al. 2011,http://dx.doi.org/10.1016/j.earscirev.2016.12.015,W,continuous,v_tsi,logncdf,DS6_Collapse_DS7_Wash_Away,2.09,0.41
Reese et al. 2011,http://dx.doi.org/10.1016/j.earscirev.2016.12.015,M99,continuous,v_tsi,logncdf,DS2_Minor,0.01,4.25
Reese et al. 2011,http://dx.doi.org/10.1016/j.earscirev.2016.12.015,M99,continuous,v_tsi,logncdf,DS3_Moderate,0.21,1.56
Reese et al. 2011,http://dx.doi.org/10.1016/j.earscirev.2016.12.015,M99,continuous,v_tsi,logncdf,DS4_Major,1.20,0.63
Reese et al. 2011,http://dx.doi.org/10.1016/j.earscirev.2016.12.015,M99,continuous,v_tsi,logncdf,DS5_Complete,2.52,0.40
Reese et al. 2011,http://dx.doi.org/10.1016/j.earscirev.2016.12.015,M99,continuous,v_tsi,logncdf,DS6_Collapse_DS7_Wash_Away,2.99,0.53
Reese et al. 2011,http://dx.doi.org/10.1016/j.earscirev.2016.12.015,S,continuous,v_tsi,logncdf,DS2_Minor,0.00,4.50
Reese et al. 2011,http://dx.doi.org/10.1016/j.earscirev.2016.12.015,S,continuous,v_tsi,logncdf,DS3_Moderate,0.14,1.82
Reese et al. 2011,http://dx.doi.org/10.1016/j.earscirev.2016.12.015,S,continuous,v_tsi,logncdf,DS4_Major,1.15,0.60
Reese et al. 2011,http://dx.doi.org/10.1016/j.earscirev.2016.12.015,S,continuous,v_tsi,logncdf,DS5_Complete,2.15,0.47
Reese et al. 2011,http://dx.doi.org/10.1016/j.earscirev.2016.12.015,S,continuous,v_tsi,logncdf,DS6_Collapse_DS7_Wash_Away,3.37,0.75
Reese et al. 2011,http://dx.doi.org/10.1016/j.earscirev.2016.12.015,CR,continuous,v_tsi,logncdf,DS2_Minor,0.00,4.50
Reese et al. 2011,http://dx.doi.org/10.1016/j.earscirev.2016.12.015,CR,continuous,v_tsi,logncdf,DS3_Moderate,0.21,1.54
Reese et al. 2011,http://dx.doi.org/10.1016/j.earscirev.2016.12.015,CR,continuous,v_tsi,logncdf,DS4_Major,1.28,0.68
Reese et al. 2011,http://dx.doi.org/10.1016/j.earscirev.2016.12.015,CR,continuous,v_tsi,logncdf,DS5_Complete,2.72,0.61
Reese et al. 2011,http://dx.doi.org/10.1016/j.earscirev.2016.12.015,CR,continuous,v_tsi,logncdf,DS6_Collapse_DS7_Wash_Away,6.65,0.97
