d_tsi (m),P(DS>=DS2|d_tsi),P(DS>=DS3|d_tsi),P(DS>=DS4|d_tsi),P(DS>=DS5|d_tsi),P(DS>=DS6&7|d_tsi)
0.0,0.000000,0.000000,0.000000,0.000000,0.000000
0.1,0.868244,0.321538,0.004485,0.000841,0.000744
0.2,0.902767,0.484209,0.018236,0.003051,0.002441
0.3,0.923714,0.588196,0.041130,0.006673,0.004883
0.4,0.938210,0.662270,0.072429,0.011810,0.007976
0.5,0.949011,0.718600,0.110954,0.018557,0.011653
0.6,0.957441,0.763256,0.155251,0.026995,0.015866
0.7,0.964219,0.799618,0.203747,0.037181,0.020572
0.8,0.969774,0.829741,0.254890,0.049150,0.025733
0.9,0.974385,0.854970,0.307260,0.062908,0.031316
1.0,0.978243,0.876245,0.359629,0.078435,0.037291
1.1,0.981488,0.894266,0.410999,0.095682,0.043628
1.2,0.984228,0.909570,0.460597,0.114573,0.050300
1.3,0.986546,0.922591,0.507868,0.135007,0.057282
1.4,0.988511,0.933682,0.552436,0.156860,0.064548
1.5,0.990179,0.943138,0.594085,0.179986,0.072076
1.6,0.991596,0.951206,0.632716,0.204224,0.079844
1.7,0.992802,0.958093,0.668327,0.229402,0.087829
1.8,0.993828,0.963977,0.700981,0.255339,0.096011
1.9,0.994702,0.969007,0.730793,0.281851,0.104371
2.0,0.995448,0.973309,0.757909,0.308755,0.112890
2.1,0.996084,0.976992,0.782494,0.335872,0.121550
2.2,0.996628,0.980147,0.804725,0.363033,0.130334
2.3,0.997093,0.982851,0.824780,0.390079,0.139227
2.4,0.997491,0.985171,0.842838,0.416864,0.148212
2.5,0.997832,0.987163,0.859070,0.443258,0.157275
2.6,0.998124,0.988874,0.873640,0.469145,0.166402
2.7,0.998375,0.990346,0.886704,0.494426,0.175581
2.8,0.998591,0.991613,0.898406,0.519017,0.184798
2.9,0.998776,0.992705,0.908880,0.542852,0.194042
3.0,0.998936,0.993647,0.918249,0.565877,0.203302
3.1,0.999073,0.994460,0.926627,0.588052,0.212568
3.2,0.999192,0.995162,0.934115,0.609351,0.221830
3.3,0.999294,0.995770,0.940808,0.629757,0.231079
3.4,0.999383,0.996296,0.946789,0.649265,0.240306
3.5,0.999460,0.996753,0.952135,0.667877,0.249504
3.6,0.999526,0.997149,0.956913,0.685601,0.258665
3.7,0.999584,0.997494,0.961186,0.702453,0.267783
3.8,0.999634,0.997794,0.965008,0.718453,0.276851
3.9,0.999678,0.998055,0.968428,0.733626,0.285863
4.0,0.999716,0.998283,0.971490,0.747998,0.294814
4.1,0.999749,0.998482,0.974232,0.761598,0.303699
4.2,0.999778,0.998656,0.976690,0.774458,0.312513
4.3,0.999804,0.998808,0.978895,0.786608,0.321254
4.4,0.999826,0.998942,0.980873,0.798081,0.329916
4.5,0.999845,0.999060,0.982650,0.808910,0.338496
4.6,0.999862,0.999163,0.984247,0.819127,0.346992
4.7,0.999877,0.999254,0.985684,0.828762,0.355401
4.8,0.999891,0.999334,0.986978,0.837846,0.363720
