d_tsi(m),P(DS>=DS2|d_tsi),P(DS>=DS3|d_tsi),P(DS>=DS4|d_tsi),P(DS>=DS5|d_tsi),P(DS>=DS6&7|d_tsi)
0.0,0.000000,0.000000,0.000000,0.000000,0.000000
0.1,0.891094,0.427693,0.002881,0.000419,0.000414
0.2,0.917075,0.573874,0.014305,0.001984,0.001919
0.3,0.932927,0.659801,0.036107,0.004992,0.004699
0.4,0.944231,0.719731,0.068643,0.009703,0.008849
0.5,0.953018,0.765571,0.111187,0.016372,0.014424
0.6,0.960199,0.802556,0.162185,0.025256,0.021447
0.7,0.966232,0.833310,0.219557,0.036601,0.029915
0.8,0.971374,0.859290,0.281010,0.050639,0.039800
0.9,0.975779,0.881391,0.344324,0.067571,0.051059
1.0,0.979558,0.900229,0.407542,0.087555,0.063626
1.1,0.982793,0.916275,0.469085,0.110693,0.077423
1.2,0.985556,0.929912,0.527772,0.137012,0.092360
1.3,0.987908,0.941473,0.582797,0.166455,0.108335
1.4,0.989903,0.951245,0.633669,0.198871,0.125240
1.5,0.991591,0.959484,0.680150,0.234007,0.142963
1.6,0.993014,0.966409,0.722191,0.271518,0.161387
1.7,0.994211,0.972216,0.759878,0.310971,0.180397
1.8,0.995213,0.977070,0.793392,0.351864,0.199879
1.9,0.996052,0.981117,0.822977,0.393650,0.219721
2.0,0.996750,0.984482,0.848914,0.435763,0.239818
2.1,0.997330,0.987270,0.871508,0.477645,0.260069
2.2,0.997810,0.989575,0.891071,0.518774,0.280382
2.3,0.998206,0.991474,0.907914,0.558684,0.300671
2.4,0.998533,0.993035,0.922341,0.596982,0.320857
2.5,0.998801,0.994315,0.934639,0.633355,0.340871
2.6,0.999020,0.995362,0.945077,0.667576,0.360650
2.7,0.999200,0.996217,0.953904,0.699497,0.380142
2.8,0.999347,0.996913,0.961344,0.729048,0.399298
2.9,0.999466,0.997481,0.967597,0.756217,0.418079
3.0,0.999563,0.997942,0.972842,0.781049,0.436452
3.1,0.999643,0.998317,0.977233,0.803627,0.454391
3.2,0.999707,0.998622,0.980905,0.824066,0.471874
3.3,0.999760,0.998871,0.983972,0.842497,0.488886
3.4,0.999802,0.999073,0.986533,0.859065,0.505415
3.5,0.999837,0.999237,0.988672,0.873921,0.521454
3.6,0.999866,0.999371,0.990458,0.887213,0.536999
3.7,0.999889,0.999480,0.991950,0.899086,0.552050
