d_tsi(m),P(DS>=DS2|d_tsi),P(DS>=DS3|d_tsi),P(DS>=DS4|d_tsi),P(DS>=DS5|d_tsi),P(DS>=DS6&7|d_tsi)
0.0,0.000000,0.000000,0.000000,0.000000,0.000000
0.1,0.861558,0.262408,0.015702,0.000006,0.000005
0.2,0.898837,0.419078,0.049901,0.000094,0.000085
0.3,0.921740,0.530192,0.095583,0.000470,0.000428
0.4,0.937735,0.614154,0.148262,0.001471,0.001350
0.5,0.949605,0.679883,0.204636,0.003564,0.003287
0.6,0.958737,0.732510,0.262357,0.007329,0.006788
0.7,0.965935,0.775330,0.319851,0.013448,0.012498
0.8,0.971712,0.810616,0.376137,0.022669,0.021126
0.9,0.976415,0.840003,0.430644,0.035756,0.033403
1.0,0.980292,0.864702,0.483061,0.053431,0.050021
1.1,0.983517,0.885620,0.533214,0.076289,0.071555
1.2,0.986221,0.903441,0.580980,0.104719,0.098388
1.3,0.988501,0.918684,0.626235,0.138825,0.130638
1.4,0.990429,0.931746,0.668835,0.178378,0.168105
1.5,0.992060,0.942934,0.708616,0.222803,0.210260
1.6,0.993439,0.952493,0.745414,0.271211,0.256280
1.7,0.994599,0.960627,0.779092,0.322480,0.305110
1.8,0.995572,0.967510,0.809568,0.375359,0.355576
1.9,0.996384,0.973298,0.836830,0.428589,0.406486
2.0,0.997056,0.978134,0.860944,0.481004,0.456736
2.1,0.997610,0.982148,0.882049,0.531613,0.505381
2.2,0.998063,0.985460,0.900344,0.579642,0.551681
2.3,0.998434,0.988178,0.916068,0.624548,0.595112
2.4,0.998734,0.990400,0.929486,0.666002,0.635352
2.5,0.998977,0.992208,0.940866,0.703861,0.672258
2.6,0.999174,0.993677,0.950470,0.738131,0.705822
2.7,0.999332,0.994867,0.958545,0.768924,0.736145
2.8,0.999460,0.995830,0.965313,0.796430,0.763396
2.9,0.999563,0.996609,0.970975,0.820883,0.787789
3.0,0.999645,0.997240,0.975705,0.842538,0.809560
3.1,0.999712,0.997750,0.979652,0.861660,0.828951
3.2,0.999766,0.998163,0.982945,0.878506,0.846201
