Fatalities,,,,parameters of the mean loss curve,,
Run-up [m],mean-1sigma loss curve,mean loss curve,mean+1sigma loss curve,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,0,0,26.36978716,0.759867359,0.046735366
0.01,0,4.30202E-18,1.11632E-16,,,
0.02,0,7.93609E-16,1.76308E-14,,,
0.03,0,1.43546E-14,2.8063E-13,,,
0.04,0,1.0473E-13,1.84082E-12,,,
0.05,0,4.7337E-13,7.56229E-12,,,
0.06,0,1.5936E-12,2.33021E-11,,,
0.07,0,4.39668E-12,5.91517E-11,,,
0.08,0,1.05113E-11,1.3067E-10,,,
0.09,0,2.25577E-11,2.60078E-10,,,
0.1,0,4.44953E-11,4.77397E-10,,,
0.11,0,8.20236E-11,8.21544E-10,,,
0.12,0,1.43032E-10,1.34136E-09,,,
0.13,0,2.38098E-10,2.09663E-09,,,
0.14,0,3.81022E-10,3.15902E-09,,,
0.15,0,5.89406E-10,4.61299E-09,,,
0.16,0,8.85261E-10,6.55673E-09,,,
0.17,0,1.29564E-09,9.10299E-09,,,
0.18,0,1.8533E-09,1.23799E-08,,,
0.19,0,2.59738E-09,1.65319E-08,,,
0.2,0,3.57406E-09,2.17204E-08,,,
0.21,0,4.83731E-09,2.81246E-08,,,
0.22,0,6.44954E-09,3.59422E-08,,,
0.23,0,8.48234E-09,4.53902E-08,,,
0.24,0,1.10172E-08,5.67055E-08,,,
0.25,0,1.4146E-08,7.01456E-08,,,
0.26,0,1.7972E-08,8.59893E-08,,,
0.27,0,2.26104E-08,1.04537E-07,,,
0.28,0,2.81889E-08,1.26112E-07,,,
0.29,0,3.48484E-08,1.5106E-07,,,
0.3,0,4.27436E-08,1.79751E-07,,,
0.31,0,5.20437E-08,2.12578E-07,,,
0.32,0,6.29329E-08,2.49958E-07,,,
0.33,0,7.5611E-08,2.92335E-07,,,
0.34,0,9.02938E-08,3.40175E-07,,,
0.35,0,1.07214E-07,3.93973E-07,,,
0.36,0,1.26621E-07,4.54247E-07,,,
0.37,0,1.48782E-07,5.21543E-07,,,
0.38,0,1.73982E-07,5.96431E-07,,,
0.39,0,2.02526E-07,6.79511E-07,,,
0.4,0,2.34735E-07,7.71407E-07,,,
0.41,0,2.70951E-07,8.7277E-07,,,
0.42,0,3.11536E-07,9.8428E-07,,,
0.43,0,3.56872E-07,1.10664E-06,,,
0.44,0,4.07358E-07,1.24059E-06,,,
0.45,0,4.63417E-07,1.38688E-06,,,
0.46,0,5.25491E-07,1.54631E-06,,,
0.47,0,5.94044E-07,1.71968E-06,,,
0.48,0,6.6956E-07,1.90784E-06,,,
0.49,0,7.52544E-07,2.11166E-06,,,
0.5,0,8.43524E-07,2.33203E-06,,,
0.51,0,9.43048E-07,2.56987E-06,,,
0.52,0,1.05169E-06,2.82614E-06,,,
0.53,0,1.17003E-06,3.10181E-06,,,
0.54,0,1.2987E-06,3.39787E-06,,,
0.55,0,1.43832E-06,3.71537E-06,,,
0.56,0,1.58955E-06,4.05534E-06,,,
0.57,0,1.75308E-06,4.41888E-06,,,
0.58,0,1.9296E-06,4.80708E-06,,,
0.59,0,2.11983E-06,5.22107E-06,,,
0.6,0,2.32453E-06,5.66201E-06,,,
0.61,0,2.54446E-06,6.13108E-06,,,
0.62,0,2.7804E-06,6.62948E-06,,,
0.63,0,3.03317E-06,7.15843E-06,,,
0.64,0,3.3036E-06,7.71919E-06,,,
0.65,0,3.59254E-06,8.31303E-06,,,
0.66,0,3.90087E-06,8.94125E-06,,,
0.67,0,4.22948E-06,9.60516E-06,,,
0.68,0,4.57929E-06,1.03061E-05,,,
0.69,0,4.95123E-06,1.10454E-05,,,
0.7,0,5.34627E-06,1.18246E-05,,,
0.71,0,5.76537E-06,1.26448E-05,,,
0.72,0,6.20955E-06,1.35078E-05,,,
0.73,0,6.67982E-06,1.44147E-05,,,
0.74,0,7.17722E-06,1.53672E-05,,,
0.75,0,7.7028E-06,1.63667E-05,,,
0.76,0,8.25766E-06,1.74146E-05,,,
0.77,0,8.84287E-06,1.85126E-05,,,
0.78,0,9.45956E-06,1.96622E-05,,,
0.79,0,1.01089E-05,2.08649E-05,,,
0.8,0,1.07919E-05,2.21222E-05,,,
0.81,0,1.151E-05,2.34358E-05,,,
0.82,0,1.22641E-05,2.48074E-05,,,
0.83,0,1.30556E-05,2.62384E-05,,,
0.84,4.07078E-08,1.38856E-05,2.77306E-05,,,
0.85,2.2545E-07,1.47555E-05,2.92855E-05,,,
0.86,4.27862E-07,1.56664E-05,3.09049E-05,,,
0.87,6.48816E-07,1.66197E-05,3.25905E-05,,,
0.88,8.89202E-07,1.76166E-05,3.43439E-05,,,
0.89,1.14993E-06,1.86584E-05,3.61668E-05,,,
0.9,1.43193E-06,1.97465E-05,3.8061E-05,,,
0.91,1.73615E-06,2.08822E-05,4.00282E-05,,,
0.92,2.06355E-06,2.20669E-05,4.20702E-05,,,
0.93,2.41513E-06,2.33019E-05,4.41886E-05,,,
0.94,2.79187E-06,2.45886E-05,4.63853E-05,,,
0.95,3.19481E-06,2.59284E-05,4.8662E-05,,,
0.96,3.62498E-06,2.73228E-05,5.10206E-05,,,
0.97,4.08343E-06,2.87731E-05,5.34627E-05,,,
0.98,4.57125E-06,3.02808E-05,5.59903E-05,,,
0.99,5.08951E-06,3.18474E-05,5.86052E-05,,,
1,5.63934E-06,3.34742E-05,6.13091E-05,,,
1.01,6.22184E-06,3.51629E-05,6.41039E-05,,,
1.02,6.83817E-06,3.69148E-05,6.69915E-05,,,
1.03,7.48949E-06,3.87316E-05,6.99737E-05,,,
1.04,8.17695E-06,4.06146E-05,7.30523E-05,,,
1.05,8.90176E-06,4.25655E-05,7.62292E-05,,,
1.06,9.66513E-06,4.45857E-05,7.95063E-05,,,
1.07,1.04683E-05,4.66769E-05,8.28855E-05,,,
1.08,1.13124E-05,4.88405E-05,8.63686E-05,,,
1.09,1.21988E-05,5.10781E-05,8.99575E-05,,,
1.1,1.31287E-05,5.33914E-05,9.36541E-05,,,
1.11,1.41034E-05,5.57819E-05,9.74603E-05,,,
1.12,1.51242E-05,5.82512E-05,0.000101378,,,
1.13,1.61925E-05,6.08009E-05,0.000105409,,,
1.14,1.73094E-05,6.34326E-05,0.000109556,,,
1.15,1.84764E-05,6.61479E-05,0.000113819,,,
1.16,1.96949E-05,6.89486E-05,0.000118202,,,
1.17,2.09661E-05,7.18361E-05,0.000122706,,,
1.18,2.22915E-05,7.48122E-05,0.000127333,,,
1.19,2.36724E-05,7.78786E-05,0.000132085,,,
1.2,2.51102E-05,8.10368E-05,0.000136963,,,
1.21,2.66064E-05,8.42885E-05,0.000141971,,,
1.22,2.81624E-05,8.76355E-05,0.000147109,,,
1.23,2.97796E-05,9.10794E-05,0.000152379,,,
1.24,3.14595E-05,9.46218E-05,0.000157784,,,
1.25,3.32034E-05,9.82646E-05,0.000163326,,,
1.26,3.5013E-05,0.000102009,0.000169006,,,
1.27,3.68897E-05,0.000105858,0.000174826,,,
1.28,3.88348E-05,0.000109811,0.000180788,,,
1.29,4.08501E-05,0.000113872,0.000186895,,,
1.3,4.29369E-05,0.000118042,0.000193147,,,
1.31,4.50969E-05,0.000122322,0.000199548,,,
1.32,4.73314E-05,0.000126715,0.000206098,,,
1.33,4.96421E-05,0.000131221,0.0002128,,,
1.34,5.20305E-05,0.000135843,0.000219656,,,
1.35,5.44982E-05,0.000140583,0.000226668,,,
1.36,5.70467E-05,0.000145442,0.000233837,,,
1.37,5.96776E-05,0.000150422,0.000241166,,,
1.38,6.23925E-05,0.000155524,0.000248656,,,
1.39,6.51929E-05,0.000160751,0.000256309,,,
1.4,6.80806E-05,0.000166104,0.000264127,,,
1.41,7.1057E-05,0.000171585,0.000272113,,,
1.42,7.41237E-05,0.000177195,0.000280267,,,
1.43,7.72825E-05,0.000182937,0.000288592,,,
1.44,8.05349E-05,0.000188813,0.00029709,,,
1.45,8.38825E-05,0.000194823,0.000305763,,,
1.46,8.7327E-05,0.000200969,0.000314612,,,
1.47,9.08701E-05,0.000207255,0.000323639,,,
1.48,9.45133E-05,0.00021368,0.000332847,,,
1.49,9.82584E-05,0.000220247,0.000342236,,,
1.5,0.000102107,0.000226958,0.00035181,,,
1.51,0.000106061,0.000233815,0.000361569,,,
1.52,0.000110121,0.000240818,0.000371516,,,
1.53,0.00011429,0.000247971,0.000381652,,,
1.54,0.000118569,0.000255274,0.000391979,,,
1.55,0.00012296,0.00026273,0.0004025,,,
1.56,0.000127465,0.00027034,0.000413215,,,
1.57,0.000132085,0.000278106,0.000424127,,,
1.58,0.000136821,0.00028603,0.000435238,,,
1.59,0.000141677,0.000294113,0.000446549,,,
1.6,0.000146652,0.000302357,0.000458062,,,
