ETRiS_developed,Building_Class,GED4ALL_string,Event,Latitude,Longitude,Damage_Scale,Fragility_Modelling,Comments,Download_Links
Yes,Brick masonry residential,MUR/HAPP:1+HFAPP:/RES,South Pacific Tsunami 2009,-13.84399339,-171.7580738,6 Tier/Reese 2011,Using logit/probit/cloglog link functions,DL0 to DL5,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Brick%20masonry%20residential_South%20Pacific%20Tsunami%202009_M1.csv
Yes,Timber,W/HAPP:1+HFAPP:/RES,South Pacific Tsunami 2009,-13.84432674,-171.7494907,7 Tier/Reese 2011,Using logit/probit/cloglog link functions,DL2 to DL5,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Timber_South%20Pacific%20Tsunami%202009_M1.csv
Yes,"Reinforced Concrete, 1 storey, residential",CR/HAPP:1+HFAPP:/RES,South Pacific Tsunami 2009,-13.8468773,-171.743871,8 Tier/Reese 2011,Using logit/probit/cloglog link functions,"DL1, DL2, DL3+DL4+DL5",https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Reinforced%20Concrete%2C%201%20storey%2C%20residential_South%20Pacific%20Tsunami%202009_M1.csv
Yes,Non engineered light timber,W+WLI/HEX:1+HFAPP:0.20,Sulawesi Tsunami (Palu) 2018,-0.892910841,119.8563315,4 Tier/Peiris 2006,Using logit/probit/cloglog link functions,DL1; DL2+DL3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Non%20engineered%20light%20timber_Sulawesi%20Tsunami%202018_M1.csv
Yes,Non engineered masonry; un reinforced with clay brick; 1 storey,MUR+CLBRS/HEX:1+HFAPP:0.30,Sulawesi Tsunami (Palu) 2018,-0.892359958,119.8659338,4 Tier/Peiris 2006,Using logit/probit/cloglog link functions,DL0; DL1; DL2+DL3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Non%20engineered%20masonry%2C%20un%20reinforced%20with%20clay%20brick%2C%201%20storey_Sulawesi%20Tsunami%202018_M1.csv
Yes,Non engineered masonry; un reinforced with clay brick; 2 storey,MUR+CLBRS/HEX:2+HFAPP:0.30,Sulawesi Tsunami (Palu) 2018,-0.889841636,119.8750638,4 Tier/Peiris 2006,Using logit/probit/cloglog link functions,DL0; DL1; DL2+DL3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Non%20engineered%20masonry%2C%20un%20reinforced%20with%20clay%20brick%2C%202%20storey_Sulawesi%20Tsunami%202018_M1.csv
Yes,Masonry; unknown; 1 storey,M99/HEX:1+HFAPP:0.33,Sulawesi Tsunami (Palu) 2018,-0.875046458,119.8764018,4 Tier/Peiris 2006,Using logit/probit/cloglog link functions,DL1; DL2; DL3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Masonry%2C%20unknown%2C%201%20storey_Sulawesi%20Tsunami%202018_M1.csv
Yes,Reinfornced Concrete,CR,Tohoku Earthquake and Tsunami 2011,38.21518395,140.9755873,De Risi et al. 2017,Using logit/probit/cloglog link functions,Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011%20RC_M1.csv
Yes,Reinfornced Concrete,CR,Tohoku Earthquake and Tsunami 2011,38.20518395,140.9655873,De Risi et al. 2017,Using logit/probit/cloglog link functions,Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011%20RC_M2.csv
Yes,Reinfornced Concrete,CR,Tohoku Earthquake and Tsunami 2011,38.19518395,140.9555873,De Risi et al. 2017,Using logit/probit/cloglog link functions,Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011%20RC_M3.csv
Yes,Reinfornced Concrete; 1 storey,CR/HEX:1,Tohoku Earthquake and Tsunami 2011,38.42072414,141.2908848,De Risi et al. 2017,Using logit/probit/cloglog link functions,Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011%20RC%2C%201%20storey_M1.csv
Yes,Reinfornced Concrete; 1 storey,CR/HEX:1,Tohoku Earthquake and Tsunami 2011,38.41072414,141.2808848,De Risi et al. 2017,Using logit/probit/cloglog link functions,Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011%20RC%2C%201%20storey_M2.csv
Yes,Reinfornced Concrete; 1 storey,CR/HEX:1,Tohoku Earthquake and Tsunami 2011,38.40072414,141.2708848,De Risi et al. 2017,Using logit/probit/cloglog link functions,Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011%20RC%2C%201%20storey_M3.csv
Yes,Reinfornced Concrete; 2 storeys,CR/HEX:2,Tohoku Earthquake and Tsunami 2011,38.36536517,141.1578546,De Risi et al. 2017,Using logit/probit/cloglog link functions,Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011%20RC%2C%202%20storey_M1.csv
Yes,Reinfornced Concrete; 2 storeys,CR/HEX:2,Tohoku Earthquake and Tsunami 2011,38.35536517,141.1478546,De Risi et al. 2017,Using logit/probit/cloglog link functions,Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011%20RC%2C%202%20storey_M2.csv
Yes,Reinfornced Concrete; 2 storeys,CR/HEX:2,Tohoku Earthquake and Tsunami 2011,38.34536517,141.1378546,De Risi et al. 2017,Using logit/probit/cloglog link functions,Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011%20RC%2C%202%20storey_M3.csv
Yes,Reinfornced Concrete; 3 storeys or more,CR/HAPP:3,Tohoku Earthquake and Tsunami 2011,38.25406701,141.0077711,De Risi et al. 2017,Using logit/probit/cloglog link functions,Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011%20RC%2C%203%20storey%20and%20more_M1.csv
Yes,Reinfornced Concrete; 3 storeys or more,CR/HAPP:3,Tohoku Earthquake and Tsunami 2011,38.24406701,140.9977711,De Risi et al. 2017,Using logit/probit/cloglog link functions,Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011%20RC%2C%203%20storey%20and%20more_M2.csv
Yes,Reinfornced Concrete; 3 storeys or more,CR/HAPP:3,Tohoku Earthquake and Tsunami 2011,38.23406701,140.9877711,De Risi et al. 2017,Using logit/probit/cloglog link functions,Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011%20RC%2C%203%20storey%20and%20more_M3.csv
Yes,Steel,S,Tohoku Earthquake and Tsunami 2011,38.18808139,140.9554003,De Risi et al. 2017,Using logit/probit/cloglog link functions,Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011%20Steel_M1.csv
